idx,label,S,U,CCS,T_adv
0,9,0.0000,1.0000,0.0000,100
1,9,0.0200,1.0000,0.0060,100
2,9,0.0400,0.9608,0.0395,100
3,9,0.0600,0.9806,0.0316,100
4,9,0.0800,0.8771,0.1100,100
5,9,0.1000,0.8505,0.1347,100
6,9,0.1200,0.8608,0.1335,100
7,9,0.1400,0.8864,0.1215,100
8,9,0.1600,0.8452,0.1563,100
9,9,0.1800,0.8179,0.1815,100
10,9,0.2000,0.7675,0.2228,100
11,9,0.2200,0.8477,0.1726,100
12,9,0.2400,0.7176,0.2697,100
13,9,0.2600,0.6938,0.2923,100
14,9,0.2800,0.6992,0.2945,100
15,9,0.3000,0.6935,0.3045,500
16,9,0.3200,0.6745,0.3238,500
17,9,0.3400,0.5749,0.3996,500
18,9,0.3600,0.6648,0.3426,500
19,9,0.3800,0.6367,0.3683,500
20,9,0.4000,0.6480,0.3664,500
21,9,0.4200,0.4979,0.4775,500
22,9,0.4400,0.5243,0.4650,500
23,9,0.4600,0.6075,0.4128,500
24,9,0.4800,0.4106,0.5566,500
25,9,0.4600,0.5668,0.4413,500
26,9,0.4400,0.5274,0.4629,500
27,9,0.4200,0.5609,0.4333,500
28,9,0.4000,0.5543,0.4320,500
29,9,0.3800,0.5950,0.3975,500
30,9,0.3600,0.6318,0.3657,500
31,9,0.3400,0.7069,0.3071,500
32,9,0.3200,0.6362,0.3506,500
33,9,0.3000,0.6761,0.3167,500
34,9,0.2800,0.7337,0.2704,100
35,9,0.2600,0.7090,0.2817,100
36,9,0.2400,0.8214,0.1970,100
37,9,0.2200,0.8820,0.1486,100
38,9,0.2000,0.8281,0.1803,100
39,9,0.1800,0.8841,0.1352,100
40,9,0.1600,0.8147,0.1777,100
41,9,0.1400,0.9191,0.0987,100
42,9,0.1200,0.8911,0.1122,100
43,9,0.1000,0.8716,0.1199,100
44,9,0.0800,0.9225,0.0783,100
45,9,0.0600,1.0000,0.0180,100
46,9,0.0400,1.0000,0.0120,100
47,9,0.0200,0.9720,0.0256,100
48,5,0.0000,0.9655,0.0241,100
49,5,0.0200,1.0000,0.0060,100
50,5,0.0400,0.8627,0.1081,100
51,5,0.0600,0.9700,0.0390,100
52,5,0.0800,0.8985,0.0951,100
53,5,0.1000,0.8283,0.1502,100
54,5,0.1200,0.8900,0.1130,100
