idx,label,S,U,CCS,T_adv
0,2,0.000000,1.000000,0.000000,100
1,2,0.020000,0.933449,0.052586,100
2,2,0.040000,0.963747,0.037377,100
3,2,0.060000,0.881845,0.100709,100
4,2,0.080000,0.991843,0.029710,100
5,2,0.100000,0.976326,0.046572,100
6,2,0.120000,0.813806,0.166335,100
7,2,0.140000,0.867049,0.135066,100
8,2,0.160000,0.912202,0.109459,100
9,2,0.180000,0.820622,0.179565,100
10,2,0.200000,0.827823,0.180524,100
11,2,0.220000,0.724428,0.258901,100
12,2,0.240000,0.772001,0.231599,100
13,2,0.260000,0.844959,0.186529,100
14,2,0.280000,0.715272,0.283309,100
15,2,0.300000,0.703475,0.297568,100
16,2,0.320000,0.672886,0.324980,500
17,2,0.340000,0.557179,0.411974,500
18,2,0.360000,0.557065,0.418054,500
19,2,0.380000,0.656159,0.354689,500
20,2,0.400000,0.639189,0.372568,500
21,2,0.420000,0.562694,0.432114,500
22,2,0.440000,0.617568,0.399702,500
23,2,0.460000,0.531997,0.465602,500
24,2,0.480000,0.492257,0.499420,500
25,2,0.500000,0.431957,0.547630,500
26,2,0.520000,0.444609,0.544774,500
27,2,0.540000,0.475044,0.529469,500
28,2,0.560000,0.451350,0.552055,500
29,2,0.580000,0.477543,0.539720,500
30,2,0.600000,0.424960,0.582528,500
31,2,0.620000,0.353247,0.638727,500
32,2,0.640000,0.285945,0.691839,500
33,2,0.660000,0.261602,0.714879,2000
34,2,0.680000,0.368704,0.645907,500
35,2,0.700000,0.247333,0.736867,2000
36,2,0.720000,0.260813,0.733431,2000
37,2,0.740000,0.277619,0.727667,2000
38,2,0.760000,0.264219,0.743046,2000
39,2,0.780000,0.194768,0.797662,2000
40,2,0.800000,0.150063,0.834956,2000
41,2,0.820000,0.196901,0.808169,2000
42,2,0.840000,0.086635,0.891356,2000
43,2,0.860000,0.166037,0.841774,2000
44,2,0.880000,0.164833,0.848617,2000
45,2,0.900000,0.161157,0.857190,2000
46,2,0.920000,0.126572,0.887400,2000
47,2,0.940000,0.001374,0.981038,2000
48,2,0.960000,0.024756,0.970671,2000
49,2,0.980000,0.000000,0.994000,2000
50,2,1.000000,0.000000,1.000000,2000
51,2,1.000000,0.000000,1.000000,2000
52,9,0.000000,1.000000,0.000000,100
53,9,0.020000,1.000000,0.006000,100
54,9,0.040000,1.000000,0.012000,100
55,9,0.060000,0.918911,0.074763,100
56,9,0.080000,0.884202,0.105059,100
57,9,0.100000,0.934263,0.076016,100
58,9,0.120000,0.884784,0.116651,100
59,9,0.140000,0.832884,0.158981,100
60,9,0.160000,0.882771,0.130060,100
61,9,0.180000,0.867332,0.146867,100
62,9,0.200000,0.774242,0.218030,100
63,9,0.220000,0.795349,0.209255,100
64,9,0.240000,0.774650,0.229745,100
65,9,0.260000,0.718509,0.275044,100
66,9,0.280000,0.700214,0.293850,100
67,9,0.300000,0.735902,0.274869,100
68,9,0.320000,0.721694,0.290815,100
69,9,0.340000,0.624353,0.364953,500
70,9,0.360000,0.641111,0.359222,500
71,9,0.380000,0.592021,0.399585,500
72,9,0.400000,0.631576,0.377897,500
73,9,0.420000,0.565866,0.429894,500
74,9,0.440000,0.595938,0.414844,500
75,9,0.460000,0.546283,0.455602,500
76,9,0.480000,0.507166,0.488984,500
77,9,0.500000,0.438247,0.543227,500
78,9,0.520000,0.424122,0.559114,500
79,9,0.540000,0.453925,0.544253,500
80,9,0.560000,0.388831,0.595818,500
81,9,0.580000,0.351239,0.628133,500
82,9,0.600000,0.331171,0.648180,500
83,9,0.620000,0.420553,0.591613,500
84,9,0.640000,0.347462,0.648777,500
85,9,0.660000,0.407596,0.612683,500
86,9,0.680000,0.353860,0.656298,500
87,9,0.700000,0.309029,0.693680,500
88,9,0.720000,0.329907,0.685065,500
89,9,0.740000,0.323999,0.695201,500
90,9,0.760000,0.220082,0.773943,2000
91,9,0.780000,0.179955,0.808031,2000
92,9,0.800000,0.193645,0.804448,2000
93,9,0.820000,0.027286,0.926900,2000
94,9,0.840000,0.166460,0.835478,2000
95,9,0.860000,0.096336,0.890565,2000
96,9,0.880000,0.152789,0.857048,2000
97,9,0.900000,0.108750,0.893875,2000
98,9,0.920000,0.084286,0.917000,2000
99,9,0.940000,0.140174,0.883878,2000
100,9,0.960000,0.000000,0.988000,2000
101,9,0.980000,0.062669,0.950131,2000
102,9,1.000000,0.000000,1.000000,2000
103,9,1.000000,0.092489,0.935258,2000
104,9,1.000000,0.000000,1.000000,2000
105,9,1.000000,0.000000,1.000000,2000
106,9,1.000000,0.000000,1.000000,2000
107,9,1.000000,0.015490,0.989157,2000
108,9,1.000000,0.000000,1.000000,2000
109,9,1.000000,0.000000,1.000000,2000
110,9,1.000000,0.000000,1.000000,2000
111,9,1.000000,0.031064,0.978255,2000
112,9,1.000000,0.000000,1.000000,2000
113,9,1.000000,0.000000,1.000000,2000
114,9,1.000000,0.000000,1.000000,2000
115,9,1.000000,0.055331,0.961268,2000
116,9,1.000000,0.000000,1.000000,2000
117,9,1.000000,0.000000,1.000000,2000
118,9,1.000000,0.001503,0.998948,2000
119,9,1.000000,0.000000,1.000000,2000
120,9,1.000000,0.080994,0.943304,2000
121,9,1.000000,0.030844,0.978409,2000
122,9,1.000000,0.092227,0.935441,2000
123,9,1.000000,0.144967,0.898523,2000
124,9,1.000000,0.016283,0.988602,2000
125,9,1.000000,0.000000,1.000000,2000
126,9,1.000000,0.000000,1.000000,2000
127,9,1.000000,0.005776,0.995957,2000
128,9,1.000000,0.000000,1.000000,2000
129,9,1.000000,0.034265,0.976014,2000
130,9,1.000000,0.080432,0.943698,2000
131,9,1.000000,0.003389,0.997628,2000
132,9,1.000000,0.000000,1.000000,2000
133,9,1.000000,0.000000,1.000000,2000
134,9,1.000000,0.000000,1.000000,2000
135,9,1.000000,0.000000,1.000000,2000
136,9,1.000000,0.000000,1.000000,2000
137,9,1.000000,0.001231,0.999139,2000
138,9,1.000000,0.027554,0.980712,2000
139,9,1.000000,0.000000,1.000000,2000
140,9,1.000000,0.022649,0.984146,2000
141,9,1.000000,0.058852,0.958803,2000
142,9,1.000000,0.053143,0.962800,2000
143,9,1.000000,0.000000,1.000000,2000
144,9,1.000000,0.009539,0.993322,2000
145,9,1.000000,0.000776,0.999457,2000
146,9,1.000000,0.000000,1.000000,2000
147,9,1.000000,0.000000,1.000000,2000
148,9,1.000000,0.000000,1.000000,2000
149,9,1.000000,0.021910,0.984663,2000
150,9,1.000000,0.007506,0.994746,2000
151,9,1.000000,0.008421,0.994105,2000
152,9,1.000000,0.000000,1.000000,2000
153,9,1.000000,0.000000,1.000000,2000
154,9,1.000000,0.000000,1.000000,2000
155,9,1.000000,0.000000,1.000000,2000
156,9,1.000000,0.055240,0.961332,2000
157,9,1.000000,0.000000,1.000000,2000
158,9,1.000000,0.005298,0.996292,2000
159,9,1.000000,0.000000,1.000000,2000
160,9,1.000000,0.000000,1.000000,2000
161,9,1.000000,0.000000,1.000000,2000
162,9,1.000000,0.000000,1.000000,2000
163,9,1.000000,0.000000,1.000000,2000
164,9,1.000000,0.041399,0.971021,2000
165,9,1.000000,0.000000,1.000000,2000
166,9,1.000000,0.000000,1.000000,2000
167,9,1.000000,0.000950,0.999335,2000
168,9,1.000000,0.017323,0.987874,2000
169,9,1.000000,0.046481,0.967463,2000
170,9,1.000000,0.000000,1.000000,2000
171,9,1.000000,0.034000,0.976200,2000
172,9,1.000000,0.022975,0.983917,2000
173,9,1.000000,0.000000,1.000000,2000
174,9,1.000000,0.000000,1.000000,2000
175,9,1.000000,0.000000,1.000000,2000
176,9,1.000000,0.027649,0.980646,2000
177,9,1.000000,0.000000,1.000000,2000
178,9,1.000000,0.000000,1.000000,2000
179,9,1.000000,0.000000,1.000000,2000
180,9,1.000000,0.000000,1.000000,2000
181,9,1.000000,0.000000,1.000000,2000
182,9,1.000000,0.060861,0.957397,2000
183,9,1.000000,0.011459,0.991978,2000
184,9,1.000000,0.040512,0.971642,2000
185,9,1.000000,0.031483,0.977962,2000
186,9,1.000000,0.060365,0.957744,2000
187,9,1.000000,0.000000,1.000000,2000
188,9,1.000000,0.000000,1.000000,2000
189,9,1.000000,0.043919,0.969257,2000
190,0,0.000000,0.973845,0.018308,100
191,0,0.020000,0.997355,0.007851,100
192,0,0.040000,1.000000,0.012000,100
193,0,0.060000,0.832999,0.134901,100
194,0,0.080000,0.852307,0.127385,100
195,0,0.100000,0.970044,0.050969,100
196,0,0.120000,0.901471,0.104970,100
197,0,0.140000,0.811220,0.174146,100
198,0,0.160000,0.859501,0.146349,100
199,0,0.180000,0.770009,0.214994,100
200,0,0.200000,0.775634,0.217056,100
201,0,0.220000,0.781571,0.218901,100
202,0,0.240000,0.758053,0.241363,100
203,0,0.260000,0.695448,0.291187,100
204,0,0.280000,0.798702,0.224909,100
205,0,0.300000,0.686510,0.309443,500
206,0,0.320000,0.606643,0.371350,500
207,0,0.340000,0.626688,0.363318,500
208,0,0.360000,0.627685,0.368620,500
209,0,0.380000,0.676287,0.340599,500
210,0,0.400000,0.521614,0.454870,500
211,0,0.420000,0.565013,0.430491,500
212,0,0.440000,0.480855,0.495402,500
213,0,0.460000,0.568274,0.440208,500
214,0,0.480000,0.551287,0.458099,500
215,0,0.500000,0.483438,0.511593,500
216,0,0.520000,0.544745,0.474679,500
217,0,0.540000,0.416622,0.570364,500
218,0,0.560000,0.447077,0.555046,500
219,0,0.580000,0.431137,0.572204,500
220,0,0.600000,0.448224,0.566243,500
221,0,0.620000,0.342413,0.646311,500
222,0,0.640000,0.436538,0.586424,500
223,0,0.660000,0.286958,0.697129,500
224,0,0.680000,0.322136,0.678505,500
225,0,0.700000,0.314862,0.689596,500
226,0,0.720000,0.282996,0.717903,2000
227,0,0.740000,0.262481,0.738263,2000
228,0,0.760000,0.233675,0.764428,2000
229,0,0.780000,0.295024,0.727483,2000
230,0,0.800000,0.214363,0.789946,2000
231,0,0.820000,0.154123,0.838114,2000
232,0,0.840000,0.202736,0.810085,2000
233,0,0.860000,0.108976,0.881717,2000
234,0,0.880000,0.042884,0.933981,2000
235,0,0.900000,0.052685,0.933120,2000
236,0,0.920000,0.070999,0.926301,2000
237,0,0.940000,0.095979,0.914814,2000
238,0,0.960000,0.001231,0.987138,2000
239,0,0.980000,0.015540,0.983122,2000
240,0,1.000000,0.000000,1.000000,2000
241,0,1.000000,0.060176,0.957877,2000
242,0,1.000000,0.014433,0.989897,2000
243,0,1.000000,0.000000,1.000000,2000
244,0,1.000000,0.000000,1.000000,2000
245,0,1.000000,0.000000,1.000000,2000
246,0,1.000000,0.034900,0.975570,2000
247,0,1.000000,0.000000,1.000000,2000
248,0,1.000000,0.083793,0.941345,2000
249,0,1.000000,0.023209,0.983754,2000
250,0,1.000000,0.000000,1.000000,2000
251,0,1.000000,0.000000,1.000000,2000
252,0,1.000000,0.000000,1.000000,2000
253,0,1.000000,0.017668,0.987632,2000
254,0,1.000000,0.040050,0.971965,2000
255,0,1.000000,0.000000,1.000000,2000
256,0,1.000000,0.000000,1.000000,2000
257,0,1.000000,0.022518,0.984237,2000
258,0,1.000000,0.041690,0.970817,2000
259,0,1.000000,0.000000,1.000000,2000
260,0,1.000000,0.000000,1.000000,2000
261,0,1.000000,0.000000,1.000000,2000
262,0,1.000000,0.031008,0.978294,2000
263,0,1.000000,0.000000,1.000000,2000
264,0,1.000000,0.000000,1.000000,2000
265,0,1.000000,0.011054,0.992262,2000
266,0,1.000000,0.000000,1.000000,2000
267,0,1.000000,0.091585,0.935891,2000
268,0,1.000000,0.000000,1.000000,2000
269,0,1.000000,0.048991,0.965706,2000
270,0,1.000000,0.069523,0.951334,2000
271,0,1.000000,0.039212,0.972551,2000
