ms,mV,µA,p_mW
# meta, firmware=TXSD_1201, trial_index=auto, adv_interval_ms=0
12,3304,55300,182.7
21,3308,56700,187.6
31,3304,55200,182.4
41,3308,56700,187.6
51,3304,55100,182.1
61,3308,56800,187.9
71,3304,55200,182.4
81,3308,56800,187.9
91,3304,55200,182.4
101,3308,56800,187.9
111,3304,55400,183.0
121,3308,56100,185.6
131,3304,55800,184.4
141,3304,56100,185.4
151,3304,55900,184.7
161,3308,55200,182.6
171,3308,56700,187.6
181,3304,55200,182.4
191,3308,56800,187.9
201,3308,55200,182.6
211,3308,56800,187.9
221,3304,55200,182.4
231,3308,56800,187.9
241,3304,55200,182.4
251,3308,56600,187.2
261,3308,55600,183.9
271,3308,56100,185.6
281,3304,55700,184.0
291,3308,56000,185.2
301,3308,56200,185.9
311,3304,55200,182.4
321,3308,56700,187.6
331,3304,55200,182.4
341,3304,56800,187.7
351,3304,55200,182.4
361,3308,56800,187.9
371,3304,55100,182.1
381,3308,56700,187.6
391,3308,55200,182.6
401,3308,56300,186.2
411,3308,55700,184.3
421,3304,56100,185.4
431,3304,55800,184.4
441,3304,55600,183.7
451,3304,56600,187.0
461,3308,55200,182.6
471,3304,56800,187.7
481,3304,55200,182.4
491,3308,56700,187.6
501,3304,57600,190.3
511,3308,56800,187.9
521,3304,55200,182.4
531,3308,56700,187.6
541,3304,55200,182.4
551,3308,56100,185.6
561,3304,55800,184.4
571,3308,56100,185.6
581,3296,55900,184.2
591,3304,55400,183.0
601,3308,56800,187.9
611,3308,55200,182.6
621,3304,56700,187.3
631,3308,55200,182.6
641,3308,56800,187.9
651,3308,55200,182.6
661,3304,56800,187.7
671,3304,55100,182.1
681,3308,56700,187.6
691,3308,55300,182.9
701,3304,56100,185.4
711,3304,55800,184.4
721,3308,56100,185.6
731,3308,55800,184.6
741,3304,55300,182.7
751,3308,56700,187.6
761,3304,55200,182.4
771,3304,56800,187.7
781,3304,55100,182.1
791,3308,56800,187.9
801,3304,55200,182.4
811,3308,56800,187.9
821,3304,55200,182.4
831,3308,56700,187.6
841,3304,55600,183.7
851,3308,56200,185.9
861,3308,55800,184.6
871,3304,56100,185.4
881,3308,56200,185.9
891,3304,55200,182.4
901,3308,56800,187.9
911,3304,55200,182.4
921,3308,56800,187.9
931,3304,55200,182.4
941,3308,56800,187.9
951,3304,55200,182.4
961,3304,56800,187.7
971,3304,55200,182.4
981,3308,56300,186.2
991,3308,55800,184.6
1001,3308,56100,185.6
1011,3304,55800,184.4
1021,3308,55700,184.3
1031,3308,56600,187.2
1041,3304,55200,182.4
1051,3308,56700,187.6
1061,3304,55200,182.4
1071,3308,56800,187.9
1081,3304,55200,182.4
