trial,trial_idx,interval_ms_est,start_ms,end_ms,duration_ms,rx_raw,rx_unique,pdr_raw,pdr_unique
trial_001_on.csv,1,99.59,0.0,29876.0,29876.0,141,132,0.47,0.44
trial_002_on.csv,2,99.26,29876.0,59654.0,29778.0,253,253,0.8433,0.8433
trial_003_on.csv,3,99.2,59654.0,89414.0,29760.0,252,252,0.84,0.84
trial_004_on.csv,4,99.18,89414.0,119169.0,29755.0,247,247,0.8233,0.8233
trial_005_on.csv,5,99.14,119169.0,148910.0,29741.0,253,253,0.8433,0.8433
trial_006_on.csv,6,99.09,148910.0,178637.0,29727.0,245,245,0.8167,0.8167
trial_007_on.csv,7,99.35,178637.0,208442.0,29805.0,253,253,0.8433,0.8433
trial_008_on.csv,8,99.3,208442.0,238231.0,29789.0,261,261,0.87,0.87
trial_009_on.csv,9,99.24,238231.0,268004.0,29773.0,256,256,0.8533,0.8533
trial_010_on.csv,10,107.87,268004.0,300364.0,32360.0,272,256,0.9067,0.8533
trial_011_on.csv,11,496.16,300364.0,449211.0,148847.0,346,275,1.1533,0.9167
trial_012_on.csv,12,496.11,449211.0,598044.0,148833.0,266,266,0.8867,0.8867
trial_013_on.csv,13,496.04,598044.0,746857.0,148813.0,264,264,0.88,0.88
trial_014_on.csv,14,495.99,746857.0,895655.0,148798.0,256,256,0.8533,0.8533
trial_015_on.csv,15,495.94,895655.0,1044436.0,148781.0,263,263,0.8767,0.8767
trial_016_on.csv,16,495.88,1044436.0,1193201.0,148765.0,266,266,0.8867,0.8867
trial_017_on.csv,17,495.83,1193201.0,1341950.0,148749.0,258,258,0.86,0.86
trial_018_on.csv,18,495.78,1341950.0,1490684.0,148734.0,260,260,0.8667,0.8667
trial_019_on.csv,19,495.7,1490684.0,1639394.0,148710.0,261,261,0.87,0.87
trial_020_on.csv,20,505.67,1639394.0,1791095.0,151701.0,256,252,0.8533,0.84
trial_021_on.csv,21,992.25,1791095.0,2088769.0,297674.0,283,270,0.9433,0.9
trial_022_on.csv,22,992.18,2088769.0,2386423.0,297654.0,271,271,0.9033,0.9033
trial_023_on.csv,23,992.12,2386423.0,2684060.0,297637.0,261,261,0.87,0.87
trial_024_on.csv,24,992.03,2684060.0,2981670.0,297610.0,265,265,0.8833,0.8833
trial_025_on.csv,25,1008.67,2981670.0,3284270.0,302600.0,268,265,0.8933,0.8833
trial_026_on.csv,26,1985.23,3284270.0,3879839.0,595569.0,273,267,0.91,0.89
trial_027_on.csv,27,1985.16,3879839.0,4475386.0,595547.0,271,271,0.9033,0.9033
trial_028_on.csv,28,1985.09,4475386.0,5070913.0,595527.0,265,265,0.8833,0.8833
trial_029_on.csv,29,1985.0,5070913.0,5666412.0,595499.0,263,263,0.8767,0.8767
