ms,mV,µA,p_mW
# meta, firmware=TXSD_ModeA_1202, trial_index=1, mode=A
12,3352,3500,11.7
21,3352,3500,11.7
31,3356,3500,11.7
41,3352,3500,11.7
51,3352,3500,11.7
61,3356,3500,11.7
71,3356,3500,11.7
81,3352,3500,11.7
91,3356,3500,11.7
101,3352,3500,11.7
111,3352,3500,11.7
121,3352,3500,11.7
131,3352,3500,11.7
141,3352,3500,11.7
151,3352,3500,11.7
161,3352,3500,11.7
171,3356,3500,11.7
181,3352,3600,12.1
191,3356,3600,12.1
201,3352,3500,11.7
211,3356,3600,12.1
221,3352,3500,11.7
231,3352,3500,11.7
241,3352,3500,11.7
251,3352,3500,11.7
261,3352,3500,11.7
271,3352,3500,11.7
281,3352,3600,12.1
291,3356,3600,12.1
301,3356,3500,11.7
311,3352,3500,11.7
321,3352,3500,11.7
331,3356,3500,11.7
341,3352,3500,11.7
351,3356,3500,11.7
361,3352,3500,11.7
371,3352,3500,11.7
381,3356,3500,11.7
391,3352,3500,11.7
401,3352,3500,11.7
411,3356,3500,11.7
421,3356,3500,11.7
431,3352,3600,12.1
441,3356,3600,12.1
451,3356,3500,11.7
461,3356,3500,11.7
471,3352,3500,11.7
481,3352,3500,11.7
491,3356,3500,11.7
501,3352,3500,11.7
511,3356,3500,11.7
521,3352,3500,11.7
531,3352,3500,11.7
541,3356,3500,11.7
551,3356,3500,11.7
561,3352,3500,11.7
571,3352,3500,11.7
581,3352,3600,12.1
591,3356,3600,12.1
601,3356,3500,11.7
611,3352,3500,11.7
621,3352,3600,12.1
631,3352,3500,11.7
641,3356,3500,11.7
651,3352,3500,11.7
661,3352,3500,11.7
671,3352,3500,11.7
681,3352,3500,11.7
691,3356,3500,11.7
701,3352,3500,11.7
711,3352,3500,11.7
721,3352,3500,11.7
731,3356,3500,11.7
741,3356,3500,11.7
751,3352,3500,11.7
761,3352,3500,11.7
771,3352,3500,11.7
781,3352,3500,11.7
791,3352,3500,11.7
801,3352,3500,11.7
811,3356,3500,11.7
821,3352,3500,11.7
831,3352,3500,11.7
841,3352,3500,11.7
851,3352,3500,11.7
861,3352,3500,11.7
871,3352,3500,11.7
881,3356,3500,11.7
891,3352,3500,11.7
901,3356,3500,11.7
911,3352,3500,11.7
921,3356,3500,11.7
931,3352,3500,11.7
941,3352,3600,12.1
951,3356,3500,11.7
961,3352,3500,11.7
971,3356,3500,11.7
981,3352,3500,11.7
991,3352,3600,12.1
1001,3356,3600,12.1
1011,3356,3500,11.7
1021,3352,3500,11.7
1031,3352,3500,11.7
1041,3352,3500,11.7
1051,3352,3500,11.7
1061,3356,3500,11.7
1071,3352,3500,11.7
