ms,mV,µA,p_mW
# meta, firmware=TXSD_ModeB_1202, trial_index=1, mode=B
12,3352,5300,17.8
21,3352,5300,17.8
31,3352,5300,17.8
41,3352,5300,17.8
51,3352,5300,17.8
61,3348,5300,17.7
71,3352,5400,18.1
81,3352,5300,17.8
91,3352,5300,17.8
101,3352,5300,17.8
111,3352,5300,17.8
121,3352,5300,17.8
131,3352,5300,17.8
141,3352,5300,17.8
151,3352,5400,18.1
161,3352,5200,17.4
171,3352,5300,17.8
181,3352,5400,18.1
191,3352,5300,17.8
201,3308,5400,17.9
211,3352,5300,17.8
221,3352,5300,17.8
231,3352,5300,17.8
241,3296,11600,38.2
251,3352,5300,17.8
261,3352,5300,17.8
271,3352,5400,18.1
281,3352,8200,27.5
291,3352,5300,17.8
301,3352,5300,17.8
311,3352,5300,17.8
321,3352,5300,17.8
331,3352,5300,17.8
341,3352,5300,17.8
351,3352,5300,17.8
361,3352,5400,18.1
371,3352,5300,17.8
381,3352,5300,17.8
391,3352,5300,17.8
401,3352,5300,17.8
411,3352,5300,17.8
421,3352,5300,17.8
431,3352,5200,17.4
441,3352,5300,17.8
451,3352,5300,17.8
461,3352,5300,17.8
471,3352,5300,17.8
481,3352,5300,17.8
491,3352,5300,17.8
501,3352,5300,17.8
511,3352,5400,18.1
521,3352,5300,17.8
531,3352,5300,17.8
541,3352,5400,18.1
551,3352,5300,17.8
561,3352,5400,18.1
571,3352,5300,17.8
581,3352,5300,17.8
591,3352,5300,17.8
601,3352,5300,17.8
611,3352,5300,17.8
621,3352,5300,17.8
631,3352,5300,17.8
641,3352,5300,17.8
651,3352,5300,17.8
661,3352,5300,17.8
671,3352,5300,17.8
681,3352,5300,17.8
691,3352,5200,17.4
701,3352,5400,18.1
711,3356,5300,17.8
721,3352,5300,17.8
731,3300,5600,18.5
741,3352,5400,18.1
751,3352,5300,17.8
761,3352,5300,17.8
771,3300,62700,206.9
781,3352,5300,17.8
791,3352,5300,17.8
801,3352,5300,17.8
811,3348,50800,170.1
821,3352,5300,17.8
831,3352,5400,18.1
841,3352,5300,17.8
851,3348,7700,25.8
861,3352,5300,17.8
871,3352,5400,18.1
881,3352,5300,17.8
891,3352,7200,24.1
901,3352,5400,18.1
911,3352,5300,17.8
921,3352,5300,17.8
931,3352,5400,18.1
941,3352,5300,17.8
951,3352,5400,18.1
961,3352,5300,17.8
971,3352,5400,18.1
981,3352,5300,17.8
991,3352,5300,17.8
1001,3352,5300,17.8
1011,3352,5400,18.1
1021,3352,5300,17.8
1031,3352,5300,17.8
1041,3352,5300,17.8
1051,3352,5300,17.8
1061,3352,5300,17.8
1071,3352,5300,17.8
1081,3352,5300,17.8
1091,3352,5300,17.8
1101,3352,5300,17.8
1111,3352,5400,18.1
1121,3352,5300,17.8
1131,3352,5300,17.8
1141,3352,5300,17.8
1151,3352,5300,17.8
1161,3352,5300,17.8
1171,3352,5300,17.8
1181,3352,5300,17.8
1191,3352,5300,17.8
1201,3352,5400,18.1
1211,3352,5300,17.8
1221,3352,5300,17.8
1231,3352,5400,18.1
1241,3352,5400,18.1
1251,3352,5300,17.8
1261,3352,5200,17.4
1271,3352,5300,17.8
1281,3352,5300,17.8
1291,3352,5300,17.8
1301,3336,5300,17.7
1311,3352,5300,17.8
1321,3352,5300,17.8
1331,3352,5300,17.8
1341,3288,31600,103.9
1351,3352,5300,17.8
1361,3352,5300,17.8
1371,3352,5300,17.8
1381,3340,70800,236.5
1391,3352,5300,17.8
1401,3352,5300,17.8
1411,3352,5400,18.1
1421,3348,6100,20.4
1431,3352,5300,17.8
1441,3352,5300,17.8
1451,3352,5300,17.8
1461,3352,5400,18.1
1471,3348,5300,17.7
1481,3352,5300,17.8
1491,3352,5300,17.8
1501,3352,5300,17.8
1511,3352,5300,17.8
1521,3352,5300,17.8
1531,3352,5300,17.8
1541,3352,5300,17.8
1551,3352,5300,17.8
1561,3352,5300,17.8
1571,3352,5400,18.1
1581,3352,5300,17.8
1591,3352,5300,17.8
1601,3352,5400,18.1
1611,3352,5300,17.8
1621,3352,5300,17.8
1631,3352,5300,17.8
1641,3352,5300,17.8
1651,3352,5400,18.1
1661,3352,5300,17.8
1671,3352,5300,17.8
1681,3352,5300,17.8
1691,3352,5400,18.1
1701,3352,5400,18.1
1711,3352,5300,17.8
1721,3352,5300,17.8
1731,3352,5400,18.1
1741,3352,5400,18.1
1751,3352,5300,17.8
1761,3352,5300,17.8
1771,3352,5300,17.8
1781,3352,5400,18.1
1791,3352,5300,17.8
1801,3352,5300,17.8
1811,3352,5400,18.1
1821,3352,5400,18.1
1831,3352,5200,17.4
1841,3352,5300,17.8
1851,3352,5400,18.1
1861,3352,5300,17.8
1871,3352,49400,165.6
1881,3352,5300,17.8
1891,3352,5300,17.8
1901,3352,5300,17.8
1911,3348,61700,206.6
1921,3352,5400,18.1
1931,3352,5300,17.8
1941,3352,5300,17.8
1951,3348,10100,33.8
1961,3352,5300,17.8
1971,3352,5400,18.1
1981,3352,5300,17.8
1991,3352,8000,26.8
2001,3352,5300,17.8
2011,3352,5300,17.8
2021,3352,5400,18.1
2031,3352,5300,17.8
2041,3352,5300,17.8
2051,3352,5300,17.8
2061,3352,5300,17.8
2073,3352,7400,24.8
2081,3352,5300,17.8
2091,3352,5300,17.8
2101,3352,5300,17.8
2111,3352,5400,18.1
2121,3352,5300,17.8
2131,3352,5400,18.1
2141,3352,5300,17.8
2151,3352,5400,18.1
2161,3352,5300,17.8
2171,3352,5300,17.8
2181,3352,5400,18.1
2191,3352,5400,18.1
2201,3352,5300,17.8
2211,3352,5300,17.8
2221,3352,5300,17.8
2231,3352,5300,17.8
2241,3352,5300,17.8
2251,3352,5400,18.1
2261,3352,5300,17.8
2271,3352,5300,17.8
2281,3352,5200,17.4
2291,3352,5300,17.8
2301,3352,5300,17.8
2311,3352,5400,18.1
2321,3352,5300,17.8
2331,3352,5400,18.1
2341,3352,5400,18.1
2351,3352,5300,17.8
2361,3352,5200,17.4
2371,3352,5300,17.8
2381,3352,5400,18.1
2391,3352,5300,17.8
2401,3352,5200,17.4
2411,3352,5300,17.8
2421,3352,5300,17.8
2431,3352,5400,18.1
2441,3288,7900,26.0
2451,3352,5300,17.8
2461,3352,5400,18.1
2471,3352,5400,18.1
2481,3316,72200,239.4
2491,3352,5300,17.8
2501,3352,5400,18.1
2511,3352,5400,18.1
2521,3348,37700,126.2
2531,3352,5300,17.8
2541,3352,5300,17.8
2551,3352,5400,18.1
2561,3348,7800,26.1
2571,3352,5300,17.8
2581,3352,5200,17.4
2591,3352,5300,17.8
2601,3352,6900,23.1
2611,3352,5300,17.8
2621,3352,5400,18.1
2631,3352,5300,17.8
2641,3352,5400,18.1
2651,3352,5300,17.8
2661,3352,5300,17.8
2671,3352,5400,18.1
2681,3352,5300,17.8
2691,3352,5300,17.8
2701,3352,5300,17.8
2711,3352,5300,17.8
2721,3352,5400,18.1
2731,3352,5400,18.1
2741,3352,5300,17.8
2751,3352,5400,18.1
2761,3352,5400,18.1
2771,3352,5300,17.8
2781,3352,5400,18.1
2791,3352,5400,18.1
2801,3352,5300,17.8
2811,3352,5300,17.8
2821,3352,5300,17.8
2831,3352,5400,18.1
2841,3352,5400,18.1
2851,3352,5300,17.8
2861,3356,5300,17.8
2871,3352,5300,17.8
2881,3352,5400,18.1
2891,3352,5300,17.8
2901,3352,5300,17.8
2911,3352,5300,17.8
2921,3352,5400,18.1
2931,3352,5300,17.8
2941,3352,5400,18.1
2951,3352,5300,17.8
2961,3352,5400,18.1
2971,3352,5200,17.4
2981,3352,5300,17.8
