ms,mV,µA,p_mW
# meta, firmware=TXSD_ModeB_1202, trial_index=1, mode=B
11,3196,134400,429.5
20,3296,55800,183.9
30,3292,54800,180.4
40,3292,55300,182.0
50,3292,55300,182.0
60,3292,55300,182.0
70,3192,141400,451.3
80,3292,54900,180.7
90,3296,55800,183.9
100,3292,54900,180.7
110,3292,55800,183.7
120,3292,54900,180.7
130,3292,55800,183.7
140,3152,137500,433.4
150,3292,55800,183.7
160,3292,54800,180.4
170,3292,55800,183.7
180,3292,54800,180.4
190,3292,55300,182.0
200,3172,149500,474.2
210,3292,55200,181.7
220,3292,55400,182.4
230,3292,55000,181.1
240,3292,55800,183.7
250,3292,54900,180.7
260,3200,179700,575.0
270,3292,54900,180.7
280,3292,55800,183.7
290,3292,54900,180.7
300,3292,55800,183.7
310,3292,54900,180.7
320,3292,55800,183.7
330,3148,135700,427.2
340,3296,55300,182.3
350,3292,55400,182.4
360,3292,55200,181.7
370,3292,55400,182.4
380,3292,54900,180.7
390,3292,55700,183.4
400,3292,54900,180.7
410,3296,55800,183.9
420,3292,54900,180.7
430,3292,55800,183.7
440,3292,54900,180.7
450,3296,55800,183.9
460,3192,142300,454.2
470,3292,55800,183.7
480,3292,54900,180.7
490,3292,55300,182.0
500,3292,55400,182.4
510,3292,55200,181.7
520,3196,141500,452.2
530,3292,54900,180.7
540,3292,55700,183.4
550,3292,54900,180.7
560,3296,55800,183.9
570,3292,54900,180.7
580,3292,55800,183.7
590,3292,55000,181.1
600,3296,55800,183.9
610,3292,54900,180.7
620,3292,55800,183.7
630,3292,54900,180.7
640,3292,55400,182.4
650,3288,109900,361.4
660,3292,55300,182.0
670,3292,55400,182.4
680,3292,55000,181.1
690,3292,55700,183.4
700,3292,54900,180.7
710,3292,55800,183.7
720,3292,55100,181.4
730,3292,55800,183.7
740,3292,54900,180.7
750,3292,55800,183.7
760,3292,54900,180.7
770,3292,55800,183.7
780,3144,134700,423.5
790,3292,55300,182.0
800,3292,55400,182.4
810,3292,55200,181.7
820,3292,55500,182.7
830,3296,54900,181.0
840,3200,178800,572.2
850,3292,54800,180.4
860,3296,55700,183.6
870,3292,54800,180.4
880,3296,55800,183.9
890,3292,54800,180.4
900,3292,55800,183.7
910,3148,138200,435.1
920,3296,55800,183.9
