ms,mV,µA,p_mW
# meta, firmware=TXSD_1201, trial_index=auto, adv_interval_ms=0
12,3096,137300,425.1
21,3244,56400,183.0
31,3244,54900,178.1
41,3244,56400,183.0
51,3244,54900,178.1
61,3244,56300,182.6
71,3244,54800,177.8
81,3244,56400,183.0
91,3244,55300,179.4
101,3244,55900,181.3
111,3244,55500,180.0
121,3100,139800,433.4
131,3244,56100,182.0
141,3244,55200,179.1
151,3244,56400,183.0
161,3244,54900,178.1
171,3244,56300,182.6
181,3244,54800,177.8
191,3244,56300,182.6
201,3244,54800,177.8
211,3244,56400,183.0
221,3144,134600,423.2
231,3244,56400,183.0
241,3244,55500,180.0
251,3244,55800,181.0
261,3244,55400,179.7
271,3244,55800,181.0
281,3244,56300,182.6
291,3244,55000,178.4
301,3244,56400,183.0
311,3244,54900,178.1
321,3244,56400,183.0
331,3116,166300,518.2
341,3248,56400,183.2
351,3244,54900,178.1
361,3244,56400,183.0
371,3244,54800,177.8
381,3248,56300,182.9
391,3244,55400,179.7
401,3244,55800,181.0
411,3244,55500,180.0
421,3244,55700,180.7
431,3084,112500,347.0
441,3244,54900,178.1
451,3244,56300,182.6
461,3244,54800,177.8
471,3248,56500,183.5
481,3244,54800,177.8
491,3248,56400,183.2
501,3244,54800,177.8
511,3244,56400,183.0
521,3244,55100,178.7
531,3244,58200,188.8
541,3244,55400,179.7
551,3244,55800,181.0
561,3244,55800,181.0
571,3244,55500,180.0
581,3244,56400,183.0
591,3244,54900,178.1
601,3248,56400,183.2
611,3244,54900,178.1
621,3248,56400,183.2
631,3244,54800,177.8
641,3152,180800,569.9
651,3244,54800,177.8
661,3244,56400,183.0
671,3244,55400,179.7
681,3244,55800,181.0
691,3244,55500,180.0
701,3244,55700,180.7
711,3244,56100,182.0
721,3244,55100,178.7
731,3244,56300,182.6
741,3136,141500,443.7
751,3248,56400,183.2
761,3244,54900,178.1
771,3244,56400,183.0
781,3244,54800,177.8
791,3244,56400,183.0
801,3244,54800,177.8
811,3248,56300,182.9
821,3244,55400,179.7
831,3244,55800,181.0
841,3244,55400,179.7
851,3148,182900,575.8
861,3244,56300,182.6
871,3244,54900,178.1
881,3244,56300,182.6
891,3244,54800,177.8
901,3244,56400,183.0
911,3244,54800,177.8
921,3244,56400,183.0
931,3244,54800,177.8
941,3244,56400,183.0
951,3136,144000,451.6
961,3248,56400,183.2
971,3244,55500,180.0
981,3244,55800,181.0
991,3244,55500,180.0
1001,3244,55700,180.7
1011,3244,56400,183.0
1021,3244,54800,177.8
1031,3248,56400,183.2
1041,3244,54800,177.8
1051,3244,56300,182.6
1061,3120,134600,420.0
1071,3248,56400,183.2
1081,3244,54800,177.8
1091,3244,56400,183.0
1101,3244,55200,179.1
1111,3244,56000,181.7
1121,3244,55500,180.0
1131,3244,55800,181.0
1141,3244,55900,181.3
1151,3244,55400,179.7
1161,3244,56400,183.0
1171,3096,131800,408.1
1181,3244,56300,182.6
1191,3244,54900,178.1
1201,3244,56400,183.0
1211,3244,54800,177.8
1221,3248,56400,183.2
1231,3244,54800,177.8
1241,3244,56400,183.0
1251,3244,55300,179.4
1261,3244,55800,181.0
1271,3116,135300,421.6
1281,3244,55800,181.0
1291,3244,56200,182.3
1301,3244,55000,178.4
1311,3244,56300,182.6
1321,3244,54900,178.1
1331,3248,56400,183.2
1341,3244,54900,178.1
1351,3244,56400,183.0
1361,3244,54800,177.8
1371,3244,58400,189.4
1381,3244,54900,178.1
1391,3248,56400,183.2
1401,3244,55500,180.0
1411,3244,55800,181.0
1421,3244,55500,180.0
1431,3244,55700,180.7
1441,3244,56300,182.6
1451,3244,54800,177.8
1461,3248,56300,182.9
1471,3244,54800,177.8
1481,3136,156800,491.7
1491,3244,54900,178.1
1501,3244,56400,183.0
1511,3244,54900,178.1
1521,3244,56400,183.0
1531,3244,55000,178.4
1541,3244,56200,182.3
1551,3244,55400,179.7
1561,3244,55700,180.7
1571,3244,55600,180.4
1581,3244,55600,180.4
1591,3148,175700,553.1
1601,3244,54900,178.1
1611,3244,56400,183.0
1621,3244,54800,177.8
1631,3244,56400,183.0
1641,3244,54800,177.8
1651,3244,56400,183.0
1661,3244,54800,177.8
1671,3248,56400,183.2
1681,3244,55200,179.1
1691,3136,142100,445.6
1701,3244,55500,180.0
1711,3244,55800,181.0
1721,3244,56000,181.7
1731,3244,55200,179.1
1741,3244,56400,183.0
1751,3244,54800,177.8
1761,3244,56400,183.0
1771,3244,54900,178.1
1781,3244,56300,182.6
1791,3244,54900,178.1
1803,3140,180100,565.5
1811,3244,54900,178.1
1821,3244,56500,183.3
1831,3244,55500,180.0
1841,3244,55800,181.0
1851,3244,55400,179.7
1861,3244,55800,181.0
1871,3244,56200,182.3
1881,3244,55000,178.4
1891,3244,56400,183.0
1901,3244,54800,177.8
1911,3152,181300,571.5
1921,3244,54900,178.1
1931,3244,56400,183.0
1941,3244,54800,177.8
1951,3244,56400,183.0
1961,3244,54800,177.8
1971,3244,56400,183.0
1981,3244,55400,179.7
1991,3244,55800,181.0
2001,3244,55400,179.7
2011,3244,55800,181.0
2021,3244,56400,183.0
2031,3244,54900,178.1
2041,3244,56300,182.6
2051,3244,54800,177.8
2061,3244,56400,183.0
2071,3244,54900,178.1
2081,3244,56300,182.6
2091,3244,54800,177.8
2101,3244,56400,183.0
2111,3244,55100,178.7
2121,3244,58200,188.8
2131,3244,55400,179.7
2141,3244,55800,181.0
2151,3244,55700,180.7
2161,3244,55500,180.0
2171,3244,56400,183.0
2181,3244,54900,178.1
2191,3244,56300,182.6
2201,3244,54900,178.1
2211,3244,56400,183.0
2221,3244,54800,177.8
2231,3136,142400,446.6
2241,3244,54900,178.1
2251,3244,56400,183.0
2261,3244,55300,179.4
2271,3248,55800,181.2
2281,3244,55500,180.0
2291,3244,55800,181.0
2301,3244,56000,181.7
2311,3244,55200,179.1
2321,3248,56300,182.9
2331,3244,54800,177.8
2341,3152,180800,569.9
2351,3244,54800,177.8
2361,3244,56400,183.0
2371,3244,54800,177.8
2381,3244,56400,183.0
2391,3244,54900,178.1
2401,3244,56300,182.6
2411,3244,55400,179.7
2421,3244,55800,181.0
2431,3244,55500,180.0
2441,3136,143300,449.4
2451,3244,56300,182.6
2461,3244,54900,178.1
2471,3248,56400,183.2
2481,3244,54900,178.1
2491,3244,56400,183.0
2501,3244,54800,177.8
2511,3248,56300,182.9
2521,3244,54900,178.1
2531,3248,56400,183.2
2541,3244,54800,177.8
2551,3140,142100,446.2
2561,3244,55500,180.0
2571,3244,55700,180.7
2581,3244,55500,180.0
2591,3244,55700,180.7
2601,3248,56300,182.9
2611,3244,54900,178.1
2621,3244,56300,182.6
2631,3244,54800,177.8
2641,3248,56400,183.2
2651,3244,54800,177.8
2661,3124,157800,493.0
2671,3244,54800,177.8
