ms,mV,µA,p_mW
# meta, firmware=TXSD_1201, trial_index=auto, adv_interval_ms=0
12,3296,55400,182.6
21,3300,55100,181.8
31,3300,55400,182.8
41,3200,142300,455.4
51,3296,66500,219.2
61,3296,56000,184.6
71,3296,54500,179.6
81,3300,56000,184.8
91,3296,54500,179.6
101,3300,56000,184.8
111,3296,54500,179.6
121,3296,56000,184.6
131,3296,54600,180.0
141,3300,56000,184.8
151,3184,177300,564.5
161,3296,55400,182.6
171,3296,55100,181.6
181,3296,55400,182.6
191,3296,56000,184.6
201,3296,54500,179.6
211,3300,56000,184.8
221,3296,54500,179.6
231,3300,56000,184.8
241,3300,54500,179.8
251,3296,66300,218.5
261,3296,54500,179.6
271,3300,56100,185.1
281,3296,54800,180.6
291,3296,55800,183.9
301,3296,55100,181.6
311,3296,55500,182.9
321,3296,55300,182.3
331,3296,55200,181.9
341,3296,56000,184.6
351,3296,65200,214.9
361,3184,151400,482.1
371,3300,54500,179.8
381,3300,56000,184.8
391,3296,54500,179.6
401,3300,56000,184.8
411,3296,54500,179.6
421,3300,56000,184.8
431,3296,54900,181.0
441,3300,55600,183.5
451,3284,55300,181.6
461,3208,144100,462.3
471,3300,55700,183.8
481,3296,54900,181.0
491,3300,56000,184.8
501,3296,54500,179.6
511,3300,56100,185.1
521,3296,54500,179.6
531,3296,56100,184.9
541,3296,54400,179.3
551,3296,66700,219.8
561,3296,54500,179.6
571,3188,153900,490.6
581,3296,55100,181.6
591,3296,55500,182.9
601,3300,55100,181.8
611,3296,55400,182.6
621,3296,55800,183.9
631,3296,54700,180.3
641,3300,56000,184.8
651,3292,64000,210.7
661,3300,56100,185.1
671,3296,54500,179.6
681,3216,184400,593.0
691,3296,54500,179.6
701,3296,56100,184.9
711,3296,54500,179.6
721,3300,56000,184.8
731,3296,55100,181.6
741,3300,55400,182.8
751,3284,55300,181.6
761,3296,55400,182.6
771,3300,56000,184.8
781,3188,150600,480.1
791,3300,56100,185.1
801,3300,54500,179.8
811,3300,56000,184.8
821,3296,54500,179.6
831,3300,56100,185.1
841,3296,54500,179.6
851,3296,67100,221.2
861,3296,54600,180.0
871,3300,56000,184.8
881,3200,142800,457.0
891,3296,55400,182.6
901,3296,55200,181.9
911,3296,55400,182.6
921,3300,56000,184.8
931,3296,54600,180.0
941,3300,56100,185.1
951,3292,62600,206.1
