ms,event,rssi,seq,label,addr,mfd
# meta, firmware=RX_MODEC2P_1202, buf_size=512
173,ADV,-49,106,0,e0:5a:1b:15:c4:ca,0106_0
517,ADV,-55,109,0,e0:5a:1b:15:c4:ca,0109_0
2080,ADV,-50,0,0,e0:5a:1b:15:c4:ca,0000_0
2271,ADV,-48,2,1,e0:5a:1b:15:c4:ca,0002_1
2482,ADV,-52,4,2,e0:5a:1b:15:c4:ca,0004_2
2794,ADV,-48,7,1,e0:5a:1b:15:c4:ca,0007_1
3114,ADV,-50,10,0,e0:5a:1b:15:c4:ca,0010_0
3420,ADV,-49,13,1,e0:5a:1b:15:c4:ca,0013_1
3738,ADV,-49,16,0,e0:5a:1b:15:c4:ca,0016_0
4057,ADV,-48,19,0,e0:5a:1b:15:c4:ca,0019_0
4252,ADV,-51,21,0,e0:5a:1b:15:c4:ca,0021_0
4567,ADV,-50,25,2,e0:5a:1b:15:c4:ca,0025_2
4772,ADV,-49,27,1,e0:5a:1b:15:c4:ca,0027_1
4982,ADV,-48,29,0,e0:5a:1b:15:c4:ca,0029_0
5292,ADV,-50,32,1,e0:5a:1b:15:c4:ca,0032_1
5494,ADV,-49,34,2,e0:5a:1b:15:c4:ca,0034_2
5706,ADV,-47,36,0,e0:5a:1b:15:c4:ca,0036_0
5920,ADV,-51,38,2,e0:5a:1b:15:c4:ca,0038_2
6128,ADV,-48,40,0,e0:5a:1b:15:c4:ca,0040_0
6336,ADV,-51,42,1,e0:5a:1b:15:c4:ca,0042_1
6543,ADV,-48,44,2,e0:5a:1b:15:c4:ca,0044_2
6755,ADV,-48,46,0,e0:5a:1b:15:c4:ca,0046_0
7068,ADV,-47,50,0,e0:5a:1b:15:c4:ca,0050_0
7597,ADV,-49,55,2,e0:5a:1b:15:c4:ca,0055_2
7813,ADV,-47,57,1,e0:5a:1b:15:c4:ca,0057_1
8026,ADV,-51,59,0,e0:5a:1b:15:c4:ca,0059_0
8237,ADV,-47,61,0,e0:5a:1b:15:c4:ca,0061_0
8451,ADV,-48,63,1,e0:5a:1b:15:c4:ca,0063_1
8658,ADV,-50,66,0,e0:5a:1b:15:c4:ca,0066_0
8967,ADV,-49,69,0,e0:5a:1b:15:c4:ca,0069_0
9178,ADV,-47,71,0,e0:5a:1b:15:c4:ca,0071_0
9500,ADV,-49,74,2,e0:5a:1b:15:c4:ca,0074_2
9919,ADV,-49,78,2,e0:5a:1b:15:c4:ca,0078_2
10129,ADV,-51,80,0,e0:5a:1b:15:c4:ca,0080_0
10326,ADV,-49,82,1,e0:5a:1b:15:c4:ca,0082_1
10557,ADV,-50,84,2,e0:5a:1b:15:c4:ca,0084_2
10855,ADV,-51,87,1,e0:5a:1b:15:c4:ca,0087_1
11169,ADV,-53,91,0,e0:5a:1b:15:c4:ca,0091_0
11379,ADV,-48,93,1,e0:5a:1b:15:c4:ca,0093_1
11600,ADV,-52,95,2,e0:5a:1b:15:c4:ca,0095_2
11801,ADV,-49,97,1,e0:5a:1b:15:c4:ca,0097_1
12013,ADV,-49,99,0,e0:5a:1b:15:c4:ca,0099_0
12229,ADV,-50,101,0,e0:5a:1b:15:c4:ca,0101_0
12429,ADV,-44,103,1,e0:5a:1b:15:c4:ca,0103_1
12642,ADV,-50,105,2,e0:5a:1b:15:c4:ca,0105_2
12847,ADV,-46,107,1,e0:5a:1b:15:c4:ca,0107_1
13174,ADV,-47,111,0,e0:5a:1b:15:c4:ca,0111_0
13382,ADV,-47,113,1,e0:5a:1b:15:c4:ca,0113_1
13694,ADV,-49,116,0,e0:5a:1b:15:c4:ca,0116_0
13901,ADV,-47,118,2,e0:5a:1b:15:c4:ca,0118_2
14229,ADV,-48,121,0,e0:5a:1b:15:c4:ca,0121_0
14443,ADV,-50,123,1,e0:5a:1b:15:c4:ca,0123_1
14775,ADV,-51,126,0,e0:5a:1b:15:c4:ca,0126_0
15082,ADV,-52,130,0,e0:5a:1b:15:c4:ca,0130_0
15398,ADV,-47,133,1,e0:5a:1b:15:c4:ca,0133_1
15607,ADV,-49,135,2,e0:5a:1b:15:c4:ca,0135_2
15823,ADV,-50,137,1,e0:5a:1b:15:c4:ca,0137_1
16032,ADV,-47,139,0,e0:5a:1b:15:c4:ca,0139_0
16257,ADV,-51,141,0,e0:5a:1b:15:c4:ca,0141_0
16451,ADV,-47,143,1,e0:5a:1b:15:c4:ca,0143_1
16674,ADV,-48,146,0,e0:5a:1b:15:c4:ca,0146_0
16981,ADV,-50,149,0,e0:5a:1b:15:c4:ca,0149_0
17191,ADV,-48,151,0,e0:5a:1b:15:c4:ca,0151_0
17395,ADV,-50,153,1,e0:5a:1b:15:c4:ca,0153_1
17611,ADV,-50,155,2,e0:5a:1b:15:c4:ca,0155_2
17823,ADV,-48,157,1,e0:5a:1b:15:c4:ca,0157_1
18038,ADV,-51,159,0,e0:5a:1b:15:c4:ca,0159_0
18358,ADV,-50,162,1,e0:5a:1b:15:c4:ca,0162_1
18579,ADV,-47,165,2,e0:5a:1b:15:c4:ca,0165_2
18878,ADV,-48,168,2,e0:5a:1b:15:c4:ca,0168_2
19090,ADV,-51,170,0,e0:5a:1b:15:c4:ca,0170_0
19302,ADV,-47,172,1,e0:5a:1b:15:c4:ca,0172_1
19528,ADV,-48,174,2,e0:5a:1b:15:c4:ca,0174_2
19832,ADV,-48,177,1,e0:5a:1b:15:c4:ca,0177_1
20139,ADV,-51,180,0,e0:5a:1b:15:c4:ca,0180_0
20363,ADV,-47,182,1,e0:5a:1b:15:c4:ca,0182_1
20574,ADV,-49,185,2,e0:5a:1b:15:c4:ca,0185_2
20890,ADV,-51,188,2,e0:5a:1b:15:c4:ca,0188_2
21215,ADV,-53,191,0,e0:5a:1b:15:c4:ca,0191_0
21428,ADV,-47,193,1,e0:5a:1b:15:c4:ca,0193_1
21629,ADV,-49,195,2,e0:5a:1b:15:c4:ca,0195_2
21864,ADV,-48,197,1,e0:5a:1b:15:c4:ca,0197_1
22165,ADV,-48,201,0,e0:5a:1b:15:c4:ca,0201_0
22700,ADV,-51,206,0,e0:5a:1b:15:c4:ca,0206_0
22999,ADV,-51,209,0,e0:5a:1b:15:c4:ca,0209_0
23225,ADV,-47,211,0,e0:5a:1b:15:c4:ca,0211_0
23518,ADV,-48,214,2,e0:5a:1b:15:c4:ca,0214_2
23851,ADV,-50,217,1,e0:5a:1b:15:c4:ca,0217_1
24049,ADV,-51,219,0,e0:5a:1b:15:c4:ca,0219_0
24260,ADV,-48,222,1,e0:5a:1b:15:c4:ca,0222_1
24482,ADV,-49,224,2,e0:5a:1b:15:c4:ca,0224_2
24698,ADV,-48,226,0,e0:5a:1b:15:c4:ca,0226_0
24992,ADV,-48,229,0,e0:5a:1b:15:c4:ca,0229_0
25207,ADV,-51,231,0,e0:5a:1b:15:c4:ca,0231_0
25414,ADV,-51,233,1,e0:5a:1b:15:c4:ca,0233_1
25729,ADV,-50,236,0,e0:5a:1b:15:c4:ca,0236_0
26156,ADV,-53,240,0,e0:5a:1b:15:c4:ca,0240_0
26471,ADV,-50,244,2,e0:5a:1b:15:c4:ca,0244_2
26891,ADV,-50,248,2,e0:5a:1b:15:c4:ca,0248_2
27215,ADV,-50,251,0,e0:5a:1b:15:c4:ca,0251_0
27513,ADV,-50,254,2,e0:5a:1b:15:c4:ca,0254_2
27832,ADV,-52,257,1,e0:5a:1b:15:c4:ca,0257_1
28275,ADV,-50,261,0,e0:5a:1b:15:c4:ca,0261_0
28459,ADV,-48,264,2,e0:5a:1b:15:c4:ca,0264_2
28782,ADV,-48,267,1,e0:5a:1b:15:c4:ca,0267_1
28990,ADV,-51,269,0,e0:5a:1b:15:c4:ca,0269_0
29301,ADV,-49,272,1,e0:5a:1b:15:c4:ca,0272_1
29615,ADV,-51,275,2,e0:5a:1b:15:c4:ca,0275_2
29828,ADV,-48,277,1,e0:5a:1b:15:c4:ca,0277_1
30048,ADV,-50,279,0,e0:5a:1b:15:c4:ca,0279_0
30245,ADV,-48,281,0,e0:5a:1b:15:c4:ca,0281_0
30480,ADV,-47,283,1,e0:5a:1b:15:c4:ca,0283_1
30776,ADV,-48,287,1,e0:5a:1b:15:c4:ca,0287_1
31101,ADV,-50,290,0,e0:5a:1b:15:c4:ca,0290_0
31287,ADV,-47,292,1,e0:5a:1b:15:c4:ca,0292_1
31611,ADV,-47,295,2,e0:5a:1b:15:c4:ca,0295_2
31829,ADV,-48,297,1,e0:5a:1b:15:c4:ca,0297_1
32044,ADV,-47,0,0,e0:5a:1b:15:c4:ca,0000_0
32382,ADV,-48,3,0,e0:5a:1b:15:c4:ca,0003_0
32671,ADV,-48,7,1,e0:5a:1b:15:c4:ca,0007_1
32890,ADV,-50,9,0,e0:5a:1b:15:c4:ca,0009_0
33096,ADV,-47,11,1,e0:5a:1b:15:c4:ca,0011_1
33305,ADV,-50,13,0,e0:5a:1b:15:c4:ca,0013_0
33618,ADV,-50,16,0,e0:5a:1b:15:c4:ca,0016_0
33940,ADV,-50,19,0,e0:5a:1b:15:c4:ca,0019_0
34257,ADV,-51,22,2,e0:5a:1b:15:c4:ca,0022_2
34676,ADV,-50,27,1,e0:5a:1b:15:c4:ca,0027_1
34993,ADV,-50,30,0,e0:5a:1b:15:c4:ca,0030_0
35195,ADV,-47,32,2,e0:5a:1b:15:c4:ca,0032_2
35410,ADV,-49,34,1,e0:5a:1b:15:c4:ca,0034_1
35620,ADV,-52,36,0,e0:5a:1b:15:c4:ca,0036_0
35832,ADV,-48,38,2,e0:5a:1b:15:c4:ca,0038_2
36060,ADV,-50,40,0,e0:5a:1b:15:c4:ca,0040_0
36367,ADV,-50,44,1,e0:5a:1b:15:c4:ca,0044_1
36694,ADV,-48,47,1,e0:5a:1b:15:c4:ca,0047_1
37009,ADV,-47,50,0,e0:5a:1b:15:c4:ca,0050_0
37220,ADV,-49,52,2,e0:5a:1b:15:c4:ca,0052_2
37544,ADV,-50,55,2,e0:5a:1b:15:c4:ca,0055_2
37746,ADV,-48,57,1,e0:5a:1b:15:c4:ca,0057_1
38064,ADV,-47,61,1,e0:5a:1b:15:c4:ca,0061_1
38278,ADV,-49,63,0,e0:5a:1b:15:c4:ca,0063_0
38632,ADV,-50,66,0,e0:5a:1b:15:c4:ca,0066_0
38915,ADV,-50,69,0,e0:5a:1b:15:c4:ca,0069_0
39128,ADV,-47,71,1,e0:5a:1b:15:c4:ca,0071_1
39331,ADV,-49,73,0,e0:5a:1b:15:c4:ca,0073_0
39656,ADV,-50,76,0,e0:5a:1b:15:c4:ca,0076_0
39852,ADV,-47,78,2,e0:5a:1b:15:c4:ca,0078_2
40077,ADV,-49,81,1,e0:5a:1b:15:c4:ca,0081_1
40282,ADV,-51,83,0,e0:5a:1b:15:c4:ca,0083_0
40495,ADV,-49,85,2,e0:5a:1b:15:c4:ca,0085_2
40694,ADV,-50,87,1,e0:5a:1b:15:c4:ca,0087_1
40897,ADV,-48,89,0,e0:5a:1b:15:c4:ca,0089_0
41228,ADV,-47,92,2,e0:5a:1b:15:c4:ca,0092_2
41546,ADV,-49,95,2,e0:5a:1b:15:c4:ca,0095_2
41751,ADV,-50,97,1,e0:5a:1b:15:c4:ca,0097_1
41964,ADV,-47,100,0,e0:5a:1b:15:c4:ca,0100_0
42181,ADV,-49,102,2,e0:5a:1b:15:c4:ca,0102_2
42391,ADV,-47,104,1,e0:5a:1b:15:c4:ca,0104_1
42607,ADV,-49,106,0,e0:5a:1b:15:c4:ca,0106_0
42910,ADV,-50,109,0,e0:5a:1b:15:c4:ca,0109_0
43221,ADV,-49,112,2,e0:5a:1b:15:c4:ca,0112_2
43542,ADV,-50,115,2,e0:5a:1b:15:c4:ca,0115_2
43750,ADV,-47,117,1,e0:5a:1b:15:c4:ca,0117_1
43966,ADV,-49,120,0,e0:5a:1b:15:c4:ca,0120_0
44282,ADV,-49,123,0,e0:5a:1b:15:c4:ca,0123_0
44601,ADV,-50,126,0,e0:5a:1b:15:c4:ca,0126_0
44828,ADV,-48,128,2,e0:5a:1b:15:c4:ca,0128_2
