ms,mV,µA,p_mW
# meta, firmware=TXSD_1201, trial_index=auto, adv_interval_ms=0
12,3304,56100,185.4
21,3300,54900,181.2
31,3300,56500,186.4
41,3304,54900,181.4
51,3300,56500,186.4
61,3300,54900,181.2
71,3216,145800,468.9
81,3300,55000,181.5
91,3304,56500,186.7
101,3300,55300,182.5
111,3300,56200,185.5
121,3300,55400,182.8
131,3300,55900,184.5
141,3300,55600,183.5
151,3304,55700,184.0
161,3300,56200,185.5
171,3212,142000,456.1
181,3224,137100,442.0
191,3300,55000,181.5
201,3300,56500,186.4
211,3300,54900,181.2
221,3304,56500,186.7
231,3300,54900,181.2
241,3300,56500,186.4
251,3300,55400,182.8
261,3304,56100,185.4
271,3300,55500,183.1
281,3300,55800,184.1
291,3300,122600,404.6
301,3304,55600,183.7
311,3300,56200,185.5
321,3300,54900,181.2
331,3304,56500,186.7
341,3300,54900,181.2
351,3304,56500,186.7
361,3300,54900,181.2
371,3300,56500,186.4
381,3300,54900,181.2
391,3212,57700,185.3
401,3300,55400,182.8
411,3300,56100,185.1
421,3300,55500,183.1
431,3300,55900,184.5
441,3300,55500,183.1
451,3300,55500,183.1
461,3300,56300,185.8
471,3300,54900,181.2
481,3300,56500,186.4
491,3208,142100,455.9
501,3304,56500,186.7
511,3300,55000,181.5
521,3304,56500,186.7
531,3300,55000,181.5
541,3300,56500,186.4
551,3300,55500,183.1
561,3300,56000,184.8
571,3300,55600,183.5
581,3300,55800,184.1
591,3300,55500,183.1
601,3220,178300,574.1
611,3300,56300,185.8
621,3300,55000,181.5
631,3304,56500,186.7
641,3300,54900,181.2
651,3304,56500,186.7
661,3300,55000,181.5
671,3300,56600,186.8
681,3300,55000,181.5
691,3304,56500,186.7
701,3208,143300,459.7
711,3300,56000,184.8
721,3300,55500,183.1
731,3300,55800,184.1
741,3300,55500,183.1
751,3300,55400,182.8
761,3300,56300,185.8
771,3300,54900,181.2
781,3300,56400,186.1
791,3300,55000,181.5
801,3212,146000,469.0
811,3300,54900,181.2
821,3304,56500,186.7
831,3300,54900,181.2
841,3300,56500,186.4
851,3300,55400,182.8
861,3304,56000,185.0
871,3300,55500,183.1
881,3300,55900,184.5
891,3300,55600,183.5
901,3212,143300,460.3
911,3300,56300,185.8
921,3300,54900,181.2
931,3300,56400,186.1
941,3300,54900,181.2
951,3300,56500,186.4
961,3300,54900,181.2
971,3300,56500,186.4
981,3300,54900,181.2
991,3300,56500,186.4
1001,3300,55500,183.1
1011,3220,161300,519.4
1021,3300,55500,183.1
1031,3304,55800,184.4
1041,3300,55600,183.5
1051,3300,55300,182.5
1061,3300,56300,185.8
1071,3300,55000,181.5
1081,3300,56500,186.4
1091,3300,54900,181.2
1101,3304,56500,186.7
1111,3300,55000,181.5
1121,3220,137800,443.7
1131,3300,54900,181.2
1141,3300,56500,186.4
1151,3300,55500,183.1
1161,3304,56000,185.0
1171,3300,55800,184.1
1181,3304,55800,184.4
1191,3300,55600,183.5
1201,3300,55200,182.2
1211,3304,56400,186.3
