ms,event,rssi,seq,label,addr,mfd
# meta, firmware=RX_MODEC2P_1202, buf_size=512
119,ADV,-58,25,2,e0:5a:1b:15:c4:ca,0025_2
335,ADV,-49,27,1,e0:5a:1b:15:c4:ca,0027_1
545,ADV,-65,29,0,e0:5a:1b:15:c4:ca,0029_0
750,ADV,-49,31,0,e0:5a:1b:15:c4:ca,0031_0
964,ADV,-53,33,1,e0:5a:1b:15:c4:ca,0033_1
1165,ADV,-58,35,2,e0:5a:1b:15:c4:ca,0035_2
1491,ADV,-64,38,2,e0:5a:1b:15:c4:ca,0038_2
1686,ADV,-54,41,0,e0:5a:1b:15:c4:ca,0041_0
1791,ADV,-60,42,1,e0:5a:1b:15:c4:ca,0042_1
2014,ADV,-50,44,2,e0:5a:1b:15:c4:ca,0044_2
2223,ADV,-57,46,0,e0:5a:1b:15:c4:ca,0046_0
2424,ADV,-50,48,2,e0:5a:1b:15:c4:ca,0048_2
2528,ADV,-59,49,0,e0:5a:1b:15:c4:ca,0049_0
2739,ADV,-50,51,0,e0:5a:1b:15:c4:ca,0051_0
3169,ADV,-53,55,2,e0:5a:1b:15:c4:ca,0055_2
3378,ADV,-50,57,1,e0:5a:1b:15:c4:ca,0057_1
3699,ADV,-59,61,0,e0:5a:1b:15:c4:ca,0061_0
3906,ADV,-52,63,1,e0:5a:1b:15:c4:ca,0063_1
4219,ADV,-51,66,0,e0:5a:1b:15:c4:ca,0066_0
4431,ADV,-51,68,2,e0:5a:1b:15:c4:ca,0068_2
4650,ADV,-55,70,0,e0:5a:1b:15:c4:ca,0070_0
4762,ADV,-64,71,0,e0:5a:1b:15:c4:ca,0071_0
4971,ADV,-52,73,1,e0:5a:1b:15:c4:ca,0073_1
5082,ADV,-61,74,2,e0:5a:1b:15:c4:ca,0074_2
5287,ADV,-52,77,1,e0:5a:1b:15:c4:ca,0077_1
5505,ADV,-62,79,0,e0:5a:1b:15:c4:ca,0079_0
5715,ADV,-54,81,0,e0:5a:1b:15:c4:ca,0081_0
5937,ADV,-51,83,1,e0:5a:1b:15:c4:ca,0083_1
6016,ADV,-52,84,2,e0:5a:1b:15:c4:ca,0084_2
6224,ADV,-52,86,0,e0:5a:1b:15:c4:ca,0086_0
6336,ADV,-53,87,1,e0:5a:1b:15:c4:ca,0087_1
6648,ADV,-50,90,0,e0:5a:1b:15:c4:ca,0090_0
6856,ADV,-62,92,1,e0:5a:1b:15:c4:ca,0092_1
7063,ADV,-53,94,2,e0:5a:1b:15:c4:ca,0094_2
7168,ADV,-63,95,2,e0:5a:1b:15:c4:ca,0095_2
7368,ADV,-52,97,1,e0:5a:1b:15:c4:ca,0097_1
7585,ADV,-50,100,0,e0:5a:1b:15:c4:ca,0100_0
8001,ADV,-51,103,1,e0:5a:1b:15:c4:ca,0103_1
8205,ADV,-60,105,2,e0:5a:1b:15:c4:ca,0105_2
8418,ADV,-52,107,1,e0:5a:1b:15:c4:ca,0107_1
8640,ADV,-51,109,0,e0:5a:1b:15:c4:ca,0109_0
8845,ADV,-51,111,0,e0:5a:1b:15:c4:ca,0111_0
8949,ADV,-61,113,1,e0:5a:1b:15:c4:ca,0113_1
9156,ADV,-51,115,2,e0:5a:1b:15:c4:ca,0115_2
9363,ADV,-51,117,1,e0:5a:1b:15:c4:ca,0117_1
9571,ADV,-61,119,0,e0:5a:1b:15:c4:ca,0119_0
9673,ADV,-51,120,0,e0:5a:1b:15:c4:ca,0120_0
9891,ADV,-63,123,1,e0:5a:1b:15:c4:ca,0123_1
10203,ADV,-52,126,0,e0:5a:1b:15:c4:ca,0126_0
10420,ADV,-51,128,2,e0:5a:1b:15:c4:ca,0128_2
10637,ADV,-62,130,0,e0:5a:1b:15:c4:ca,0130_0
11046,ADV,-63,134,2,e0:5a:1b:15:c4:ca,0134_2
11147,ADV,-50,135,2,e0:5a:1b:15:c4:ca,0135_2
11375,ADV,-63,137,1,e0:5a:1b:15:c4:ca,0137_1
11677,ADV,-63,140,0,e0:5a:1b:15:c4:ca,0140_0
11886,ADV,-54,142,1,e0:5a:1b:15:c4:ca,0142_1
12091,ADV,-52,145,2,e0:5a:1b:15:c4:ca,0145_2
12303,ADV,-52,147,1,e0:5a:1b:15:c4:ca,0147_1
12529,ADV,-51,149,0,e0:5a:1b:15:c4:ca,0149_0
12734,ADV,-61,151,0,e0:5a:1b:15:c4:ca,0151_0
12938,ADV,-52,153,1,e0:5a:1b:15:c4:ca,0153_1
13147,ADV,-62,155,2,e0:5a:1b:15:c4:ca,0155_2
13348,ADV,-52,157,1,e0:5a:1b:15:c4:ca,0157_1
13668,ADV,-52,160,0,e0:5a:1b:15:c4:ca,0160_0
13879,ADV,-50,162,1,e0:5a:1b:15:c4:ca,0162_1
13983,ADV,-52,164,2,e0:5a:1b:15:c4:ca,0164_2
14294,ADV,-51,167,1,e0:5a:1b:15:c4:ca,0167_1
14612,ADV,-51,170,0,e0:5a:1b:15:c4:ca,0170_0
