ms,mV,µA,p_mW
# meta, firmware=TXSD_1201, trial_index=auto, adv_interval_ms=0
11,3284,55200,181.3
20,3284,55600,182.6
30,3284,55300,181.6
40,3284,55500,182.3
50,3284,56100,184.2
60,3280,54700,179.4
70,3284,56200,184.6
80,3140,66100,207.6
90,3284,56200,184.6
100,3168,138600,439.1
110,3284,56200,184.6
120,3284,54600,179.3
130,3284,56200,184.6
140,3284,54800,180.0
150,3284,55600,182.6
160,3284,55200,181.3
170,3284,55500,182.3
180,3216,55600,178.8
190,3284,55400,181.9
200,3280,100200,328.7
210,3280,54700,179.4
220,3284,56200,184.6
230,3284,54700,179.6
240,3284,56100,184.2
250,3280,54600,179.1
260,3284,56200,184.6
270,3280,54600,179.1
280,3284,56000,183.9
290,3280,55000,180.4
300,3284,55600,182.6
310,3112,130900,407.4
320,3284,55500,182.3
330,3284,55800,183.2
340,3284,55000,180.6
350,3284,56200,184.6
360,3284,54600,179.3
370,3284,56200,184.6
380,3132,60200,188.5
390,3284,56200,184.6
400,3284,54600,179.3
410,3172,175600,557.0
420,3284,54600,179.3
430,3284,55700,182.9
440,3284,55100,180.9
450,3284,55500,182.3
460,3284,55300,181.6
470,3284,55500,182.3
480,3228,56200,181.4
490,3280,54800,179.7
500,3284,56100,184.2
510,3168,142000,449.9
520,3284,56200,184.6
530,3280,54600,179.1
540,3284,56200,184.6
550,3284,54600,179.3
560,3284,56200,184.6
570,3284,54600,179.3
580,3280,55700,182.7
590,3284,55200,181.3
600,3284,55500,182.3
610,3280,79100,259.4
620,3284,55600,182.6
630,3284,56100,184.2
640,3284,54700,179.6
650,3284,56200,184.6
660,3284,54700,179.6
670,3284,56200,184.6
680,3132,56400,176.6
690,3284,56200,184.6
700,3284,54700,179.6
710,3284,56100,184.2
720,3124,137400,429.2
730,3284,55600,182.6
740,3284,55200,181.3
750,3284,55500,182.3
760,3284,55500,182.3
770,3284,55300,181.6
780,3236,56400,182.5
790,3284,54600,179.3
800,3284,56100,184.2
810,3280,54600,179.1
820,3172,178600,566.5
830,3284,54700,179.6
840,3284,56200,184.6
850,3284,54600,179.3
860,3284,55800,183.2
870,3280,55100,180.7
880,3284,55600,182.6
890,3284,55300,181.6
900,3284,55600,182.6
910,3284,55900,183.6
920,3284,54800,180.0
930,3172,155800,494.2
940,3280,54700,179.4
950,3284,56200,184.6
960,3284,54700,179.6
970,3284,56200,184.6
980,3284,54800,180.0
990,3284,56100,184.2
1000,3284,54600,179.3
1010,3284,55600,182.6
1020,3284,55200,181.3
1030,3180,178900,568.9
1040,3284,55300,181.6
1050,3280,55600,182.4
1060,3284,56100,184.2
1070,3284,54700,179.6
1080,3252,56300,183.1
1090,3284,54700,179.6
1100,3284,56200,184.6
1110,3284,54600,179.3
1120,3284,56200,184.6
1130,3280,54600,179.1
1140,3176,144400,458.6
1150,3284,54800,180.0
1160,3284,55600,182.6
1170,3284,55200,181.3
1180,3284,55600,182.6
1190,3284,55400,181.9
1200,3284,55400,181.9
1210,3284,56200,184.6
1220,3284,54700,179.6
1230,3284,56200,184.6
1240,3284,56800,186.5
1250,3284,56300,184.9
1260,3284,54700,179.6
1270,3284,56200,184.6
1280,3284,54700,179.6
1290,3284,56000,183.9
1300,3284,55100,180.9
1310,3284,55500,182.3
1320,3284,55300,181.6
1330,3284,55600,182.6
1340,3284,55700,182.9
1350,3284,55300,181.6
1360,3284,56200,184.6
1370,3284,54600,179.3
1380,3284,56300,184.9
1390,3280,54600,179.1
1400,3284,56300,184.9
1410,3284,54700,179.6
1420,3284,56200,184.6
1430,3284,54600,179.3
1440,3284,55800,183.2
1450,3176,147600,468.8
1460,3284,55600,182.6
1470,3284,55300,181.6
1480,3284,55800,183.2
1490,3284,56000,183.9
1500,3280,54800,179.7
1510,3284,56200,184.6
1520,3284,54600,179.3
1530,3284,56200,184.6
1540,3284,54700,179.6
1550,3284,56200,184.6
1560,3280,54800,179.7
1570,3284,56200,184.6
1580,3284,54700,179.6
1590,3284,55600,182.6
1600,3284,55200,181.3
1610,3284,55600,182.6
1620,3284,55300,181.6
1630,3284,55600,182.6
1640,3284,56100,184.2
1650,3280,54700,179.4
1660,3176,178900,568.2
1670,3284,54700,179.6
1680,3284,56200,184.6
1690,3280,54700,179.4
1700,3284,56200,184.6
1710,3284,54700,179.6
1720,3284,56100,184.2
1730,3284,54900,180.3
1740,3284,55500,182.3
1750,3284,55200,181.3
1760,3168,155500,492.6
1770,3284,55600,182.6
1780,3284,55500,182.3
1790,3284,56200,184.6
