ms,mV,µA,p_mW
# meta, firmware=TXSD_1201, trial_index=auto, adv_interval_ms=0
12,3280,54900,180.1
21,3284,69100,226.9
31,3284,55200,181.3
41,3280,151900,498.2
51,3280,55500,182.0
61,3280,55700,182.7
71,3280,55500,182.0
81,3280,54900,180.1
91,3284,56300,184.9
101,3280,54800,179.7
111,3284,56400,185.2
121,3268,59000,192.8
131,3284,56300,184.9
141,3280,54800,179.7
151,3164,145600,460.7
161,3280,54900,180.1
171,3284,56400,185.2
181,3284,55100,180.9
191,3284,55800,183.2
201,3284,55400,181.9
211,3284,55700,182.9
221,3280,55500,182.0
231,3280,55000,180.4
241,3284,56400,185.2
251,3280,54900,180.1
261,3164,176800,559.4
271,3280,54800,179.7
281,3284,56400,185.2
291,3284,54800,180.0
301,3284,56400,185.2
311,3280,54900,180.1
321,3284,69000,226.6
331,3280,54900,180.1
341,3280,55800,183.0
351,3284,55400,181.9
361,3284,55800,183.2
371,3280,55500,182.0
381,3280,54900,180.1
391,3284,56400,185.2
401,3280,54900,180.1
411,3284,56300,184.9
421,3272,60300,197.3
431,3284,56300,184.9
441,3280,54800,179.7
451,3284,56300,184.9
461,3280,54800,179.7
471,3168,136400,432.1
481,3280,54900,180.1
491,3280,55800,183.0
501,3284,55400,181.9
511,3284,55700,182.9
521,3284,55400,181.9
531,3280,55000,180.4
541,3284,56300,184.9
551,3280,54800,179.7
561,3284,56300,184.9
571,3280,54800,179.7
581,3172,136200,432.0
591,3280,54800,179.7
601,3284,56400,185.2
611,3280,54900,180.1
621,3284,68900,226.3
631,3280,54900,180.1
641,3284,55900,183.6
651,3280,55400,181.7
661,3284,55700,182.9
671,3280,55400,181.7
681,3268,161500,527.8
691,3280,56200,184.3
701,3280,54900,180.1
711,3284,56400,185.2
721,3272,61400,200.9
731,3284,56400,185.2
741,3280,54800,179.7
751,3284,56400,185.2
761,3280,54900,180.1
771,3284,56400,185.2
781,3280,54800,179.7
791,3164,143300,453.4
801,3280,55400,181.7
811,3284,55800,183.2
821,3280,55400,181.7
831,3284,55300,181.6
841,3284,56200,184.6
851,3280,54800,179.7
861,3284,56500,185.5
871,3280,54800,179.7
881,3284,56400,185.2
891,3280,54900,180.1
901,3144,151100,475.1
911,3280,54800,179.7
921,3284,68400,224.6
931,3280,54800,179.7
941,3284,56000,183.9
951,3284,55400,181.9
961,3280,55800,183.0
971,3280,55500,182.0
981,3280,55500,182.0
991,3280,56100,184.0
1001,3256,162500,529.1
1011,3284,56400,185.2
1021,3276,62400,204.4
1031,3280,56300,184.7
1041,3280,54800,179.7
1051,3284,56500,185.5
1061,3280,54800,179.7
1071,3284,56400,185.2
1081,3280,54800,179.7
1091,3284,56000,183.9
1101,3280,55300,181.4
1111,3172,181100,574.4
1121,3280,55400,181.7
1131,3284,55600,182.6
1141,3284,55900,183.6
1151,3280,54900,180.1
1161,3284,56400,185.2
1171,3280,54900,180.1
1181,3280,56400,185.0
1191,3280,54800,179.7
1201,3284,56400,185.2
1211,3280,54800,179.7
1221,3120,99500,310.4
1231,3280,54800,179.7
1241,3284,56200,184.6
1251,3284,55300,181.6
1261,3280,55800,183.0
1271,3280,55400,181.7
1281,3284,55700,182.9
1291,3284,55800,183.2
1301,3280,55000,180.4
1311,3280,56400,185.0
1321,3152,162100,510.9
1331,3284,56400,185.2
1341,3280,54900,180.1
1351,3284,56400,185.2
1361,3280,54900,180.1
1371,3284,56400,185.2
1381,3280,54800,179.7
1391,3284,56200,184.6
1401,3280,55100,180.7
1411,3280,55800,183.0
1421,3280,55400,181.7
1431,3176,181600,576.8
1441,3284,55600,182.6
1451,3280,54900,180.1
1461,3284,56400,185.2
1471,3280,54800,179.7
1481,3284,56400,185.2
1491,3280,54900,180.1
1501,3284,56400,185.2
1511,3280,54900,180.1
1521,3284,67300,221.0
1531,3164,143200,453.1
1541,3284,56400,185.2
1551,3280,55100,180.7
1561,3280,55800,183.0
1571,3280,55400,181.7
1581,3280,55700,182.7
1591,3280,55400,181.7
1601,3280,54900,180.1
1611,3284,56200,184.6
1621,3276,63800,209.0
1631,3284,56400,185.2
1641,3172,182900,580.2
1651,3284,56400,185.2
1661,3280,54800,179.7
1671,3284,56400,185.2
1681,3280,54800,179.7
1691,3284,56300,184.9
1701,3280,54900,180.1
1711,3284,55800,183.2
1721,3280,55500,182.0
1731,3284,55800,183.2
1741,3280,61800,202.7
1751,3280,55000,180.4
1761,3284,56300,184.9
1771,3284,54800,180.0
1781,3284,56400,185.2
1791,3280,54800,179.7
1803,3284,56400,185.2
1811,3280,54800,179.7
1821,3284,67200,220.7
1831,3280,54800,179.7
1841,3284,56300,184.9
1851,3124,138100,431.4
1861,3284,55900,183.6
1871,3280,55500,182.0
1881,3280,55800,183.0
1891,3284,55400,181.9
1901,3280,55000,180.4
1911,3284,56300,184.9
1921,3276,64400,211.0
1931,3280,56300,184.7
1941,3280,54900,180.1
1951,3284,56400,185.2
1961,3156,169700,535.6
1971,3284,56300,184.9
1981,3280,54800,179.7
1991,3284,56300,184.9
2001,3280,54800,179.7
2011,3284,55800,183.2
2021,3280,55400,181.7
2031,3284,55800,183.2
2041,3284,55400,181.9
2051,3280,55100,180.7
2061,3280,56200,184.3
2071,3280,54900,180.1
2081,3284,56400,185.2
2091,3280,54900,180.1
2101,3284,56400,185.2
2111,3280,54900,180.1
2121,3284,67000,220.0
2131,3280,54800,179.7
2141,3284,56400,185.2
2151,3280,54800,179.7
2161,3280,55900,183.4
2171,3160,142400,450.0
2181,3280,55800,183.0
2191,3284,55500,182.3
2201,3284,55200,181.3
2211,3280,56200,184.3
2221,3280,65200,213.9
2231,3284,56400,185.2
2241,3280,54900,180.1
2251,3284,56400,185.2
