trial,trial_idx,interval_ms_est,start_ms,end_ms,duration_ms,rx_raw,rx_unique,pdr_raw,pdr_unique,interval_bucket_ms,interval_bucket_ms
trial_066_on.csv,66,99.16,0.0,29747.0,29747.0,231,231,0.77,0.77,100,100
trial_067_on.csv,67,99.02,29747.0,59453.0,29706.0,248,248,0.8267,0.8267,100,100
trial_068_on.csv,68,99.19,59453.0,89209.0,29756.0,241,241,0.8033,0.8033,100,100
trial_069_on.csv,69,99.05,89209.0,118923.0,29714.0,243,243,0.81,0.81,100,100
trial_070_on.csv,70,99.23,118923.0,148692.0,29769.0,250,250,0.8333,0.8333,100,100
trial_071_on.csv,71,99.08,148692.0,178416.0,29724.0,227,227,0.7567,0.7567,100,100
trial_072_on.csv,72,99.26,178416.0,208193.0,29777.0,236,236,0.7867,0.7867,100,100
trial_073_on.csv,73,99.09,208193.0,237919.0,29726.0,232,232,0.7733,0.7733,100,100
trial_074_on.csv,74,99.28,237919.0,267702.0,29783.0,220,220,0.7333,0.7333,100,100
trial_075_on.csv,75,377.78,267702.0,381036.0,113334.0,891,273,2.97,0.91,500,500
trial_076_on.csv,76,495.29,381036.0,529623.0,148587.0,1190,297,3.9667,0.99,500,500
trial_077_on.csv,77,495.12,529623.0,678160.0,148537.0,1240,297,4.1333,0.99,500,500
trial_078_on.csv,78,496.62,678160.0,827147.0,148987.0,1204,298,4.0133,0.9933,500,500
trial_079_on.csv,79,496.46,827147.0,976086.0,148939.0,1257,298,4.19,0.9933,500,500
trial_080_on.csv,80,496.28,976086.0,1124971.0,148885.0,1240,298,4.1333,0.9933,500,500
trial_081_on.csv,81,496.12,1124971.0,1273808.0,148837.0,1240,299,4.1333,0.9967,500,500
trial_082_on.csv,82,495.95,1273808.0,1422594.0,148786.0,1218,298,4.06,0.9933,500,500
trial_083_on.csv,83,495.78,1422594.0,1571329.0,148735.0,1240,298,4.1333,0.9933,500,500
trial_084_on.csv,84,495.59,1571329.0,1720005.0,148676.0,1213,298,4.0433,0.9933,500,500
trial_085_on.csv,85,923.75,1720005.0,1997131.0,277126.0,2335,299,7.7833,0.9967,1000,1000
trial_086_on.csv,86,990.27,1997131.0,2294213.0,297082.0,2477,298,8.2567,0.9933,1000,1000
trial_087_on.csv,87,990.09,2294213.0,2591239.0,297026.0,2456,298,8.1867,0.9933,1000,1000
trial_088_on.csv,88,993.24,2591239.0,2889210.0,297971.0,2372,299,7.9067,0.9967,1000,1000
trial_089_on.csv,89,993.02,2889210.0,3187117.0,297907.0,2451,299,8.17,0.9967,1000,1000
trial_090_on.csv,90,992.86,3187117.0,3484974.0,297857.0,2453,299,8.1767,0.9967,1000,1000
trial_091_on.csv,91,992.66,3484974.0,3782773.0,297799.0,2441,298,8.1367,0.9933,1000,1000
trial_092_on.csv,92,992.48,3782773.0,4080517.0,297744.0,2432,298,8.1067,0.9933,1000,1000
trial_093_on.csv,93,992.29,4080517.0,4378204.0,297687.0,2418,299,8.06,0.9967,1000,1000
trial_094_on.csv,94,992.09,4378204.0,4675832.0,297628.0,2405,299,8.0167,0.9967,1000,1000
trial_095_on.csv,95,1941.94,4675832.0,5258415.0,582583.0,4770,299,15.9,0.9967,2000,2000
trial_096_on.csv,96,1981.74,5258415.0,5852936.0,594521.0,4636,299,15.4533,0.9967,2000,2000
trial_097_on.csv,97,1981.53,5852936.0,6447394.0,594458.0,4976,298,16.5867,0.9933,2000,2000
trial_098_on.csv,98,1981.33,6447394.0,7041792.0,594398.0,4960,298,16.5333,0.9933,2000,2000
trial_099_on.csv,99,1981.17,7041792.0,7636142.0,594350.0,4821,298,16.07,0.9933,2000,2000
trial_100_on.csv,100,1980.94,7636142.0,8230424.0,594282.0,4841,298,16.1367,0.9933,2000,2000
trial_101_on.csv,101,1980.73,8230424.0,8824644.0,594220.0,4829,299,16.0967,0.9967,2000,2000
trial_102_on.csv,102,1980.53,8824644.0,9418802.0,594158.0,4921,298,16.4033,0.9933,2000,2000
trial_103_on.csv,103,1980.31,9418802.0,10012894.0,594092.0,4986,298,16.62,0.9933,2000,2000
