ms,event,rssi,seq,label,addr,mfd
# meta, firmware=RX_MODEC2P_1202, buf_size=512
79,ADV,-49,1,1,e0:5a:1b:15:c4:ca,0001_1
184,ADV,-51,1,1,e0:5a:1b:15:c4:ca,0001_1
315,ADV,-50,1,1,e0:5a:1b:15:c4:ca,0001_1
609,ADV,-51,2,1,e0:5a:1b:15:c4:ca,0002_1
711,ADV,-49,2,1,e0:5a:1b:15:c4:ca,0002_1
811,ADV,-50,2,1,e0:5a:1b:15:c4:ca,0002_1
927,ADV,-50,3,1,e0:5a:1b:15:c4:ca,0003_1
1030,ADV,-49,3,1,e0:5a:1b:15:c4:ca,0003_1
1131,ADV,-50,3,1,e0:5a:1b:15:c4:ca,0003_1
1243,ADV,-49,3,1,e0:5a:1b:15:c4:ca,0003_1
1356,ADV,-53,3,1,e0:5a:1b:15:c4:ca,0003_1
1449,ADV,-49,4,1,e0:5a:1b:15:c4:ca,0004_1
1557,ADV,-49,4,1,e0:5a:1b:15:c4:ca,0004_1
1657,ADV,-51,4,1,e0:5a:1b:15:c4:ca,0004_1
1759,ADV,-50,4,1,e0:5a:1b:15:c4:ca,0004_1
1865,ADV,-49,4,1,e0:5a:1b:15:c4:ca,0004_1
1984,ADV,-51,5,1,e0:5a:1b:15:c4:ca,0005_1
2084,ADV,-50,5,1,e0:5a:1b:15:c4:ca,0005_1
2184,ADV,-49,5,1,e0:5a:1b:15:c4:ca,0005_1
2412,ADV,-51,6,1,e0:5a:1b:15:c4:ca,0006_1
2498,ADV,-48,6,1,e0:5a:1b:15:c4:ca,0006_1
2610,ADV,-49,6,1,e0:5a:1b:15:c4:ca,0006_1
2711,ADV,-51,6,1,e0:5a:1b:15:c4:ca,0006_1
2815,ADV,-50,6,1,e0:5a:1b:15:c4:ca,0006_1
2913,ADV,-49,7,1,e0:5a:1b:15:c4:ca,0007_1
3025,ADV,-51,7,1,e0:5a:1b:15:c4:ca,0007_1
3134,ADV,-49,7,1,e0:5a:1b:15:c4:ca,0007_1
3232,ADV,-51,7,1,e0:5a:1b:15:c4:ca,0007_1
3455,ADV,-50,8,1,e0:5a:1b:15:c4:ca,0008_1
3663,ADV,-50,8,1,e0:5a:1b:15:c4:ca,0008_1
3776,ADV,-53,8,1,e0:5a:1b:15:c4:ca,0008_1
3877,ADV,-49,9,1,e0:5a:1b:15:c4:ca,0009_1
3976,ADV,-50,9,1,e0:5a:1b:15:c4:ca,0009_1
4191,ADV,-50,9,1,e0:5a:1b:15:c4:ca,0009_1
4314,ADV,-49,9,1,e0:5a:1b:15:c4:ca,0009_1
4397,ADV,-50,10,1,e0:5a:1b:15:c4:ca,0010_1
4508,ADV,-50,10,1,e0:5a:1b:15:c4:ca,0010_1
4605,ADV,-48,10,1,e0:5a:1b:15:c4:ca,0010_1
4713,ADV,-51,10,1,e0:5a:1b:15:c4:ca,0010_1
4821,ADV,-50,10,1,e0:5a:1b:15:c4:ca,0010_1
4921,ADV,-49,11,1,e0:5a:1b:15:c4:ca,0011_1
5034,ADV,-49,11,1,e0:5a:1b:15:c4:ca,0011_1
5450,ADV,-50,12,1,e0:5a:1b:15:c4:ca,0012_1
5554,ADV,-51,12,1,e0:5a:1b:15:c4:ca,0012_1
5656,ADV,-50,12,1,e0:5a:1b:15:c4:ca,0012_1
5763,ADV,-49,12,1,e0:5a:1b:15:c4:ca,0012_1
5867,ADV,-50,12,1,e0:5a:1b:15:c4:ca,0012_1
5967,ADV,-49,13,1,e0:5a:1b:15:c4:ca,0013_1
6075,ADV,-50,13,1,e0:5a:1b:15:c4:ca,0013_1
6184,ADV,-50,13,1,e0:5a:1b:15:c4:ca,0013_1
6316,ADV,-50,13,1,e0:5a:1b:15:c4:ca,0013_1
6498,ADV,-49,14,1,e0:5a:1b:15:c4:ca,0014_1
6615,ADV,-51,14,1,e0:5a:1b:15:c4:ca,0014_1
6714,ADV,-49,14,1,e0:5a:1b:15:c4:ca,0014_1
6813,ADV,-49,14,1,e0:5a:1b:15:c4:ca,0014_1
7022,ADV,-49,15,1,e0:5a:1b:15:c4:ca,0015_1
7128,ADV,-51,15,1,e0:5a:1b:15:c4:ca,0015_1
7234,ADV,-50,15,1,e0:5a:1b:15:c4:ca,0015_1
7441,ADV,-49,16,1,e0:5a:1b:15:c4:ca,0016_1
7550,ADV,-50,16,1,e0:5a:1b:15:c4:ca,0016_1
7652,ADV,-53,16,1,e0:5a:1b:15:c4:ca,0016_1
7758,ADV,-49,16,1,e0:5a:1b:15:c4:ca,0016_1
7859,ADV,-50,16,1,e0:5a:1b:15:c4:ca,0016_1
7973,ADV,-51,17,1,e0:5a:1b:15:c4:ca,0017_1
8071,ADV,-48,17,1,e0:5a:1b:15:c4:ca,0017_1
8184,ADV,-49,17,1,e0:5a:1b:15:c4:ca,0017_1
8394,ADV,-51,18,1,e0:5a:1b:15:c4:ca,0018_1
8514,ADV,-49,18,1,e0:5a:1b:15:c4:ca,0018_1
8600,ADV,-50,18,1,e0:5a:1b:15:c4:ca,0018_1
8714,ADV,-51,18,1,e0:5a:1b:15:c4:ca,0018_1
8831,ADV,-48,18,1,e0:5a:1b:15:c4:ca,0018_1
