ms,event,rssi,seq,label,addr,mfd
# meta, firmware=RX_MODEC2P_1210, buf_size=512
35,ADV,-45,1,1,e0:5a:1b:15:c4:ca,0001_1
243,ADV,-53,2,1,e0:5a:1b:15:c4:ca,0002_1
350,ADV,-45,2,1,e0:5a:1b:15:c4:ca,0002_1
452,ADV,-49,2,1,e0:5a:1b:15:c4:ca,0002_1
673,ADV,-51,2,1,e0:5a:1b:15:c4:ca,0002_1
773,ADV,-44,3,1,e0:5a:1b:15:c4:ca,0003_1
874,ADV,-49,3,1,e0:5a:1b:15:c4:ca,0003_1
975,ADV,-51,3,1,e0:5a:1b:15:c4:ca,0003_1
1091,ADV,-45,3,1,e0:5a:1b:15:c4:ca,0003_1
1190,ADV,-49,3,1,e0:5a:1b:15:c4:ca,0003_1
1298,ADV,-51,4,1,e0:5a:1b:15:c4:ca,0004_1
1402,ADV,-45,4,1,e0:5a:1b:15:c4:ca,0004_1
1609,ADV,-53,4,1,e0:5a:1b:15:c4:ca,0004_1
1713,ADV,-45,4,1,e0:5a:1b:15:c4:ca,0004_1
1926,ADV,-48,5,1,e0:5a:1b:15:c4:ca,0005_1
2033,ADV,-51,5,1,e0:5a:1b:15:c4:ca,0005_1
2140,ADV,-44,5,1,e0:5a:1b:15:c4:ca,0005_1
2237,ADV,-49,6,1,e0:5a:1b:15:c4:ca,0006_1
2355,ADV,-51,6,1,e0:5a:1b:15:c4:ca,0006_1
2451,ADV,-45,6,1,e0:5a:1b:15:c4:ca,0006_1
2556,ADV,-48,6,1,e0:5a:1b:15:c4:ca,0006_1
2773,ADV,-51,7,1,e0:5a:1b:15:c4:ca,0007_1
2880,ADV,-44,7,1,e0:5a:1b:15:c4:ca,0007_1
2982,ADV,-49,7,1,e0:5a:1b:15:c4:ca,0007_1
3081,ADV,-51,7,1,e0:5a:1b:15:c4:ca,0007_1
3184,ADV,-45,7,1,e0:5a:1b:15:c4:ca,0007_1
3294,ADV,-48,8,1,e0:5a:1b:15:c4:ca,0008_1
3412,ADV,-51,8,1,e0:5a:1b:15:c4:ca,0008_1
3504,ADV,-45,8,1,e0:5a:1b:15:c4:ca,0008_1
3601,ADV,-48,8,1,e0:5a:1b:15:c4:ca,0008_1
3705,ADV,-54,8,1,e0:5a:1b:15:c4:ca,0008_1
3813,ADV,-44,9,1,e0:5a:1b:15:c4:ca,0009_1
3907,ADV,-49,9,1,e0:5a:1b:15:c4:ca,0009_1
4120,ADV,-51,9,1,e0:5a:1b:15:c4:ca,0009_1
4222,ADV,-43,10,1,e0:5a:1b:15:c4:ca,0010_1
4325,ADV,-49,10,1,e0:5a:1b:15:c4:ca,0010_1
