ms,mV,µA,p_mW
# meta, firmware=TXSD_ModeC2prime_1210, trial_index=auto, adv_interval_ms=0, subject=modeC2prime_1210
12,3212,54700,175.7
21,3216,56200,180.7
31,3212,54600,175.4
41,3216,56200,180.7
51,3212,55100,177.0
61,3216,68200,219.3
71,3216,55200,177.5
81,3064,144600,443.1
91,3212,55800,179.2
101,3216,55200,177.5
111,3216,56200,180.7
121,3212,54700,175.7
131,3212,56100,180.2
141,3212,54600,175.4
151,3216,56100,180.4
161,3212,54600,175.4
171,3216,56200,180.7
181,3056,142900,436.7
191,3216,56200,180.7
201,3212,54900,176.3
211,3216,55900,179.8
221,3212,55200,177.3
231,3212,55600,178.6
241,3212,55500,178.3
251,3212,55400,177.9
261,3216,56100,180.4
271,3212,54700,175.7
281,3216,58300,187.5
291,3212,54700,175.7
301,3216,56200,180.7
311,3212,54600,175.4
321,3216,56100,180.4
331,3212,54600,175.4
341,3216,56200,180.7
351,3212,54800,176.0
361,3216,56000,180.1
371,3212,55200,177.3
381,3216,55600,178.8
391,3140,55800,175.2
401,3212,55500,178.3
411,3216,56100,180.4
421,3212,54800,176.0
431,3216,56200,180.7
441,3212,54700,175.7
451,3216,56200,180.7
461,3212,54700,175.7
471,3216,56200,180.7
481,3212,54700,175.7
491,3020,135600,409.5
501,3212,54700,175.7
511,3216,56200,180.7
521,3212,55200,177.3
531,3212,55600,178.6
541,3212,55300,177.6
551,3212,55600,178.6
561,3216,56000,180.1
571,3212,54800,176.0
581,3216,56200,180.7
591,3060,144200,441.3
601,3216,56200,180.7
611,3212,54600,175.4
621,3216,56200,180.7
631,3212,54600,175.4
641,3216,56100,180.4
651,3212,54600,175.4
661,3216,56200,180.7
671,3212,55100,177.0
681,3216,55600,178.8
691,3056,143400,438.2
701,3212,55600,178.6
711,3216,55900,179.8
721,3216,54900,176.6
731,3216,56200,180.7
741,3212,54700,175.7
751,3212,56200,180.5
761,3212,54600,175.4
771,3216,56100,180.4
781,3212,54600,175.4
791,3216,56200,180.7
801,3028,146200,442.7
811,3216,56200,180.7
821,3212,55100,177.0
831,3212,55700,178.9
841,3216,55300,177.8
851,3212,55600,178.6
861,3212,55800,179.2
871,3212,55100,177.0
881,3216,56100,180.4
891,3212,54700,175.7
901,3064,142200,435.7
911,3212,54700,175.7
921,3216,56200,180.7
931,3212,54700,175.7
941,3216,56100,180.4
951,3212,54600,175.4
961,3216,56200,180.7
971,3212,55000,176.7
981,3216,55700,179.1
991,3212,55300,177.6
1001,3216,55600,178.8
1011,3144,56100,176.4
1021,3212,55200,177.3
1031,3216,56100,180.4
1041,3212,54700,175.7
1051,3216,56200,180.7
1061,3204,61900,198.3
1071,3216,56200,180.7
1081,3212,54700,175.7
1091,3216,56200,180.7
1101,3212,54700,175.7
1111,3216,56200,180.7
1121,3212,55000,176.7
1131,3212,55900,179.6
1141,3212,55300,177.6
1151,3216,55600,178.8
1161,3212,55400,177.9
1171,3216,55400,178.2
1181,3212,56100,180.2
1191,3212,54700,175.7
1201,3216,56100,180.4
1211,3212,54700,175.7
1221,3056,177200,541.5
1231,3212,54600,175.4
1241,3216,56200,180.7
1251,3212,54700,175.7
1261,3216,56200,180.7
1271,3212,54700,175.7
1281,3216,56000,180.1
1291,3212,55200,177.3
1301,3216,55500,178.5
1311,3216,55200,177.5
1321,3040,155200,471.8
1331,3216,56000,180.1
1341,3212,54900,176.3
1351,3216,56100,180.4
1361,3212,54700,175.7
1371,3216,56200,180.7
1381,3212,54600,175.4
