trial_id,mode,interval_ms,subject,rx_file,txsd_file,truth_file
003,FIXED_100,100,subject01,rx_trial_003.csv,trial_010_on.csv,truth/subject01.csv
004,FIXED_500,500,subject01,rx_trial_004.csv,trial_011_on.csv,truth/subject01.csv
005,FIXED_1000,1000,subject01,rx_trial_005.csv,trial_012_on.csv,truth/subject01.csv
006,FIXED_2000,2000,subject01,rx_trial_006.csv,trial_013_on.csv,truth/subject01.csv
007,FIXED_100,100,subject02,rx_trial_007.csv,trial_014_on.csv,truth/subject02.csv
008,FIXED_500,500,subject02,rx_trial_008.csv,trial_015_on.csv,truth/subject02.csv
009,FIXED_1000,1000,subject02,rx_trial_009.csv,trial_016_on.csv,truth/subject02.csv
010,FIXED_2000,2000,subject02,rx_trial_010.csv,trial_017_on.csv,truth/subject02.csv
011,FIXED_100,100,subject03,rx_trial_011.csv,trial_018_on.csv,truth/subject03.csv
012,FIXED_500,500,subject03,rx_trial_012.csv,trial_019_on.csv,truth/subject03.csv
013,FIXED_1000,1000,subject03,rx_trial_013.csv,trial_020_on.csv,truth/subject03.csv
014,FIXED_2000,2000,subject03,rx_trial_014.csv,trial_021_on.csv,truth/subject03.csv
