ms,mV,µA,p_mW
# meta, firmware=TXSD_ModeC2prime_1210, trial_index=auto, adv_interval_ms=0, subject=modeC2prime_1210
11,3232,55200,178.4
20,3232,55100,178.1
30,3232,55900,180.7
40,3232,54700,176.8
50,3232,56200,181.6
60,3232,54600,176.5
70,3236,56200,181.9
80,3232,54700,176.8
90,3108,143000,444.4
100,3232,54700,176.8
110,3232,56200,181.6
120,3232,54600,176.5
130,3232,55800,180.3
140,3232,55100,178.1
150,3232,55600,179.7
160,3232,55300,178.7
170,3232,55400,179.1
180,3232,55800,180.3
190,3108,143300,445.4
200,3232,56200,181.6
210,3232,54600,176.5
220,3232,56200,181.6
230,3232,54700,176.8
240,3232,56100,181.3
250,3232,54600,176.5
260,3232,56200,181.6
270,3232,54600,176.5
280,3232,56000,181.0
290,3224,152100,490.4
300,3232,55600,179.7
310,3232,55200,178.4
320,3232,55500,179.4
330,3232,55500,179.4
340,3232,54800,177.1
350,3232,56200,181.6
360,3228,54700,176.6
370,3232,56200,181.6
380,3232,54600,176.5
390,3232,56200,181.6
400,3112,176400,549.0
410,3232,56200,181.6
420,3232,54700,176.8
430,3232,56200,181.6
440,3232,54900,177.4
450,3232,55600,179.7
460,3232,55200,178.4
470,3232,55600,179.7
480,3232,55400,179.1
490,3232,54700,176.8
500,3232,56100,181.3
510,3232,54800,177.1
520,3232,56200,181.6
530,3232,54700,176.8
540,3232,56200,181.6
550,3232,54700,176.8
560,3232,56200,181.6
570,3232,54700,176.8
580,3232,56200,181.6
590,3228,54700,176.6
600,3232,55600,179.7
610,3120,154900,483.3
620,3232,55600,179.7
630,3232,55300,178.7
640,3232,54800,177.1
650,3232,56100,181.3
660,3232,54700,176.8
670,3232,56200,181.6
680,3232,54700,176.8
690,3232,56200,181.6
700,3232,54600,176.5
710,3236,58400,189.0
720,3232,54700,176.8
730,3232,56200,181.6
740,3232,54700,176.8
750,3232,55600,179.7
760,3232,55300,178.7
770,3232,55600,179.7
780,3232,55300,178.7
790,3232,54900,177.4
800,3232,56100,181.3
810,3232,54700,176.8
820,3108,141700,440.4
830,3232,54600,176.5
840,3232,56200,181.6
850,3232,54600,176.5
860,3232,56300,182.0
870,3228,54700,176.6
880,3232,56200,181.6
890,3232,54700,176.8
900,3232,55700,180.0
910,3232,55200,178.4
920,3232,55600,179.7
930,3120,163600,510.4
940,3232,55000,177.8
950,3232,56000,181.0
960,3232,54700,176.8
970,3236,56200,181.9
980,3232,54700,176.8
990,3232,56200,181.6
1000,3232,54700,176.8
1010,3232,56200,181.6
1020,3232,54600,176.5
1030,3232,56200,181.6
1040,3092,59900,185.2
1050,3232,55800,180.3
1060,3232,55200,178.4
1070,3232,55600,179.7
1080,3232,55300,178.7
1090,3232,55100,178.1
1100,3232,55900,180.7
1110,3232,54700,176.8
1120,3236,56100,181.5
1130,3228,54600,176.2
1140,3108,143500,446.0
1150,3232,54700,176.8
1160,3232,56300,182.0
1170,3232,54600,176.5
1180,3232,56200,181.6
1190,3232,54600,176.5
1200,3232,55900,180.7
1210,3232,55200,178.4
1220,3232,55600,179.7
1230,3232,55300,178.7
1240,3228,55500,179.2
1250,3232,55900,180.7
1260,3232,54700,176.8
1270,3232,56100,181.3
1280,3232,54700,176.8
1290,3232,56100,181.3
1300,3232,54600,176.5
1310,3232,56200,181.6
1320,3232,54700,176.8
1330,3232,56200,181.6
1340,3232,54600,176.5
1350,3112,142500,443.5
1360,3232,55000,177.8
1370,3232,55600,179.7
1380,3232,55300,178.7
1390,3232,55400,179.1
1400,3232,55700,180.0
1410,3232,54700,176.8
1420,3232,56100,181.3
1430,3232,54600,176.5
1440,3232,56200,181.6
1450,3092,141600,437.8
1460,3232,56200,181.6
1470,3232,54700,176.8
1480,3232,56200,181.6
1490,3232,54600,176.5
1500,3232,56100,181.3
1510,3232,54900,177.4
1520,3232,55600,179.7
1530,3232,55300,178.7
1540,3232,55600,179.7
1550,3232,57300,185.2
1560,3232,54800,177.1
1570,3232,56100,181.3
1580,3232,54700,176.8
1590,3232,56200,181.6
1600,3232,54600,176.5
1610,3232,56200,181.6
1620,3232,54600,176.5
1630,3232,56200,181.6
1640,3228,54600,176.2
1650,3232,56200,181.6
1660,3228,149300,481.9
