ms,mV,µA,p_mW
# meta, firmware=TXSD_ModeC2prime_1210, trial_index=auto, adv_interval_ms=0, subject=modeC2prime_1210
12,3244,55400,179.7
21,3244,56100,182.0
31,3244,54600,177.1
41,3248,56100,182.2
51,3244,54500,176.8
61,3244,56100,182.0
71,3244,54600,177.1
81,3244,56100,182.0
91,3244,54600,177.1
101,3244,56100,182.0
111,3244,54600,177.1
121,3248,56100,182.2
131,3244,55200,179.1
141,3244,55500,180.0
151,3244,55200,179.1
161,3244,55400,179.7
171,3244,56000,181.7
181,3244,54600,177.1
191,3244,56000,181.7
201,3244,54500,176.8
211,3244,56000,181.7
221,3244,54600,177.1
231,3244,56100,182.0
241,3244,54500,176.8
251,3244,56000,181.7
261,3244,54600,177.1
271,3244,56100,182.0
281,3244,55200,179.1
291,3244,55500,180.0
301,3244,55200,179.1
311,3244,55400,179.7
321,3244,56000,181.7
331,3244,54600,177.1
341,3244,56100,182.0
351,3244,54600,177.1
361,3244,56100,182.0
371,3244,54600,177.1
381,3244,56100,182.0
391,3244,54500,176.8
401,3248,56100,182.2
411,3244,54600,177.1
421,3248,56100,182.2
431,3244,55100,178.7
441,3244,55500,180.0
451,3244,55200,179.1
461,3244,55400,179.7
471,3244,56000,181.7
481,3244,54600,177.1
491,3244,56000,181.7
501,3244,54500,176.8
511,3248,56100,182.2
521,3244,54600,177.1
531,3248,56100,182.2
541,3244,54600,177.1
551,3248,56100,182.2
561,3244,54500,176.8
571,3244,56100,182.0
581,3244,55200,179.1
591,3244,55400,179.7
601,3244,55200,179.1
611,3244,55400,179.7
621,3244,56000,181.7
631,3244,54700,177.4
641,3244,56000,181.7
651,3244,54600,177.1
661,3244,56100,182.0
671,3244,54600,177.1
681,3244,56100,182.0
691,3244,54600,177.1
701,3244,56100,182.0
711,3244,54600,177.1
721,3244,56100,182.0
731,3244,55200,179.1
741,3248,55500,180.3
751,3244,55200,179.1
761,3244,55500,180.0
771,3244,56100,182.0
781,3244,54700,177.4
791,3244,56100,182.0
801,3244,54500,176.8
811,3244,56100,182.0
821,3244,54500,176.8
831,3244,56100,182.0
841,3244,54500,176.8
851,3244,56100,182.0
861,3240,54600,176.9
871,3244,56100,182.0
881,3244,55100,178.7
891,3244,55500,180.0
901,3244,55200,179.1
911,3244,55500,180.0
921,3244,56000,181.7
931,3244,54700,177.4
941,3244,56200,182.3
951,3244,54600,177.1
961,3244,56100,182.0
971,3244,54500,176.8
981,3244,56100,182.0
991,3244,54600,177.1
1001,3244,56100,182.0
1011,3244,54600,177.1
1021,3244,56100,182.0
1031,3244,55100,178.7
1041,3244,55500,180.0
1051,3244,55200,179.1
1061,3244,55400,179.7
1071,3244,55900,181.3
1081,3244,54800,177.8
1091,3244,56100,182.0
1101,3244,54600,177.1
1111,3244,56100,182.0
1121,3244,54600,177.1
1131,3248,56100,182.2
1141,3244,54600,177.1
1151,3244,56000,181.7
1161,3244,54600,177.1
1171,3140,144100,452.5
1181,3244,55100,178.7
1191,3244,55600,180.4
1201,3244,55200,179.1
1211,3244,55400,179.7
1221,3244,55900,181.3
1231,3244,54700,177.4
1241,3244,56000,181.7
1251,3244,54600,177.1
1261,3244,56100,182.0
1271,3244,54600,177.1
1281,3248,56000,181.9
1291,3248,54500,177.0
1301,3244,56100,182.0
1311,3244,54500,176.8
1321,3244,56000,181.7
1331,3244,55100,178.7
1341,3244,55600,180.4
1351,3244,55300,179.4
1361,3244,55500,180.0
1371,3244,55900,181.3
1381,3244,54800,177.8
1391,3244,56100,182.0
1401,3244,54600,177.1
1411,3244,56000,181.7
1421,3244,54500,176.8
1431,3244,56100,182.0
1441,3244,54600,177.1
1451,3244,56100,182.0
1461,3244,54600,177.1
1471,3244,56100,182.0
1481,3244,55100,178.7
1491,3244,55600,180.4
1501,3244,55200,179.1
1511,3244,55400,179.7
1521,3244,55800,181.0
1531,3244,54900,178.1
1541,3244,56100,182.0
1551,3244,54600,177.1
1561,3248,56100,182.2
1571,3244,54500,176.8
1581,3244,56100,182.0
1591,3244,54600,177.1
1601,3244,56100,182.0
1611,3244,54600,177.1
1621,3244,56100,182.0
1631,3244,55100,178.7
1641,3244,55600,180.4
1651,3244,55200,179.1
1661,3244,55500,180.0
1671,3244,55800,181.0
1681,3244,54900,178.1
1691,3244,56100,182.0
1701,3244,54600,177.1
1711,3248,56100,182.2
1721,3244,54500,176.8
1731,3248,56000,181.9
1741,3244,54500,176.8
1751,3244,56100,182.0
1761,3244,54500,176.8
1771,3244,56100,182.0
1781,3244,55100,178.7
1793,3244,55400,179.7
1801,3244,55200,179.1
1811,3244,55500,180.0
1821,3244,55700,180.7
1831,3244,54900,178.1
1841,3244,56100,182.0
1851,3244,54500,176.8
1861,3244,56100,182.0
1871,3244,54500,176.8
1881,3244,56100,182.0
1891,3244,54500,176.8
1901,3248,56100,182.2
1911,3244,54600,177.1
1921,3244,56000,181.7
1931,3244,55000,178.4
1941,3244,55600,180.4
1951,3244,55100,178.7
1961,3244,55500,180.0
1971,3244,55600,180.4
1981,3244,55000,178.4
1991,3244,56100,182.0
2001,3244,54500,176.8
2011,3244,56100,182.0
2021,3244,54500,176.8
2031,3244,56100,182.0
2041,3244,54500,176.8
2051,3244,56000,181.7
2061,3244,54600,177.1
2071,3248,56100,182.2
2081,3244,55000,178.4
2091,3244,55600,180.4
