ms,event,rssi,seq,label,addr,mfd
# meta, firmware=RX_MODEC2P_1202, buf_size=512
88,ADV,-45,0,9,e0:5a:1b:15:c4:ca,0000_9
194,ADV,-46,0,9,e0:5a:1b:15:c4:ca,0000_9
302,ADV,-50,0,9,e0:5a:1b:15:c4:ca,0000_9
411,ADV,-45,0,9,e0:5a:1b:15:c4:ca,0000_9
508,ADV,-46,0,9,e0:5a:1b:15:c4:ca,0000_9
724,ADV,-46,0,9,e0:5a:1b:15:c4:ca,0000_9
834,ADV,-46,0,9,e0:5a:1b:15:c4:ca,0000_9
1049,ADV,-50,0,9,e0:5a:1b:15:c4:ca,0000_9
1148,ADV,-46,0,9,e0:5a:1b:15:c4:ca,0000_9
1250,ADV,-46,0,9,e0:5a:1b:15:c4:ca,0000_9
1353,ADV,-49,0,9,e0:5a:1b:15:c4:ca,0000_9
1455,ADV,-45,1,9,e0:5a:1b:15:c4:ca,0001_9
1565,ADV,-46,1,9,e0:5a:1b:15:c4:ca,0001_9
1772,ADV,-45,1,9,e0:5a:1b:15:c4:ca,0001_9
1879,ADV,-47,1,9,e0:5a:1b:15:c4:ca,0001_9
1983,ADV,-48,1,9,e0:5a:1b:15:c4:ca,0001_9
2084,ADV,-46,1,9,e0:5a:1b:15:c4:ca,0001_9
2195,ADV,-45,1,9,e0:5a:1b:15:c4:ca,0001_9
2293,ADV,-45,1,9,e0:5a:1b:15:c4:ca,0001_9
2402,ADV,-49,1,9,e0:5a:1b:15:c4:ca,0001_9
2502,ADV,-45,1,9,e0:5a:1b:15:c4:ca,0001_9
2601,ADV,-46,1,9,e0:5a:1b:15:c4:ca,0001_9
2713,ADV,-49,1,9,e0:5a:1b:15:c4:ca,0001_9
2817,ADV,-45,1,9,e0:5a:1b:15:c4:ca,0001_9
2919,ADV,-46,1,9,e0:5a:1b:15:c4:ca,0001_9
3029,ADV,-50,1,9,e0:5a:1b:15:c4:ca,0001_9
3126,ADV,-43,1,9,e0:5a:1b:15:c4:ca,0001_9
3221,ADV,-45,1,9,e0:5a:1b:15:c4:ca,0001_9
3326,ADV,-50,1,9,e0:5a:1b:15:c4:ca,0001_9
3427,ADV,-43,2,9,e0:5a:1b:15:c4:ca,0002_9
3532,ADV,-46,2,9,e0:5a:1b:15:c4:ca,0002_9
