ms,mV,µA,p_mW
# meta, firmware=TXSD_ModeC2prime_1210, trial_index=auto, adv_interval_ms=0, subject=modeC2prime_1210
11,3096,134200,415.5
20,3244,55000,178.4
30,3244,54700,177.4
40,3244,55000,178.4
50,3244,55500,180.0
60,3244,54100,175.5
70,3244,55600,180.4
80,3244,54100,175.5
90,3244,55500,180.0
100,3244,54000,175.2
110,3128,142100,444.5
120,3244,54000,175.2
130,3244,55600,180.4
140,3244,54000,175.2
150,3244,55100,178.7
160,3244,54600,177.1
170,3244,54900,178.1
180,3244,54700,177.4
190,3244,54400,176.5
200,3244,55400,179.7
210,3244,55600,180.4
220,3244,55600,180.4
230,3244,54100,175.5
240,3248,55500,180.3
250,3244,54100,175.5
260,3244,55600,180.4
270,3244,54000,175.2
280,3248,55600,180.6
290,3244,54100,175.5
300,3248,55200,179.3
310,3244,54500,176.8
320,3096,108200,335.0
330,3244,54700,177.4
340,3248,54700,177.7
350,3244,55200,179.1
360,3244,54500,176.8
370,3248,55400,179.9
380,3244,54000,175.2
390,3244,55600,180.4
400,3244,54100,175.5
410,3244,55600,180.4
420,3244,56100,182.0
430,3244,55600,180.4
440,3244,54000,175.2
450,3244,55400,179.7
460,3244,54400,176.5
470,3248,54900,178.3
480,3244,54700,177.4
490,3248,54900,178.3
500,3244,54800,177.8
510,3248,54800,178.0
520,3248,55600,180.6
530,3248,54900,178.3
540,3248,55600,180.6
550,3248,54100,175.7
560,3248,55600,180.6
570,3244,54100,175.5
580,3248,55600,180.6
590,3248,54000,175.4
600,3248,55600,180.6
610,3248,54000,175.4
620,3248,55000,178.6
630,3244,56800,184.3
640,3248,55000,178.6
650,3248,54700,177.7
660,3244,54900,178.1
670,3248,55500,180.3
680,3248,54200,176.0
690,3248,55600,180.6
700,3248,54000,175.4
710,3248,55600,180.6
720,3248,54000,175.4
730,3248,55600,180.6
740,3152,140000,441.3
750,3248,55600,180.6
760,3248,53900,175.1
770,3248,55000,178.6
780,3244,54600,177.1
790,3248,55000,178.6
800,3248,54600,177.3
810,3248,54400,176.7
820,3248,55300,179.6
830,3244,54300,176.1
840,3248,55600,180.6
850,3244,54800,177.8
860,3248,55600,180.6
870,3244,54000,175.2
880,3248,55600,180.6
890,3244,54000,175.2
900,3248,55500,180.3
910,3248,54100,175.7
920,3248,55300,179.6
930,3248,54500,177.0
940,3248,54900,178.3
950,3156,133900,422.6
960,3248,54900,178.3
970,3248,55000,178.6
980,3248,54700,177.7
990,3248,55500,180.3
1000,3248,54000,175.4
1010,3248,55500,180.3
1020,3248,54000,175.4
1030,3248,55500,180.3
1040,3248,54000,175.4
1050,3244,67900,220.3
1060,3248,54100,175.7
1070,3248,55600,180.6
1080,3248,54200,176.0
1090,3248,55000,178.6
1100,3248,54600,177.3
1110,3248,54900,178.3
1120,3248,54700,177.7
1130,3248,54900,178.3
1140,3248,55500,180.3
1150,3248,54100,175.7
1160,3148,141600,445.8
1170,3248,54000,175.4
1180,3248,55600,180.6
1190,3244,54000,175.2
1200,3248,55600,180.6
1210,3244,54000,175.2
1220,3248,55600,180.6
1230,3248,54000,175.4
1240,3248,55000,178.6
1250,3248,54600,177.3
1260,3144,142800,449.0
1270,3248,54700,177.7
1280,3248,54300,176.4
1290,3248,55400,179.9
1300,3244,54100,175.5
1310,3248,55500,180.3
1320,3248,54100,175.7
1330,3248,55600,180.6
1340,3244,54100,175.5
1350,3248,55600,180.6
1360,3244,54000,175.2
1370,3136,140000,439.0
1380,3244,54100,175.5
1390,3248,55100,179.0
1400,3248,54500,177.0
1410,3248,54900,178.3
1420,3248,54600,177.3
1430,3248,54600,177.3
1440,3248,55200,179.3
1450,3248,54400,176.7
1460,3248,55500,180.3
1470,3152,139800,440.6
1480,3248,55600,180.6
1490,3244,54000,175.2
1500,3248,55600,180.6
1510,3248,54100,175.7
1520,3248,55600,180.6
1530,3248,54000,175.4
1540,3248,55400,179.9
1550,3248,54400,176.7
1560,3248,55000,178.6
1570,3144,143100,449.9
1580,3248,55000,178.6
1590,3248,54800,178.0
1600,3248,54800,178.0
1610,3248,55600,180.6
1620,3248,54100,175.7
1630,3248,55600,180.6
1640,3248,54000,175.4
1650,3248,55600,180.6
1660,3248,54000,175.4
1670,3160,136600,431.7
1680,3248,54000,175.4
1690,3248,55600,180.6
1700,3248,54100,175.7
1710,3248,55000,178.6
1720,3244,54600,177.1
1730,3248,55000,178.6
1740,3248,54600,177.3
1750,3248,54900,178.3
1760,3248,55500,180.3
1770,3244,54400,176.5
1780,3248,55600,180.6
1792,3248,54000,175.4
1800,3248,55500,180.3
1810,3244,54100,175.5
1820,3248,55500,180.3
1830,3244,54100,175.5
1840,3248,55600,180.6
1850,3244,54000,175.2
1860,3244,55000,178.4
1870,3248,54500,177.0
1880,3152,138800,437.5
1890,3248,54600,177.3
1900,3248,54400,176.7
1910,3248,55400,179.9
1920,3244,54200,175.8
1930,3248,55500,180.3
1940,3244,54000,175.2
1950,3248,55500,180.3
1960,3248,54000,175.4
1970,3248,55500,180.3
1980,3148,170400,536.4
1990,3248,55600,180.6
2000,3244,54000,175.2
2010,3248,55200,179.3
2020,3248,54500,177.0
2030,3248,55000,178.6
2040,3248,54700,177.7
2050,3248,54800,178.0
2060,3248,55200,179.3
2070,3248,54500,177.0
2080,3148,140000,440.7
2090,3244,54000,175.2
2100,3248,55500,180.3
2110,3248,54000,175.4
2120,3248,55600,180.6
2130,3248,54000,175.4
2140,3248,55600,180.6
2150,3248,54000,175.4
2160,3248,55500,180.3
2170,3244,54300,176.1
2180,3152,143400,452.0
2190,3248,54700,177.7
2200,3248,54900,178.3
2210,3248,54700,177.7
2220,3244,54900,178.1
2230,3248,55500,180.3
2240,3244,54100,175.5
2250,3248,55600,180.6
2260,3244,53900,174.9
2270,3248,55600,180.6
2280,3248,54000,175.4
2290,3160,134900,426.3
2300,3244,54000,175.2
2310,3248,55500,180.3
2320,3244,54000,175.2
2330,3248,55000,178.6
2340,3248,54700,177.7
2350,3248,54900,178.3
2360,3248,54600,177.3
2370,3244,54300,176.1
2380,3248,55400,179.9
2390,3156,159700,504.0
2400,3248,55600,180.6
2410,3244,54000,175.2
2420,3248,55600,180.6
2430,3244,54000,175.2
2440,3248,55500,180.3
2450,3244,54100,175.5
2460,3248,55600,180.6
2470,3244,54000,175.2
2480,3248,55100,179.0
2490,3108,134700,418.6
2500,3248,54900,178.3
2510,3244,54700,177.4
2520,3248,54600,177.3
2530,3248,55300,179.6
2540,3248,54300,176.4
2550,3248,55600,180.6
2560,3248,54100,175.7
2570,3248,55600,180.6
2580,3248,54000,175.4
2590,3248,55600,180.6
2600,3180,54500,173.3
2610,3248,55600,180.6
2620,3248,54000,175.4
2630,3248,55300,179.6
2640,3248,54500,177.0
2650,3248,54900,178.3
2660,3248,54700,177.7
2670,3248,54900,178.3
2680,3248,55000,178.6
2690,3248,54700,177.7
2700,3136,168700,529.0
2710,3248,54000,175.4
2720,3248,55500,180.3
2730,3248,54000,175.4
2740,3248,55600,180.6
2750,3244,54000,175.2
2760,3248,55600,180.6
2770,3244,54000,175.2
2780,3248,55600,180.6
2790,3244,54200,175.8
2800,3140,136500,428.6
2810,3244,54700,177.4
2820,3248,54900,178.3
2830,3248,54700,177.7
2840,3248,55000,178.6
2850,3248,55500,180.3
2860,3244,54000,175.2
2870,3248,55600,180.6
2880,3244,54000,175.2
2890,3248,55500,180.3
2900,3148,142500,448.6
2910,3248,55600,180.6
2920,3248,54000,175.4
2930,3248,55600,180.6
2940,3244,54000,175.2
2950,3248,55000,178.6
2960,3244,54600,177.1
2970,3248,54900,178.3
2980,3244,54600,177.1
2990,3244,54300,176.1
3000,3248,55400,179.9
3010,3144,154600,486.1
3020,3248,55600,180.6
3030,3248,54100,175.7
3040,3248,55600,180.6
3050,3248,54000,175.4
3060,3248,55500,180.3
3070,3244,53900,174.9
3080,3248,55600,180.6
3090,3244,54000,175.2
3100,3248,55200,179.3
3110,3248,54600,177.3
3120,3144,138300,434.8
3130,3248,54700,177.7
3140,3248,54600,177.3
3150,3248,55200,179.3
3160,3244,54400,176.5
3170,3248,55600,180.6
3180,3244,54000,175.2
3190,3248,55600,180.6
3200,3244,54000,175.2
3210,3248,55600,180.6
3220,3244,54000,175.2
3230,3248,55600,180.6
3240,3244,54000,175.2
3250,3248,55400,179.9
3260,3248,54300,176.4
3270,3248,54900,178.3
3280,3244,54600,177.1
3290,3244,54900,178.1
3300,3248,54800,178.0
3310,3244,54800,177.8
3320,3248,55600,180.6
3330,3248,54100,175.7
3340,3248,55700,180.9
3350,3244,54100,175.5
3360,3248,55600,180.6
3370,3244,54000,175.2
3380,3248,55500,180.3
3390,3244,53900,174.9
3400,3248,55600,180.6
3410,3248,54100,175.7
3420,3248,55000,178.6
3430,3244,54600,177.1
3440,3136,141600,444.1
3450,3244,54700,177.4
3460,3244,54900,178.1
3470,3244,55500,180.0
3480,3244,54100,175.5
3490,3248,55600,180.6
3500,3248,54000,175.4
3510,3248,55500,180.3
3520,3248,54000,175.4
3530,3248,55600,180.6
3540,3248,54000,175.4
3550,3156,139600,440.6
3560,3244,54100,175.5
3570,3248,55000,178.6
3580,3244,54600,177.1
3590,3248,54900,178.3
3600,3248,54700,177.7
3610,3248,54500,177.0
3620,3248,55400,179.9
3630,3248,54300,176.4
3640,3248,55500,180.3
3650,3148,141000,443.9
3660,3248,55500,180.3
3670,3244,54100,175.5
3680,3248,55500,180.3
3690,3244,54000,175.2
3700,3248,55600,180.6
3710,3248,54000,175.4
3720,3248,55200,179.3
3730,3244,54500,176.8
3740,3248,54900,178.3
3750,3244,54600,177.1
3760,3156,134400,424.2
3770,3248,55000,178.6
3780,3248,54600,177.3
3790,3248,55500,180.3
3800,3244,54000,175.2
3810,3248,55600,180.6
3820,3244,54000,175.2
3830,3248,55600,180.6
3840,3244,54000,175.2
3850,3248,55600,180.6
3860,3144,141200,443.9
3870,3248,55500,180.3
3880,3244,54200,175.8
3890,3248,55000,178.6
3900,3244,54600,177.1
3910,3248,54900,178.3
3920,3244,54700,177.4
3930,3248,54900,178.3
3940,3248,55500,180.3
3950,3244,54100,175.5
3960,3248,55500,180.3
3970,3156,54800,172.9
3980,3248,55600,180.6
3990,3244,54000,175.2
4000,3248,55600,180.6
4010,3244,54000,175.2
4020,3248,55500,180.3
4030,3248,54000,175.4
4040,3248,55000,178.6
4050,3244,54600,177.1
4060,3248,54900,178.3
4070,3160,183600,580.2
4080,3248,54900,178.3
4090,3244,55500,180.0
4100,3248,54200,176.0
4110,3248,55600,180.6
4120,3248,54000,175.4
4130,3248,55600,180.6
4140,3244,54000,175.2
4150,3248,55600,180.6
4160,3244,54000,175.2
4170,3156,149500,471.8
4180,3244,54000,175.2
4190,3248,55200,179.3
4200,3244,54600,177.1
4210,3248,54900,178.3
4220,3244,54600,177.1
4230,3248,54600,177.3
4240,3248,55300,179.6
4250,3244,54300,176.1
4260,3248,55500,180.3
4270,3244,54100,175.5
4280,3136,135000,423.4
4290,3244,54000,175.2
4300,3248,55600,180.6
4310,3248,54100,175.7
4320,3248,55600,180.6
4330,3244,54000,175.2
4340,3248,55400,179.9
4350,3244,54400,176.5
4360,3248,55000,178.6
4370,3244,54700,177.4
4380,3244,54900,178.1
4390,3236,55100,178.3
4400,3244,54700,177.4
4410,3248,55500,180.3
4420,3244,54000,175.2
4430,3248,55600,180.6
4440,3244,54000,175.2
4450,3248,55600,180.6
4460,3244,54000,175.2
4470,3244,55600,180.4
4480,3248,53900,175.1
4490,3152,154700,487.6
4500,3244,54200,175.8
4510,3248,55000,178.6
4520,3248,54700,177.7
4530,3248,55000,178.6
4540,3244,54600,177.1
4550,3244,54900,178.1
4560,3248,55500,180.3
4570,3248,54100,175.7
4580,3248,55600,180.6
4590,3148,136700,430.3
4600,3248,55600,180.6
4610,3244,54000,175.2
4620,3248,55600,180.6
4630,3244,54000,175.2
4640,3248,55600,180.6
4650,3244,54000,175.2
4660,3248,55000,178.6
4670,3248,54600,177.3
4680,3248,55000,178.6
4690,3152,149000,469.6
4700,3248,54900,178.3
4710,3248,55400,179.9
4720,3244,54200,175.8
4730,3248,55500,180.3
4740,3248,54000,175.4
4750,3248,55500,180.3
4760,3248,54000,175.4
4770,3248,55600,180.6
4780,3248,54000,175.4
4790,3128,143300,448.2
4800,3244,54000,175.2
4810,3248,55200,179.3
4820,3248,54500,177.0
4830,3244,55000,178.4
4840,3248,54600,177.3
4850,3248,54700,177.7
4860,3248,55200,179.3
4870,3244,54400,176.5
4880,3248,55600,180.6
4890,3244,54000,175.2
4900,3148,140900,443.6
4910,3248,54000,175.4
4920,3248,55600,180.6
4930,3244,54000,175.2
4940,3248,55600,180.6
4950,3248,54000,175.4
4960,3248,55500,180.3
4970,3248,54400,176.7
4980,3248,54900,178.3
4990,3244,54700,177.4
5000,3248,54900,178.3
5010,3160,182800,577.6
5020,3244,54900,178.1
5030,3248,55600,180.6
5040,3248,54100,175.7
5050,3248,55600,180.6
5060,3244,54000,175.2
5070,3248,55600,180.6
5080,3244,54000,175.2
5090,3248,55600,180.6
5100,3248,54100,175.7
5110,3244,66200,214.8
5120,3248,54100,175.7
5130,3248,55000,178.6
5140,3248,54700,177.7
5150,3244,55000,178.4
5160,3244,54600,177.1
5170,3248,55000,178.6
5180,3248,55500,180.3
5190,3248,54100,175.7
5200,3248,55500,180.3
5210,3244,54000,175.2
5220,3120,159000,496.1
5230,3244,54000,175.2
5240,3248,55600,180.6
5250,3248,54000,175.4
5260,3248,55500,180.3
5270,3244,54000,175.2
5280,3248,55000,178.6
5290,3248,54600,177.3
5300,3248,54900,178.3
5310,3248,54700,177.7
5320,3152,138600,436.9
5330,3248,55300,179.6
5340,3248,54300,176.4
5350,3248,55600,180.6
5360,3244,54100,175.5
5370,3248,55500,180.3
5380,3248,54000,175.4
5390,3248,55600,180.6
5400,3244,54000,175.2
5410,3248,55600,180.6
5420,3196,157800,504.3
5430,3248,55300,179.6
5440,3244,54500,176.8
5450,3248,54900,178.3
5460,3248,54700,177.7
5470,3248,54800,178.0
5480,3248,55000,178.6
5490,3244,54500,176.8
5500,3248,55600,180.6
5510,3248,54100,175.7
5520,3248,56800,184.5
5530,3248,54000,175.4
5540,3248,55600,180.6
5550,3244,54000,175.2
5560,3248,55500,180.3
5570,3248,54000,175.4
5580,3248,55600,180.6
5590,3244,54200,175.8
5600,3248,55000,178.6
5610,3248,54600,177.3
5620,3248,54900,178.3
5630,3112,136800,425.7
5640,3248,55000,178.6
5650,3248,55500,180.3
5660,3248,54100,175.7
5670,3248,55600,180.6
5680,3244,53900,174.9
5690,3248,55500,180.3
5700,3248,54000,175.4
5710,3248,55600,180.6
5720,3244,54000,175.2
5730,3244,64300,208.6
5740,3244,54100,175.5
5750,3248,55000,178.6
5760,3248,54700,177.7
5770,3248,55000,178.6
5780,3248,54600,177.3
5790,3248,54900,178.3
5800,3248,55500,180.3
5810,3244,54100,175.5
5820,3248,55600,180.6
5830,3248,54000,175.4
5840,3156,135100,426.4
5850,3248,54100,175.7
5860,3248,55600,180.6
5870,3248,54000,175.4
5880,3248,55600,180.6
5890,3244,54000,175.2
5900,3248,55100,179.0
5910,3244,54600,177.1
5920,3248,54900,178.3
5930,3248,54600,177.3
5940,3248,54600,177.3
5950,3236,55500,179.6
5960,3244,54300,176.1
5970,3248,55500,180.3
5980,3244,54000,175.2
5990,3248,55500,180.3
6000,3244,54000,175.2
6010,3248,55500,180.3
6020,3244,54000,175.2
6030,3248,55500,180.3
6040,3244,54000,175.2
6050,3148,144700,455.5
6060,3244,54500,176.8
6070,3248,54900,178.3
6080,3248,54700,177.7
6090,3248,54900,178.3
6100,3248,55000,178.6
6110,3244,54700,177.4
6120,3248,55500,180.3
6130,3244,54100,175.5
6140,3248,55500,180.3
6150,3248,54100,175.7
6160,3248,55700,180.9
6170,3248,54100,175.7
6180,3248,55600,180.6
6190,3244,54100,175.5
6200,3248,55600,180.6
6210,3244,54200,175.8
