ms,mV,µA,p_mW
# meta, firmware=TXSD_ModeC2prime_1210, trial_index=auto, adv_interval_ms=0, subject=modeC2prime_1210
12,3228,56500,182.4
21,3228,55000,177.5
31,3228,56600,182.7
41,3224,55000,177.3
51,3228,58100,187.5
61,3224,55100,177.6
71,3228,56000,180.8
81,3228,55600,179.5
91,3228,55900,180.4
101,3228,55600,179.5
111,3228,55100,177.9
121,3228,56400,182.1
131,3228,55000,177.5
141,3228,56500,182.4
151,3228,55000,177.5
161,3104,180300,559.7
171,3228,55000,177.5
181,3228,56600,182.7
191,3228,55000,177.5
201,3228,56500,182.4
211,3224,55000,177.3
221,3228,55900,180.4
231,3228,55600,179.5
241,3228,55900,180.4
251,3228,55700,179.8
261,3088,141500,437.0
271,3228,56500,182.4
281,3224,55000,177.3
291,3228,56500,182.4
301,3228,55000,177.5
311,3228,56500,182.4
321,3224,55000,177.3
331,3232,56500,182.6
341,3228,55000,177.5
351,3228,56500,182.4
361,3224,55200,178.0
371,3112,182200,567.0
381,3228,55500,179.2
391,3228,55900,180.4
401,3228,55800,180.1
411,3228,55000,177.5
421,3228,56400,182.1
431,3228,55000,177.5
441,3228,56500,182.4
451,3228,54900,177.2
461,3228,56500,182.4
471,3228,54900,177.2
481,3100,58000,179.8
491,3228,55000,177.5
501,3228,56400,182.1
511,3224,55300,178.3
521,3228,55900,180.4
531,3228,55600,179.5
541,3228,55800,180.1
551,3228,56000,180.8
561,3224,55100,177.6
571,3228,56400,182.1
581,3112,185200,576.3
591,3228,56500,182.4
601,3228,55000,177.5
611,3228,56500,182.4
621,3228,55000,177.5
631,3228,56500,182.4
641,3224,55000,177.3
651,3228,56200,181.4
661,3224,55400,178.6
671,3228,55900,180.4
681,3076,143500,441.4
691,3228,55700,179.8
701,3228,56100,181.1
711,3228,55000,177.5
721,3228,56400,182.1
731,3224,55000,177.3
741,3232,56500,182.6
751,3228,54900,177.2
761,3228,56500,182.4
771,3228,55000,177.5
781,3228,56500,182.4
791,3032,137500,416.9
801,3228,56200,181.4
811,3228,55400,178.8
821,3228,55900,180.4
831,3228,55600,179.5
841,3228,55400,178.8
851,3228,56200,181.4
861,3228,54900,177.2
871,3232,56400,182.3
881,3228,55000,177.5
891,3096,142700,441.8
901,3228,55000,177.5
911,3228,56500,182.4
921,3228,55000,177.5
931,3228,56500,182.4
941,3228,55000,177.5
951,3228,56000,180.8
961,3228,55500,179.2
971,3228,55900,180.4
981,3228,55600,179.5
991,3228,55300,178.5
1001,3092,150500,465.3
1011,3228,55000,177.5
1021,3228,56500,182.4
1031,3228,54900,177.2
1041,3228,56500,182.4
1051,3224,55000,177.3
1061,3228,56500,182.4
1071,3224,55000,177.3
1081,3228,56500,182.4
1091,3228,54900,177.2
1101,3196,163400,522.2
1111,3228,55500,179.2
1121,3228,55900,180.4
1131,3228,55600,179.5
1141,3228,55200,178.2
1151,3228,56400,182.1
1161,3228,55000,177.5
1171,3228,56400,182.1
1181,3228,54900,177.2
1191,3228,56500,182.4
1201,3228,55000,177.5
1211,3224,154400,497.8
1221,3228,54900,177.2
1231,3228,56500,182.4
1241,3224,54900,177.0
1251,3228,56000,180.8
1261,3228,55500,179.2
1271,3228,55900,180.4
1281,3228,55600,179.5
1291,3228,55100,177.9
1301,3228,56400,182.1
1311,3224,54900,177.0
