ms,event,rssi,seq,label,addr,mfd
# meta, firmware=RX_MODEC2P_1202, buf_size=512
38,ADV,-51,1,9,e0:5a:1b:15:c4:ca,0001_9
128,ADV,-48,1,9,e0:5a:1b:15:c4:ca,0001_9
226,ADV,-48,1,9,e0:5a:1b:15:c4:ca,0001_9
333,ADV,-50,2,9,e0:5a:1b:15:c4:ca,0002_9
445,ADV,-48,2,9,e0:5a:1b:15:c4:ca,0002_9
652,ADV,-51,2,9,e0:5a:1b:15:c4:ca,0002_9
753,ADV,-48,2,9,e0:5a:1b:15:c4:ca,0002_9
855,ADV,-48,3,9,e0:5a:1b:15:c4:ca,0003_9
968,ADV,-48,3,9,e0:5a:1b:15:c4:ca,0003_9
1077,ADV,-49,3,9,e0:5a:1b:15:c4:ca,0003_9
1180,ADV,-49,3,9,e0:5a:1b:15:c4:ca,0003_9
1280,ADV,-48,3,9,e0:5a:1b:15:c4:ca,0003_9
1388,ADV,-50,4,9,e0:5a:1b:15:c4:ca,0004_9
1488,ADV,-48,4,9,e0:5a:1b:15:c4:ca,0004_9
1705,ADV,-49,4,9,e0:5a:1b:15:c4:ca,0004_9
1805,ADV,-50,4,9,e0:5a:1b:15:c4:ca,0004_9
1926,ADV,-48,5,9,e0:5a:1b:15:c4:ca,0005_9
2027,ADV,-49,5,9,e0:5a:1b:15:c4:ca,0005_9
2129,ADV,-51,5,9,e0:5a:1b:15:c4:ca,0005_9
2238,ADV,-49,5,9,e0:5a:1b:15:c4:ca,0005_9
2340,ADV,-47,6,9,e0:5a:1b:15:c4:ca,0006_9
2446,ADV,-52,6,9,e0:5a:1b:15:c4:ca,0006_9
2553,ADV,-50,6,9,e0:5a:1b:15:c4:ca,0006_9
2655,ADV,-49,6,9,e0:5a:1b:15:c4:ca,0006_9
2876,ADV,-49,7,9,e0:5a:1b:15:c4:ca,0007_9
2985,ADV,-48,7,9,e0:5a:1b:15:c4:ca,0007_9
3084,ADV,-48,7,9,e0:5a:1b:15:c4:ca,0007_9
3200,ADV,-50,7,9,e0:5a:1b:15:c4:ca,0007_9
3300,ADV,-48,7,9,e0:5a:1b:15:c4:ca,0007_9
3405,ADV,-47,8,9,e0:5a:1b:15:c4:ca,0008_9
3519,ADV,-48,8,9,e0:5a:1b:15:c4:ca,0008_9
3621,ADV,-51,8,9,e0:5a:1b:15:c4:ca,0008_9
3728,ADV,-48,8,9,e0:5a:1b:15:c4:ca,0008_9
3831,ADV,-48,9,9,e0:5a:1b:15:c4:ca,0009_9
3942,ADV,-51,9,9,e0:5a:1b:15:c4:ca,0009_9
4050,ADV,-48,9,9,e0:5a:1b:15:c4:ca,0009_9
4154,ADV,-48,9,9,e0:5a:1b:15:c4:ca,0009_9
4258,ADV,-49,9,9,e0:5a:1b:15:c4:ca,0009_9
4570,ADV,-47,10,5,e0:5a:1b:15:c4:ca,0010_5
4682,ADV,-51,10,5,e0:5a:1b:15:c4:ca,0010_5
4785,ADV,-47,10,5,e0:5a:1b:15:c4:ca,0010_5
4890,ADV,-48,11,5,e0:5a:1b:15:c4:ca,0011_5
5004,ADV,-49,11,5,e0:5a:1b:15:c4:ca,0011_5
5110,ADV,-49,11,5,e0:5a:1b:15:c4:ca,0011_5
5209,ADV,-47,11,5,e0:5a:1b:15:c4:ca,0011_5
5422,ADV,-51,12,5,e0:5a:1b:15:c4:ca,0012_5
5523,ADV,-50,12,5,e0:5a:1b:15:c4:ca,0012_5
5628,ADV,-48,12,5,e0:5a:1b:15:c4:ca,0012_5
5733,ADV,-54,12,5,e0:5a:1b:15:c4:ca,0012_5
5838,ADV,-48,13,5,e0:5a:1b:15:c4:ca,0013_5
5945,ADV,-47,13,5,e0:5a:1b:15:c4:ca,0013_5
6049,ADV,-49,13,5,e0:5a:1b:15:c4:ca,0013_5
6157,ADV,-48,13,5,e0:5a:1b:15:c4:ca,0013_5
6256,ADV,-47,13,5,e0:5a:1b:15:c4:ca,0013_5
6576,ADV,-50,14,5,e0:5a:1b:15:c4:ca,0014_5
6677,ADV,-48,14,5,e0:5a:1b:15:c4:ca,0014_5
6782,ADV,-49,14,5,e0:5a:1b:15:c4:ca,0014_5
6879,ADV,-48,15,5,e0:5a:1b:15:c4:ca,0015_5
6981,ADV,-48,15,5,e0:5a:1b:15:c4:ca,0015_5
7091,ADV,-49,15,5,e0:5a:1b:15:c4:ca,0015_5
7195,ADV,-48,15,5,e0:5a:1b:15:c4:ca,0015_5
7291,ADV,-47,15,5,e0:5a:1b:15:c4:ca,0015_5
7402,ADV,-49,16,5,e0:5a:1b:15:c4:ca,0016_5
7822,ADV,-50,17,8,e0:5a:1b:15:c4:ca,0017_8
7931,ADV,-49,17,8,e0:5a:1b:15:c4:ca,0017_8
8033,ADV,-48,17,8,e0:5a:1b:15:c4:ca,0017_8
8138,ADV,-49,17,8,e0:5a:1b:15:c4:ca,0017_8
8348,ADV,-47,18,8,e0:5a:1b:15:c4:ca,0018_8
8453,ADV,-51,18,8,e0:5a:1b:15:c4:ca,0018_8
8561,ADV,-50,18,8,e0:5a:1b:15:c4:ca,0018_8
8766,ADV,-48,18,8,e0:5a:1b:15:c4:ca,0018_8
8869,ADV,-52,19,8,e0:5a:1b:15:c4:ca,0019_8
8978,ADV,-48,19,8,e0:5a:1b:15:c4:ca,0019_8
9086,ADV,-47,19,8,e0:5a:1b:15:c4:ca,0019_8
9196,ADV,-51,19,8,e0:5a:1b:15:c4:ca,0019_8
9294,ADV,-48,19,8,e0:5a:1b:15:c4:ca,0019_8
9400,ADV,-48,20,8,e0:5a:1b:15:c4:ca,0020_8
9504,ADV,-50,20,8,e0:5a:1b:15:c4:ca,0020_8
9610,ADV,-50,20,8,e0:5a:1b:15:c4:ca,0020_8
9707,ADV,-47,20,8,e0:5a:1b:15:c4:ca,0020_8
9921,ADV,-50,21,8,e0:5a:1b:15:c4:ca,0021_8
10028,ADV,-48,21,8,e0:5a:1b:15:c4:ca,0021_8
10242,ADV,-93,21,8,e0:5a:1b:15:c4:ca,0021_8
10448,ADV,-48,22,8,e0:5a:1b:15:c4:ca,0022_8
10661,ADV,-47,22,8,e0:5a:1b:15:c4:ca,0022_8
10759,ADV,-48,22,8,e0:5a:1b:15:c4:ca,0022_8
10974,ADV,-51,23,8,e0:5a:1b:15:c4:ca,0023_8
11068,ADV,-49,23,8,e0:5a:1b:15:c4:ca,0023_8
11172,ADV,-48,23,8,e0:5a:1b:15:c4:ca,0023_8
11276,ADV,-50,23,8,e0:5a:1b:15:c4:ca,0023_8
11376,ADV,-48,24,8,e0:5a:1b:15:c4:ca,0024_8
11488,ADV,-48,24,8,e0:5a:1b:15:c4:ca,0024_8
11586,ADV,-51,24,8,e0:5a:1b:15:c4:ca,0024_8
11794,ADV,-48,24,8,e0:5a:1b:15:c4:ca,0024_8
11902,ADV,-49,25,8,e0:5a:1b:15:c4:ca,0025_8
12003,ADV,-50,25,8,e0:5a:1b:15:c4:ca,0025_8
12325,ADV,-51,25,8,e0:5a:1b:15:c4:ca,0025_8
12423,ADV,-48,26,8,e0:5a:1b:15:c4:ca,0026_8
12525,ADV,-48,26,8,e0:5a:1b:15:c4:ca,0026_8
12628,ADV,-51,26,8,e0:5a:1b:15:c4:ca,0026_8
12735,ADV,-49,26,8,e0:5a:1b:15:c4:ca,0026_8
12834,ADV,-48,27,8,e0:5a:1b:15:c4:ca,0027_8
12943,ADV,-52,27,8,e0:5a:1b:15:c4:ca,0027_8
13047,ADV,-48,27,8,e0:5a:1b:15:c4:ca,0027_8
13145,ADV,-48,27,8,e0:5a:1b:15:c4:ca,0027_8
13254,ADV,-49,27,8,e0:5a:1b:15:c4:ca,0027_8
13358,ADV,-49,28,7,e0:5a:1b:15:c4:ca,0028_7
13460,ADV,-48,28,7,e0:5a:1b:15:c4:ca,0028_7
13681,ADV,-51,28,7,e0:5a:1b:15:c4:ca,0028_7
13777,ADV,-49,28,7,e0:5a:1b:15:c4:ca,0028_7
13888,ADV,-47,29,7,e0:5a:1b:15:c4:ca,0029_7
13998,ADV,-51,29,7,e0:5a:1b:15:c4:ca,0029_7
14099,ADV,-48,29,7,e0:5a:1b:15:c4:ca,0029_7
14208,ADV,-48,29,7,e0:5a:1b:15:c4:ca,0029_7
14311,ADV,-51,29,7,e0:5a:1b:15:c4:ca,0029_7
14421,ADV,-51,30,7,e0:5a:1b:15:c4:ca,0030_7
14525,ADV,-48,30,7,e0:5a:1b:15:c4:ca,0030_7
14629,ADV,-47,30,7,e0:5a:1b:15:c4:ca,0030_7
14748,ADV,-51,30,7,e0:5a:1b:15:c4:ca,0030_7
14849,ADV,-48,31,7,e0:5a:1b:15:c4:ca,0031_7
