ms,mV,µA,p_mW
# meta, firmware=TXSD_ModeC2prime_1210, trial_index=auto, adv_interval_ms=0, subject=modeC2prime_1210
11,3224,55700,179.6
20,3224,56000,180.5
30,3224,55000,177.3
40,3224,56300,181.5
50,3220,54800,176.5
60,3224,56200,181.2
70,3224,54600,176.0
80,3224,56300,181.5
90,3164,158900,502.8
100,3228,56300,181.7
110,3224,54700,176.4
120,3228,56300,181.7
130,3224,55200,178.0
140,3224,55800,179.9
150,3224,55300,178.3
160,3224,55600,179.3
170,3224,56100,180.9
180,3224,55000,177.3
190,3224,56200,181.2
200,3100,177700,550.9
210,3224,56300,181.5
220,3224,54700,176.4
230,3224,56300,181.5
240,3224,54700,176.4
250,3224,56300,181.5
260,3224,54800,176.7
270,3224,56300,181.5
280,3224,55200,178.0
290,3224,55700,179.6
300,3028,136600,413.6
310,3224,55700,179.6
320,3224,56000,180.5
330,3224,55000,177.3
340,3228,56300,181.7
350,3224,54700,176.4
360,3224,56300,181.5
370,3224,54700,176.4
380,3228,56200,181.4
390,3224,54700,176.4
400,3224,56300,181.5
410,3080,162500,500.5
420,3224,56300,181.5
430,3224,55300,178.3
440,3224,55800,179.9
450,3224,55300,178.3
460,3224,55700,179.6
470,3224,56000,180.5
480,3224,55000,177.3
490,3228,56200,181.4
500,3224,54700,176.4
510,3224,56200,181.2
520,3108,182500,567.2
530,3224,56200,181.2
540,3224,54700,176.4
550,3224,56200,181.2
560,3224,54700,176.4
570,3224,56300,181.5
580,3224,55200,178.0
590,3224,55800,179.9
600,3224,55300,178.3
610,3224,55600,179.3
620,3228,56000,180.8
630,3100,148400,460.0
640,3224,56200,181.2
650,3224,54700,176.4
660,3224,56300,181.5
670,3224,54700,176.4
680,3224,56200,181.2
690,3224,54700,176.4
700,3228,56200,181.4
710,3224,54700,176.4
720,3228,56200,181.4
730,3056,150700,460.5
740,3224,55700,179.6
750,3224,55400,178.6
760,3224,55700,179.6
770,3224,56000,180.5
780,3224,55000,177.3
790,3224,56200,181.2
800,3224,54800,176.7
810,3224,56300,181.5
820,3224,54700,176.4
830,3224,56200,181.2
840,3220,54700,176.1
850,3224,56300,181.5
860,3224,54700,176.4
870,3224,56300,181.5
880,3224,55200,178.0
890,3224,55800,179.9
900,3224,55300,178.3
910,3224,55700,179.6
920,3224,56000,180.5
930,3224,54900,177.0
940,3224,56300,181.5
950,3224,54800,176.7
960,3224,56200,181.2
970,3224,54700,176.4
980,3228,56300,181.7
990,3224,54700,176.4
1000,3224,56200,181.2
1010,3224,54700,176.4
1020,3224,56200,181.2
1030,3224,55200,178.0
1040,3092,142200,439.7
1050,3224,55300,178.3
1060,3228,55700,179.8
1070,3224,56000,180.5
1080,3224,54900,177.0
1090,3224,56300,181.5
1100,3224,54700,176.4
1110,3228,56300,181.7
1120,3224,54700,176.4
1130,3224,56200,181.2
1140,3224,54700,176.4
1150,3080,142900,440.1
1160,3224,54800,176.7
1170,3224,56300,181.5
1180,3224,55200,178.0
1190,3224,55700,179.6
1200,3224,55300,178.3
1210,3224,55600,179.3
1220,3224,56100,180.9
1230,3224,55000,177.3
1240,3224,56200,181.2
1250,3224,56100,180.9
1260,3224,56400,181.8
1270,3224,54700,176.4
1280,3224,56300,181.5
1290,3224,54700,176.4
1300,3224,56300,181.5
1310,3224,54700,176.4
1320,3228,56300,181.7
1330,3224,55200,178.0
1340,3224,55700,179.6
1350,3224,55400,178.6
1360,3096,138100,427.6
1370,3224,56000,180.5
1380,3224,55000,177.3
1390,3224,56200,181.2
1400,3224,54700,176.4
1410,3228,56200,181.4
1420,3224,54700,176.4
1430,3224,130900,422.0
1440,3224,54700,176.4
1450,3224,56300,181.5
1460,3220,54700,176.1
1470,3088,178600,551.5
1480,3224,55200,178.0
1490,3224,55700,179.6
1500,3224,55300,178.3
1510,3224,55600,179.3
1520,3224,56100,180.9
1530,3224,55000,177.3
1540,3224,56300,181.5
1550,3224,54800,176.7
1560,3228,56300,181.7
1570,3224,54700,176.4
1580,3028,138900,420.6
1590,3224,54700,176.4
1600,3224,56200,181.2
1610,3224,54700,176.4
1620,3224,56300,181.5
1630,3224,55300,178.3
1640,3224,55800,179.9
1650,3224,55300,178.3
1660,3224,55600,179.3
1670,3224,56000,180.5
1680,3088,142200,439.1
1690,3228,56300,181.7
1700,3224,54800,176.7
1710,3224,56200,181.2
1720,3224,54700,176.4
1730,3224,56300,181.5
1740,3224,54700,176.4
1750,3228,56300,181.7
1760,3224,54700,176.4
1770,3228,56200,181.4
1782,3224,55300,178.3
1790,3100,164900,511.2
1800,3224,55300,178.3
1810,3224,55700,179.6
1820,3224,56100,180.9
1830,3224,55000,177.3
1840,3224,56300,181.5
1850,3224,54700,176.4
1860,3228,56200,181.4
1870,3224,54700,176.4
1880,3224,56200,181.2
1890,3224,56800,183.1
1900,3224,56300,181.5
1910,3220,54700,176.1
1920,3224,56200,181.2
1930,3224,55200,178.0
1940,3224,55700,179.6
1950,3224,55400,178.6
1960,3224,55600,179.3
1970,3224,56000,180.5
1980,3224,54900,177.0
1990,3224,56200,181.2
2000,3084,177900,548.6
2010,3224,56200,181.2
2020,3220,54700,176.1
2030,3224,56200,181.2
2040,3224,54700,176.4
2050,3228,56300,181.7
2060,3224,54700,176.4
2070,3224,56200,181.2
2080,3224,55200,178.0
2090,3224,55700,179.6
2100,3224,55400,178.6
2110,3068,63600,195.1
2120,3224,56100,180.9
2130,3224,54900,177.0
2140,3224,56200,181.2
2150,3224,54700,176.4
2160,3224,56300,181.5
2170,3224,54700,176.4
2180,3224,56200,181.2
2190,3224,54700,176.4
2200,3224,56200,181.2
2210,3088,142100,438.8
2220,3224,56300,181.5
2230,3224,55300,178.3
2240,3224,55700,179.6
2250,3224,55300,178.3
2260,3224,55700,179.6
2270,3224,56000,180.5
2280,3224,54900,177.0
2290,3224,56300,181.5
2300,3224,54700,176.4
2310,3224,56300,181.5
2320,3108,55600,172.8
2330,3228,56200,181.4
2340,3224,54700,176.4
2350,3224,56200,181.2
2360,3224,54700,176.4
2370,3224,56300,181.5
2380,3224,55300,178.3
2390,3224,55700,179.6
2400,3224,55300,178.3
2410,3224,55700,179.6
2420,3220,56300,181.3
2430,3224,55000,177.3
2440,3224,56300,181.5
2450,3224,54700,176.4
2460,3228,56200,181.4
2470,3224,54700,176.4
2480,3224,56200,181.2
2490,3224,54700,176.4
2500,3224,56300,181.5
2510,3224,54700,176.4
2520,3100,152100,471.5
2530,3224,55300,178.3
2540,3224,55700,179.6
2550,3224,55300,178.3
2560,3224,55700,179.6
2570,3224,56100,180.9
2580,3224,54900,177.0
2590,3224,56200,181.2
2600,3224,54800,176.7
2610,3224,56300,181.5
2620,3224,54800,176.7
2630,3032,135800,411.7
2640,3224,54700,176.4
2650,3224,56300,181.5
2660,3224,54700,176.4
2670,3224,56300,181.5
2680,3224,55300,178.3
2690,3224,55700,179.6
2700,3224,55300,178.3
2710,3224,55600,179.3
2720,3224,56100,180.9
2730,3084,168200,518.7
2740,3224,56300,181.5
2750,3224,54800,176.7
2760,3224,56300,181.5
2770,3224,54700,176.4
2780,3224,56200,181.2
2790,3224,54700,176.4
2800,3224,56300,181.5
2810,3224,54700,176.4
2820,3224,56200,181.2
2830,3036,138800,421.4
2840,3224,55700,179.6
2850,3224,55300,178.3
2860,3224,55700,179.6
2870,3224,56100,180.9
2880,3224,54900,177.0
2890,3224,56300,181.5
2900,3224,54700,176.4
2910,3228,56200,181.4
2920,3224,54700,176.4
2930,3064,83500,255.8
2940,3224,54700,176.4
2950,3224,56300,181.5
2960,3224,54700,176.4
2970,3228,56300,181.7
2980,3224,55300,178.3
2990,3224,55600,179.3
3000,3224,55300,178.3
3010,3224,55600,179.3
3020,3224,56100,180.9
3030,3224,54900,177.0
3040,3032,135000,409.3
3050,3224,54800,176.7
3060,3224,56200,181.2
3070,3224,54700,176.4
3080,3224,56300,181.5
3090,3224,54700,176.4
3100,3224,56200,181.2
3110,3224,54700,176.4
3120,3224,56300,181.5
3130,3224,55200,178.0
3140,3224,55700,179.6
3150,3196,55600,177.7
3160,3224,55600,179.3
3170,3224,56100,180.9
3180,3224,54900,177.0
3190,3224,56200,181.2
3200,3224,54700,176.4
3210,3224,56300,181.5
3220,3224,54700,176.4
3230,3228,56300,181.7
3240,3224,54700,176.4
3250,3076,142500,438.3
3260,3224,54700,176.4
3270,3228,56300,181.7
3280,3224,55300,178.3
3290,3224,55700,179.6
3300,3224,55300,178.3
3310,3224,55600,179.3
3320,3224,56100,180.9
3330,3224,54800,176.7
3340,3228,56200,181.4
3350,3224,54700,176.4
3360,3224,134000,432.0
3370,3224,54700,176.4
3380,3224,56300,181.5
3390,3224,54700,176.4
3400,3224,56300,181.5
3410,3224,54700,176.4
3420,3224,56300,181.5
3430,3168,55500,175.8
3440,3224,55700,179.6
3450,3224,55400,178.6
3460,3088,143100,441.9
3470,3224,56100,180.9
3480,3224,54900,177.0
3490,3224,56200,181.2
3500,3224,54800,176.7
3510,3224,56200,181.2
3520,3220,54700,176.1
3530,3224,56300,181.5
3540,3224,54700,176.4
3550,3224,56300,181.5
3560,3224,54700,176.4
3570,3100,151200,468.7
3580,3224,55300,178.3
3590,3224,55800,179.9
3600,3224,55300,178.3
3610,3224,55700,179.6
3620,3224,56100,180.9
3630,3224,54900,177.0
3640,3224,56300,181.5
3650,3224,54700,176.4
3660,3224,56200,181.2
3670,3220,54700,176.1
3680,3028,130600,395.5
3690,3220,54800,176.5
3700,3224,56300,181.5
3710,3224,54700,176.4
3720,3224,56300,181.5
3730,3224,55300,178.3
3740,3224,55800,179.9
3750,3224,55400,178.6
3760,3224,55600,179.3
3770,3224,56100,180.9
3780,3084,143100,441.3
3790,3224,56300,181.5
3800,3220,54700,176.1
3810,3224,56200,181.2
3820,3224,54600,176.0
3830,3228,56300,181.7
3840,3224,54800,176.7
3850,3224,56300,181.5
3860,3224,54700,176.4
3870,3224,56200,181.2
3880,3224,55300,178.3
3890,3092,178000,550.4
3900,3224,55400,178.6
3910,3224,55600,179.3
3920,3224,56100,180.9
3930,3224,54900,177.0
3940,3228,56200,181.4
3950,3224,54700,176.4
3960,3224,56200,181.2
3970,3224,54700,176.4
3980,3224,56300,181.5
3990,3168,159900,506.6
4000,3224,56300,181.5
4010,3224,54700,176.4
4020,3224,56200,181.2
4030,3224,55200,178.0
4040,3224,55800,179.9
4050,3224,55300,178.3
4060,3224,55600,179.3
4070,3224,56100,180.9
4080,3224,54800,176.7
4090,3224,56300,181.5
4100,3084,141500,436.4
4110,3224,56300,181.5
4120,3224,54700,176.4
4130,3228,56300,181.7
4140,3224,54700,176.4
4150,3224,56200,181.2
4160,3224,54700,176.4
4170,3224,56300,181.5
4180,3224,55200,178.0
4190,3224,55700,179.6
4200,3224,57500,185.4
4210,3224,55700,179.6
4220,3224,56100,180.9
4230,3224,54800,176.7
4240,3224,56200,181.2
4250,3224,54700,176.4
4260,3224,56200,181.2
4270,3224,54700,176.4
4280,3224,56200,181.2
4290,3224,54700,176.4
4300,3224,56300,181.5
4310,3092,183600,567.7
4320,3224,56300,181.5
4330,3224,55200,178.0
4340,3224,55700,179.6
4350,3224,55400,178.6
4360,3224,55600,179.3
4370,3224,56200,181.2
4380,3224,54900,177.0
4390,3224,56200,181.2
4400,3224,54700,176.4
4410,3224,56300,181.5
4420,3224,54800,176.7
4430,3224,56300,181.5
4440,3224,54700,176.4
4450,3224,56300,181.5
4460,3224,54700,176.4
4470,3224,56300,181.5
