ms,event,rssi,seq,label,addr,mfd
# meta, firmware=RX_MODEC2P_1202, buf_size=512
66,ADV,-54,1,1,e0:5a:1b:15:c4:ca,0001_1
170,ADV,-48,1,1,e0:5a:1b:15:c4:ca,0001_1
280,ADV,-50,1,1,e0:5a:1b:15:c4:ca,0001_1
381,ADV,-51,1,1,e0:5a:1b:15:c4:ca,0001_1
705,ADV,-51,2,0,e0:5a:1b:15:c4:ca,0002_0
804,ADV,-55,2,0,e0:5a:1b:15:c4:ca,0002_0
916,ADV,-49,2,0,e0:5a:1b:15:c4:ca,0002_0
1017,ADV,-51,2,0,e0:5a:1b:15:c4:ca,0002_0
1118,ADV,-54,2,0,e0:5a:1b:15:c4:ca,0002_0
1231,ADV,-48,2,0,e0:5a:1b:15:c4:ca,0002_0
1340,ADV,-50,2,0,e0:5a:1b:15:c4:ca,0002_0
1435,ADV,-51,2,0,e0:5a:1b:15:c4:ca,0002_0
1550,ADV,-51,2,0,e0:5a:1b:15:c4:ca,0002_0
1659,ADV,-49,2,0,e0:5a:1b:15:c4:ca,0002_0
1754,ADV,-48,3,0,e0:5a:1b:15:c4:ca,0003_0
1852,ADV,-54,3,0,e0:5a:1b:15:c4:ca,0003_0
1951,ADV,-48,3,0,e0:5a:1b:15:c4:ca,0003_0
2066,ADV,-50,3,0,e0:5a:1b:15:c4:ca,0003_0
2173,ADV,-54,3,0,e0:5a:1b:15:c4:ca,0003_0
2273,ADV,-49,3,0,e0:5a:1b:15:c4:ca,0003_0
2380,ADV,-50,3,0,e0:5a:1b:15:c4:ca,0003_0
2476,ADV,-51,3,0,e0:5a:1b:15:c4:ca,0003_0
2586,ADV,-49,3,0,e0:5a:1b:15:c4:ca,0003_0
2690,ADV,-50,4,0,e0:5a:1b:15:c4:ca,0004_0
2798,ADV,-49,4,0,e0:5a:1b:15:c4:ca,0004_0
2900,ADV,-54,4,0,e0:5a:1b:15:c4:ca,0004_0
3007,ADV,-49,4,0,e0:5a:1b:15:c4:ca,0004_0
3106,ADV,-51,4,0,e0:5a:1b:15:c4:ca,0004_0
3216,ADV,-50,4,0,e0:5a:1b:15:c4:ca,0004_0
3311,ADV,-48,4,0,e0:5a:1b:15:c4:ca,0004_0
3424,ADV,-50,4,0,e0:5a:1b:15:c4:ca,0004_0
3630,ADV,-48,4,0,e0:5a:1b:15:c4:ca,0004_0
3734,ADV,-51,5,0,e0:5a:1b:15:c4:ca,0005_0
3840,ADV,-50,5,0,e0:5a:1b:15:c4:ca,0005_0
3940,ADV,-48,5,0,e0:5a:1b:15:c4:ca,0005_0
4045,ADV,-48,5,0,e0:5a:1b:15:c4:ca,0005_0
4153,ADV,-49,5,0,e0:5a:1b:15:c4:ca,0005_0
4255,ADV,-51,5,0,e0:5a:1b:15:c4:ca,0005_0
4479,ADV,-50,5,0,e0:5a:1b:15:c4:ca,0005_0
4573,ADV,-52,5,0,e0:5a:1b:15:c4:ca,0005_0
4679,ADV,-49,6,0,e0:5a:1b:15:c4:ca,0006_0
4789,ADV,-51,6,0,e0:5a:1b:15:c4:ca,0006_0
4888,ADV,-51,6,0,e0:5a:1b:15:c4:ca,0006_0
4987,ADV,-48,6,0,e0:5a:1b:15:c4:ca,0006_0
5304,ADV,-55,6,0,e0:5a:1b:15:c4:ca,0006_0
5413,ADV,-48,6,0,e0:5a:1b:15:c4:ca,0006_0
5516,ADV,-50,6,0,e0:5a:1b:15:c4:ca,0006_0
5617,ADV,-50,6,0,e0:5a:1b:15:c4:ca,0006_0
5719,ADV,-48,7,0,e0:5a:1b:15:c4:ca,0007_0
5835,ADV,-50,7,0,e0:5a:1b:15:c4:ca,0007_0
5932,ADV,-53,7,0,e0:5a:1b:15:c4:ca,0007_0
6351,ADV,-50,7,0,e0:5a:1b:15:c4:ca,0007_0
6450,ADV,-49,7,0,e0:5a:1b:15:c4:ca,0007_0
6565,ADV,-51,7,0,e0:5a:1b:15:c4:ca,0007_0
6661,ADV,-53,7,0,e0:5a:1b:15:c4:ca,0007_0
6871,ADV,-51,8,0,e0:5a:1b:15:c4:ca,0008_0
6977,ADV,-50,8,0,e0:5a:1b:15:c4:ca,0008_0
7086,ADV,-48,8,0,e0:5a:1b:15:c4:ca,0008_0
7195,ADV,-49,8,0,e0:5a:1b:15:c4:ca,0008_0
7311,ADV,-50,8,0,e0:5a:1b:15:c4:ca,0008_0
7406,ADV,-50,8,0,e0:5a:1b:15:c4:ca,0008_0
