ms,mV,µA,p_mW
# meta, firmware=TXSD_ModeC2prime_1210, trial_index=auto, adv_interval_ms=0, subject=modeC2prime_1210
12,3236,55600,179.9
21,3240,55200,178.8
31,3240,55500,179.8
41,3240,55800,180.8
51,3240,54900,177.9
61,3240,56100,181.8
71,3240,54600,176.9
81,3240,56100,181.8
91,3240,54600,176.9
101,3236,67900,219.7
111,3236,54600,176.7
121,3240,56100,181.8
131,3240,54600,176.9
141,3240,56100,181.8
151,3236,55000,178.0
161,3240,55700,180.5
171,3240,55200,178.8
181,3240,55500,179.8
191,3240,55500,179.8
201,3240,55300,179.2
211,3080,139500,429.7
221,3240,54600,176.9
231,3240,56100,181.8
241,3236,54600,176.7
251,3240,56100,181.8
261,3236,54600,176.7
271,3240,56200,182.1
281,3240,54600,176.9
291,3240,56200,182.1
301,3240,54700,177.2
311,3136,176500,553.5
321,3240,55200,178.8
331,3240,55600,180.1
341,3240,55200,178.8
351,3240,55500,179.8
361,3240,56100,181.8
371,3240,54700,177.2
381,3240,56200,182.1
391,3240,54600,176.9
401,3240,56100,181.8
411,3236,54600,176.7
421,3076,132800,408.5
431,3236,54600,176.7
441,3240,56100,181.8
451,3240,54500,176.6
461,3240,56100,181.8
471,3240,55100,178.5
481,3240,55600,180.1
491,3240,55200,178.8
501,3240,55600,180.1
511,3240,56000,181.4
521,3100,149300,462.8
531,3240,56100,181.8
541,3236,54600,176.7
551,3240,56100,181.8
561,3236,54500,176.4
571,3240,56100,181.8
581,3236,54600,176.7
591,3240,56100,181.8
601,3240,54600,176.9
611,3240,56100,181.8
621,3240,55100,178.5
631,3136,180200,565.1
641,3236,55200,178.6
651,3240,55500,179.8
661,3240,55800,180.8
671,3240,54900,177.9
681,3240,56100,181.8
691,3236,54600,176.7
701,3240,56100,181.8
711,3236,54600,176.7
721,3240,56100,181.8
731,3236,54600,176.7
741,3240,56300,182.4
751,3236,54600,176.7
761,3240,56100,181.8
771,3236,54900,177.7
781,3240,55800,180.8
791,3236,55200,178.6
801,3240,55500,179.8
811,3240,55400,179.5
821,3240,55300,179.2
831,3240,56100,181.8
841,3104,172300,534.8
851,3240,56100,181.8
861,3240,54600,176.9
871,3240,56100,181.8
881,3172,54800,173.8
891,3240,56100,181.8
901,3240,54600,176.9
911,3240,56100,181.8
921,3236,54600,176.7
931,3240,56000,181.4
941,3084,134600,415.1
951,3240,55500,179.8
961,3240,55100,178.5
971,3240,55500,179.8
981,3240,56000,181.4
991,3236,54600,176.7
1001,3240,56100,181.8
1011,3236,54600,176.7
1021,3240,56000,181.4
1031,3236,54600,176.7
1041,3240,56100,181.8
1051,3080,134100,413.0
1061,3240,56100,181.8
1071,3236,54500,176.4
1081,3240,56000,181.4
1091,3236,55200,178.6
1101,3240,55500,179.8
1111,3240,55200,178.8
1121,3236,55500,179.6
1131,3240,55900,181.1
1141,3240,54700,177.2
1151,3132,141900,444.4
1161,3236,54600,176.7
1171,3240,56200,182.1
1181,3240,54600,176.9
1191,3240,56000,181.4
1201,3240,54600,176.9
1211,3240,56100,181.8
1221,3236,54600,176.7
1231,3240,56100,181.8
1241,3240,55100,178.5
1251,3240,55600,180.1
1261,3236,55400,179.3
1271,3240,55500,179.8
1281,3240,55700,180.5
1291,3240,55000,178.2
1301,3240,56100,181.8
1311,3240,54500,176.6
1321,3240,56100,181.8
1331,3236,54600,176.7
1341,3240,56100,181.8
1351,3236,54600,176.7
1361,3080,132200,407.2
1371,3236,54600,176.7
1381,3240,82700,267.9
1391,3240,54900,177.9
1401,3240,55800,180.8
1411,3240,55200,178.8
1421,3240,55500,179.8
1431,3236,55400,179.3
1441,3240,55300,179.2
1451,3240,56100,181.8
1461,3236,54600,176.7
1471,3084,151600,467.5
1481,3236,54600,176.7
1491,3240,56100,181.8
1501,3236,54600,176.7
1511,3240,56200,182.1
1521,3240,54600,176.9
1531,3240,56100,181.8
1541,3240,54600,176.9
1551,3240,56200,182.1
1561,3240,55100,178.5
1571,3240,55500,179.8
1581,3236,55300,179.0
1591,3240,55400,179.5
1601,3240,56000,181.4
1611,3240,54600,176.9
1621,3240,56100,181.8
1631,3240,54600,176.9
1641,3240,56100,181.8
1651,3236,54500,176.4
1661,3240,56100,181.8
1671,3240,54500,176.6
1681,3136,175800,551.3
1691,3236,54500,176.4
1701,3240,56200,182.1
1711,3240,55100,178.5
1721,3240,55600,180.1
1731,3240,55200,178.8
1741,3240,55500,179.8
1751,3236,55900,180.9
1761,3236,54800,177.3
1771,3240,56100,181.8
1781,3092,140800,435.4
1793,3240,56100,181.8
1801,3236,54500,176.4
1811,3240,56100,181.8
1821,3236,54500,176.4
1831,3240,56100,181.8
1841,3236,54600,176.7
1851,3240,56200,182.1
1861,3236,55000,178.0
1871,3240,55700,180.5
1881,3128,142400,445.4
1891,3128,149100,466.4
1901,3240,55800,180.8
1911,3240,55100,178.5
1921,3240,56100,181.8
1931,3236,54600,176.7
1941,3240,56100,181.8
1951,3240,54600,176.9
1961,3240,56100,181.8
1971,3240,54600,176.9
1981,3240,56100,181.8
1991,3104,152900,474.6
2001,3240,56100,181.8
2011,3236,54800,177.3
2021,3240,55900,181.1
2031,3236,55200,178.6
2041,3240,55500,179.8
2051,3240,55300,179.2
2061,3240,55400,179.5
2071,3240,56000,181.4
2081,3240,54600,176.9
2091,3100,142300,441.1
2101,3240,54600,176.9
2111,3240,56100,181.8
2121,3236,54500,176.4
2131,3240,56100,181.8
2141,3236,54600,176.7
2151,3240,56100,181.8
2161,3236,54600,176.7
2171,3240,56100,181.8
2181,3236,55200,178.6
2191,3236,55500,179.6
2201,3112,143500,446.6
2211,3240,55500,179.8
2221,3240,56000,181.4
2231,3236,54700,177.0
2241,3240,56200,182.1
2251,3236,54700,177.0
2261,3240,56100,181.8
2271,3236,54600,176.7
2281,3240,56100,181.8
2291,3236,54700,177.0
2301,3240,56100,181.8
2311,3128,141700,443.2
2321,3240,56100,181.8
2331,3236,55200,178.6
2341,3240,55700,180.5
2351,3240,55200,178.8
2361,3240,55600,180.1
2371,3240,55900,181.1
2381,3108,55300,171.9
2391,3240,56100,181.8
2401,3236,54500,176.4
2411,3240,56100,181.8
2421,3136,175100,549.1
2431,3240,56100,181.8
2441,3240,54500,176.6
2451,3240,56200,182.1
2461,3236,54600,176.7
2471,3240,56100,181.8
2481,3236,55000,178.0
2491,3240,55700,180.5
2501,3240,55200,178.8
2511,3240,55500,179.8
2521,3236,57600,186.4
2531,3236,55200,178.6
2541,3240,56100,181.8
2551,3240,54500,176.6
2561,3240,56100,181.8
2571,3236,54600,176.7
2581,3240,56100,181.8
2591,3236,54500,176.4
2601,3240,56100,181.8
2611,3240,54600,176.9
2621,3240,56000,181.4
2631,3140,185600,582.8
2641,3240,55900,181.1
2651,3240,55200,178.8
2661,3236,55500,179.6
2671,3236,55300,179.0
2681,3240,55400,179.5
2691,3240,56100,181.8
2701,3240,54600,176.9
2711,3240,56100,181.8
2721,3236,54600,176.7
2731,3084,139100,429.0
2741,3240,54600,176.9
2751,3240,56100,181.8
2761,3240,54600,176.9
2771,3240,56100,181.8
2781,3236,54600,176.7
2791,3240,56200,182.1
2801,3240,55100,178.5
2811,3240,55600,180.1
2821,3240,55200,178.8
2831,3120,164900,514.5
2841,3240,56000,181.4
2851,3240,54700,177.2
2861,3240,56100,181.8
2871,3240,54600,176.9
2881,3240,56200,182.1
2891,3236,54600,176.7
2901,3236,56200,181.9
2911,3236,54600,176.7
2921,3240,56200,182.1
2931,3240,54600,176.9
2941,3124,166200,519.2
2951,3240,55200,178.8
2961,3240,55600,180.1
2971,3236,55200,178.6
2981,3240,55500,179.8
2991,3236,55900,180.9
3001,3240,54900,177.9
3011,3240,56100,181.8
3021,3236,54600,176.7
3031,3240,56100,181.8
3041,3236,56700,183.5
3051,3240,56200,182.1
3061,3236,54500,176.4
3071,3240,56100,181.8
3081,3236,54600,176.7
3091,3240,56200,182.1
3101,3236,55000,178.0
3111,3240,55700,180.5
3121,3240,55200,178.8
3131,3236,55400,179.3
3141,3240,55600,180.1
3151,3136,154600,484.8
3161,3240,56100,181.8
3171,3236,54600,176.7
3181,3240,56100,181.8
3191,3240,54600,176.9
3201,3240,56100,181.8
3211,3236,54600,176.7
3221,3240,56100,181.8
3231,3240,54600,176.9
3241,3240,56100,181.8
3251,3236,54700,177.0
3261,3240,70200,227.4
3271,3236,55200,178.6
3281,3240,55500,179.8
3291,3240,55200,178.8
3301,3236,55500,179.6
3311,3240,56100,181.8
3321,3240,54600,176.9
3331,3240,56100,181.8
3341,3240,54600,176.9
3351,3240,56100,181.8
3361,3132,184100,576.6
3371,3240,56100,181.8
3381,3184,54800,174.5
3391,3240,56100,181.8
3401,3236,54600,176.7
3411,3240,56100,181.8
3421,3236,55200,178.6
3431,3236,55500,179.6
3441,3236,55300,179.0
3451,3240,55500,179.8
3461,3108,167900,521.8
3471,3240,54700,177.2
3481,3240,56200,182.1
3491,3240,54600,176.9
3501,3240,56100,181.8
3511,3236,54500,176.4
3521,3240,56100,181.8
3531,3236,54500,176.4
3541,3240,56100,181.8
3551,3236,54600,176.7
3561,3240,129800,420.6
