ms,event,rssi,seq,label,addr,mfd
# meta, firmware=RX_MODEC2P_1202, buf_size=512
162,ADV,-45,7,9,e0:5a:1b:15:c4:ca,0007_9
275,ADV,-43,8,9,e0:5a:1b:15:c4:ca,0008_9
372,ADV,-43,9,9,e0:5a:1b:15:c4:ca,0009_9
478,ADV,-49,10,9,e0:5a:1b:15:c4:ca,0010_9
692,ADV,-44,12,9,e0:5a:1b:15:c4:ca,0012_9
794,ADV,-49,13,9,e0:5a:1b:15:c4:ca,0013_9
899,ADV,-44,14,9,e0:5a:1b:15:c4:ca,0014_9
1006,ADV,-43,15,9,e0:5a:1b:15:c4:ca,0015_9
1222,ADV,-49,17,9,e0:5a:1b:15:c4:ca,0017_9
1325,ADV,-43,18,9,e0:5a:1b:15:c4:ca,0018_9
1432,ADV,-44,20,9,e0:5a:1b:15:c4:ca,0020_9
1538,ADV,-49,21,9,e0:5a:1b:15:c4:ca,0021_9
1646,ADV,-45,22,9,e0:5a:1b:15:c4:ca,0022_9
1751,ADV,-43,23,9,e0:5a:1b:15:c4:ca,0023_9
1859,ADV,-49,24,9,e0:5a:1b:15:c4:ca,0024_9
1960,ADV,-45,25,9,e0:5a:1b:15:c4:ca,0025_9
2064,ADV,-43,26,9,e0:5a:1b:15:c4:ca,0026_9
2271,ADV,-49,28,9,e0:5a:1b:15:c4:ca,0028_9
2379,ADV,-45,29,9,e0:5a:1b:15:c4:ca,0029_9
2480,ADV,-44,30,9,e0:5a:1b:15:c4:ca,0030_9
2593,ADV,-49,31,9,e0:5a:1b:15:c4:ca,0031_9
2695,ADV,-43,32,9,e0:5a:1b:15:c4:ca,0032_9
2901,ADV,-48,34,9,e0:5a:1b:15:c4:ca,0034_9
3012,ADV,-45,35,9,e0:5a:1b:15:c4:ca,0035_9
3120,ADV,-44,36,9,e0:5a:1b:15:c4:ca,0036_9
3328,ADV,-49,38,9,e0:5a:1b:15:c4:ca,0038_9
3426,ADV,-45,39,9,e0:5a:1b:15:c4:ca,0039_9
3535,ADV,-44,41,9,e0:5a:1b:15:c4:ca,0041_9
3644,ADV,-47,42,9,e0:5a:1b:15:c4:ca,0042_9
3850,ADV,-46,44,9,e0:5a:1b:15:c4:ca,0044_9
3957,ADV,-47,45,9,e0:5a:1b:15:c4:ca,0045_9
4064,ADV,-45,46,9,e0:5a:1b:15:c4:ca,0046_9
4171,ADV,-47,47,9,e0:5a:1b:15:c4:ca,0047_9
4276,ADV,-47,48,5,e0:5a:1b:15:c4:ca,0048_5
4381,ADV,-49,49,5,e0:5a:1b:15:c4:ca,0049_5
4479,ADV,-49,50,5,e0:5a:1b:15:c4:ca,0050_5
4579,ADV,-48,51,5,e0:5a:1b:15:c4:ca,0051_5
4684,ADV,-49,52,5,e0:5a:1b:15:c4:ca,0052_5
4790,ADV,-48,53,5,e0:5a:1b:15:c4:ca,0053_5
4897,ADV,-47,54,5,e0:5a:1b:15:c4:ca,0054_5
5003,ADV,-48,55,5,e0:5a:1b:15:c4:ca,0055_5
5104,ADV,-47,56,5,e0:5a:1b:15:c4:ca,0056_5
5203,ADV,-47,57,5,e0:5a:1b:15:c4:ca,0057_5
5314,ADV,-49,58,5,e0:5a:1b:15:c4:ca,0058_5
5422,ADV,-49,59,5,e0:5a:1b:15:c4:ca,0059_5
5527,ADV,-47,60,5,e0:5a:1b:15:c4:ca,0060_5
5631,ADV,-47,62,5,e0:5a:1b:15:c4:ca,0062_5
5739,ADV,-49,63,5,e0:5a:1b:15:c4:ca,0063_5
5845,ADV,-48,64,5,e0:5a:1b:15:c4:ca,0064_5
5951,ADV,-48,65,5,e0:5a:1b:15:c4:ca,0065_5
6051,ADV,-49,66,5,e0:5a:1b:15:c4:ca,0066_5
6161,ADV,-47,67,5,e0:5a:1b:15:c4:ca,0067_5
6261,ADV,-47,68,5,e0:5a:1b:15:c4:ca,0068_5
6479,ADV,-48,70,5,e0:5a:1b:15:c4:ca,0070_5
6579,ADV,-47,71,5,e0:5a:1b:15:c4:ca,0071_5
6781,ADV,-48,73,5,e0:5a:1b:15:c4:ca,0073_5
6894,ADV,-47,74,5,e0:5a:1b:15:c4:ca,0074_5
6995,ADV,-47,75,5,e0:5a:1b:15:c4:ca,0075_5
7105,ADV,-47,76,5,e0:5a:1b:15:c4:ca,0076_5
7210,ADV,-47,77,5,e0:5a:1b:15:c4:ca,0077_5
