ms,mV,µA,p_mW
# meta, firmware=TXSD_ModeC2prime_1210, trial_index=auto, adv_interval_ms=0, subject=modeC2prime_1210
12,3236,54600,176.7
21,3236,56200,181.9
31,3236,54700,177.0
41,3240,55500,179.8
51,3240,55200,178.8
61,3240,55500,179.8
71,3240,55200,178.8
81,3240,55500,179.8
91,3240,56600,183.4
101,3240,54700,177.2
111,3240,56100,181.8
121,3240,54600,176.9
131,3240,56100,181.8
141,3240,54600,176.9
151,3244,56100,182.0
161,3240,54600,176.9
171,3244,56100,182.0
181,3240,54900,177.9
191,3244,55500,180.0
201,3140,142400,447.1
211,3244,55500,180.0
221,3244,55500,180.0
231,3244,55300,179.4
241,3244,56200,182.3
251,3244,54600,177.1
261,3244,56100,182.0
271,3244,54600,177.1
281,3248,56100,182.2
291,3244,54500,176.8
301,3244,82800,268.6
311,3244,54600,177.1
321,3248,56000,181.9
331,3244,55000,178.4
341,3244,55700,180.7
351,3248,55200,179.3
361,3244,55500,180.0
371,3244,55700,180.7
381,3248,55000,178.6
391,3244,56100,182.0
401,3244,54600,177.1
411,3156,135600,428.0
421,3244,54600,177.1
431,3248,56200,182.5
441,3248,54500,177.0
451,3248,56100,182.2
461,3244,54500,176.8
471,3248,55800,181.2
481,3244,55100,178.7
491,3244,55600,180.4
501,3244,55200,179.1
511,3248,55500,180.3
521,3116,161500,503.2
531,3244,54800,177.8
541,3248,56100,182.2
551,3244,54600,177.1
561,3248,56100,182.2
571,3244,54600,177.1
581,3248,56100,182.2
591,3248,54600,177.3
601,3248,56100,182.2
611,3244,54600,177.1
621,3244,101700,329.9
631,3248,55100,179.0
641,3248,55500,180.3
651,3248,55200,179.3
661,3244,55400,179.7
671,3240,56000,181.4
681,3240,54700,177.2
691,3244,56100,182.0
701,3244,54600,177.1
711,3244,56100,182.0
721,3240,54500,176.6
731,3244,56200,182.3
741,3240,54500,176.6
751,3244,56100,182.0
761,3240,54600,176.9
771,3240,55600,180.1
781,3244,55100,178.7
791,3244,55500,180.0
801,3240,55200,178.8
811,3240,55500,179.8
821,3244,56000,181.7
831,3212,162500,522.0
841,3244,56100,182.0
851,3244,54500,176.8
861,3244,56100,182.0
871,3244,54600,177.1
881,3244,56200,182.3
891,3244,54600,177.1
901,3244,56300,182.6
911,3244,54600,177.1
921,3244,55600,180.4
931,3244,55200,179.1
941,3144,141800,445.8
951,3244,55300,179.4
961,3244,55600,180.4
971,3244,56100,182.0
981,3244,54700,177.4
991,3244,56200,182.3
1001,3244,54600,177.1
1011,3244,56100,182.0
1021,3244,54600,177.1
1031,3248,56200,182.5
1041,3244,54600,177.1
1051,3092,114000,352.5
1061,3244,54800,177.8
1071,3244,55600,180.4
1081,3244,55200,179.1
1091,3244,55500,180.0
1101,3244,55400,179.7
1111,3244,55400,179.7
1121,3248,56100,182.2
1131,3244,54600,177.1
1141,3248,56200,182.5
1151,3244,54600,177.1
1161,3248,56200,182.5
1171,3244,54700,177.4
1181,3244,56200,182.3
1191,3244,54600,177.1
1201,3244,56000,181.7
1211,3244,55000,178.4
1221,3244,55600,180.4
1231,3248,55200,179.3
1241,3244,55500,180.0
1251,3248,55600,180.6
1261,3228,163500,527.8
1271,3244,56200,182.3
1281,3244,54600,177.1
1291,3244,56200,182.3
1301,3244,54700,177.4
1311,3248,56100,182.2
1321,3244,54700,177.4
1331,3248,56100,182.2
1341,3244,54600,177.1
1351,3248,55900,181.6
1361,3244,55100,178.7
1371,3104,139400,432.7
1381,3244,55300,179.4
1391,3244,55500,180.0
1401,3248,55800,181.2
1411,3244,55000,178.4
1421,3248,56200,182.5
1431,3244,54700,177.4
1441,3248,56200,182.5
1451,3248,54700,177.7
1461,3248,56200,182.5
1471,3244,54600,177.1
1481,3096,123400,382.0
1491,3244,54600,177.1
1501,3248,55600,180.6
1511,3244,55100,178.7
1521,3248,55600,180.6
1531,3248,55200,179.3
1541,3248,55600,180.6
1551,3248,56000,181.9
1561,3244,54800,177.8
1571,3248,56100,182.2
1581,3148,135100,425.3
1591,3244,56300,182.6
1601,3244,54600,177.1
1611,3244,56200,182.3
1621,3244,54600,177.1
1631,3248,56100,182.2
1641,3244,54600,177.1
1651,3244,55600,180.4
1661,3244,55100,178.7
1671,3248,55600,180.6
1681,3244,55300,179.4
1691,3116,157700,491.4
1701,3244,56100,182.0
1711,3244,54700,177.4
1721,3248,56200,182.5
1731,3244,54600,177.1
1741,3248,56200,182.5
1751,3244,54600,177.1
1761,3248,56200,182.5
1771,3244,54600,177.1
1781,3248,56200,182.5
1793,3100,133700,414.5
1801,3244,55600,180.4
1811,3244,55300,179.4
1821,3248,55600,180.6
1831,3248,55300,179.6
1841,3244,55500,180.0
1851,3244,56000,181.7
1861,3244,54700,177.4
1871,3244,56200,182.3
1881,3244,54600,177.1
1891,3248,56100,182.2
1901,3140,164400,516.2
1911,3248,56200,182.5
1921,3244,54700,177.4
1931,3248,56200,182.5
1941,3244,54700,177.4
1951,3244,55500,180.0
1961,3244,55200,179.1
1971,3248,55600,180.6
1981,3244,55300,179.4
1991,3244,55400,179.7
2001,3248,56100,182.2
2011,3164,55300,175.0
2021,3248,56200,182.5
2031,3244,54600,177.1
2041,3248,56200,182.5
2051,3244,54600,177.1
2061,3248,56200,182.5
2071,3244,54700,177.4
2081,3248,56100,182.2
2091,3244,55000,178.4
2101,3244,55600,180.4
2111,3112,134800,419.5
2121,3248,55600,180.6
2131,3248,55500,180.3
2141,3248,55300,179.6
2151,3248,56200,182.5
2161,3244,54600,177.1
2171,3248,56200,182.5
2181,3248,54600,177.3
2191,3248,56200,182.5
2201,3244,54700,177.4
2211,3248,56200,182.5
2221,3152,183300,577.8
2231,3244,55900,181.3
2241,3244,55100,178.7
2251,3248,55500,180.3
2261,3244,55200,179.1
2271,3248,55500,180.3
2281,3248,55800,181.2
2291,3248,55000,178.6
2301,3248,56100,182.2
2311,3248,54600,177.3
2321,3244,56100,182.0
2331,3184,55000,175.1
2341,3248,56200,182.5
2351,3244,54600,177.1
2361,3248,56100,182.2
2371,3244,54600,177.1
2381,3248,55700,180.9
2391,3248,55100,179.0
2401,3248,55600,180.6
