ms,mV,µA,p_mW
# meta, firmware=TXSD_ModeC2prime_1210, trial_index=auto, adv_interval_ms=0, subject=modeC2prime_1210
11,3248,56200,182.5
20,3248,54700,177.7
30,3248,56200,182.5
40,3248,54600,177.3
50,3248,56200,182.5
60,3248,55200,179.3
70,3248,55700,180.9
80,3248,55300,179.6
90,3248,55600,180.6
100,3248,55300,179.6
110,3248,55100,179.0
120,3248,56000,181.9
130,3248,54600,177.3
140,3248,56200,182.5
150,3248,54700,177.7
160,3248,56200,182.5
170,3248,54700,177.7
180,3248,56200,182.5
190,3248,54600,177.3
200,3248,56300,182.9
210,3248,55000,178.6
220,3248,55900,181.6
230,3248,55100,179.0
240,3248,55600,180.6
250,3248,55300,179.6
260,3248,55400,179.9
270,3248,55700,180.9
280,3248,54700,177.7
290,3248,56200,182.5
300,3248,54600,177.3
310,3248,56200,182.5
320,3248,54700,177.7
330,3248,56200,182.5
340,3248,54600,177.3
350,3252,56200,182.8
360,3248,54700,177.7
370,3248,56200,182.5
380,3248,54800,178.0
390,3248,55600,180.6
400,3248,55300,179.6
410,3248,55600,180.6
420,3248,55300,179.6
430,3248,54700,177.7
440,3248,56200,182.5
450,3248,54700,177.7
460,3248,56200,182.5
470,3248,54700,177.7
480,3252,56200,182.8
490,3248,54600,177.3
500,3248,56200,182.5
510,3248,54700,177.7
520,3248,56200,182.5
530,3248,55300,179.6
540,3248,55600,180.6
550,3248,55200,179.3
560,3248,55600,180.6
570,3248,55200,179.3
580,3248,54800,178.0
590,3248,56100,182.2
600,3248,54700,177.7
610,3248,56200,182.5
620,3248,54600,177.3
630,3248,56200,182.5
640,3248,54600,177.3
650,3248,56200,182.5
660,3248,54600,177.3
670,3248,56200,182.5
680,3248,55200,179.3
690,3248,55600,180.6
700,3248,55300,179.6
710,3248,55500,180.3
720,3248,55200,179.3
730,3252,55000,178.9
740,3248,56000,181.9
750,3248,54600,177.3
760,3252,56200,182.8
770,3248,54700,177.7
780,3248,56200,182.5
790,3248,54700,177.7
800,3248,56200,182.5
810,3248,54700,177.7
820,3248,56100,182.2
830,3248,55000,178.6
840,3248,55900,181.6
850,3248,55100,179.0
860,3248,55600,180.6
870,3248,55300,179.6
880,3248,55400,179.9
890,3248,55700,180.9
900,3248,54700,177.7
910,3248,56100,182.2
920,3248,54600,177.3
930,3248,56300,182.9
940,3248,54700,177.7
950,3248,56200,182.5
960,3248,54600,177.3
970,3248,56200,182.5
980,3248,54700,177.7
990,3248,56200,182.5
