timestamp_ms,u,s,ccs,interval_ms,pred_label,true_label_4
0,0.0051,1.0000,0.9965,2000,1,1
1000,0.0077,1.0000,0.9946,2000,1,1
2000,0.1592,1.0000,0.8886,2000,1,1
3000,0.3897,1.0000,0.7272,100,1,1
4000,0.5152,0.8000,0.5793,100,0,1
5000,0.0137,0.6000,0.8704,500,1,1
6000,0.0197,0.6000,0.8662,500,1,1
7000,0.0721,0.6000,0.8295,500,1,1
8000,0.0167,0.8000,0.9283,2000,1,1
9000,0.0128,1.0000,0.9910,2000,1,1
10000,0.0475,1.0000,0.9668,2000,1,1
11000,0.2112,1.0000,0.8522,2000,1,1
12000,0.0752,1.0000,0.9474,2000,1,1
13000,0.1030,1.0000,0.9279,2000,1,1
14000,0.2333,1.0000,0.8367,500,1,1
15000,0.0872,1.0000,0.9390,500,1,1
16000,0.0446,1.0000,0.9688,2000,1,1
17000,0.0065,1.0000,0.9955,2000,1,1
18000,0.0156,1.0000,0.9890,2000,1,1
19000,0.0082,1.0000,0.9942,2000,1,1
20000,0.0680,1.0000,0.9524,2000,1,1
21000,0.0521,1.0000,0.9636,2000,1,1
22000,0.0302,1.0000,0.9789,2000,1,1
23000,0.0558,1.0000,0.9609,2000,1,1
24000,0.0189,1.0000,0.9867,2000,1,1
25000,0.0099,1.0000,0.9930,2000,1,1
26000,0.0176,1.0000,0.9877,2000,1,1
27000,0.0630,1.0000,0.9559,2000,1,1
28000,0.0403,1.0000,0.9718,2000,1,1
29000,0.0931,1.0000,0.9349,2000,1,1
30000,0.3136,1.0000,0.7805,500,1,1
31000,0.0295,1.0000,0.9793,500,1,1
32000,0.0324,1.0000,0.9773,2000,1,1
33000,0.0139,1.0000,0.9902,2000,1,1
34000,0.0104,1.0000,0.9927,2000,1,1
35000,0.0221,1.0000,0.9845,2000,1,1
36000,0.0325,1.0000,0.9773,2000,1,1
37000,0.3915,1.0000,0.7259,100,1,1
38000,0.0885,1.0000,0.9380,100,1,1
39000,0.0974,1.0000,0.9318,2000,1,1
40000,0.0207,1.0000,0.9855,2000,1,1
41000,0.0251,1.0000,0.9824,2000,1,1
42000,0.0803,1.0000,0.9438,2000,1,1
43000,0.0261,1.0000,0.9817,2000,1,1
44000,0.0076,1.0000,0.9947,2000,1,1
45000,0.0275,1.0000,0.9808,2000,1,1
46000,0.0141,1.0000,0.9901,2000,1,1
47000,0.0086,1.0000,0.9940,2000,1,1
48000,0.0065,1.0000,0.9954,2000,1,1
49000,0.0070,1.0000,0.9951,2000,1,1
50000,0.0182,1.0000,0.9872,2000,1,1
51000,0.0486,1.0000,0.9660,2000,1,1
52000,0.0202,1.0000,0.9859,2000,1,1
53000,0.0075,1.0000,0.9947,2000,1,1
54000,0.0196,1.0000,0.9863,2000,1,1
55000,0.0299,1.0000,0.9791,2000,1,1
56000,0.0588,1.0000,0.9588,2000,1,1
57000,0.0218,1.0000,0.9847,2000,1,1
58000,0.0791,1.0000,0.9446,2000,1,1
59000,0.0643,1.0000,0.9550,2000,1,1
60000,0.3282,0.8000,0.7103,100,3,2
61000,0.2924,0.8000,0.7353,100,3,2
62000,0.2957,0.8000,0.7330,100,3,2
63000,0.2961,0.8000,0.7327,100,3,2
64000,0.3120,1.0000,0.7816,100,3,2
65000,0.2889,1.0000,0.7978,100,3,2
66000,0.2924,1.0000,0.7953,100,3,2
67000,0.3120,1.0000,0.7816,100,3,2
68000,0.2961,1.0000,0.7927,100,3,2
69000,0.2890,1.0000,0.7977,100,3,2
70000,0.2886,1.0000,0.7980,100,3,2
71000,0.2920,1.0000,0.7956,100,3,2
72000,0.2997,1.0000,0.7902,100,3,2
73000,0.2845,1.0000,0.8009,500,3,2
74000,0.2845,1.0000,0.8009,500,3,2
75000,0.2769,1.0000,0.8062,500,3,2
76000,0.2888,1.0000,0.7978,500,3,2
77000,0.2957,1.0000,0.7930,500,3,2
78000,0.2804,1.0000,0.8037,500,3,2
79000,0.2619,1.0000,0.8167,500,3,2
80000,0.2769,1.0000,0.8062,500,3,2
81000,0.2851,1.0000,0.8004,500,3,2
82000,0.2804,1.0000,0.8037,500,3,2
83000,0.2730,1.0000,0.8089,500,3,2
84000,0.2767,1.0000,0.8063,500,3,2
