timestamp_ms,u,s,ccs,interval_ms,pred_label,true_label_4
0,0.4408,1.0000,0.6915,100,3,2
100,0.4360,1.0000,0.6948,100,3,2
200,0.4561,1.0000,0.6807,100,3,2
300,0.4563,1.0000,0.6806,100,3,2
400,0.4516,1.0000,0.6839,100,3,2
500,0.4360,1.0000,0.6948,100,3,2
600,0.4516,1.0000,0.6839,100,3,2
700,0.4515,1.0000,0.6839,100,3,2
800,0.4515,1.0000,0.6839,100,3,2
900,0.4516,1.0000,0.6839,100,3,2
1000,0.4562,1.0000,0.6807,100,3,2
1100,0.4516,1.0000,0.6839,100,3,2
1200,0.4307,1.0000,0.6985,100,3,2
1300,0.4308,1.0000,0.6984,100,3,2
1400,0.4516,1.0000,0.6839,100,3,2
1500,0.4360,1.0000,0.6948,100,3,2
1600,0.4365,1.0000,0.6944,100,3,2
1700,0.4360,1.0000,0.6948,100,3,2
1800,0.4515,1.0000,0.6839,100,3,2
1900,0.4365,1.0000,0.6944,100,3,2
2000,0.4313,1.0000,0.6981,100,3,2
2100,0.4308,1.0000,0.6985,100,3,2
2200,0.4312,1.0000,0.6981,100,3,2
2300,0.4307,1.0000,0.6985,100,3,2
2400,0.4307,1.0000,0.6985,100,3,2
2500,0.4307,1.0000,0.6985,100,3,2
2600,0.4351,1.0000,0.6954,100,3,2
2700,0.4307,1.0000,0.6985,100,3,2
2800,0.4308,1.0000,0.6984,100,3,2
2900,0.4308,1.0000,0.6984,100,3,2
3000,0.4308,1.0000,0.6984,100,3,2
3100,0.4464,1.0000,0.6875,100,3,2
3200,0.4464,1.0000,0.6875,100,3,2
3300,0.4508,1.0000,0.6845,100,3,2
3400,0.4503,1.0000,0.6848,100,3,2
3500,0.4460,1.0000,0.6878,100,3,2
3600,0.4503,1.0000,0.6848,100,3,2
3700,0.4296,1.0000,0.6992,100,3,2
3800,0.4503,1.0000,0.6848,100,3,2
3900,0.4347,1.0000,0.6957,100,3,2
4000,0.4347,1.0000,0.6957,100,3,2
4100,0.4347,1.0000,0.6957,100,3,2
4200,0.4308,1.0000,0.6984,100,3,2
4300,0.4307,1.0000,0.6985,100,3,2
4400,0.4515,1.0000,0.6839,100,3,2
4500,0.4308,1.0000,0.6984,100,3,2
4600,0.4352,1.0000,0.6954,100,3,2
4700,0.4347,1.0000,0.6957,100,3,2
4800,0.4351,1.0000,0.6954,100,3,2
4900,0.4347,1.0000,0.6957,100,3,2
5000,0.4187,1.0000,0.7069,100,3,2
5100,0.4347,1.0000,0.6957,100,3,2
5200,0.4402,1.0000,0.6918,100,3,2
5300,0.4188,1.0000,0.7069,100,3,2
5400,0.4352,1.0000,0.6953,100,3,2
