timestamp_ms,interval_ms,ccs,u,s
0,100,0.6242,0.5369,1.0
1000,100,0.6068,0.5617,1.0
2000,100,0.6389,0.5159,1.0
3000,100,0.6219,0.5401,1.0
4000,100,0.6243,0.5368,1.0
5000,100,0.6158,0.5488,1.0
6000,100,0.6312,0.5269,1.0
7000,100,0.5994,0.5723,1.0
8000,100,0.5902,0.5855,1.0
9000,100,0.6159,0.5487,1.0
10000,100,0.5981,0.5741,1.0
11000,100,0.6071,0.5613,1.0
12000,100,0.5982,0.574,1.0
13000,100,0.6067,0.5618,1.0
14000,100,0.6219,0.5401,1.0
15000,100,0.6242,0.5368,1.0
16000,100,0.6242,0.5368,1.0
17000,100,0.6069,0.5616,1.0
18000,100,0.6293,0.5296,1.0
19000,100,0.6219,0.5402,1.0
20000,100,0.6312,0.5269,1.0
21000,100,0.6294,0.5295,1.0
22000,100,0.6389,0.5158,1.0
23000,100,0.6313,0.5268,1.0
24000,100,0.6242,0.5368,1.0
25000,100,0.6151,0.5499,1.0
26000,100,0.5915,0.5836,1.0
27000,100,0.6011,0.5698,1.0
28000,100,0.6322,0.5254,1.0
29000,100,0.6463,0.5053,1.0
30000,100,0.6487,0.5018,1.0
31000,100,0.6463,0.5053,1.0
32000,100,0.6461,0.5055,1.0
33000,100,0.6365,0.5193,1.0
34000,100,0.6463,0.5053,1.0
35000,100,0.6463,0.5053,1.0
36000,100,0.6487,0.5019,1.0
37000,100,0.6487,0.5018,1.0
38000,100,0.6463,0.5053,1.0
39000,100,0.6294,0.5295,1.0
40000,100,0.6323,0.5253,1.0
41000,100,0.6399,0.5145,1.0
42000,100,0.6292,0.5296,1.0
43000,100,0.5819,0.5972,1.0
44000,100,0.5843,0.5939,1.0
45000,100,0.6439,0.5087,1.0
46000,100,0.6658,0.4774,1.0
47000,100,0.6599,0.4859,1.0
48000,100,0.6242,0.5369,1.0
49000,100,0.6176,0.5462,1.0
50000,100,0.6474,0.5038,1.0
51000,100,0.6473,0.5038,1.0
52000,100,0.6402,0.514,1.0
53000,100,0.6647,0.4789,1.0
54000,100,0.6598,0.486,1.0
55000,100,0.6658,0.4775,1.0
56000,100,0.6702,0.4712,1.0
57000,100,0.6354,0.5208,1.0
58000,100,0.6323,0.5253,1.0
59000,100,0.6294,0.5295,1.0
60000,100,0.5809,0.513,0.8
61000,100,0.6255,0.4493,0.8
62000,100,0.5809,0.513,0.8
63000,100,0.5445,0.565,0.8
64000,100,0.6316,0.5263,1.0
65000,100,0.5956,0.5777,1.0
66000,100,0.5362,0.6625,1.0
67000,100,0.536,0.6628,1.0
68000,100,0.5956,0.5777,1.0
69000,100,0.6774,0.4609,1.0
70000,100,0.6831,0.4527,1.0
71000,100,0.6731,0.467,1.0
72000,100,0.6701,0.4712,1.0
73000,100,0.6458,0.506,1.0
74000,100,0.6558,0.4917,1.0
75000,100,0.6701,0.4712,1.0
76000,100,0.6868,0.4474,1.0
77000,100,0.6797,0.4575,1.0
78000,100,0.6764,0.4623,1.0
79000,100,0.6661,0.477,1.0
80000,100,0.6869,0.4472,1.0
81000,100,0.6702,0.4711,1.0
82000,100,0.6701,0.4712,1.0
83000,100,0.6936,0.4378,1.0
84000,100,0.6765,0.4621,1.0
85000,100,0.6973,0.4324,1.0
86000,100,0.6973,0.4324,1.0
87000,100,0.6381,0.517,1.0
88000,100,0.663,0.4815,1.0
89000,100,0.6869,0.4472,1.0
90000,100,0.6598,0.4861,1.0
91000,100,0.6459,0.5058,1.0
92000,100,0.6869,0.4473,1.0
93000,100,0.7041,0.4226,1.0
94000,100,0.6702,0.4712,1.0
95000,100,0.7042,0.4225,1.0
96000,100,0.6702,0.4711,1.0
97000,100,0.6599,0.4859,1.0
98000,100,0.6829,0.453,1.0
99000,100,0.7161,0.4055,1.0
100000,100,0.731,0.3844,1.0
101000,100,0.704,0.4229,1.0
102000,100,0.6993,0.4296,1.0
103000,100,0.6806,0.4563,1.0
104000,100,0.7041,0.4227,1.0
105000,100,0.7101,0.4141,1.0
