time_center_s,p0_loco,p1_trans,p2_stat,p3_unk,y_hat,U,U_ema,CCS,CCS_ema,mask_eval_window,window_len_s,stride_s
1.0,0.458329,0.492604,0.049067,0.000000,1,0.777597,0.777597,0.000000,0.000000,1,2.0,1.0
2.0,0.195893,0.586786,0.217322,0.000000,1,0.877352,0.797548,0.610501,0.122100,1,2.0,1.0
3.0,0.590989,0.368457,0.040554,0.000000,0,0.736105,0.785259,0.659211,0.229522,1,2.0,1.0
4.0,0.559890,0.399646,0.040464,0.000000,0,0.747373,0.777682,0.520218,0.287661,1,2.0,1.0
5.0,0.261081,0.616570,0.122348,0.000000,1,0.824508,0.787047,0.602463,0.350622,1,2.0,1.0
6.0,0.732210,0.249053,0.018738,0.000000,0,0.590700,0.747778,0.652983,0.411094,1,2.0,1.0
7.0,0.534624,0.426182,0.039195,0.000000,0,0.751150,0.748452,0.501667,0.429209,1,2.0,1.0
8.0,0.405961,0.524889,0.069150,0.000000,1,0.809232,0.760608,0.556555,0.454678,1,2.0,1.0
9.0,0.738131,0.249692,0.012177,0.000000,0,0.568223,0.722131,0.568445,0.477431,1,2.0,1.0
10.0,0.507715,0.446755,0.045530,0.000000,0,0.768949,0.731495,0.513134,0.484572,1,2.0,1.0
11.0,0.484236,0.448382,0.067381,0.000000,0,0.812448,0.747685,0.550761,0.497810,1,2.0,1.0
12.0,0.891822,0.102821,0.005357,0.000000,0,0.331337,0.664416,0.521683,0.502584,1,2.0,1.0
13.0,0.786712,0.186133,0.027155,0.000000,0,0.545778,0.640688,0.279109,0.457889,0,2.0,1.0
14.0,0.813940,0.102290,0.083769,0.000000,0,0.553882,0.623327,0.338349,0.433981,0,2.0,1.0
15.0,0.047682,0.006254,0.946064,0.000000,2,0.208714,0.540404,0.881299,0.523445,0,2.0,1.0
16.0,0.000335,0.002530,0.997135,0.000000,2,0.018817,0.436087,0.056615,0.430079,0,2.0,1.0
17.0,0.000315,0.002531,0.997155,0.000000,2,0.018668,0.352603,0.005696,0.345202,1,2.0,1.0
18.0,0.000323,0.002528,0.997149,0.000000,2,0.018716,0.285826,0.005681,0.277298,1,2.0,1.0
19.0,0.000383,0.002819,0.996798,0.000000,2,0.020717,0.232804,0.006036,0.223046,1,2.0,1.0
20.0,0.000383,0.002819,0.996798,0.000000,2,0.020717,0.190387,0.006386,0.179714,1,2.0,1.0
21.0,0.000323,0.002530,0.997147,0.000000,2,0.018730,0.156055,0.006039,0.144979,1,2.0,1.0
22.0,0.000315,0.002531,0.997155,0.000000,2,0.018668,0.128578,0.005684,0.117120,1,2.0,1.0
23.0,0.000290,0.002264,0.997446,0.000000,2,0.017024,0.106267,0.005386,0.094773,1,2.0,1.0
24.0,0.000344,0.002528,0.997129,0.000000,2,0.018865,0.088787,0.005412,0.076901,1,2.0,1.0
25.0,0.000330,0.002528,0.997142,0.000000,2,0.018765,0.074782,0.005714,0.062664,1,2.0,1.0
26.0,0.000335,0.002528,0.997137,0.000000,2,0.018803,0.063586,0.005706,0.051272,1,2.0,1.0
27.0,0.000335,0.002528,0.997137,0.000000,2,0.018803,0.054630,0.005711,0.042160,1,2.0,1.0
28.0,0.000315,0.002531,0.997155,0.000000,2,0.018668,0.047437,0.005693,0.034867,0,2.0,1.0
29.0,0.024455,0.135630,0.839915,0.000000,2,0.462623,0.130474,0.162124,0.060318,0,2.0,1.0
30.0,0.796143,0.202857,0.001000,0.000000,0,0.466060,0.197591,0.952177,0.238690,0,2.0,1.0
31.0,0.972235,0.027690,0.000075,0.000000,0,0.115965,0.181266,0.220345,0.235021,1,2.0,1.0
32.0,0.972164,0.027753,0.000083,0.000000,0,0.116241,0.168261,0.054060,0.198829,1,2.0,1.0
33.0,0.977974,0.021942,0.000085,0.000000,0,0.096831,0.153975,0.048640,0.168791,1,2.0,1.0
34.0,0.973838,0.026059,0.000103,0.000000,0,0.110874,0.145355,0.047040,0.144441,1,2.0,1.0
35.0,0.981704,0.018235,0.000061,0.000000,0,0.083509,0.132986,0.043504,0.124253,1,2.0,1.0
36.0,0.985898,0.014040,0.000062,0.000000,0,0.067804,0.119949,0.031884,0.105780,1,2.0,1.0
37.0,0.981275,0.018657,0.000068,0.000000,0,0.085095,0.112978,0.032301,0.091084,1,2.0,1.0
38.0,0.976445,0.023493,0.000061,0.000000,0,0.101942,0.110771,0.041400,0.081147,1,2.0,1.0
39.0,0.963121,0.036795,0.000084,0.000000,0,0.144267,0.117470,0.058701,0.076658,1,2.0,1.0
