seg_idx,label4,label_name,subject,start_idx,end_idx,source_len,reuse_count,seed
0,2,stationary,10,31470,32220,750,0,2
1,0,locomotion,9,62428,63178,750,0,2
2,1,transition,9,36078,36828,750,0,2
3,2,stationary,10,39936,40686,750,0,2
4,1,transition,9,40686,41436,750,0,2
5,2,stationary,9,13038,13788,750,0,2
6,1,transition,9,97536,98286,750,0,2
7,0,locomotion,9,28398,29148,750,0,2
8,1,transition,9,51438,52188,750,0,2
9,0,locomotion,9,28398,29148,750,1,2
10,2,stationary,9,22254,23004,750,0,2
11,1,transition,9,51438,52188,750,1,2
12,2,stationary,9,13788,14538,750,0,2
13,0,locomotion,9,62428,63178,750,1,2
14,2,stationary,9,22254,23004,750,1,2
15,1,transition,9,40686,41436,750,1,2
16,0,locomotion,9,28398,29148,750,2,2
17,2,stationary,9,13788,14538,750,1,2
18,1,transition,9,36078,36828,750,1,2
19,0,locomotion,9,62428,63178,750,2,2
20,1,transition,9,97536,98286,750,1,2
21,0,locomotion,9,28398,29148,750,3,2
22,2,stationary,10,39936,40686,750,1,2
23,1,transition,9,51438,52188,750,2,2
24,0,locomotion,9,62428,63178,750,3,2
25,1,transition,9,40686,41436,750,2,2
26,2,stationary,10,31470,32220,750,1,2
27,1,transition,9,36078,36828,750,2,2
28,0,locomotion,9,28398,29148,750,4,2
29,1,transition,9,97536,98286,750,2,2
30,2,stationary,9,13038,13788,750,1,2
31,0,locomotion,9,62428,63178,750,4,2
32,1,transition,9,51438,52188,750,3,2
33,0,locomotion,9,28398,29148,750,5,2
34,1,transition,9,40686,41436,750,3,2
35,2,stationary,9,22254,23004,750,2,2
36,0,locomotion,9,62428,63178,750,5,2
37,2,stationary,9,13788,14538,750,2,2
38,1,transition,9,36078,36828,750,3,2
39,2,stationary,10,39936,40686,750,2,2
40,1,transition,9,97536,98286,750,3,2
41,0,locomotion,9,28398,29148,750,6,2
42,1,transition,9,51438,52188,750,4,2
43,0,locomotion,9,62428,63178,750,6,2
44,2,stationary,10,31470,32220,750,2,2
45,1,transition,9,40686,41436,750,4,2
46,2,stationary,9,13038,13788,750,2,2
47,0,locomotion,9,28398,29148,750,7,2
48,2,stationary,9,22254,23004,750,3,2
49,1,transition,9,36078,36828,750,4,2
50,0,locomotion,9,62428,63178,750,7,2
51,1,transition,9,97536,98286,750,4,2
52,0,locomotion,9,28398,29148,750,8,2
53,2,stationary,9,13788,14538,750,3,2
54,0,locomotion,9,62428,63178,750,8,2
55,1,transition,9,51438,52188,750,5,2
56,2,stationary,10,39936,40686,750,3,2
57,1,transition,9,40686,41436,750,5,2
58,0,locomotion,9,28398,29148,750,9,2
59,2,stationary,10,31470,32220,750,3,2
