time_s,truth_label4,mask_eval
0.000,0,1
0.100,0,1
0.200,0,1
0.300,0,1
0.400,0,1
0.500,0,1
0.600,0,1
0.700,0,1
0.800,0,1
0.900,0,1
1.000,0,1
1.100,0,1
1.200,0,1
1.300,0,1
1.400,0,1
1.500,0,1
1.600,0,1
1.700,0,1
1.800,0,1
1.900,0,1
2.000,0,1
2.100,0,1
2.200,0,1
2.300,0,1
2.400,0,1
2.500,0,1
2.600,0,1
2.700,0,1
2.800,0,1
2.900,0,1
3.000,0,1
3.100,0,1
3.200,0,1
3.300,0,1
3.400,0,1
3.500,0,1
3.600,0,1
3.700,0,1
3.800,0,1
3.900,0,1
4.000,0,1
4.100,0,1
4.200,0,1
4.300,0,1
4.400,0,1
4.500,0,1
4.600,0,1
4.700,0,1
4.800,0,1
4.900,0,1
5.000,0,1
5.100,0,1
5.200,0,1
5.300,0,1
5.400,0,1
5.500,0,1
5.600,0,1
5.700,0,1
5.800,0,1
5.900,0,1
6.000,0,1
6.100,0,1
6.200,0,1
6.300,0,1
6.400,0,1
6.500,0,1
6.600,0,1
6.700,0,1
6.800,0,1
6.900,0,1
7.000,0,1
7.100,0,1
7.200,0,1
7.300,0,1
7.400,0,1
7.500,0,1
7.600,0,1
7.700,0,1
7.800,0,1
7.900,0,1
8.000,0,1
8.100,0,1
8.200,0,1
8.300,0,1
8.400,0,1
8.500,0,1
8.600,0,1
8.700,0,1
8.800,0,1
8.900,0,1
9.000,0,1
9.100,0,1
9.200,0,1
9.300,0,1
9.400,0,1
9.500,0,1
9.600,0,1
9.700,0,1
9.800,0,1
9.900,0,1
10.000,0,1
10.100,0,1
10.200,0,1
10.300,0,1
10.400,0,1
10.500,0,1
10.600,0,1
10.700,0,1
10.800,0,1
10.900,0,1
11.000,0,1
11.100,0,1
11.200,0,1
11.300,0,1
11.400,0,1
11.500,0,1
11.600,0,1
11.700,0,1
11.800,0,1
11.900,0,1
12.000,0,1
12.100,0,1
12.200,0,1
12.300,0,1
12.400,0,1
12.500,0,1
12.600,0,1
12.700,0,1
12.800,0,1
12.900,0,1
13.000,0,1
13.100,0,1
13.200,0,1
13.300,0,1
13.400,0,1
13.500,0,0
13.600,0,0
13.700,0,0
13.800,0,0
13.900,0,0
14.000,0,0
14.100,0,0
14.200,0,0
14.300,0,0
14.400,0,0
14.500,1,0
14.600,1,0
14.700,1,0
14.800,1,0
14.900,1,0
15.000,1,0
15.100,1,0
15.200,1,0
15.300,1,0
15.400,1,0
15.500,1,1
15.600,1,1
15.700,1,1
15.800,1,1
15.900,1,1
16.000,1,1
16.100,1,1
16.200,1,1
16.300,1,1
16.400,1,1
16.500,1,1
16.600,1,1
16.700,1,1
16.800,1,1
16.900,1,1
17.000,1,1
17.100,1,1
17.200,1,1
17.300,1,1
17.400,1,1
17.500,1,1
17.600,1,1
17.700,1,1
17.800,1,1
17.900,1,1
18.000,1,1
18.100,1,1
18.200,1,1
18.300,1,1
