event,ms,E,Runiq,PDR,IDR,TL_ms,Pout1s,Pout2s,Pout3s,rssi,addr,mfd
TL,113,,,,,113,0,0,0,-43,e0:5a:1b:15:c4:ca,MF0000
TICK,1000,10,1,0.100,0.900,,,,,,,
TICK,2000,20,11,0.550,0.450,,,,,,,
TICK,3000,30,19,0.633,0.367,,,,,,,
TICK,4000,40,28,0.700,0.300,,,,,,,
TICK,5000,50,35,0.700,0.300,,,,,,,
TICK,6000,60,45,0.750,0.250,,,,,,,
TICK,7000,70,53,0.757,0.243,,,,,,,
TICK,8000,80,63,0.788,0.212,,,,,,,
TICK,9000,90,71,0.789,0.211,,,,,,,
TICK,10000,100,79,0.790,0.210,,,,,,,
TICK,11000,110,87,0.791,0.209,,,,,,,
TICK,12000,120,95,0.792,0.208,,,,,,,
TICK,13000,130,104,0.800,0.200,,,,,,,
TICK,14000,140,112,0.800,0.200,,,,,,,
TICK,15000,150,121,0.807,0.193,,,,,,,
TICK,16000,160,130,0.812,0.188,,,,,,,
TICK,17000,170,138,0.812,0.188,,,,,,,
TICK,18000,180,146,0.811,0.189,,,,,,,
TICK,19000,190,154,0.811,0.189,,,,,,,
TICK,20000,200,162,0.810,0.190,,,,,,,
TICK,21000,210,171,0.814,0.186,,,,,,,
TICK,22000,220,181,0.823,0.177,,,,,,,
TICK,23000,230,190,0.826,0.174,,,,,,,
TICK,24000,240,200,0.833,0.167,,,,,,,
TICK,25000,250,209,0.836,0.164,,,,,,,
TICK,26000,260,218,0.838,0.162,,,,,,,
TICK,27000,270,226,0.837,0.163,,,,,,,
TICK,28000,280,235,0.839,0.161,,,,,,,
TICK,29000,290,244,0.841,0.159,,,,,,,
TICK,30000,300,253,0.843,0.157,,,,,,,
TICK,31000,310,262,0.845,0.155,,,,,,,
TICK,32000,320,271,0.847,0.153,,,,,,,
TICK,33000,330,281,0.852,0.148,,,,,,,
TICK,34000,340,289,0.850,0.150,,,,,,,
TICK,35000,350,299,0.854,0.146,,,,,,,
TICK,36000,360,308,0.856,0.144,,,,,,,
TICK,37000,370,317,0.857,0.143,,,,,,,
TICK,38000,380,325,0.855,0.145,,,,,,,
TICK,39000,390,334,0.856,0.144,,,,,,,
TICK,40000,400,343,0.858,0.142,,,,,,,
TICK,41000,410,351,0.856,0.144,,,,,,,
TICK,42000,420,360,0.857,0.143,,,,,,,
TICK,43000,430,368,0.856,0.144,,,,,,,
TICK,44000,440,377,0.857,0.143,,,,,,,
TICK,45000,450,386,0.858,0.142,,,,,,,
TICK,46000,460,396,0.861,0.139,,,,,,,
TICK,47000,470,403,0.857,0.143,,,,,,,
TICK,48000,480,412,0.858,0.142,,,,,,,
TICK,49000,490,421,0.859,0.141,,,,,,,
TICK,50000,500,430,0.860,0.140,,,,,,,
TICK,51000,510,440,0.863,0.137,,,,,,,
TICK,52000,520,448,0.862,0.138,,,,,,,
TICK,53000,530,456,0.860,0.140,,,,,,,
TICK,54000,540,464,0.859,0.141,,,,,,,
TICK,55000,550,474,0.862,0.138,,,,,,,
TICK,56000,560,482,0.861,0.139,,,,,,,
TICK,57000,570,490,0.860,0.140,,,,,,,
TICK,58000,580,498,0.859,0.141,,,,,,,
TICK,59000,590,506,0.858,0.142,,,,,,,
TICK,60000,600,513,0.855,0.145,,,,,,,
FINAL,60000,600,513,0.855,0.145,,,,,,,
