event,ms,E,Runiq,PDR,IDR,TL_ms,Pout1s,Pout2s,Pout3s,rssi,addr,mfd
TL,59,,,,59,0,0,0,-32,e0:5a:1b:15:c4:ca,MF676F
TICK,1000,10,9,0.900,0.100,,,,,,,
TICK,2000,20,19,0.950,0.050,,,,,,,
TICK,3000,30,27,0.900,0.100,,,,,,,
TICK,4000,40,36,0.900,0.100,,,,,,,
TICK,5000,50,45,0.900,0.100,,,,,,,
TICK,6000,60,53,0.883,0.117,,,,,,,
TICK,7000,70,62,0.886,0.114,,,,,,,
TICK,8000,80,68,0.850,0.150,,,,,,,
TICK,9000,90,77,0.856,0.144,,,,,,,
TICK,10000,100,86,0.860,0.140,,,,,,,
TICK,11000,110,96,0.873,0.127,,,,,,,
TICK,12000,120,105,0.875,0.125,,,,,,,
TICK,13000,130,113,0.869,0.131,,,,,,,
TICK,14000,140,122,0.871,0.129,,,,,,,
TICK,15000,150,130,0.867,0.133,,,,,,,
TICK,16000,160,138,0.863,0.137,,,,,,,
TICK,17000,170,146,0.859,0.141,,,,,,,
TICK,18000,180,154,0.856,0.144,,,,,,,
TICK,19000,190,160,0.842,0.158,,,,,,,
TICK,20000,200,169,0.845,0.155,,,,,,,
TICK,21000,210,178,0.848,0.152,,,,,,,
TICK,22000,220,187,0.850,0.150,,,,,,,
TICK,23000,230,196,0.852,0.148,,,,,,,
TICK,24000,240,206,0.858,0.142,,,,,,,
TICK,25000,250,214,0.856,0.144,,,,,,,
TICK,26000,260,224,0.862,0.138,,,,,,,
TICK,27000,270,231,0.856,0.144,,,,,,,
TICK,28000,280,241,0.861,0.139,,,,,,,
TICK,29000,290,250,0.862,0.138,,,,,,,
TICK,30000,300,259,0.863,0.137,,,,,,,
TICK,31000,310,268,0.865,0.135,,,,,,,
TICK,32000,320,275,0.859,0.141,,,,,,,
TICK,33000,330,284,0.861,0.139,,,,,,,
TICK,34000,340,293,0.862,0.138,,,,,,,
TICK,35000,350,302,0.863,0.137,,,,,,,
TICK,36000,360,312,0.867,0.133,,,,,,,
TICK,37000,370,319,0.862,0.138,,,,,,,
TICK,38000,380,327,0.861,0.139,,,,,,,
TICK,39000,390,336,0.862,0.138,,,,,,,
TICK,40000,400,345,0.863,0.137,,,,,,,
TICK,41000,410,354,0.863,0.137,,,,,,,
TICK,42000,420,361,0.860,0.140,,,,,,,
TICK,43000,430,368,0.856,0.144,,,,,,,
TICK,44000,440,377,0.857,0.143,,,,,,,
TICK,45000,450,385,0.856,0.144,,,,,,,
TICK,46000,460,394,0.857,0.143,,,,,,,
TICK,47000,470,404,0.860,0.140,,,,,,,
TICK,48000,480,411,0.856,0.144,,,,,,,
TICK,49000,490,420,0.857,0.143,,,,,,,
TICK,50000,500,428,0.856,0.144,,,,,,,
TICK,51000,510,437,0.857,0.143,,,,,,,
TICK,52000,520,445,0.856,0.144,,,,,,,
TICK,53000,530,455,0.858,0.142,,,,,,,
TICK,54000,540,463,0.857,0.143,,,,,,,
TICK,55000,550,470,0.855,0.145,,,,,,,
TICK,56000,560,479,0.855,0.145,,,,,,,
TICK,57000,570,487,0.854,0.146,,,,,,,
TICK,58000,580,496,0.855,0.145,,,,,,,
TICK,59000,590,504,0.854,0.146,,,,,,,
TICK,60000,600,512,0.853,0.147,,,,,,,
FINAL,60000,600,512,0.853,0.147,,,,,,,
