ms,event,rssi,addr,mfd
# meta, firmware=RX_BLE_to_SD_SYNC_C, trial_index=15, adv_interval_ms=100, buf_size=512
324,ADV,-42,e0:5a:1b:15:c4:ca,MF0027
820,ADV,-40,e0:5a:1b:15:c4:ca,MF0028
1326,ADV,-41,e0:5a:1b:15:c4:ca,MF0029
2342,ADV,-41,e0:5a:1b:15:c4:ca,MF002B
2853,ADV,-42,e0:5a:1b:15:c4:ca,MF002C
3359,ADV,-41,e0:5a:1b:15:c4:ca,MF002D
3858,ADV,-40,e0:5a:1b:15:c4:ca,MF002E
5887,ADV,-41,e0:5a:1b:15:c4:ca,MF0032
6388,ADV,-40,e0:5a:1b:15:c4:ca,MF0033
6896,ADV,-42,e0:5a:1b:15:c4:ca,MF0034
7395,ADV,-41,e0:5a:1b:15:c4:ca,MF0035
7893,ADV,-40,e0:5a:1b:15:c4:ca,MF0036
8904,ADV,-41,e0:5a:1b:15:c4:ca,MF0038
9403,ADV,-40,e0:5a:1b:15:c4:ca,MF0039
9907,ADV,-42,e0:5a:1b:15:c4:ca,MF003A
10920,ADV,-42,e0:5a:1b:15:c4:ca,MF003C
11428,ADV,-42,e0:5a:1b:15:c4:ca,MF003D
11925,ADV,-40,e0:5a:1b:15:c4:ca,MF003E
12427,ADV,-42,e0:5a:1b:15:c4:ca,MF003F
12936,ADV,-41,e0:5a:1b:15:c4:ca,MF0040
13440,ADV,-40,e0:5a:1b:15:c4:ca,MF0041
13954,ADV,-42,e0:5a:1b:15:c4:ca,MF0042
14459,ADV,-41,e0:5a:1b:15:c4:ca,MF0043
14964,ADV,-40,e0:5a:1b:15:c4:ca,MF0044
15460,ADV,-42,e0:5a:1b:15:c4:ca,MF0045
15964,ADV,-42,e0:5a:1b:15:c4:ca,MF0046
16472,ADV,-42,e0:5a:1b:15:c4:ca,MF0047
17001,ADV,-42,e0:5a:1b:15:c4:ca,MF0048
17486,ADV,-40,e0:5a:1b:15:c4:ca,MF0049
17995,ADV,-42,e0:5a:1b:15:c4:ca,MF004B
18500,ADV,-42,e0:5a:1b:15:c4:ca,MF004C
19002,ADV,-40,e0:5a:1b:15:c4:ca,MF004D
19506,ADV,-42,e0:5a:1b:15:c4:ca,MF004E
20012,ADV,-42,e0:5a:1b:15:c4:ca,MF004F
20511,ADV,-40,e0:5a:1b:15:c4:ca,MF0050
21039,ADV,-42,e0:5a:1b:15:c4:ca,MF0051
21529,ADV,-40,e0:5a:1b:15:c4:ca,MF0052
22039,ADV,-41,e0:5a:1b:15:c4:ca,MF0053
22537,ADV,-41,e0:5a:1b:15:c4:ca,MF0054
23038,ADV,-40,e0:5a:1b:15:c4:ca,MF0055
23550,ADV,-42,e0:5a:1b:15:c4:ca,MF0056
24060,ADV,-42,e0:5a:1b:15:c4:ca,MF0057
24559,ADV,-40,e0:5a:1b:15:c4:ca,MF0058
25578,ADV,-40,e0:5a:1b:15:c4:ca,MF005A
26078,ADV,-42,e0:5a:1b:15:c4:ca,MF005B
27085,ADV,-40,e0:5a:1b:15:c4:ca,MF005D
28099,ADV,-42,e0:5a:1b:15:c4:ca,MF005F
28599,ADV,-40,e0:5a:1b:15:c4:ca,MF0060
29104,ADV,-42,e0:5a:1b:15:c4:ca,MF0061
29611,ADV,-42,e0:5a:1b:15:c4:ca,MF0062
30114,ADV,-38,e0:5a:1b:15:c4:ca,MF0063
30621,ADV,-42,e0:5a:1b:15:c4:ca,MF0064
31127,ADV,-38,e0:5a:1b:15:c4:ca,MF0065
31634,ADV,-41,e0:5a:1b:15:c4:ca,MF0066
32141,ADV,-41,e0:5a:1b:15:c4:ca,MF0067
32644,ADV,-40,e0:5a:1b:15:c4:ca,MF0068
33164,ADV,-42,e0:5a:1b:15:c4:ca,MF0069
33658,ADV,-41,e0:5a:1b:15:c4:ca,MF006A
34163,ADV,-40,e0:5a:1b:15:c4:ca,MF006B
34678,ADV,-41,e0:5a:1b:15:c4:ca,MF006C
35675,ADV,-42,e0:5a:1b:15:c4:ca,MF006E
36180,ADV,-41,e0:5a:1b:15:c4:ca,MF006F
36678,ADV,-40,e0:5a:1b:15:c4:ca,MF0070
37195,ADV,-42,e0:5a:1b:15:c4:ca,MF0071
37705,ADV,-41,e0:5a:1b:15:c4:ca,MF0072
38198,ADV,-41,e0:5a:1b:15:c4:ca,MF0073
38695,ADV,-41,e0:5a:1b:15:c4:ca,MF0074
39199,ADV,-42,e0:5a:1b:15:c4:ca,MF0075
39706,ADV,-40,e0:5a:1b:15:c4:ca,MF0076
40214,ADV,-41,e0:5a:1b:15:c4:ca,MF0077
41231,ADV,-41,e0:5a:1b:15:c4:ca,MF0079
41738,ADV,-41,e0:5a:1b:15:c4:ca,MF007A
42232,ADV,-40,e0:5a:1b:15:c4:ca,MF007B
42746,ADV,-41,e0:5a:1b:15:c4:ca,MF007C
43237,ADV,-41,e0:5a:1b:15:c4:ca,MF007D
43736,ADV,-40,e0:5a:1b:15:c4:ca,MF007E
44250,ADV,-40,e0:5a:1b:15:c4:ca,MF007F
44754,ADV,-41,e0:5a:1b:15:c4:ca,MF0080
45252,ADV,-41,e0:5a:1b:15:c4:ca,MF0081
