ms,mV,µA,p_mW
# meta, firmware=TXSD_PowerLogger_PASS_THRU_ON_v2, trial_index=5, adv_interval_ms=100
20,3252,056600,184.1
30,3256,059000,192.1
40,3252,055600,180.8
50,3184,227700,725.0
60,3252,055700,181.1
70,3256,067300,219.1
80,3252,056100,182.4
90,3252,069000,224.4
100,3228,060900,196.6
110,3252,056400,183.4
120,3256,059500,193.7
130,3252,055700,181.1
140,3252,062600,203.6
150,3252,055700,181.1
160,3160,203000,641.5
170,3252,056400,183.4
180,3252,070400,228.9
190,3252,056800,184.7
200,3252,086600,281.6
210,3252,060700,197.4
220,3252,055700,181.1
230,3252,063900,207.8
240,3252,055700,181.1
250,3252,067200,218.5
260,3172,146600,465.0
270,3252,071000,230.9
280,3252,058000,188.6
290,3248,055800,181.2
300,3228,061900,199.8
310,3252,055700,181.1
320,3256,065300,212.6
330,3252,055700,181.1
340,3252,067000,217.9
350,3252,056400,183.4
360,3176,155000,492.3
370,3256,059100,192.4
380,3252,055700,181.1
390,3252,061800,201.0
400,3248,078800,255.9
410,3256,066800,217.5
420,3252,055700,181.1
430,3256,068000,221.4
440,3256,056300,183.3
450,3252,056600,184.1
460,3252,149800,487.1
470,3256,055700,181.4
480,3256,062700,204.2
490,3252,055800,181.5
500,3240,068000,220.3
510,3256,056100,182.7
520,3252,069200,225.0
530,3252,056300,183.1
540,3252,056300,183.1
550,3256,059700,194.4
560,3256,055700,181.4
570,3256,064000,208.4
580,3252,055700,181.1
590,3252,067200,218.5
600,3232,065900,213.0
610,3252,070700,229.9
620,3252,057100,185.7
630,3252,055800,181.5
640,3252,060800,197.7
650,3252,055700,181.1
660,3256,064200,209.0
670,3252,087000,282.9
680,3256,067000,218.2
690,3252,056400,183.4
700,3248,071600,232.6
710,3252,058300,189.6
720,3248,055700,180.9
730,3256,061200,199.3
740,3252,055700,181.1
750,3252,065600,213.3
760,3252,055600,180.8
770,3252,067000,217.9
780,3176,214600,681.6
790,3252,056600,184.1
800,3228,060100,194.0
810,3252,055700,181.1
820,3252,062000,201.6
830,3252,055700,181.1
840,3252,066800,217.2
850,3252,055800,181.5
860,3252,068200,221.8
870,3252,056400,183.4
880,3168,143500,454.6
890,3256,059700,194.4
900,3248,083500,271.2
910,3252,063000,204.9
920,3252,055700,181.1
930,3256,067400,219.5
940,3252,056200,182.8
950,3252,069500,226.0
960,3252,056300,183.1
970,3252,056100,182.4
