ms,event,rssi,addr,mfd
# meta, firmware=RX_BLE_to_SD_SYNC_C, trial_index=21, adv_interval_ms=100, buf_size=512
940,ADV,-42,e0:5a:1b:15:c4:ca,MF001B
1944,ADV,-42,e0:5a:1b:15:c4:ca,MF001C
2953,ADV,-39,e0:5a:1b:15:c4:ca,MF001D
3958,ADV,-42,e0:5a:1b:15:c4:ca,MF001E
4955,ADV,-42,e0:5a:1b:15:c4:ca,MF001F
5977,ADV,-43,e0:5a:1b:15:c4:ca,MF0020
6981,ADV,-40,e0:5a:1b:15:c4:ca,MF0021
7980,ADV,-42,e0:5a:1b:15:c4:ca,MF0022
8988,ADV,-42,e0:5a:1b:15:c4:ca,MF0023
10004,ADV,-39,e0:5a:1b:15:c4:ca,MF0024
11006,ADV,-41,e0:5a:1b:15:c4:ca,MF0025
12005,ADV,-43,e0:5a:1b:15:c4:ca,MF0026
14031,ADV,-40,e0:5a:1b:15:c4:ca,MF0028
15031,ADV,-41,e0:5a:1b:15:c4:ca,MF0029
16027,ADV,-42,e0:5a:1b:15:c4:ca,MF002A
17032,ADV,-39,e0:5a:1b:15:c4:ca,MF002B
18037,ADV,-42,e0:5a:1b:15:c4:ca,MF002C
19042,ADV,-42,e0:5a:1b:15:c4:ca,MF002D
20056,ADV,-40,e0:5a:1b:15:c4:ca,MF002E
22074,ADV,-42,e0:5a:1b:15:c4:ca,MF0030
23070,ADV,-42,e0:5a:1b:15:c4:ca,MF0031
24109,ADV,-39,e0:5a:1b:15:c4:ca,MF0032
25080,ADV,-42,e0:5a:1b:15:c4:ca,MF0033
26082,ADV,-42,e0:5a:1b:15:c4:ca,MF0034
27109,ADV,-40,e0:5a:1b:15:c4:ca,MF0035
29091,ADV,-42,e0:5a:1b:15:c4:ca,MF0037
30109,ADV,-39,e0:5a:1b:15:c4:ca,MF0038
32107,ADV,-42,e0:5a:1b:15:c4:ca,MF003A
34115,ADV,-40,e0:5a:1b:15:c4:ca,MF003C
35116,ADV,-41,e0:5a:1b:15:c4:ca,MF003D
37125,ADV,-40,e0:5a:1b:15:c4:ca,MF003F
38124,ADV,-42,e0:5a:1b:15:c4:ca,MF0040
39131,ADV,-42,e0:5a:1b:15:c4:ca,MF0041
40131,ADV,-40,e0:5a:1b:15:c4:ca,MF0042
41138,ADV,-42,e0:5a:1b:15:c4:ca,MF0043
42143,ADV,-42,e0:5a:1b:15:c4:ca,MF0044
43148,ADV,-39,e0:5a:1b:15:c4:ca,MF0045
44147,ADV,-42,e0:5a:1b:15:c4:ca,MF0046
45154,ADV,-42,e0:5a:1b:15:c4:ca,MF0047
47171,ADV,-40,e0:5a:1b:15:c4:ca,MF0049
48175,ADV,-42,e0:5a:1b:15:c4:ca,MF004A
49176,ADV,-42,e0:5a:1b:15:c4:ca,MF004B
50209,ADV,-39,e0:5a:1b:15:c4:ca,MF004C
51193,ADV,-42,e0:5a:1b:15:c4:ca,MF004D
52199,ADV,-42,e0:5a:1b:15:c4:ca,MF004E
53207,ADV,-40,e0:5a:1b:15:c4:ca,MF004F
55217,ADV,-42,e0:5a:1b:15:c4:ca,MF0051
56222,ADV,-42,e0:5a:1b:15:c4:ca,MF0052
57229,ADV,-39,e0:5a:1b:15:c4:ca,MF0053
58231,ADV,-41,e0:5a:1b:15:c4:ca,MF0054
59231,ADV,-42,e0:5a:1b:15:c4:ca,MF0055
60237,ADV,-39,e0:5a:1b:15:c4:ca,MF0056
61236,ADV,-42,e0:5a:1b:15:c4:ca,MF0057
62238,ADV,-42,e0:5a:1b:15:c4:ca,MF0058
63246,ADV,-40,e0:5a:1b:15:c4:ca,MF0059
64259,ADV,-42,e0:5a:1b:15:c4:ca,MF005A
65264,ADV,-42,e0:5a:1b:15:c4:ca,MF005B
66264,ADV,-42,e0:5a:1b:15:c4:ca,MF005C
67270,ADV,-40,e0:5a:1b:15:c4:ca,MF005D
68269,ADV,-42,e0:5a:1b:15:c4:ca,MF005E
69275,ADV,-42,e0:5a:1b:15:c4:ca,MF005F
70278,ADV,-40,e0:5a:1b:15:c4:ca,MF0060
71287,ADV,-41,e0:5a:1b:15:c4:ca,MF0061
72280,ADV,-42,e0:5a:1b:15:c4:ca,MF0062
73289,ADV,-40,e0:5a:1b:15:c4:ca,MF0063
74298,ADV,-42,e0:5a:1b:15:c4:ca,MF0064
75302,ADV,-42,e0:5a:1b:15:c4:ca,MF0065
76310,ADV,-40,e0:5a:1b:15:c4:ca,MF0066
77319,ADV,-39,e0:5a:1b:15:c4:ca,MF0067
79332,ADV,-42,e0:5a:1b:15:c4:ca,MF0069
80353,ADV,-40,e0:5a:1b:15:c4:ca,MF006A
81348,ADV,-42,e0:5a:1b:15:c4:ca,MF006B
82360,ADV,-42,e0:5a:1b:15:c4:ca,MF006C
83352,ADV,-40,e0:5a:1b:15:c4:ca,MF006D
87370,ADV,-39,e0:5a:1b:15:c4:ca,MF0071
88367,ADV,-41,e0:5a:1b:15:c4:ca,MF0072
