ms,mV,µA,p_mW
# meta, firmware=TXSD_PowerLogger_PASS_THRU_ON_v2, trial_index=9, adv_interval_ms=100
77,3292,055900,184.0
87,3296,062000,204.4
97,3292,055800,183.7
107,3292,066700,219.6
117,3292,055800,183.7
127,3292,067300,221.6
137,3292,056500,186.0
147,3288,081100,266.7
157,3292,057000,187.6
167,3292,056200,185.0
177,3292,059600,196.2
187,3292,055900,184.0
197,3292,061800,203.4
207,3180,191600,609.3
217,3292,066400,218.6
227,3292,055800,183.7
237,3292,067100,220.9
247,3268,065400,213.7
257,3292,070500,232.1
267,3296,056700,186.9
277,3292,056400,185.7
287,3292,059300,195.2
297,3292,055900,184.0
307,3196,147800,472.4
317,3292,055900,184.0
327,3296,065900,217.2
337,3292,055900,184.0
347,3280,069300,227.3
357,3292,056300,185.3
367,3296,070000,230.7
377,3292,056600,186.3
387,3292,056600,186.3
397,3296,059200,195.1
407,3292,055900,184.0
417,3184,216400,689.0
427,3292,055900,184.0
437,3292,065600,216.0
447,3276,073100,239.5
457,3292,067200,221.2
467,3292,056400,185.7
477,3292,069600,229.1
487,3292,056400,185.7
497,3292,056800,187.0
507,3292,059000,194.2
517,3200,133600,427.5
527,3292,061700,203.1
537,3292,055900,184.0
547,3272,065300,213.7
557,3292,055900,184.0
567,3292,067100,220.9
577,3292,056400,185.7
587,3292,069200,227.8
597,3292,056500,186.0
607,3292,056800,187.0
617,3192,145900,465.7
627,3292,055900,184.0
637,3292,061500,202.5
647,3284,080800,265.3
657,3292,064800,213.3
667,3292,055800,183.7
677,3296,067200,221.5
687,3292,056300,185.3
697,3296,068800,226.8
707,3292,056500,186.0
717,3292,056800,187.0
727,3204,228600,732.4
737,3292,055900,184.0
747,3264,062000,202.4
757,3292,055800,183.7
767,3292,064500,212.3
777,3292,055900,184.0
787,3296,067300,221.8
797,3292,056200,185.0
807,3292,068400,225.2
817,3292,056500,186.0
827,3204,216800,694.6
837,3292,059000,194.2
847,3288,085700,281.8
857,3296,061300,202.0
867,3292,055800,183.7
877,3292,064000,210.7
887,3292,055900,184.0
897,3292,067200,221.2
907,3292,056100,184.7
917,3292,068000,223.9
927,3292,056500,186.0
937,3144,162000,509.3
947,3260,060400,196.9
957,3288,055900,183.8
967,3296,061100,201.4
977,3292,055800,183.7
987,3292,063600,209.4
997,3292,055900,184.0
1007,3296,067100,221.2
1017,3292,056000,184.4
1027,3296,067700,223.1
1037,3112,135000,420.1
1047,3288,084500,277.8
1057,3292,058700,193.2
1067,3288,055900,183.8
1077,3296,060900,200.7
1087,3292,055800,183.7
1097,3296,063200,208.3
1107,3292,055800,183.7
1117,3296,067000,220.8
1127,3292,055800,183.7
1137,3292,067500,222.2
1147,3168,227400,720.4
1157,3292,056800,187.0
1167,3292,058200,191.6
1177,3292,056000,184.4
1187,3292,060700,199.8
1197,3292,055800,183.7
1207,3296,062800,207.0
1217,3292,055800,183.7
1227,3292,066500,218.9
1237,3296,055900,184.2
1247,3168,161200,510.7
1257,3292,056400,185.7
1267,3292,070700,232.7
1277,3292,057700,189.9
1287,3292,056100,184.7
1297,3292,060300,198.5
1307,3292,055900,184.0
1317,3296,062400,205.7
1327,3292,055900,184.0
1337,3296,066000,217.5
1347,3276,071200,233.3
1357,3200,152500,488.0
1367,3296,056400,185.9
1377,3292,070800,233.1
1387,3292,057500,189.3
1397,3292,056100,184.7
1407,3296,060000,197.8
1417,3292,055900,184.0
1427,3292,062200,204.8
1437,3292,055900,184.0
1447,3272,066000,216.0
1457,3192,142900,456.1
1467,3296,067500,222.5
1477,3292,056400,185.7
1487,3292,070700,232.7
1497,3292,057200,188.3
1507,3292,056200,185.0
1517,3292,059700,196.5
1527,3292,055900,184.0
1537,3296,061900,204.0
1547,3284,080000,262.7
1557,3296,065400,215.6
1567,3204,219200,702.3
1577,3296,067300,221.8
1587,3296,056400,185.9
1597,3292,070600,232.4
1607,3292,056900,187.3
1617,3292,056300,185.3
1627,3292,059400,195.5
1637,3292,055800,183.7
1647,3264,062200,203.0
1657,3292,055900,184.0
1667,3296,065100,214.6
1676,3200,224700,719.0
1687,3296,067100,221.2
1697,3292,056500,186.0
1707,3292,070300,231.4
1717,3292,056600,186.3
