ms,event,rssi,addr,mfd
91,ADV,-39,e0:5a:1b:15:c4:ca,MF0000
185,ADV,-49,e0:5a:1b:15:c4:ca,MF0000
290,ADV,-38,e0:5a:1b:15:c4:ca,MF0000
393,ADV,-39,e0:5a:1b:15:c4:ca,MF0000
498,ADV,-49,e0:5a:1b:15:c4:ca,MF0000
624,ADV,-49,e0:5a:1b:15:c4:ca,MF0000
722,ADV,-39,e0:5a:1b:15:c4:ca,MF0000
819,ADV,-38,e0:5a:1b:15:c4:ca,MF0000
931,ADV,-49,e0:5a:1b:15:c4:ca,MF0001
1017,ADV,-39,e0:5a:1b:15:c4:ca,MF0002
1232,ADV,-47,e0:5a:1b:15:c4:ca,MF0004
1331,ADV,-36,e0:5a:1b:15:c4:ca,MF0005
1430,ADV,-36,e0:5a:1b:15:c4:ca,MF0006
1532,ADV,-48,e0:5a:1b:15:c4:ca,MF0007
1643,ADV,-39,e0:5a:1b:15:c4:ca,MF0008
1741,ADV,-37,e0:5a:1b:15:c4:ca,MF0009
1849,ADV,-48,e0:5a:1b:15:c4:ca,MF000A
1958,ADV,-47,e0:5a:1b:15:c4:ca,MF000B
2068,ADV,-39,e0:5a:1b:15:c4:ca,MF000C
2168,ADV,-39,e0:5a:1b:15:c4:ca,MF000E
2274,ADV,-48,e0:5a:1b:15:c4:ca,MF000F
2391,ADV,-35,e0:5a:1b:15:c4:ca,MF000F
2478,ADV,-39,e0:5a:1b:15:c4:ca,MF0011
2582,ADV,-48,e0:5a:1b:15:c4:ca,MF0012
2689,ADV,-40,e0:5a:1b:15:c4:ca,MF0013
2784,ADV,-37,e0:5a:1b:15:c4:ca,MF0014
2897,ADV,-48,e0:5a:1b:15:c4:ca,MF0015
2999,ADV,-39,e0:5a:1b:15:c4:ca,MF0016
3329,ADV,-46,e0:5a:1b:15:c4:ca,MF0019
3417,ADV,-39,e0:5a:1b:15:c4:ca,MF001A
3529,ADV,-36,e0:5a:1b:15:c4:ca,MF001B
3638,ADV,-45,e0:5a:1b:15:c4:ca,MF001C
3732,ADV,-34,e0:5a:1b:15:c4:ca,MF001D
3831,ADV,-35,e0:5a:1b:15:c4:ca,MF001E
3939,ADV,-46,e0:5a:1b:15:c4:ca,MF001F
4046,ADV,-34,e0:5a:1b:15:c4:ca,MF0020
4150,ADV,-34,e0:5a:1b:15:c4:ca,MF0021
4359,ADV,-45,e0:5a:1b:15:c4:ca,MF0023
4468,ADV,-34,e0:5a:1b:15:c4:ca,MF0024
4566,ADV,-36,e0:5a:1b:15:c4:ca,MF0025
4683,ADV,-45,e0:5a:1b:15:c4:ca,MF0026
4769,ADV,-34,e0:5a:1b:15:c4:ca,MF0027
4880,ADV,-35,e0:5a:1b:15:c4:ca,MF0029
4984,ADV,-44,e0:5a:1b:15:c4:ca,MF002A
5081,ADV,-34,e0:5a:1b:15:c4:ca,MF002B
5188,ADV,-35,e0:5a:1b:15:c4:ca,MF002C
5300,ADV,-44,e0:5a:1b:15:c4:ca,MF002D
5400,ADV,-35,e0:5a:1b:15:c4:ca,MF002E
5498,ADV,-36,e0:5a:1b:15:c4:ca,MF002F
5710,ADV,-45,e0:5a:1b:15:c4:ca,MF0031
5821,ADV,-35,e0:5a:1b:15:c4:ca,MF0032
5919,ADV,-36,e0:5a:1b:15:c4:ca,MF0033
6023,ADV,-45,e0:5a:1b:15:c4:ca,MF0034
6131,ADV,-34,e0:5a:1b:15:c4:ca,MF0035
6228,ADV,-36,e0:5a:1b:15:c4:ca,MF0036
6345,ADV,-45,e0:5a:1b:15:c4:ca,MF0037
6448,ADV,-35,e0:5a:1b:15:c4:ca,MF0038
6566,ADV,-35,e0:5a:1b:15:c4:ca,MF0039
6660,ADV,-36,e0:5a:1b:15:c4:ca,MF003A
6762,ADV,-46,e0:5a:1b:15:c4:ca,MF003B
6881,ADV,-35,e0:5a:1b:15:c4:ca,MF003D
6974,ADV,-35,e0:5a:1b:15:c4:ca,MF003E
7100,ADV,-45,e0:5a:1b:15:c4:ca,MF003F
7180,ADV,-35,e0:5a:1b:15:c4:ca,MF0040
7284,ADV,-36,e0:5a:1b:15:c4:ca,MF0041
7399,ADV,-44,e0:5a:1b:15:c4:ca,MF0042
7492,ADV,-35,e0:5a:1b:15:c4:ca,MF0043
7597,ADV,-36,e0:5a:1b:15:c4:ca,MF0044
7809,ADV,-47,e0:5a:1b:15:c4:ca,MF0046
7908,ADV,-38,e0:5a:1b:15:c4:ca,MF0047
8015,ADV,-36,e0:5a:1b:15:c4:ca,MF0048
8118,ADV,-46,e0:5a:1b:15:c4:ca,MF0049
8227,ADV,-39,e0:5a:1b:15:c4:ca,MF004A
8322,ADV,-36,e0:5a:1b:15:c4:ca,MF004B
8434,ADV,-46,e0:5a:1b:15:c4:ca,MF004C
8535,ADV,-35,e0:5a:1b:15:c4:ca,MF004D
8638,ADV,-36,e0:5a:1b:15:c4:ca,MF004E
8750,ADV,-44,e0:5a:1b:15:c4:ca,MF004F
8864,ADV,-46,e0:5a:1b:15:c4:ca,MF0050
8968,ADV,-36,e0:5a:1b:15:c4:ca,MF0051
9063,ADV,-36,e0:5a:1b:15:c4:ca,MF0052
9174,ADV,-45,e0:5a:1b:15:c4:ca,MF0054
9300,ADV,-35,e0:5a:1b:15:c4:ca,MF0055
9381,ADV,-36,e0:5a:1b:15:c4:ca,MF0056
9491,ADV,-45,e0:5a:1b:15:c4:ca,MF0057
9595,ADV,-34,e0:5a:1b:15:c4:ca,MF0058
9697,ADV,-36,e0:5a:1b:15:c4:ca,MF0059
9908,ADV,-43,e0:5a:1b:15:c4:ca,MF005B
10020,ADV,-35,e0:5a:1b:15:c4:ca,MF005C
10125,ADV,-36,e0:5a:1b:15:c4:ca,MF005D
10232,ADV,-44,e0:5a:1b:15:c4:ca,MF005E
10331,ADV,-38,e0:5a:1b:15:c4:ca,MF005F
10450,ADV,-37,e0:5a:1b:15:c4:ca,MF0060
10548,ADV,-45,e0:5a:1b:15:c4:ca,MF0061
10650,ADV,-35,e0:5a:1b:15:c4:ca,MF0062
10765,ADV,-38,e0:5a:1b:15:c4:ca,MF0063
10861,ADV,-37,e0:5a:1b:15:c4:ca,MF0064
11086,ADV,-37,e0:5a:1b:15:c4:ca,MF0067
11190,ADV,-36,e0:5a:1b:15:c4:ca,MF0067
11282,ADV,-45,e0:5a:1b:15:c4:ca,MF0069
11391,ADV,-35,e0:5a:1b:15:c4:ca,MF006A
11498,ADV,-36,e0:5a:1b:15:c4:ca,MF006B
11598,ADV,-44,e0:5a:1b:15:c4:ca,MF006C
11810,ADV,-35,e0:5a:1b:15:c4:ca,MF006E
11907,ADV,-36,e0:5a:1b:15:c4:ca,MF006F
12032,ADV,-45,e0:5a:1b:15:c4:ca,MF0070
12128,ADV,-36,e0:5a:1b:15:c4:ca,MF0071
12230,ADV,-38,e0:5a:1b:15:c4:ca,MF0072
12349,ADV,-46,e0:5a:1b:15:c4:ca,MF0073
12450,ADV,-35,e0:5a:1b:15:c4:ca,MF0074
12664,ADV,-35,e0:5a:1b:15:c4:ca,MF0076
12893,ADV,-36,e0:5a:1b:15:c4:ca,MF0079
12977,ADV,-37,e0:5a:1b:15:c4:ca,MF007A
13081,ADV,-45,e0:5a:1b:15:c4:ca,MF007B
13187,ADV,-34,e0:5a:1b:15:c4:ca,MF007C
13288,ADV,-34,e0:5a:1b:15:c4:ca,MF007D
13400,ADV,-45,e0:5a:1b:15:c4:ca,MF007E
13500,ADV,-34,e0:5a:1b:15:c4:ca,MF007F
13608,ADV,-34,e0:5a:1b:15:c4:ca,MF0080
13714,ADV,-35,e0:5a:1b:15:c4:ca,MF0081
13832,ADV,-45,e0:5a:1b:15:c4:ca,MF0082
13918,ADV,-34,e0:5a:1b:15:c4:ca,MF0083
14018,ADV,-35,e0:5a:1b:15:c4:ca,MF0084
14132,ADV,-45,e0:5a:1b:15:c4:ca,MF0085
14236,ADV,-34,e0:5a:1b:15:c4:ca,MF0086
14446,ADV,-46,e0:5a:1b:15:c4:ca,MF0088
14761,ADV,-35,e0:5a:1b:15:c4:ca,MF008B
14880,ADV,-46,e0:5a:1b:15:c4:ca,MF008C
15097,ADV,-35,e0:5a:1b:15:c4:ca,MF008F
15186,ADV,-44,e0:5a:1b:15:c4:ca,MF0090
15281,ADV,-34,e0:5a:1b:15:c4:ca,MF0091
15385,ADV,-35,e0:5a:1b:15:c4:ca,MF0092
15600,ADV,-35,e0:5a:1b:15:c4:ca,MF0094
15707,ADV,-35,e0:5a:1b:15:c4:ca,MF0095
15823,ADV,-35,e0:5a:1b:15:c4:ca,MF0096
15918,ADV,-45,e0:5a:1b:15:c4:ca,MF0097
16031,ADV,-35,e0:5a:1b:15:c4:ca,MF0098
16120,ADV,-34,e0:5a:1b:15:c4:ca,MF0099
16232,ADV,-45,e0:5a:1b:15:c4:ca,MF009A
