ms,voltage,current,power
5,0.000,0.0,0.0
8,3.284,1.0,0.0
11,3.336,6.0,0.0
14,3.340,6.0,0.0
17,3.348,6.0,0.0
20,3.344,6.0,0.0
25,3.348,6.0,0.0
26,3.344,6.0,0.0
29,3.340,6.0,0.0
32,3.340,6.0,0.0
35,3.348,6.0,0.0
38,3.344,6.0,0.0
41,3.344,69.5,215.0
44,3.340,6.0,0.0
47,3.340,6.0,0.0
50,3.348,6.0,0.0
53,3.344,6.0,0.0
56,3.348,6.0,0.0
59,3.344,6.0,0.0
62,3.340,6.0,0.0
65,3.340,6.0,0.0
68,3.348,6.0,0.0
71,3.348,6.0,0.0
74,3.348,6.0,0.0
77,3.340,6.0,0.0
80,3.340,6.0,0.0
83,3.348,6.0,0.0
86,3.344,6.0,0.0
89,3.344,6.0,0.0
92,3.344,68.3,218.0
95,3.340,6.0,0.0
98,3.340,6.0,0.0
101,3.348,6.0,0.0
104,3.344,6.0,0.0
107,3.348,6.0,0.0
110,3.284,1.0,0.0
113,3.260,1.0,0.0
116,3.284,6.0,0.0
119,3.348,6.0,0.0
122,3.344,6.0,0.0
125,3.348,7.0,0.0
128,3.348,6.0,0.0
131,3.344,6.0,0.0
134,3.344,6.0,0.0
137,3.344,6.0,0.0
140,3.340,6.0,0.0
143,3.340,6.0,0.0
146,3.348,6.0,0.0
149,3.344,6.0,0.0
152,3.348,6.0,0.0
155,3.340,6.0,0.0
158,3.340,6.0,0.0
161,3.344,6.0,0.0
164,3.344,6.0,0.0
167,3.344,6.0,0.0
170,3.344,6.0,0.0
173,3.340,6.0,0.0
176,3.340,6.0,0.0
179,3.348,6.0,0.0
182,3.344,6.0,0.0
185,3.348,6.0,0.0
188,3.344,6.0,0.0
191,3.340,6.0,0.0
194,3.348,6.0,0.0
197,3.344,6.0,0.0
200,3.344,6.0,0.0
203,3.348,68.7,218.0
206,3.340,6.0,0.0
209,3.340,6.0,0.0
212,3.348,6.0,0.0
215,3.344,6.0,0.0
218,3.344,1.0,0.0
221,3.280,1.0,0.0
224,3.276,194.9,636.0
227,3.348,6.0,0.0
230,3.344,6.0,0.0
233,3.340,6.0,0.0
236,3.340,6.0,0.0
239,3.344,6.0,0.0
242,3.348,6.0,0.0
245,3.344,68.9,216.0
248,3.340,6.0,0.0
251,3.344,6.0,0.0
254,3.348,6.0,0.0
257,3.344,6.0,0.0
260,3.348,6.0,0.0
263,3.344,6.0,0.0
266,3.340,6.0,0.0
269,3.340,6.0,0.0
272,3.348,6.0,0.0
275,3.348,6.0,0.0
278,3.348,7.0,0.0
281,3.340,6.0,0.0
284,3.340,6.0,0.0
287,3.344,6.0,0.0
290,3.344,6.0,0.0
293,3.344,6.0,0.0
296,3.344,6.0,0.0
299,3.340,6.0,0.0
302,3.340,6.0,0.0
305,3.348,6.0,0.0
308,3.344,6.0,0.0
311,3.344,6.0,0.0
313,3.344,6.0,0.0
317,3.336,1.0,0.0
320,3.344,6.0,0.0
323,3.340,6.0,0.0
326,3.320,1.0,0.0
329,3.284,2.0,0.0
332,3.232,2.0,0.0
335,3.348,6.0,0.0
338,3.344,68.7,216.0
341,3.340,6.0,0.0
344,3.340,6.0,0.0
347,3.348,6.0,0.0
350,3.344,6.0,0.0
353,3.348,6.0,0.0
356,3.344,6.0,0.0
359,3.340,6.0,0.0
362,3.340,6.0,0.0
365,3.348,6.0,0.0
368,3.344,6.0,0.0
371,3.344,6.0,0.0
374,3.340,6.0,0.0
377,3.340,6.0,0.0
380,3.344,6.0,0.0
383,3.344,6.0,0.0
386,3.344,6.0,0.0
389,3.344,6.0,0.0
392,3.340,6.0,0.0
395,3.340,6.0,0.0
398,3.348,6.0,0.0
401,3.344,62.8,210.0
403,3.344,64.8,216.0
406,3.340,63.6,216.0
409,3.340,6.0,0.0
413,3.332,7.0,0.0
416,3.340,6.0,0.0
419,3.340,6.0,0.0
422,3.348,6.0,0.0
425,3.344,6.0,0.0
428,3.348,1.0,0.0
431,3.284,1.0,0.0
434,3.228,1.0,0.0
437,3.340,6.0,0.0
440,3.344,6.0,0.0
443,3.344,6.0,0.0
446,3.348,6.0,0.0
449,3.344,6.0,0.0
452,3.340,6.0,0.0
455,3.340,6.0,0.0
458,3.344,6.0,0.0
461,3.344,6.0,0.0
464,3.348,6.0,0.0
467,3.340,6.0,0.0
470,3.340,6.0,0.0
473,3.348,6.0,0.0
476,3.344,6.0,0.0
479,3.348,6.0,0.0
482,3.344,6.0,0.0
485,3.340,6.0,0.0
488,3.340,6.0,0.0
490,3.344,6.0,0.0
493,3.344,6.0,0.0
496,3.348,69.5,216.0
499,3.340,6.0,0.0
502,3.340,6.0,0.0
505,3.348,6.0,0.0
509,3.328,6.0,0.0
512,3.340,6.0,0.0
515,3.348,6.0,0.0
518,3.344,6.0,0.0
521,3.348,6.0,0.0
524,3.344,6.0,0.0
527,3.340,6.0,0.0
530,3.340,6.0,0.0
533,3.348,1.0,0.0
536,3.284,1.0,0.0
539,3.288,1.0,0.0
542,3.344,6.0,0.0
545,3.340,6.0,0.0
548,3.344,6.0,0.0
551,3.348,6.0,0.0
554,3.344,6.0,0.0
557,3.344,6.0,0.0
560,3.340,6.0,0.0
563,3.340,6.0,0.0
566,3.348,6.0,0.0
569,3.344,6.0,0.0
571,3.344,6.0,0.0
574,3.340,6.0,0.0
577,3.340,6.0,0.0
580,3.348,6.0,0.0
583,3.344,6.0,0.0
586,3.344,6.0,0.0
589,3.344,6.0,0.0
592,3.340,6.0,0.0
595,3.340,6.0,0.0
598,3.348,6.0,0.0
601,3.344,6.0,0.0
616,3.348,6.0,0.0
617,3.336,6.0,0.0
617,3.344,6.0,0.0
618,3.344,6.0,0.0
618,3.344,6.0,0.0
620,3.340,6.0,0.0
623,3.348,6.0,0.0
626,3.344,6.0,0.0
629,3.344,6.0,0.0
632,3.348,6.0,0.0
635,3.340,6.0,0.0
638,3.340,6.0,0.0
641,3.288,1.0,0.0
644,3.288,1.0,0.0
647,3.324,6.0,0.0
650,3.344,6.0,0.0
653,3.340,6.0,0.0
655,3.340,6.0,0.0
658,3.344,6.0,0.0
661,3.344,6.0,0.0
664,3.344,68.7,215.0
668,3.340,6.0,0.0
670,3.340,6.0,0.0
673,3.348,6.0,0.0
676,3.348,6.0,0.0
679,3.344,6.0,0.0
682,3.344,6.0,0.0
685,3.340,6.0,0.0
688,3.340,6.0,0.0
691,3.348,6.0,0.0
694,3.348,6.0,0.0
697,3.348,6.0,0.0
700,3.340,6.0,0.0
703,3.340,6.0,0.0
706,3.344,6.0,0.0
709,3.344,6.0,0.0
712,3.348,6.0,0.0
715,3.344,6.0,0.0
718,3.340,6.0,0.0
721,3.340,6.0,0.0
725,3.328,6.0,0.0
728,3.340,6.0,0.0
730,3.340,6.0,0.0
733,3.344,6.0,0.0
736,3.344,6.0,0.0
740,3.344,1.0,0.0
743,3.280,1.0,0.0
746,3.268,1.0,0.0
748,3.340,6.0,0.0
751,3.348,6.0,0.0
754,3.344,6.0,0.0
757,3.344,68.3,215.0
760,3.340,6.0,0.0
763,3.340,6.0,0.0
766,3.348,6.0,0.0
769,3.344,6.0,0.0
772,3.344,6.0,0.0
775,3.340,6.0,0.0
778,3.340,6.0,0.0
781,3.340,6.0,0.0
784,3.344,6.0,0.0
787,3.344,6.0,0.0
790,3.348,69.6,215.0
793,3.340,6.0,0.0
796,3.340,6.0,0.0
799,3.344,6.0,0.0
802,3.344,6.0,0.0
805,3.344,6.0,0.0
808,3.344,6.0,0.0
811,3.340,6.0,0.0
814,3.340,6.0,0.0
817,3.348,6.0,0.0
820,3.328,6.0,0.0
823,3.340,6.0,0.0
827,3.348,6.0,0.0
829,3.344,6.0,0.0
832,3.344,6.0,0.0
835,3.344,6.0,0.0
838,3.340,6.0,0.0
841,3.344,1.0,0.0
844,3.284,1.0,0.0
847,3.292,1.0,0.0
850,3.348,68.3,215.0
853,3.340,6.0,0.0
856,3.340,6.0,0.0
859,3.348,6.0,0.0
862,3.344,6.0,0.0
865,3.344,6.0,0.0
868,3.340,6.0,0.0
871,3.340,6.0,0.0
874,3.340,6.0,0.0
877,3.344,6.0,0.0
880,3.344,6.0,0.0
883,3.344,6.0,0.0
886,3.340,6.0,0.0
