ms,event,rssi,addr,mfd
21,ADV,-27,e0:5a:1b:15:c4:ca,MF0000
129,ADV,-26,e0:5a:1b:15:c4:ca,MF0000
237,ADV,-35,e0:5a:1b:15:c4:ca,MF0000
338,ADV,-27,e0:5a:1b:15:c4:ca,MF0000
443,ADV,-26,e0:5a:1b:15:c4:ca,MF0000
656,ADV,-35,e0:5a:1b:15:c4:ca,MF0001
758,ADV,-27,e0:5a:1b:15:c4:ca,MF0002
859,ADV,-26,e0:5a:1b:15:c4:ca,MF0003
964,ADV,-35,e0:5a:1b:15:c4:ca,MF0004
1079,ADV,-27,e0:5a:1b:15:c4:ca,MF0005
1173,ADV,-26,e0:5a:1b:15:c4:ca,MF0006
1286,ADV,-35,e0:5a:1b:15:c4:ca,MF0007
1390,ADV,-27,e0:5a:1b:15:c4:ca,MF0008
1493,ADV,-26,e0:5a:1b:15:c4:ca,MF0009
1705,ADV,-35,e0:5a:1b:15:c4:ca,MF000B
1813,ADV,-28,e0:5a:1b:15:c4:ca,MF000D
1927,ADV,-26,e0:5a:1b:15:c4:ca,MF000E
2034,ADV,-35,e0:5a:1b:15:c4:ca,MF000F
2127,ADV,-28,e0:5a:1b:15:c4:ca,MF0010
2226,ADV,-26,e0:5a:1b:15:c4:ca,MF0011
2330,ADV,-34,e0:5a:1b:15:c4:ca,MF0012
2429,ADV,-27,e0:5a:1b:15:c4:ca,MF0013
2531,ADV,-26,e0:5a:1b:15:c4:ca,MF0014
2645,ADV,-34,e0:5a:1b:15:c4:ca,MF0015
2752,ADV,-35,e0:5a:1b:15:c4:ca,MF0016
2853,ADV,-28,e0:5a:1b:15:c4:ca,MF0017
2953,ADV,-26,e0:5a:1b:15:c4:ca,MF0018
3069,ADV,-35,e0:5a:1b:15:c4:ca,MF0019
3169,ADV,-28,e0:5a:1b:15:c4:ca,MF001A
3271,ADV,-26,e0:5a:1b:15:c4:ca,MF001B
3395,ADV,-35,e0:5a:1b:15:c4:ca,MF001C
3493,ADV,-28,e0:5a:1b:15:c4:ca,MF001D
3604,ADV,-28,e0:5a:1b:15:c4:ca,MF001F
3709,ADV,-26,e0:5a:1b:15:c4:ca,MF0020
3823,ADV,-36,e0:5a:1b:15:c4:ca,MF0020
3921,ADV,-28,e0:5a:1b:15:c4:ca,MF0022
4024,ADV,-26,e0:5a:1b:15:c4:ca,MF0023
4127,ADV,-35,e0:5a:1b:15:c4:ca,MF0024
4228,ADV,-28,e0:5a:1b:15:c4:ca,MF0025
4335,ADV,-26,e0:5a:1b:15:c4:ca,MF0026
4442,ADV,-35,e0:5a:1b:15:c4:ca,MF0027
4545,ADV,-28,e0:5a:1b:15:c4:ca,MF0028
4645,ADV,-26,e0:5a:1b:15:c4:ca,MF0029
4761,ADV,-35,e0:5a:1b:15:c4:ca,MF002A
4952,ADV,-28,e0:5a:1b:15:c4:ca,MF002C
5055,ADV,-26,e0:5a:1b:15:c4:ca,MF002D
