ms,voltage,current,power
1,0.000,0.0,0.0
1,3.300,7.0,0.0
2,3.228,1.0,0.0
2,3.232,1.0,0.0
3,3.300,68.2,211.0
3,3.296,6.0,0.0
8,3.296,6.0,0.0
9,3.304,6.0,0.0
9,3.300,6.0,0.0
10,3.304,6.0,0.0
10,3.296,6.0,0.0
11,3.292,6.0,0.0
11,3.300,6.0,0.0
12,3.300,6.0,0.0
12,3.300,6.0,0.0
13,0.000,6.0,0.0
13,3.300,6.0,0.0
14,3.296,6.0,0.0
14,3.292,6.0,0.0
15,3.300,6.0,0.0
15,3.296,6.0,0.0
16,3.300,151.8,490.0
16,3.224,154.0,668.0
17,3.200,1.0,0.0
17,3.292,6.0,0.0
19,3.280,68.2,514.0
22,3.292,6.0,0.0
25,3.292,6.0,0.0
28,3.300,6.0,0.0
31,3.300,6.0,0.0
34,3.300,6.0,0.0
37,3.296,6.0,0.0
40,3.296,6.0,0.0
43,3.300,6.0,0.0
46,3.300,6.0,0.0
49,3.300,6.0,0.0
52,3.300,6.0,0.0
55,3.292,6.0,0.0
58,3.292,6.0,0.0
61,3.300,6.0,0.0
64,3.300,6.0,0.0
67,3.304,6.0,0.0
70,3.296,6.0,0.0
73,3.292,6.0,0.0
75,3.300,6.0,0.0
78,3.300,6.0,0.0
81,3.300,6.0,0.0
84,3.296,6.0,0.0
87,3.296,6.0,0.0
90,3.292,6.0,0.0
93,3.300,6.0,0.0
96,3.300,6.0,0.0
99,3.300,69.2,215.0
102,3.296,6.0,0.0
105,3.292,6.0,0.0
108,3.300,6.0,0.0
111,3.300,1.0,0.0
115,3.208,2.0,0.0
118,3.172,2.0,0.0
121,3.300,6.0,0.0
124,3.304,6.0,0.0
127,3.296,6.0,0.0
130,3.292,6.0,0.0
133,3.304,6.0,0.0
136,3.300,6.0,0.0
139,3.300,6.0,0.0
142,3.296,6.0,0.0
145,3.292,6.0,0.0
148,3.296,6.0,0.0
151,3.300,6.0,0.0
153,3.300,6.0,0.0
156,3.300,68.8,215.0
159,3.292,6.0,0.0
162,3.292,6.0,0.0
165,3.300,6.0,0.0
168,3.300,6.0,0.0
171,3.304,6.0,0.0
174,3.296,6.0,0.0
177,3.296,6.0,0.0
180,3.300,6.0,0.0
183,3.300,6.0,0.0
186,3.300,6.0,0.0
189,3.300,6.0,0.0
192,3.292,6.0,0.0
195,3.292,6.0,0.0
198,3.304,6.0,0.0
201,3.300,6.0,0.0
204,3.300,69.7,213.0
207,3.296,6.0,0.0
211,3.288,1.0,0.0
214,3.232,1.0,0.0
217,3.224,1.0,0.0
220,3.224,186.5,460.0
223,3.180,2.0,0.0
226,3.300,6.0,0.0
229,3.304,6.0,0.0
232,3.300,6.0,0.0
235,3.292,6.0,0.0
237,3.300,6.0,0.0
240,3.300,6.0,0.0
243,3.300,6.0,0.0
246,3.300,6.0,0.0
249,3.292,6.0,0.0
252,3.292,6.0,0.0
255,3.304,6.0,0.0
258,3.300,6.0,0.0
261,3.300,6.0,0.0
264,3.296,6.0,0.0
267,3.296,6.0,0.0
270,3.300,6.0,0.0
273,3.300,6.0,0.0
276,3.300,6.0,0.0
279,3.296,6.0,0.0
282,3.292,6.0,0.0
285,3.296,6.0,0.0
288,3.300,6.0,0.0
291,3.300,6.0,0.0
294,3.300,6.0,0.0
297,3.292,6.0,0.0
300,3.292,6.0,0.0
303,3.300,6.0,0.0
307,3.284,68.6,310.0
