ms,voltage,current,power
55,0.000,0.0,0.0
58,3.292,6.0,0.0
61,3.304,6.0,0.0
63,3.304,6.0,0.0
66,3.300,6.0,0.0
69,3.304,6.0,0.0
74,3.304,6.0,0.0
75,3.300,59.5,197.0
77,3.304,58.6,193.0
80,3.300,6.0,0.0
83,3.304,6.0,0.0
86,3.304,59.4,197.0
89,3.300,59.3,197.0
91,3.304,58.5,193.0
94,3.304,6.0,0.0
97,3.300,6.0,0.0
100,3.308,6.0,0.0
102,3.304,6.0,0.0
105,3.300,6.0,0.0
108,3.304,59.5,197.0
111,3.304,6.0,0.0
114,3.300,59.8,198.0
116,3.304,59.2,195.0
119,3.300,59.2,195.0
122,3.304,6.0,0.0
125,3.304,59.0,195.0
128,3.300,58.8,195.0
130,3.304,58.8,195.0
133,3.300,6.0,0.0
136,3.300,6.0,0.0
139,3.304,6.0,0.0
142,3.304,6.0,0.0
145,3.300,6.0,0.0
147,3.304,6.0,0.0
150,3.304,6.0,0.0
153,3.300,6.0,0.0
156,3.304,58.8,195.0
158,3.300,59.7,195.0
161,3.304,6.0,0.0
164,3.304,59.0,195.0
167,3.300,58.8,195.0
170,3.304,59.3,197.0
172,3.304,6.0,0.0
175,3.300,6.0,0.0
178,3.308,6.0,0.0
181,3.304,6.0,0.0
184,3.300,6.0,0.0
186,3.304,59.2,195.0
189,3.304,6.0,0.0
192,3.300,6.0,0.0
195,3.304,59.1,195.0
197,3.300,59.1,193.0
200,3.304,59.7,197.0
203,3.304,59.2,195.0
206,3.300,59.7,200.0
209,3.304,59.3,197.0
211,3.304,6.0,0.0
215,3.296,6.0,0.0
217,3.304,6.0,0.0
220,3.304,6.0,0.0
223,3.300,59.8,198.0
225,3.300,59.6,197.0
228,3.304,6.0,0.0
231,3.304,6.0,0.0
234,3.304,58.6,193.0
237,3.300,58.2,192.0
239,3.304,59.6,197.0
242,3.304,59.3,197.0
245,3.300,6.0,0.0
248,3.304,59.7,197.0
251,3.304,6.0,0.0
253,3.300,6.0,0.0
256,3.304,6.0,0.0
259,3.304,6.0,0.0
262,3.296,6.0,0.0
265,3.304,59.5,197.0
267,3.304,6.0,0.0
270,3.304,6.0,0.0
273,3.304,58.4,193.0
276,3.300,58.0,192.0
278,3.304,59.7,197.0
281,3.304,6.0,0.0
284,3.300,6.0,0.0
287,3.304,6.0,0.0
290,3.304,6.0,0.0
292,3.300,6.0,0.0
295,3.304,6.0,0.0
298,3.304,6.0,0.0
301,3.300,6.0,0.0
304,3.304,59.0,195.0
306,3.304,6.0,0.0
309,3.304,6.0,0.0
312,3.304,58.2,192.0
315,3.300,58.2,193.0
318,3.304,59.7,197.0
320,3.300,6.0,0.0
323,3.300,6.0,0.0
326,3.308,59.8,198.0
329,3.304,6.0,0.0
332,3.300,6.0,0.0
334,3.304,6.0,0.0
337,3.304,6.0,0.0
340,3.300,6.0,0.0
343,3.304,59.1,195.0
346,3.300,6.0,0.0
348,3.304,59.8,198.0
351,3.304,58.1,192.0
354,3.300,58.4,195.0
357,3.304,6.0,0.0
359,3.304,6.0,0.0
362,3.300,6.0,0.0
365,3.304,6.0,0.0
368,3.304,6.0,0.0
371,3.300,6.0,0.0
373,3.304,6.0,0.0
376,3.304,6.0,0.0
379,3.300,6.0,0.0
382,3.304,58.6,193.0
385,3.300,58.3,192.0
387,3.304,59.6,197.0
390,3.304,59.0,195.0
393,3.300,59.3,197.0
396,3.304,59.8,198.0
399,3.304,6.0,0.0
401,3.300,6.0,0.0
404,3.304,6.0,0.0
407,3.308,6.0,0.0
410,3.300,6.0,0.0
413,3.304,6.0,0.0
415,3.304,6.0,0.0
418,3.300,6.0,0.0
421,3.304,58.2,192.0
424,3.300,58.3,192.0
427,3.304,59.6,197.0
429,3.304,6.0,0.0
432,3.300,6.0,0.0
435,3.304,59.6,197.0
438,3.304,6.0,0.0
440,3.300,6.0,0.0
443,3.304,6.0,0.0
446,3.304,6.0,0.0
449,3.300,6.0,0.0
452,3.304,59.6,197.0
454,3.304,6.0,0.0
457,3.304,6.0,0.0
460,3.304,58.1,192.0
463,3.300,58.0,192.0
466,3.300,6.0,0.0
468,3.304,6.0,0.0
471,3.300,6.0,0.0
474,3.308,59.2,195.0
477,3.304,6.0,0.0
480,3.300,6.0,0.0
482,3.304,6.0,0.0
485,3.304,6.0,0.0
488,3.300,6.0,0.0
491,3.304,59.6,197.0
494,3.304,6.0,0.0
496,3.304,59.7,197.0
499,3.304,58.1,192.0
502,3.300,58.4,193.0
505,3.304,6.0,0.0
508,3.304,6.0,0.0
510,3.300,6.0,0.0
513,3.308,59.2,195.0
516,3.304,6.0,0.0
519,3.300,6.0,0.0
522,3.304,6.0,0.0
524,3.304,6.0,0.0
527,3.300,6.0,0.0
530,3.304,58.8,195.0
533,3.300,6.0,0.0
535,3.304,59.6,197.0
538,3.304,58.5,193.0
541,3.300,58.8,197.0
544,3.304,6.0,0.0
547,3.304,60.7,200.0
549,3.300,61.2,202.0
552,3.304,59.2,195.0
555,3.304,6.0,0.0
558,3.300,6.0,0.0
561,3.308,6.0,0.0
563,3.304,6.0,0.0
566,3.300,6.0,0.0
569,3.304,58.3,193.0
572,3.300,6.0,0.0
575,3.304,59.6,197.0
577,3.304,58.8,195.0
580,3.300,58.8,195.0
583,3.304,6.0,0.0
586,3.304,6.0,0.0
589,3.300,6.0,0.0
591,3.304,59.2,195.0
594,3.304,6.0,0.0
597,3.300,6.0,0.0
600,3.304,6.0,0.0
603,3.304,6.0,0.0
605,3.300,6.0,0.0
608,3.304,58.1,192.0
611,3.300,59.1,193.0
626,3.304,6.0,0.0
626,3.304,59.1,195.0
627,3.300,59.4,197.0
627,3.304,59.1,195.0
628,3.304,6.0,0.0
628,3.300,6.0,0.0
630,3.304,6.0,0.0
634,3.304,6.0,0.0
636,3.300,6.0,0.0
639,3.304,6.0,0.0
642,3.304,6.0,0.0
644,3.300,59.7,197.0
647,3.300,58.2,192.0
650,3.300,59.2,195.0
653,3.304,6.0,0.0
656,3.304,59.5,197.0
658,3.300,59.1,195.0
661,3.304,59.2,195.0
664,3.304,6.0,0.0
667,3.300,6.0,0.0
670,3.304,6.0,0.0
672,3.304,6.0,0.0
675,3.300,6.0,0.0
678,3.304,6.0,0.0
681,3.304,6.0,0.0
684,3.300,59.6,197.0
686,3.304,58.6,193.0
689,3.300,59.4,195.0
692,3.304,6.0,0.0
695,3.304,59.9,198.0
697,3.300,6.0,0.0
700,3.304,58.6,193.0
703,3.304,6.0,0.0
706,3.300,6.0,0.0
709,3.304,6.0,0.0
711,3.308,6.0,0.0
714,3.300,6.0,0.0
717,3.304,58.9,195.0
720,3.300,6.0,0.0
723,3.304,59.8,197.0
725,3.304,59.1,195.0
728,3.300,59.6,195.0
731,3.300,6.0,0.0
734,3.304,59.5,197.0
737,3.300,59.4,198.0
739,3.304,58.5,193.0
742,3.304,6.0,0.0
745,3.300,6.0,0.0
748,3.308,6.0,0.0
751,3.304,6.0,0.0
753,3.300,6.0,0.0
756,3.304,59.1,195.0
759,3.304,6.0,0.0
762,3.304,6.0,0.0
765,3.304,58.8,195.0
767,3.300,58.8,193.0
770,3.304,6.0,0.0
773,3.304,59.3,197.0
776,3.300,59.8,198.0
779,3.304,59.3,197.0
781,3.304,6.0,0.0
784,3.300,6.0,0.0
787,3.304,6.0,0.0
790,3.304,6.0,0.0
793,3.300,59.8,198.0
795,3.304,58.9,195.0
798,3.300,6.0,0.0
801,3.304,6.0,0.0
804,3.304,59.0,195.0
806,3.300,58.6,193.0
809,3.304,59.4,197.0
812,3.304,59.7,197.0
815,3.300,6.0,0.0
818,3.304,59.4,197.0
820,3.304,6.0,0.0
823,3.300,6.0,0.0
826,3.304,6.0,0.0
829,3.304,6.0,0.0
832,3.300,59.7,197.0
834,3.304,58.8,195.0
837,3.304,6.0,0.0
840,3.304,6.0,0.0
843,3.304,58.6,193.0
846,3.300,58.4,192.0
848,3.304,59.5,197.0
851,3.304,59.6,197.0
854,3.300,6.0,0.0
857,3.304,6.0,0.0
860,3.304,6.0,0.0
862,3.300,6.0,0.0
865,3.304,6.0,0.0
868,3.304,6.0,0.0
871,3.300,6.0,0.0
873,3.304,59.1,195.0
876,3.300,6.0,0.0
879,3.304,6.0,0.0
882,3.304,58.7,193.0
885,3.296,58.2,193.0
887,3.304,59.0,195.0
890,3.304,65.5,198.0
893,3.300,62.1,205.0
896,3.308,6.0,0.0
899,3.308,6.0,0.0
901,3.300,6.0,0.0
904,3.304,6.0,0.0
907,3.304,6.0,0.0
910,3.300,6.0,0.0
913,3.304,59.1,195.0
916,3.300,6.0,0.0
918,3.304,59.8,198.0
921,3.304,58.6,193.0
924,3.300,58.6,195.0
927,3.304,59.6,197.0
929,3.304,6.0,0.0
932,3.300,6.0,0.0
935,3.304,6.0,0.0
938,3.304,6.0,0.0
941,3.300,6.0,0.0
943,3.304,59.8,198.0
946,3.304,6.0,0.0
949,3.300,6.0,0.0
952,3.304,59.1,195.0
955,3.300,59.2,193.0
957,3.304,59.6,197.0
960,3.304,58.8,195.0
963,3.300,59.4,198.0
966,3.304,59.6,197.0
968,3.304,6.0,0.0
971,3.300,6.0,0.0
974,3.304,6.0,0.0
977,3.304,6.0,0.0
980,3.300,6.0,0.0
982,3.304,6.0,0.0
986,3.304,6.0,0.0
988,3.300,6.0,0.0
991,3.304,58.5,193.0
994,3.300,58.5,193.0
996,3.304,59.7,197.0
999,3.304,59.1,195.0
1002,3.300,59.7,198.0
1005,3.304,59.5,197.0
1008,3.304,6.0,0.0
1010,3.300,6.0,0.0
1013,3.304,6.0,0.0
1016,3.304,6.0,0.0
1019,3.300,6.0,0.0
1022,3.304,6.0,0.0
1024,3.304,6.0,0.0
1027,3.300,6.0,0.0
1030,3.304,58.3,192.0
1033,3.300,58.0,192.0
1036,3.300,59.6,197.0
1038,3.304,59.8,198.0
1041,3.300,6.0,0.0
1044,3.304,59.7,197.0
1047,3.304,6.0,0.0
1049,3.300,6.0,0.0
1053,3.304,6.0,0.0
1055,3.304,6.0,0.0
1058,3.300,6.0,0.0
1061,3.304,59.7,197.0
1063,3.300,6.0,0.0
1066,3.304,6.0,0.0
1069,3.304,58.0,192.0
1072,3.300,58.0,192.0
1075,3.304,6.0,0.0
1077,3.304,6.0,0.0
1080,3.300,6.0,0.0
1083,3.304,59.2,195.0
1086,3.304,6.0,0.0
1089,3.300,6.0,0.0
1091,3.304,6.0,0.0
1094,3.304,6.0,0.0
1097,3.300,6.0,0.0
1100,3.304,59.5,197.0
1103,3.304,6.0,0.0
1105,3.304,59.6,197.0
1108,3.304,58.1,192.0
1111,3.300,58.4,193.0
1114,3.304,6.0,0.0
1117,3.304,6.0,0.0
1120,3.300,6.0,0.0
1122,3.304,59.6,197.0
1125,3.304,6.0,0.0
1128,3.300,6.0,0.0
1131,3.304,6.0,0.0
1133,3.304,6.0,0.0
1136,3.300,6.0,0.0
1139,3.304,58.6,193.0
1142,3.300,59.8,197.0
1144,3.304,59.7,197.0
1147,3.304,58.8,195.0
1150,3.300,58.8,195.0
1153,3.304,6.0,0.0
1156,3.304,6.0,0.0
1158,3.300,6.0,0.0
1161,3.308,59.6,197.0
1164,3.304,6.0,0.0
1167,3.300,6.0,0.0
1170,3.308,6.0,0.0
1177,3.304,6.0,0.0
1177,3.300,6.0,0.0
1178,3.304,58.3,193.0
1181,3.300,59.9,197.0
1184,3.304,59.7,197.0
1186,3.304,59.0,195.0
1190,3.300,59.3,197.0
1192,3.304,59.9,198.0
1195,3.304,6.0,0.0
1198,3.300,6.0,0.0
1200,3.304,59.3,197.0
1203,3.304,6.0,0.0
1206,3.300,6.0,0.0
1209,3.304,6.0,0.0
1212,3.304,6.0,0.0
1214,3.300,6.0,0.0
1217,3.304,58.3,193.0
1220,3.300,6.0,0.0
1223,3.304,6.0,0.0
1225,3.304,59.1,195.0
1228,3.300,59.4,198.0
1231,3.304,59.2,195.0
1234,3.304,6.0,0.0
1237,3.300,61.2,202.0
1239,3.304,6.0,0.0
1242,3.304,6.0,0.0
1245,3.300,6.0,0.0
1248,3.304,6.0,0.0
1251,3.304,6.0,0.0
1253,3.300,59.6,197.0
1256,3.304,58.0,192.0
1259,3.300,59.4,195.0
1262,3.304,6.0,0.0
1265,3.304,59.0,195.0
1267,3.300,59.0,195.0
1270,3.304,59.1,195.0
1273,3.304,6.0,0.0
1276,3.300,6.0,0.0
1279,3.304,6.0,0.0
1281,3.308,6.0,0.0
1284,3.300,6.0,0.0
1287,3.304,6.0,0.0
1290,3.304,6.0,0.0
1293,3.300,59.6,197.0
1295,3.304,58.7,193.0
1298,3.300,59.5,195.0
1301,3.304,6.0,0.0
1304,3.304,59.8,198.0
1307,3.300,59.5,197.0
1309,3.304,58.7,193.0
1312,3.300,6.0,0.0
1315,3.300,6.0,0.0
1318,3.304,6.0,0.0
1320,3.308,6.0,0.0
1324,3.300,6.0,0.0
1326,3.304,59.3,197.0
1329,3.304,6.0,0.0
1332,3.300,6.0,0.0
1334,3.304,59.2,195.0
1337,3.300,59.5,195.0
1340,3.304,6.0,0.0
1343,3.304,59.6,197.0
1346,3.300,59.6,198.0
1348,3.304,58.6,193.0
1351,3.304,6.0,0.0
1354,3.300,6.0,0.0
1357,3.308,6.0,0.0
1360,3.308,6.0,0.0
1362,3.300,6.0,0.0
1365,3.304,59.1,195.0
1368,3.304,6.0,0.0
1371,3.304,6.0,0.0
1374,3.304,58.8,195.0
1376,3.300,59.3,193.0
1379,3.304,6.0,0.0
1382,3.304,59.2,195.0
1385,3.300,59.4,198.0
1388,3.304,59.1,195.0
1391,3.304,6.0,0.0
1393,3.300,6.0,0.0
1396,3.304,6.0,0.0
1399,3.304,6.0,0.0
1401,3.296,6.0,0.0
1404,3.304,58.8,195.0
1407,3.304,6.0,0.0
1410,3.308,6.0,0.0
1413,3.304,59.2,195.0
1415,3.300,58.6,193.0
1418,3.300,59.6,197.0
1421,3.304,59.4,197.0
1424,3.300,6.0,0.0
1427,3.304,59.4,197.0
1429,3.304,6.0,0.0
1432,3.300,6.0,0.0
1435,3.304,6.0,0.0
1438,3.304,6.0,0.0
1441,3.296,59.8,198.0
1443,3.304,59.6,197.0
1446,3.304,6.0,0.0
1449,3.304,6.0,0.0
1452,3.304,58.5,193.0
1455,3.300,58.3,192.0
1458,3.304,59.6,197.0
1460,3.304,59.7,197.0
1463,3.300,6.0,0.0
1466,3.304,59.6,197.0
1469,3.304,6.0,0.0
1471,3.300,6.0,0.0
1474,3.304,6.0,0.0
1477,3.304,6.0,0.0
1480,3.300,6.0,0.0
1482,3.304,59.2,195.0
1485,3.304,6.0,0.0
1488,3.304,6.0,0.0
1491,3.304,58.2,192.0
1494,3.300,5.0,0.0
1496,3.304,59.6,197.0
1499,3.304,6.0,0.0
1502,3.300,6.0,0.0
1505,3.304,6.0,0.0
1508,3.304,6.0,0.0
1510,3.300,6.0,0.0
