ms,voltage,current,power
2,3.304,59.4,197.0
3,3.304,59.0,195.0
4,3.296,59.7,197.0
5,3.304,59.3,197.0
5,3.304,58.6,193.0
6,3.296,59.1,195.0
11,3.296,59.6,197.0
11,3.300,59.7,197.0
13,3.304,58.6,193.0
24,3.304,59.5,197.0
39,3.304,59.6,197.0
42,3.304,59.0,195.0
48,3.296,59.0,195.0
54,3.304,59.2,195.0
57,3.304,58.2,192.0
63,3.292,58.5,193.0
69,3.304,59.7,197.0
72,3.304,58.5,193.0
77,3.292,58.1,193.0
83,3.300,59.8,198.0
86,3.304,58.7,193.0
92,3.292,59.6,197.0
95,3.296,59.7,197.0
101,3.304,58.8,193.0
110,3.304,59.8,198.0
116,3.304,59.6,197.0
128,3.304,59.6,197.0
134,3.296,58.8,195.0
142,3.304,59.4,197.0
148,3.296,58.3,192.0
154,3.304,59.3,197.0
157,3.304,58.8,195.0
163,3.296,58.6,193.0
166,3.296,59.8,198.0
169,3.300,58.6,193.0
172,3.304,58.5,193.0
178,3.296,59.8,198.0
184,3.304,59.8,198.0
187,3.304,58.3,193.0
202,3.304,58.9,195.0
225,3.304,59.8,198.0
234,3.296,59.6,195.0
240,3.304,59.4,197.0
243,3.304,58.7,193.0
249,3.296,59.0,195.0
255,3.304,59.1,195.0
258,3.304,58.0,192.0
264,3.292,59.0,197.0
273,3.304,58.3,192.0
278,3.296,59.7,198.0
287,3.304,59.2,195.0
296,3.304,59.7,197.0
299,3.304,60.9,202.0
302,3.304,60.3,198.0
311,3.304,59.7,197.0
326,3.304,59.6,197.0
329,3.304,58.4,193.0
335,3.296,58.2,193.0
341,3.304,59.9,198.0
344,3.304,58.9,195.0
352,3.296,59.8,198.0
355,3.304,59.5,197.0
358,3.304,58.8,195.0
364,3.296,58.8,193.0
367,3.296,59.7,197.0
370,3.304,59.0,195.0
373,3.304,58.9,195.0
385,3.304,59.8,198.0
388,3.304,58.3,192.0
403,3.304,59.4,197.0
417,3.304,59.9,198.0
420,3.300,59.6,195.0
429,3.304,59.7,197.0
435,3.300,59.0,193.0
441,3.304,59.0,195.0
444,3.300,58.7,193.0
450,3.296,58.9,195.0
456,3.300,58.6,193.0
459,3.304,58.0,192.0
465,3.292,59.7,198.0
474,3.304,58.0,192.0
480,3.296,59.4,198.0
488,3.304,59.2,195.0
497,3.304,59.6,197.0
512,3.304,59.7,197.0
515,3.300,59.7,197.0
521,3.296,59.9,198.0
530,3.300,58.7,193.0
536,3.296,58.5,193.0
542,3.304,59.8,198.0
545,3.304,58.5,193.0
556,3.304,59.5,197.0
559,3.304,59.0,195.0
565,3.296,58.9,195.0
568,3.296,59.6,197.0
571,3.304,59.7,197.0
574,3.304,59.1,195.0
583,3.304,59.7,197.0
589,3.304,59.5,197.0
604,3.304,59.4,197.0
607,3.300,59.7,198.0
616,3.304,59.8,198.0
621,3.296,59.3,195.0
624,3.296,61.0,202.0
627,3.304,60.0,198.0
630,3.304,59.1,195.0
636,3.296,58.3,192.0
642,3.304,58.7,193.0
645,3.304,58.9,195.0
651,3.296,59.0,195.0
657,3.304,59.0,195.0
675,3.304,58.4,193.0
689,3.304,59.5,197.0
713,3.304,59.6,197.0
716,3.300,59.3,197.0
722,3.296,59.3,195.0
728,3.300,58.9,195.0
731,3.300,58.1,192.0
737,3.296,59.0,193.0
743,3.304,59.8,198.0
746,3.304,58.4,193.0
752,3.292,58.9,195.0
760,3.304,58.9,195.0
766,3.292,59.6,197.0
769,3.304,59.6,197.0
775,3.304,59.7,197.0
784,3.304,59.6,197.0
790,3.304,59.8,198.0
802,3.304,58.9,195.0
808,3.296,59.1,197.0
817,3.304,58.8,195.0
828,3.304,59.6,197.0
831,3.304,59.0,195.0
837,3.296,58.6,192.0
840,3.296,59.7,197.0
843,3.304,59.4,197.0
846,3.304,58.9,195.0
858,3.304,59.7,197.0
861,3.304,58.5,193.0
876,3.304,59.5,197.0
891,3.304,59.3,197.0
914,3.304,59.7,197.0
917,3.304,59.8,198.0
923,3.296,59.5,195.0
929,3.304,59.5,197.0
932,3.304,58.3,192.0
938,3.296,58.8,195.0
944,3.304,59.1,195.0
947,3.304,58.1,192.0
950,3.300,63.7,197.0
953,3.292,58.5,195.0
961,3.304,58.6,193.0
967,3.296,59.8,198.0
970,3.304,59.7,197.0
976,3.304,58.8,195.0
985,3.304,59.6,197.0
1000,3.304,59.9,198.0
1003,3.300,59.5,197.0
1009,3.296,59.2,197.0
1015,3.304,59.9,198.0
1018,3.304,58.7,193.0
1024,3.296,58.1,192.0
1029,3.300,59.8,198.0
1032,3.304,59.0,195.0
1038,3.292,58.1,192.0
1041,3.296,59.7,197.0
1044,3.304,59.4,197.0
1047,3.304,58.9,195.0
1053,3.296,59.1,197.0
1056,3.296,59.7,197.0
1059,3.304,59.8,198.0
1062,3.304,58.9,195.0
1077,3.304,59.2,195.0
1092,3.304,59.6,197.0
1095,3.296,59.7,197.0
1103,3.304,59.6,197.0
1109,3.296,58.6,193.0
1115,3.304,59.2,195.0
1118,3.304,59.1,195.0
1124,3.296,58.8,193.0
1130,3.304,58.8,195.0
1139,3.292,59.8,197.0
1145,3.304,59.8,198.0
1148,3.304,58.0,192.0
1162,3.304,59.0,195.0
1186,3.304,59.6,197.0
1201,3.304,59.1,195.0
1204,3.300,58.1,192.0
1210,3.296,58.4,195.0
1216,3.304,59.2,195.0
1219,3.304,58.1,192.0
1225,3.296,58.4,195.0
1233,3.304,58.9,195.0
1239,3.296,59.2,197.0
1242,3.296,59.7,197.0
1248,3.304,59.1,195.0
1257,3.304,59.6,197.0
1263,3.304,59.7,197.0
1272,3.304,59.9,198.0
1275,3.304,59.6,197.0
1291,3.304,59.2,195.0
1296,3.296,58.2,192.0
1301,3.304,59.9,198.0
1304,3.304,59.2,195.0
1316,3.304,59.0,195.0
1319,3.304,58.9,195.0
1325,3.296,59.0,195.0
1331,3.304,58.9,195.0
1334,3.304,58.4,193.0
1349,3.304,58.9,195.0
1364,3.304,59.7,197.0
1381,3.296,59.7,197.0
1387,3.304,59.5,197.0
1390,3.304,59.2,195.0
1396,3.296,58.8,193.0
1402,3.304,58.8,193.0
1405,3.304,58.0,192.0
1411,3.296,59.4,197.0
1417,3.300,59.7,197.0
1420,3.304,58.0,192.0
1426,3.296,59.8,198.0
1434,3.304,58.8,193.0
1449,3.304,59.7,197.0
1458,3.304,59.6,197.0
1467,3.300,59.8,197.0
1473,3.304,59.4,197.0
1476,3.304,58.4,193.0
1482,3.296,58.7,193.0
1488,3.304,59.5,197.0
1491,3.304,58.4,193.0
1497,3.296,58.0,192.0
1502,3.304,59.6,197.0
1505,3.304,58.9,195.0
1511,3.296,59.1,195.0
1514,3.296,59.7,197.0
1517,3.304,59.9,198.0
1520,3.304,58.8,193.0
1529,3.304,59.7,197.0
1535,3.304,59.6,197.0
1550,3.304,59.4,197.0
1553,3.296,59.8,198.0
1562,3.304,59.4,197.0
1567,3.296,58.9,195.0
1576,3.304,59.4,197.0
1582,3.296,58.2,192.0
1585,3.296,59.8,198.0
1588,3.300,58.9,195.0
1591,3.304,59.2,195.0
1597,3.296,59.3,193.0
1600,3.296,60.0,198.0
1603,3.300,59.2,195.0
1621,3.304,58.5,193.0
1635,3.304,59.6,197.0
1653,3.296,59.8,197.0
1659,3.304,59.7,197.0
1662,3.304,59.8,198.0
1668,3.296,59.2,195.0
1674,3.300,58.7,193.0
1677,3.304,58.1,192.0
1683,3.296,58.6,195.0
1689,3.304,59.1,195.0
1692,3.300,58.0,192.0
1698,3.292,59.2,198.0
1706,3.304,58.6,193.0
1715,3.304,59.6,197.0
1721,3.304,59.7,197.0
1730,3.304,59.7,197.0
1745,3.304,59.9,198.0
1748,3.304,58.9,195.0
1754,3.296,59.5,197.0
1763,3.300,58.9,195.0
1774,3.304,59.7,197.0
1777,3.304,59.2,195.0
1786,3.296,59.8,198.0
1789,3.304,59.1,195.0
1792,3.304,58.9,195.0
1798,3.292,59.2,197.0
1801,3.296,59.7,197.0
1804,3.304,59.0,195.0
1807,3.304,58.4,193.0
1822,3.304,59.0,195.0
1837,3.304,59.4,197.0
1854,3.296,59.4,195.0
1860,3.304,59.5,197.0
1863,3.304,59.3,195.0
1870,3.296,58.8,193.0
1875,3.304,59.5,197.0
1878,3.304,58.6,193.0
1884,3.296,58.5,195.0
1890,3.304,58.8,193.0
1893,3.300,58.1,192.0
1899,3.296,58.6,193.0
1905,3.304,59.8,198.0
1908,3.304,58.3,192.0
1913,3.292,59.2,197.0
1922,3.304,58.5,193.0
1925,3.300,62.4,198.0
1931,3.304,59.7,197.0
1946,3.304,59.8,198.0
1952,3.304,59.8,198.0
1964,3.304,58.9,195.0
1970,3.296,58.9,195.0
1978,3.304,59.5,197.0
1990,3.304,59.4,197.0
1993,3.304,59.0,195.0
1999,3.296,58.3,193.0
2002,3.296,59.7,197.0
2005,3.304,58.8,193.0
2008,3.304,58.5,193.0
2020,3.304,59.8,198.0
2023,3.304,58.3,192.0
2038,3.304,59.2,195.0
2052,3.304,59.9,198.0
2055,3.296,59.3,195.0
2064,3.304,59.9,198.0
2070,3.296,59.4,195.0
2076,3.304,59.0,195.0
2079,3.300,58.5,193.0
2085,3.296,58.9,195.0
2091,3.300,59.0,195.0
2094,3.300,58.0,192.0
2100,3.296,59.6,197.0
2109,3.304,58.3,192.0
2114,3.296,59.7,198.0
2123,3.304,59.4,197.0
2132,3.304,59.6,197.0
2147,3.304,59.6,197.0
2150,3.304,59.6,197.0
2162,3.304,59.8,198.0
2165,3.304,58.6,193.0
2171,3.296,58.3,193.0
2177,3.304,59.9,198.0
2180,3.300,58.8,193.0
2191,3.304,59.5,197.0
2194,3.304,58.7,193.0
2200,3.292,58.9,195.0
2203,3.296,59.6,197.0
2206,3.304,59.3,197.0
2209,3.304,58.9,195.0
2224,3.304,59.0,195.0
2239,3.304,59.5,197.0
2248,3.304,60.6,200.0
2251,3.304,60.5,200.0
2253,3.304,59.9,198.0
2256,3.296,59.2,195.0
2262,3.304,59.9,198.0
2265,3.304,59.1,195.0
2271,3.296,58.3,192.0
2277,3.304,58.9,195.0
2280,3.304,58.6,193.0
2286,3.296,59.4,197.0
2292,3.304,59.3,197.0
2295,3.304,58.0,192.0
2310,3.304,58.5,193.0
2324,3.304,59.5,197.0
2333,3.304,59.6,197.0
2348,3.300,59.6,197.0
2351,3.304,58.9,195.0
2357,3.296,58.9,195.0
2363,3.300,59.1,195.0
2366,3.304,58.0,192.0
2372,3.296,58.6,193.0
2378,3.304,59.8,198.0
2381,3.304,58.5,193.0
2386,3.292,58.7,193.0
2392,3.304,59.9,198.0
2395,3.304,59.0,195.0
2401,3.296,59.4,197.0
2404,3.296,59.7,197.0
2410,3.308,59.6,197.0
