ms,mV,µA,p_mW
# meta, firmware=TXSD_PowerLogger_PASS_THRU_OFF_v1, trial_index=1, adv_interval_ms=0
13,3280,05&200,0.0
23,3236,059900,193.8
33,3152,15$200,0.0
43,3284,06#400,0.0
53,3280,05%400,0.0
63,3284,06&800,0.0
73,3280,05%800,0.0
83,3280,068300,224.0
93,3280,05&100,0.0
103,3280,05&400,0.0
113,3284,058300,191.5
123,3276,08%700,0.0
133,3140,14'900,0.0
143,3280,05%400,0.0
153,3284,06&300,0.0
163,3280,05%500,0.0
173,3284,06'100,0.0
183,3284,05&000,0.0
193,3284,07 300,0.0
203,3280,057300,187.9
213,3280,05%600,0.0
223,3236,06 900,0.0
233,3280,05%500,0.0
243,3084,17&700,0.1
253,3280,05%500,0.0
263,3284,06&700,0.0
273,3280,05&000,0.0
283,3284,069800,229.2
293,3280,05&300,0.0
303,3280,05%900,0.0
313,3284,059100,194.1
323,3276,08$800,0.0
333,3284,06!900,0.0
343,3280,05%400,0.0
353,3284,06'100,0.0
363,3280,05%900,0.0
373,3284,068500,225.0
383,3280,05&100,0.0
393,3280,05&400,0.0
403,3280,058400,191.6
413,3280,05%500,0.0
423,3236,06!600,0.0
433,3280,05%400,0.0
443,3284,06$400,0.0
453,3280,12#300,0.0
463,3280,06'200,0.0
473,3284,05&000,0.0
483,3284,07 300,0.0
493,3280,05'300,0.0
503,3280,05%600,0.0
513,3280,06 200,0.0
523,3272,08#500,0.0
533,3284,06"900,0.0
543,3280,05%400,0.0
553,3280,06&700,0.0
563,3140,14%100,0.0
573,3284,069700,228.9
583,3280,05&300,0.0
593,3280,05&000,0.0
603,3284,059000,193.8
613,3280,05%500,0.0
623,3240,06"100,0.0
633,3280,05%400,0.0
643,3284,06%700,0.0
653,3280,05%400,0.0
663,3284,06&800,0.0
673,3120,19#000,0.1
683,3280,05&300,0.0
693,3284,058300,191.5
703,3276,05%500,0.0
713,3284,06 600,0.0
723,3272,08"200,0.0
733,3284,06$000,0.0
743,3280,05%400,0.0
753,3284,06&700,0.0
763,3280,05%900,0.0
773,3144,15%600,0.0
783,3280,05'300,0.0
793,3280,05%600,0.0
803,3284,06 100,0.0
813,3280,05%400,0.0
823,3244,06#100,0.0
833,3280,05%400,0.0
843,3284,06&600,0.0
853,3280,05%700,0.0
863,3280,06'700,0.0
873,3280,05&000,0.0
883,3120,17'500,0.1
893,3284,059000,193.8
903,3280,05%500,0.0
913,3284,06!600,0.0
923,3268,08 000,0.0
933,3284,06%600,0.0
943,3280,05%400,0.0
953,3284,06&800,0.0
963,3280,05&000,0.0
973,3284,07 300,0.0
983,3080,16'400,0.0
993,3280,05%500,0.0
1003,3284,06 700,0.0
1013,3280,05%400,0.0
1023,3248,06$500,0.0
1033,3280,05%400,0.0
1043,3284,06&700,0.0
1053,3280,056000,183.7
1063,3280,069100,226.6
1073,3280,05&100,0.0
