ms,mv,uA,p_mW
18,3304,74#00,245,0.2
28,3304,76900,254,254.1
38,3304,70900,234,234.3
48,3304,77#00,255,0.3
58,3304,69'00,230,0.2
68,3304,76900,254,254.1
78,3304,76'00,253,0.3
88,3304,74'00,247,0.2
98,3304,76'00,253,0.3
108,3304,74#00,245,0.2
118,3304,77!00,255,0.3
128,3304,70'00,234,0.2
138,3304,77#00,255,0.3
148,3304,76'00,253,0.3
158,3304,76%00,253,0.3
168,3304,76800,254,253.7
178,3304,74%00,246,0.2
188,3300,76'00,253,0.3
198,3304,73'00,244,0.2
208,3304,77"00,255,0.3
218,3304,70&00,233,0.2
228,3304,77#00,255,0.3
238,3304,76'00,253,0.3
248,3304,76#00,252,0.3
258,3304,76'00,253,0.3
268,3304,74%00,246,0.2
278,3304,76'00,253,0.3
288,3304,72'00,240,0.2
298,3304,77#00,255,0.3
308,3304,70&00,233,0.2
318,3304,77#00,255,0.3
328,3304,76'00,253,0.3
338,3304,75900,251,250.8
348,3304,76800,254,253.7
358,3304,74$00,246,0.2
368,3304,76'00,253,0.3
378,3304,71&00,237,0.2
388,3304,77$00,256,0.3
398,3304,70#00,232,0.2
408,3304,77#00,255,0.3
418,3304,76'00,253,0.3
428,3304,75"00,248,0.2
438,3304,76'00,253,0.3
448,3304,74$00,246,0.2
458,3304,76800,254,253.7
468,3304,71 00,235,0.2
478,3304,77$00,256,0.3
488,3304,69800,231,230.6
498,3304,77 00,254,0.3
508,3304,76'00,253,0.3
518,3304,74900,247,247.5
528,3304,76800,254,253.7
538,3304,74$00,246,0.2
548,3304,77!00,255,0.3
558,3304,70'00,234,0.2
568,3304,77#00,255,0.3
578,3304,76'00,253,0.3
588,3304,76%00,253,0.3
598,3304,76800,254,253.7
608,3304,74%00,246,0.2
618,3304,76800,254,253.7
628,3304,73800,244,243.8
638,3304,77#00,255,0.3
648,3304,70&00,233,0.2
658,3304,77#00,255,0.3
668,3304,76800,254,253.7
678,3304,76#00,252,0.3
688,3304,76800,254,253.7
698,3304,74#00,245,0.2
708,3304,76'00,253,0.3
718,3304,72'00,240,0.2
728,3304,77#00,255,0.3
738,3304,70&00,233,0.2
748,3304,77#00,255,0.3
758,3304,76'00,253,0.3
768,3304,75900,251,250.8
778,3304,76'00,253,0.3
788,3304,74$00,246,0.2
798,3304,76800,254,253.7
808,3304,71800,237,237.2
818,3304,77#00,255,0.3
828,3304,70$00,233,0.2
838,3304,77300,255,255.4
848,3304,76800,254,253.7
858,3304,75#00,249,0.2
868,3304,76800,254,253.7
878,3304,74$00,246,0.2
888,3304,76900,254,254.1
898,3304,71!00,235,0.2
908,3304,77#00,255,0.3
918,3304,69800,231,230.6
928,3304,77!00,255,0.3
938,3304,76800,254,253.7
948,3304,74900,247,247.5
958,3304,76800,254,253.7
968,3304,74#00,245,0.2
978,3304,77!00,255,0.3
988,3304,70'00,234,0.2
998,3304,77#00,255,0.3
1008,3304,76800,254,253.7
1018,3304,76%00,253,0.3
1028,3304,76'00,253,0.3
1038,3304,74%00,246,0.2
1048,3304,76800,254,253.7
1058,3304,73800,244,243.8
1068,3304,77#00,255,0.3
1078,3304,70&00,233,0.2
1088,3304,77#00,255,0.3
1098,3304,76800,254,253.7
1108,3304,76#00,252,0.3
1118,3304,76'00,253,0.3
1128,3304,74%00,246,0.2
1138,3304,76800,254,253.7
1148,3304,72900,241,240.9
1158,3304,77#00,255,0.3
1168,3304,70&00,233,0.2
1178,3304,77#00,255,0.3
1188,3304,76'00,253,0.3
1198,3304,75900,251,250.8
1208,3304,76800,254,253.7
1218,3304,74$00,246,0.2
1228,3304,76'00,253,0.3
1238,3304,71900,238,237.6
1248,3304,77$00,256,0.3
1258,3304,70$00,233,0.2
1268,3304,77#00,255,0.3
1278,3304,76800,254,253.7
1288,3304,75"00,248,0.2
1298,3304,76600,253,253.1
1308,3304,74#00,245,0.2
1318,3304,76800,254,253.7
1328,3304,71!00,235,0.2
1338,3304,77#00,255,0.3
1348,3304,69900,231,230.9
1358,3304,77!00,255,0.3
1368,3304,76800,254,253.7
1378,3304,74900,247,247.5
1388,3304,76800,254,253.7
1398,3304,74$00,246,0.2
1408,3304,77!00,255,0.3
1418,3304,70'00,234,0.2
1428,3300,77#00,255,0.3
1438,3304,76800,254,253.7
1448,3304,76&00,253,0.3
1458,3304,76800,254,253.7
1468,3304,74&00,246,0.2
1478,3304,76'00,253,0.3
1488,3304,73900,244,244.2
1498,3304,77"00,255,0.3
1508,3304,70'00,234,0.2
1518,3304,77$00,256,0.3
1528,3304,76800,254,253.7
1538,3304,76#00,252,0.3
1548,3304,76'00,253,0.3
1558,3304,74$00,246,0.2
1568,3304,76'00,253,0.3
1578,3304,73 00,241,0.2
1588,3304,77#00,255,0.3
1598,3304,70&00,233,0.2
1608,3304,77#00,255,0.3
1618,3304,76'00,253,0.3
1628,3304,76 00,251,0.3
1638,3304,76800,254,253.7
1648,3304,74$00,246,0.2
1658,3304,76'00,253,0.3
1668,3304,72 00,238,0.2
1678,3304,77#00,255,0.3
1688,3304,70%00,233,0.2
1698,3304,77#00,255,0.3
1708,3304,76800,254,253.7
