ms,event,rssi,addr,mfd
# meta, firmware=RX_BLE_to_SD_SYNC_B
77,ADV,-44,e0:5a:1b:15:c4:ca,MF0007
180,ADV,-34,e0:5a:1b:15:c4:ca,MF0008
283,ADV,-42,e0:5a:1b:15:c4:ca,MF0009
507,ADV,-45,e0:5a:1b:15:c4:ca,MF000B
601,ADV,-34,e0:5a:1b:15:c4:ca,MF000D
707,ADV,-100,e0:5a:1b:15:c4:ca,MF000E
824,ADV,-41,e0:5a:1b:15:c4:ca,MF000F
917,ADV,-35,e0:5a:1b:15:c4:ca,MF0010
1020,ADV,-41,e0:5a:1b:15:c4:ca,MF0011
1129,ADV,-42,e0:5a:1b:15:c4:ca,MF0012
1230,ADV,-35,e0:5a:1b:15:c4:ca,MF0013
1335,ADV,-41,e0:5a:1b:15:c4:ca,MF0014
1543,ADV,-42,e0:5a:1b:15:c4:ca,MF0016
1652,ADV,-39,e0:5a:1b:15:c4:ca,MF0017
1964,ADV,-39,e0:5a:1b:15:c4:ca,MF001A
2069,ADV,-40,e0:5a:1b:15:c4:ca,MF001B
2177,ADV,-46,e0:5a:1b:15:c4:ca,MF001C
2277,ADV,-35,e0:5a:1b:15:c4:ca,MF001D
2378,ADV,-37,e0:5a:1b:15:c4:ca,MF001E
2479,ADV,-43,e0:5a:1b:15:c4:ca,MF001F
2583,ADV,-38,e0:5a:1b:15:c4:ca,MF0020
2898,ADV,-43,e0:5a:1b:15:c4:ca,MF0023
3029,ADV,-39,e0:5a:1b:15:c4:ca,MF0024
3102,ADV,-40,e0:5a:1b:15:c4:ca,MF0026
3220,ADV,-48,e0:5a:1b:15:c4:ca,MF0027
3322,ADV,-38,e0:5a:1b:15:c4:ca,MF0028
3652,ADV,-43,e0:5a:1b:15:c4:ca,MF002B
3760,ADV,-35,e0:5a:1b:15:c4:ca,MF002C
3956,ADV,-43,e0:5a:1b:15:c4:ca,MF002E
4053,ADV,-37,e0:5a:1b:15:c4:ca,MF002F
4167,ADV,-40,e0:5a:1b:15:c4:ca,MF0030
4271,ADV,-43,e0:5a:1b:15:c4:ca,MF0031
4377,ADV,-35,e0:5a:1b:15:c4:ca,MF0032
4482,ADV,-40,e0:5a:1b:15:c4:ca,MF0033
4696,ADV,-44,e0:5a:1b:15:c4:ca,MF0035
4792,ADV,-39,e0:5a:1b:15:c4:ca,MF0036
4903,ADV,-39,e0:5a:1b:15:c4:ca,MF0037
5023,ADV,-42,e0:5a:1b:15:c4:ca,MF0039
5130,ADV,-36,e0:5a:1b:15:c4:ca,MF003A
5236,ADV,-39,e0:5a:1b:15:c4:ca,MF003B
5335,ADV,-43,e0:5a:1b:15:c4:ca,MF003C
5426,ADV,-38,e0:5a:1b:15:c4:ca,MF003D
5530,ADV,-42,e0:5a:1b:15:c4:ca,MF003E
5636,ADV,-43,e0:5a:1b:15:c4:ca,MF003F
5765,ADV,-43,e0:5a:1b:15:c4:ca,MF0040
5847,ADV,-100,e0:5a:1b:15:c4:ca,MF0041
5961,ADV,-40,e0:5a:1b:15:c4:ca,MF0042
6061,ADV,-45,e0:5a:1b:15:c4:ca,MF0043
6161,ADV,-38,e0:5a:1b:15:c4:ca,MF0044
6273,ADV,-40,e0:5a:1b:15:c4:ca,MF0045
6385,ADV,-44,e0:5a:1b:15:c4:ca,MF0046
6493,ADV,-42,e0:5a:1b:15:c4:ca,MF0047
6593,ADV,-36,e0:5a:1b:15:c4:ca,MF0048
6702,ADV,-41,e0:5a:1b:15:c4:ca,MF004A
6831,ADV,-43,e0:5a:1b:15:c4:ca,MF004B
6917,ADV,-39,e0:5a:1b:15:c4:ca,MF004C
7026,ADV,-42,e0:5a:1b:15:c4:ca,MF004D
7131,ADV,-47,e0:5a:1b:15:c4:ca,MF004E
7234,ADV,-40,e0:5a:1b:15:c4:ca,MF004F
7335,ADV,-41,e0:5a:1b:15:c4:ca,MF0050
7545,ADV,-43,e0:5a:1b:15:c4:ca,MF0052
7650,ADV,-41,e0:5a:1b:15:c4:ca,MF0053
7752,ADV,-40,e0:5a:1b:15:c4:ca,MF0054
7863,ADV,-43,e0:5a:1b:15:c4:ca,MF0055
7967,ADV,-40,e0:5a:1b:15:c4:ca,MF0056
8175,ADV,-44,e0:5a:1b:15:c4:ca,MF0058
8284,ADV,-40,e0:5a:1b:15:c4:ca,MF0059
8391,ADV,-39,e0:5a:1b:15:c4:ca,MF005A
8495,ADV,-40,e0:5a:1b:15:c4:ca,MF005B
8604,ADV,-44,e0:5a:1b:15:c4:ca,MF005D
8713,ADV,-39,e0:5a:1b:15:c4:ca,MF005E
8828,ADV,-40,e0:5a:1b:15:c4:ca,MF005F
8921,ADV,-44,e0:5a:1b:15:c4:ca,MF0060
9024,ADV,-39,e0:5a:1b:15:c4:ca,MF0061
9231,ADV,-43,e0:5a:1b:15:c4:ca,MF0063
9335,ADV,-39,e0:5a:1b:15:c4:ca,MF0064
9434,ADV,-40,e0:5a:1b:15:c4:ca,MF0065
9652,ADV,-45,e0:5a:1b:15:c4:ca,MF0067
9751,ADV,-39,e0:5a:1b:15:c4:ca,MF0068
9846,ADV,-41,e0:5a:1b:15:c4:ca,MF0069
9954,ADV,-45,e0:5a:1b:15:c4:ca,MF006A
10062,ADV,-39,e0:5a:1b:15:c4:ca,MF006B
10165,ADV,-42,e0:5a:1b:15:c4:ca,MF006C
10285,ADV,-44,e0:5a:1b:15:c4:ca,MF006D
10375,ADV,-39,e0:5a:1b:15:c4:ca,MF006E
10483,ADV,-40,e0:5a:1b:15:c4:ca,MF006F
10585,ADV,-47,e0:5a:1b:15:c4:ca,MF0070
10697,ADV,-46,e0:5a:1b:15:c4:ca,MF0071
10820,ADV,-40,e0:5a:1b:15:c4:ca,MF0072
10901,ADV,-43,e0:5a:1b:15:c4:ca,MF0073
11007,ADV,-46,e0:5a:1b:15:c4:ca,MF0075
11114,ADV,-36,e0:5a:1b:15:c4:ca,MF0076
11219,ADV,-42,e0:5a:1b:15:c4:ca,MF0077
11335,ADV,-45,e0:5a:1b:15:c4:ca,MF0078
11430,ADV,-39,e0:5a:1b:15:c4:ca,MF0079
11647,ADV,-42,e0:5a:1b:15:c4:ca,MF007B
11763,ADV,-45,e0:5a:1b:15:c4:ca,MF007C
11858,ADV,-39,e0:5a:1b:15:c4:ca,MF007D
11962,ADV,-42,e0:5a:1b:15:c4:ca,MF007E
12073,ADV,-46,e0:5a:1b:15:c4:ca,MF007F
12176,ADV,-39,e0:5a:1b:15:c4:ca,MF0080
12277,ADV,-40,e0:5a:1b:15:c4:ca,MF0081
12386,ADV,-43,e0:5a:1b:15:c4:ca,MF0082
12486,ADV,-39,e0:5a:1b:15:c4:ca,MF0083
12595,ADV,-39,e0:5a:1b:15:c4:ca,MF0084
12697,ADV,-41,e0:5a:1b:15:c4:ca,MF0085
12830,ADV,-45,e0:5a:1b:15:c4:ca,MF0087
12909,ADV,-38,e0:5a:1b:15:c4:ca,MF0088
13123,ADV,-44,e0:5a:1b:15:c4:ca,MF008A
13225,ADV,-39,e0:5a:1b:15:c4:ca,MF008B
13334,ADV,-39,e0:5a:1b:15:c4:ca,MF008C
13445,ADV,-41,e0:5a:1b:15:c4:ca,MF008D
13556,ADV,-45,e0:5a:1b:15:c4:ca,MF008E
13650,ADV,-39,e0:5a:1b:15:c4:ca,MF008F
13761,ADV,-41,e0:5a:1b:15:c4:ca,MF0090
13863,ADV,-43,e0:5a:1b:15:c4:ca,MF0091
13963,ADV,-39,e0:5a:1b:15:c4:ca,MF0092
14063,ADV,-41,e0:5a:1b:15:c4:ca,MF0093
14169,ADV,-44,e0:5a:1b:15:c4:ca,MF0094
14279,ADV,-39,e0:5a:1b:15:c4:ca,MF0095
14382,ADV,-41,e0:5a:1b:15:c4:ca,MF0096
14593,ADV,-46,e0:5a:1b:15:c4:ca,MF0098
14795,ADV,-41,e0:5a:1b:15:c4:ca,MF009A
14904,ADV,-45,e0:5a:1b:15:c4:ca,MF009B
15002,ADV,-39,e0:5a:1b:15:c4:ca,MF009D
15107,ADV,-41,e0:5a:1b:15:c4:ca,MF009E
15220,ADV,-46,e0:5a:1b:15:c4:ca,MF009F
15317,ADV,-39,e0:5a:1b:15:c4:ca,MF00A0
15420,ADV,-40,e0:5a:1b:15:c4:ca,MF00A1
15526,ADV,-44,e0:5a:1b:15:c4:ca,MF00A2
15632,ADV,-40,e0:5a:1b:15:c4:ca,MF00A3
15741,ADV,-39,e0:5a:1b:15:c4:ca,MF00A4
15946,ADV,-46,e0:5a:1b:15:c4:ca,MF00A6
16049,ADV,-40,e0:5a:1b:15:c4:ca,MF00A7
16155,ADV,-41,e0:5a:1b:15:c4:ca,MF00A8
16263,ADV,-45,e0:5a:1b:15:c4:ca,MF00A9
16375,ADV,-39,e0:5a:1b:15:c4:ca,MF00AA
16479,ADV,-41,e0:5a:1b:15:c4:ca,MF00AB
16584,ADV,-45,e0:5a:1b:15:c4:ca,MF00AC
16701,ADV,-44,e0:5a:1b:15:c4:ca,MF00AD
16826,ADV,-39,e0:5a:1b:15:c4:ca,MF00AE
16916,ADV,-41,e0:5a:1b:15:c4:ca,MF00B0
17009,ADV,-44,e0:5a:1b:15:c4:ca,MF00B1
17110,ADV,-39,e0:5a:1b:15:c4:ca,MF00B2
17318,ADV,-46,e0:5a:1b:15:c4:ca,MF00B4
17425,ADV,-38,e0:5a:1b:15:c4:ca,MF00B5
17522,ADV,-41,e0:5a:1b:15:c4:ca,MF00B6
17627,ADV,-46,e0:5a:1b:15:c4:ca,MF00B7
17724,ADV,-39,e0:5a:1b:15:c4:ca,MF00B8
17834,ADV,-41,e0:5a:1b:15:c4:ca,MF00B9
17962,ADV,-40,e0:5a:1b:15:c4:ca,MF00BA
18052,ADV,-45,e0:5a:1b:15:c4:ca,MF00BB
18153,ADV,-39,e0:5a:1b:15:c4:ca,MF00BC
18251,ADV,-41,e0:5a:1b:15:c4:ca,MF00BD
18359,ADV,-45,e0:5a:1b:15:c4:ca,MF00BE
18463,ADV,-38,e0:5a:1b:15:c4:ca,MF00BF
18570,ADV,-40,e0:5a:1b:15:c4:ca,MF00C0
18672,ADV,-46,e0:5a:1b:15:c4:ca,MF00C1
18778,ADV,-39,e0:5a:1b:15:c4:ca,MF00C2
18992,ADV,-40,e0:5a:1b:15:c4:ca,MF00C4
19099,ADV,-45,e0:5a:1b:15:c4:ca,MF00C5
19206,ADV,-36,e0:5a:1b:15:c4:ca,MF00C7
19335,ADV,-39,e0:5a:1b:15:c4:ca,MF00C8
19421,ADV,-45,e0:5a:1b:15:c4:ca,MF00C9
19515,ADV,-39,e0:5a:1b:15:c4:ca,MF00CA
19621,ADV,-40,e0:5a:1b:15:c4:ca,MF00CB
19735,ADV,-44,e0:5a:1b:15:c4:ca,MF00CC
19834,ADV,-39,e0:5a:1b:15:c4:ca,MF00CD
19936,ADV,-40,e0:5a:1b:15:c4:ca,MF00CE
20059,ADV,-41,e0:5a:1b:15:c4:ca,MF00CF
20153,ADV,-45,e0:5a:1b:15:c4:ca,MF00D0
20263,ADV,-39,e0:5a:1b:15:c4:ca,MF00D1
20362,ADV,-40,e0:5a:1b:15:c4:ca,MF00D2
20467,ADV,-44,e0:5a:1b:15:c4:ca,MF00D3
20571,ADV,-40,e0:5a:1b:15:c4:ca,MF00D4
20673,ADV,-40,e0:5a:1b:15:c4:ca,MF00D5
20779,ADV,-45,e0:5a:1b:15:c4:ca,MF00D6
20884,ADV,-40,e0:5a:1b:15:c4:ca,MF00D7
20991,ADV,-39,e0:5a:1b:15:c4:ca,MF00D8
21096,ADV,-41,e0:5a:1b:15:c4:ca,MF00D9
21201,ADV,-45,e0:5a:1b:15:c4:ca,MF00DA
21298,ADV,-39,e0:5a:1b:15:c4:ca,MF00DB
21399,ADV,-40,e0:5a:1b:15:c4:ca,MF00DD
21507,ADV,-45,e0:5a:1b:15:c4:ca,MF00DE
21618,ADV,-40,e0:5a:1b:15:c4:ca,MF00DF
21720,ADV,-40,e0:5a:1b:15:c4:ca,MF00E0
21825,ADV,-46,e0:5a:1b:15:c4:ca,MF00E1
21928,ADV,-40,e0:5a:1b:15:c4:ca,MF00E2
22032,ADV,-41,e0:5a:1b:15:c4:ca,MF00E3
22139,ADV,-41,e0:5a:1b:15:c4:ca,MF00E4
22248,ADV,-47,e0:5a:1b:15:c4:ca,MF00E5
22351,ADV,-39,e0:5a:1b:15:c4:ca,MF00E6
22452,ADV,-42,e0:5a:1b:15:c4:ca,MF00E7
22564,ADV,-45,e0:5a:1b:15:c4:ca,MF00E8
22653,ADV,-39,e0:5a:1b:15:c4:ca,MF00E9
22754,ADV,-41,e0:5a:1b:15:c4:ca,MF00EA
22873,ADV,-45,e0:5a:1b:15:c4:ca,MF00EB
22980,ADV,-35,e0:5a:1b:15:c4:ca,MF00EC
