ms,mv,uA,p_mW
# meta, firmware=TXSD_PowerLogger_PASS_THRU_ON_v2
10,3320,56&00,0.2
12,3324,56&00,0.2
14,3328,57"00,0.2
16,3328,57800,1923.6
18,3328,61$00,0.2
20,3328,64&00,0.2
22,3328,69"00,0.2
24,3328,71 00,0.2
26,3324,56900,1891.4
28,3320,56'00,0.2
30,3324,56&00,0.2
32,3328,57!00,0.2
34,3328,57#00,0.2
37,3312,61&00,0.2
37,3256,12 300,0.0
40,3328,69!00,0.2
42,3328,70%00,0.2
44,3324,57!00,0.2
46,3320,56&00,0.2
48,3324,56&00,0.2
50,3328,57 00,0.2
52,3324,57"00,0.2
54,3328,60&00,0.2
56,3328,63'00,0.2
58,3328,68%00,0.2
60,3324,70 00,0.2
62,3324,72!00,0.2
64,3320,56&00,0.2
66,3320,56&00,0.2
68,3324,56800,1888.0
70,3328,57#00,0.2
72,3328,60$00,0.2
74,3328,63"00,0.2
76,3328,70&00,0.2
78,3260,15&600,0.0
80,3260,16$300,0.1
82,3212,13&300,0.0
84,3260,21 900,0.1
86,3324,57!00,0.2
88,3328,57#00,0.2
90,3328,60900,2026.8
92,3328,64!00,0.2
94,3328,68900,2293.0
96,3328,70$00,0.2
98,3324,72 00,0.2
100,3320,56&00,0.2
102,3320,56%00,0.2
104,3324,56900,1891.4
106,3328,57"00,0.2
108,3328,60'00,0.2
110,3328,63&00,0.2
112,3328,68#00,0.2
114,3324,69900,2323.5
116,3328,72#00,0.2
118,3320,56'00,0.2
120,3324,56&00,0.2
122,3324,56'00,0.2
124,3328,57"00,0.2
126,3328,60"00,0.2
128,3328,63!00,0.2
130,3328,67&00,0.2
132,3328,69%00,0.2
134,3324,72&00,0.2
137,3324,15!200,0.0
137,3324,15!200,0.0
140,3328,56%00,0.2
142,3328,57"00,0.2
144,3328,59900,1993.5
146,3328,62900,2093.3
148,3328,67!00,0.2
150,3328,69$00,0.2
152,3328,72&00,0.2
154,3324,56'00,0.2
156,3320,56700,1882.4
158,3324,56600,1881.4
160,3328,57200,1903.6
162,3328,59"00,0.2
164,3328,62&00,0.2
166,3328,66$00,0.2
168,3328,69#00,0.2
170,3328,72$00,0.2
172,3324,56'00,0.2
174,3320,56&00,0.2
176,3324,56&00,0.2
178,3328,59&00,0.2
180,3264,14&200,0.0
182,3264,219000,714.8
184,3200,15 900,0.0
186,3300,69800,2303.4
188,3324,72%00,0.2
190,3324,56'00,0.2
192,3320,56&00,0.2
194,3324,56&00,0.2
196,3328,57"00,0.2
198,3328,59'00,0.2
200,3324,62'00,0.2
202,3328,66800,2223.1
204,3328,69$00,0.2
206,3328,72&00,0.2
208,3324,56'00,0.2
210,3320,56&00,0.2
212,3324,56&00,0.2
214,3328,57!00,0.2
216,3328,59!00,0.2
218,3328,62&00,0.2
220,3328,66!00,0.2
222,3328,69#00,0.2
224,3328,72"00,0.2
226,3324,56'00,0.2
228,3324,56'00,0.2
230,3324,56&00,0.2
232,3328,57"00,0.2
234,3328,58$00,0.2
237,3316,63!00,0.2
237,3252,11"500,0.0
240,3328,69#00,0.2
242,3328,72 00,0.2
244,3324,56'00,0.2
246,3324,56&00,0.2
248,3324,56&00,0.2
250,3328,57"00,0.2
252,3328,58 00,0.2
254,3328,61800,2056.7
