ms,event,rssi,addr,mfd
# meta, firmware=RX_BLE_to_SD_SYNC_B, trial_index=6
396,ADV,-58,e0:5a:1b:15:c4:ca,MF0000
1398,ADV,-46,e0:5a:1b:15:c4:ca,MF0000
4426,ADV,-58,e0:5a:1b:15:c4:ca,MF0000
5419,ADV,-46,e0:5a:1b:15:c4:ca,MF0000
6424,ADV,-55,e0:5a:1b:15:c4:ca,MF0001
7425,ADV,-98,e0:5a:1b:15:c4:ca,MF0002
8434,ADV,-46,e0:5a:1b:15:c4:ca,MF0003
9437,ADV,-55,e0:5a:1b:15:c4:ca,MF0004
10447,ADV,-56,e0:5a:1b:15:c4:ca,MF0005
11448,ADV,-46,e0:5a:1b:15:c4:ca,MF0006
13468,ADV,-52,e0:5a:1b:15:c4:ca,MF0008
14468,ADV,-57,e0:5a:1b:15:c4:ca,MF0009
15474,ADV,-46,e0:5a:1b:15:c4:ca,MF000A
16479,ADV,-53,e0:5a:1b:15:c4:ca,MF000B
17484,ADV,-56,e0:5a:1b:15:c4:ca,MF000C
19494,ADV,-53,e0:5a:1b:15:c4:ca,MF000E
20495,ADV,-56,e0:5a:1b:15:c4:ca,MF000F
21499,ADV,-45,e0:5a:1b:15:c4:ca,MF0010
22502,ADV,-55,e0:5a:1b:15:c4:ca,MF0011
23506,ADV,-57,e0:5a:1b:15:c4:ca,MF0012
24519,ADV,-56,e0:5a:1b:15:c4:ca,MF0013
25526,ADV,-46,e0:5a:1b:15:c4:ca,MF0014
26535,ADV,-54,e0:5a:1b:15:c4:ca,MF0015
27534,ADV,-55,e0:5a:1b:15:c4:ca,MF0016
28539,ADV,-46,e0:5a:1b:15:c4:ca,MF0017
29548,ADV,-54,e0:5a:1b:15:c4:ca,MF0018
30557,ADV,-57,e0:5a:1b:15:c4:ca,MF0019
32568,ADV,-46,e0:5a:1b:15:c4:ca,MF001B
33574,ADV,-52,e0:5a:1b:15:c4:ca,MF001C
34586,ADV,-56,e0:5a:1b:15:c4:ca,MF001D
