ms,mV,µA,p_mW
# meta, firmware=TXSD_PowerLogger_PASS_THRU_ON_v2, trial_index=6, adv_interval_ms=100
10,3320,05&300,0.0
19,3244,15#200,0.0
30,3316,05&400,0.0
40,3308,08#300,0.0
50,3320,05&900,0.0
60,3320,07!500,0.0
70,3316,058300,193.3
80,3316,05&400,0.0
90,3320,06!400,0.0
100,3316,05&400,0.0
110,3320,06$900,0.0
120,3316,05&300,0.0
129,3196,10"000,0.0
140,3296,06$200,0.0
150,3320,05'300,0.0
160,3316,059400,197.0
170,3316,05&300,0.0
180,3320,06"300,0.0
190,3316,05&300,0.0
200,3320,06&600,0.0
210,3316,05&300,0.0
220,3320,068200,226.4
230,3260,15$600,0.0
240,3316,11"900,0.0
250,3316,06 500,0.0
260,3316,05&400,0.0
270,3320,06#500,0.0
280,3320,05&300,0.0
290,3320,06'800,0.0
300,3316,056700,188.0
310,3316,069500,230.5
320,3320,05&900,0.0
330,3320,05'300,0.0
340,3216,16%600,0.1
350,3316,05&400,0.0
360,3320,06$900,0.0
370,3316,05&300,0.0
380,3320,06'800,0.0
390,3320,05&800,0.0
400,3320,07 900,0.0
410,3320,05'300,0.0
420,3316,05&600,0.0
430,3320,06 700,0.0
440,3316,08#300,0.0
450,3320,06&400,0.0
460,3316,05&400,0.0
470,3316,068100,225.8
480,3316,05&900,0.0
490,3320,07!500,0.0
500,3320,058500,194.2
510,3316,05&500,0.0
520,3320,06!500,0.0
530,3320,05&400,0.0
540,3300,06'200,0.0
550,3180,13'400,0.0
560,3320,07 600,0.0
570,3320,05'100,0.0
580,3316,05&900,0.0
590,3320,06 300,0.0
600,3316,05&400,0.0
610,3320,06#300,0.0
620,3316,05&300,0.0
630,3320,06'700,0.0
640,3300,07 300,0.0
649,3244,158800,515.1
660,3320,058300,193.6
670,3316,05&500,0.0
680,3320,06!500,0.0
690,3316,05&400,0.0
700,3320,06$800,0.0
710,3316,05&400,0.0
720,3320,06'900,0.0
730,3320,05&900,0.0
740,3312,09#900,0.0
750,3248,15!400,0.0
760,3316,05&400,0.0
770,3320,06"200,0.0
780,3316,05&400,0.0
790,3320,06&500,0.0
800,3316,05&400,0.0
810,3320,068100,226.1
820,3320,05&900,0.0
830,3320,07!600,0.0
840,3292,06!800,0.0
850,3316,05&400,0.0
859,3244,15 200,0.0
870,3320,05&400,0.0
880,3320,06'800,0.0
890,3316,05&700,0.0
900,3320,069400,230.4
910,3316,05'000,0.0
