ms,mv,uA,p_mW
# meta, firmware=TXSD_PowerLogger_PASS_THRU_ON_v2, trial_index=9
9,3280,56'00,0.2
19,3280,72"00,0.2
29,3280,59$00,0.2
39,3276,56!00,0.2
49,3280,62%00,0.2
59,3280,56!00,0.2
69,3280,67$00,0.2
79,3280,56$00,0.2
89,3280,69$00,0.2
99,3280,56'00,0.2
109,3280,71%00,0.2
119,3280,60$00,0.2
129,3280,56!00,0.2
139,3280,63800,2092.6
149,3280,56!00,0.2
159,3280,68900,2259.9
169,3280,56&00,0.2
179,3284,71 00,0.2
189,3280,57%00,0.2
199,3280,56"00,0.2
209,3280,61'00,0.2
219,3280,56!00,0.2
229,3284,65$00,0.2
239,3280,56 00,0.2
249,3280,68800,2256.6
259,3280,56'00,0.2
269,3280,72"00,0.2
279,3280,59!00,0.2
289,3280,56 00,0.2
299,3284,62$00,0.2
309,3284,56!00,0.2
319,3284,67"00,0.2
329,3280,56"00,0.2
339,3280,69"00,0.2
349,3280,56'00,0.2
359,3280,71&00,0.2
369,3280,60#00,0.2
379,3280,56!00,0.2
389,3280,63&00,0.2
399,3280,56!00,0.2
409,3284,68800,2259.4
419,3280,56&00,0.2
429,3280,70800,2322.2
439,3280,57#00,0.2
449,3280,56"00,0.2
459,3280,61%00,0.2
469,3280,56!00,0.2
479,3280,65"00,0.2
489,3280,56 00,0.2
499,3280,68800,2256.6
509,3280,56'00,0.2
519,3280,72!00,0.2
529,3280,58800,1928.6
539,3280,56!00,0.2
549,3280,62$00,0.2
559,3284,56!00,0.2
569,3280,67 00,0.2
579,3280,56!00,0.2
589,3280,69!00,0.2
599,3280,56'00,0.2
609,3280,71'00,0.2
619,3284,60200,1977.0
629,3280,56 00,0.2
639,3280,63%00,0.2
649,3280,56!00,0.2
659,3280,68'00,0.2
669,3280,56&00,0.2
679,3280,70&00,0.2
689,3280,57!00,0.2
699,3280,56#00,0.2
709,3280,61"00,0.2
719,3280,56!00,0.2
729,3280,64900,2128.7
739,3280,56!00,0.2
749,3280,68800,2256.6
759,3280,56'00,0.2
769,3280,72 00,0.2
779,3280,58%00,0.2
789,3280,56!00,0.2
799,3280,62"00,0.2
809,3280,56!00,0.2
819,3280,66'00,0.2
829,3280,56!00,0.2
839,3284,68900,2262.7
849,3280,56800,1863.0
859,3280,71900,2358.3
869,3280,60 00,0.2
879,3280,56 00,0.2
889,3280,63"00,0.2
899,3280,56 00,0.2
909,3280,68%00,0.2
919,3280,56&00,0.2
929,3280,70#00,0.2
939,3284,56900,1868.6
949,3280,56#00,0.2
959,3284,61 00,0.2
969,3280,56!00,0.2
979,3284,64&00,0.2
989,3280,56 00,0.2
999,3280,68800,2256.6
1009,3284,56'00,0.2
1019,3280,71900,2358.3
1029,3280,58$00,0.2
1039,3276,56!00,0.2
1049,3280,62"00,0.2
1059,3280,56!00,0.2
1069,3284,66$00,0.2
1079,3280,56!00,0.2
1089,3280,68900,2259.9
1099,3280,56'00,0.2
1109,3280,72 00,0.2
1119,3280,60 00,0.2
1129,3280,56!00,0.2
1139,3280,63!00,0.2
1149,3280,56!00,0.2
1159,3280,68#00,0.2
1169,3280,56%00,0.2
1179,3280,70!00,0.2
1189,3280,56800,1863.0
1199,3280,56$00,0.2
1209,3280,60'00,0.2
1219,3280,56!00,0.2
1229,3284,64$00,0.2
1239,3280,56!00,0.2
1249,3280,68900,2259.9
1259,3280,56'00,0.2
1269,3280,71'00,0.2
1279,3280,58!00,0.2
1289,3280,56"00,0.2
1299,3280,62!00,0.2
1309,3280,56 00,0.2
1319,3284,66"00,0.2
1329,3280,56!00,0.2
1339,3280,68800,2256.6
1349,3280,56'00,0.2
1359,3280,72!00,0.2
1369,3280,59800,1961.4
1379,3280,84&00,0.3
1389,3280,63!00,0.2
1399,3280,56 00,0.2
1409,3280,68"00,0.2
1419,3280,56%00,0.2
1429,3280,70 00,0.2
1439,3280,56800,1863.0
1449,3280,56$00,0.2
1459,3284,60'00,0.2
1468,3232,58!00,0.2
1479,3280,66#00,0.2
1489,3280,56!00,0.2
1499,3284,68900,2262.7
1509,3280,56'00,0.2
1519,3280,72 00,0.2
1529,3280,59900,1964.7
1539,3280,56!00,0.2
1549,3280,63 00,0.2
1559,3280,56!00,0.2
1569,3280,68!00,0.2
1579,3280,56&00,0.2
1589,3280,69900,2292.7
1599,3280,56800,1863.0
1609,3280,56$00,0.2
1619,3280,60'00,0.2
1629,3280,56!00,0.2
1639,3280,64#00,0.2
1649,3280,56!00,0.2
1659,3280,68800,2256.6
1669,3280,56'00,0.2
1679,3280,71'00,0.2
1689,3284,58 00,0.2
1699,3280,56"00,0.2
1709,3280,62!00,0.2
1719,3280,56!00,0.2
1729,3280,66!00,0.2
1739,3280,56!00,0.2
1749,3280,68800,2256.6
1759,3280,56800,1863.0
1769,3284,72"00,0.2
1779,3280,59'00,0.2
1789,3280,56!00,0.2
1799,3284,62800,2062.4
1809,3280,56 00,0.2
1819,3280,67800,2223.8
1829,3280,56%00,0.2
1839,3284,69&00,0.2
1849,3280,56'00,0.2
1859,3280,56&00,0.2
1869,3284,60&00,0.2
1879,3280,56100,1840.1
1889,3280,64!00,0.2
1899,3280,56!00,0.2
1909,3280,68800,2256.6
1919,3280,56'00,0.2
1929,3280,71$00,0.2
1939,3280,57800,1895.8
1949,3280,56"00,0.2
1959,3284,61900,2032.8
1969,3280,56!00,0.2
1979,3284,65'00,0.2
1989,3280,56!00,0.2
1999,3280,68800,2256.6
2009,3280,56800,1863.0
2019,3280,72"00,0.2
2029,3284,59$00,0.2
2039,3280,56!00,0.2
2049,3280,62&00,0.2
2059,3280,56!00,0.2
2069,3280,67%00,0.2
2079,3280,56$00,0.2
2089,3280,69$00,0.2
2099,3280,56'00,0.2
2109,3280,71$00,0.2
2119,3280,60$00,0.2
2129,3280,56!00,0.2
2139,3280,63900,2095.9
2149,3280,56 00,0.2
2159,3280,68800,2256.6
2169,3280,56'00,0.2
2179,3280,71!00,0.2
2189,3280,57%00,0.2
2199,3280,56"00,0.2
2209,3280,61800,2027.0
2219,3280,56!00,0.2
2229,3280,65$00,0.2
2239,3280,56 00,0.2
2249,3280,68900,2259.9
2259,3280,56800,1863.0
2269,3284,72"00,0.2
2279,3280,59!00,0.2
2289,3280,56!00,0.2
2299,3280,62$00,0.2
2309,3280,56!00,0.2
2319,3284,67"00,0.2
2329,3280,56#00,0.2
2339,3280,69"00,0.2
2349,3280,56'00,0.2
2359,3280,71%00,0.2
2369,3284,60#00,0.2
2379,3280,56 00,0.2
2389,3280,63'00,0.2
2399,3280,56!00,0.2
2409,3284,68800,2259.4
2419,3280,56&00,0.2
2429,3280,70800,2322.2
2439,3280,57#00,0.2
2449,3280,56"00,0.2
2459,3280,61%00,0.2
2469,3280,56 00,0.2
2479,3280,65"00,0.2
2489,3280,56!00,0.2
2499,3280,68900,2259.9
2509,3280,56'00,0.2
2519,3280,72!00,0.2
2529,3280,58900,1931.9
2539,3280,56!00,0.2
2549,3280,62#00,0.2
2559,3280,56 00,0.2
2569,3284,67 00,0.2
2579,3280,56!00,0.2
2589,3284,69!00,0.2
2599,3280,56'00,0.2
2609,3280,71&00,0.2
2619,3284,60"00,0.2
2629,3280,56!00,0.2
2639,3280,63%00,0.2
2649,3280,56!00,0.2
2659,3280,68'00,0.2
2669,3280,56&00,0.2
2679,3280,70%00,0.2
2689,3280,57!00,0.2
2699,3280,56"00,0.2
2709,3284,61"00,0.2
2719,3280,56!00,0.2
2729,3280,65 00,0.2
2739,3280,56 00,0.2
2749,3280,68900,2259.9
2759,3280,56'00,0.2
2769,3280,72 00,0.2
2779,3280,58&00,0.2
2789,3280,56!00,0.2
2799,3280,62#00,0.2
2809,3280,56 00,0.2
2819,3280,66'00,0.2
2829,3280,56!00,0.2
2839,3280,69 00,0.2
2849,3280,56'00,0.2
2859,3280,71800,2355.0
2869,3284,60!00,0.2
2879,3280,56 00,0.2
2889,3284,63#00,0.2
2899,3280,56 00,0.2
2909,3284,68&00,0.2
2919,3280,56&00,0.2
2929,3280,70#00,0.2
2939,3280,57 00,0.2
2949,3276,56#00,0.2
2959,3284,61 00,0.2
2969,3280,56!00,0.2
2979,3280,64'00,0.2
2989,3280,56!00,0.2
2999,3280,68800,2256.6
3009,3280,56'00,0.2
3019,3280,71900,2358.3
3029,3284,58$00,0.2
3039,3280,56!00,0.2
3049,3280,62"00,0.2
3059,3280,56!00,0.2
3069,3280,66$00,0.2
3079,3280,56!00,0.2
3089,3280,69 00,0.2
3099,3280,56'00,0.2
3109,3280,72 00,0.2
3119,3284,59900,1967.1
3129,3280,56100,1840.1
3139,3280,63!00,0.2
3149,3280,56!00,0.2
3159,3284,68#00,0.2
3169,3280,56%00,0.2
3179,3280,70 00,0.2
3189,3280,56800,1863.0
3199,3280,56$00,0.2
3209,3280,60800,1994.2
3219,3280,56!00,0.2
3229,3280,64$00,0.2
3239,3280,56!00,0.2
3249,3280,68800,2256.6
3259,3280,56%00,0.2
3269,3280,71'00,0.2
3279,3284,58!00,0.2
3289,3280,56!00,0.2
3299,3284,62!00,0.2
3309,3280,56!00,0.2
3319,3284,66"00,0.2
3329,3280,56!00,0.2
3339,3284,68900,2262.7
3349,3280,56'00,0.2
3359,3280,72!00,0.2
3369,3280,59800,1961.4
3379,3280,84$00,0.3
3389,3280,63!00,0.2
3399,3280,56!00,0.2
3409,3280,68"00,0.2
3419,3280,56%00,0.2
3429,3280,70 00,0.2
3439,3280,56800,1863.0
3449,3280,56%00,0.2
3459,3280,60800,1994.2
3469,3280,56!00,0.2
3478,3280,14!000,0.0
3489,3280,56 00,0.2
3499,3280,68900,2259.9
3509,3280,56'00,0.2
3519,3280,72 00,0.2
3529,3280,59900,1964.7
3539,3280,56!00,0.2
3549,3284,63 00,0.2
3559,3280,56!00,0.2
3569,3280,68"00,0.2
3579,3280,56%00,0.2
3589,3284,69900,2295.5
3599,3280,56800,1863.0
3609,3280,56$00,0.2
3619,3280,60800,1994.2
3629,3280,56!00,0.2
3639,3280,64$00,0.2
3649,3280,56!00,0.2
3659,3280,68800,2256.6
3669,3280,56'00,0.2
3679,3280,71'00,0.2
3689,3280,58 00,0.2
3699,3276,56!00,0.2
3709,3280,62!00,0.2
3719,3280,56!00,0.2
3729,3280,66!00,0.2
3739,3280,56 00,0.2
3749,3280,68900,2259.9
3759,3280,56'00,0.2
3769,3280,72!00,0.2
3779,3280,59'00,0.2
3789,3280,56!00,0.2
3799,3284,62900,2065.6
3809,3280,56 00,0.2
3819,3280,67900,2227.1
3829,3280,56%00,0.2
3839,3280,69800,2289.4
3849,3280,56'00,0.2
3859,3280,56%00,0.2
3869,3280,60%00,0.2
3879,3280,56 00,0.2
3889,3280,64!00,0.2
3899,3280,56 00,0.2
3909,3280,68800,2256.6
3919,3280,56'00,0.2
3929,3280,71%00,0.2
3939,3280,57800,1895.8
3949,3280,56!00,0.2
3959,3284,62 00,0.2
3969,3280,56 00,0.2
3979,3284,65800,2160.9
3989,3284,56!00,0.2
3999,3284,68800,2259.4
4009,3280,56'00,0.2
4019,3280,72"00,0.2
4029,3280,59%00,0.2
4039,3276,56!00,0.2
4049,3280,62&00,0.2
4059,3280,56!00,0.2
4069,3280,67'00,0.2
4079,3280,56#00,0.2
4089,3280,69&00,0.2
4099,3280,56&00,0.2
4109,3280,56'00,0.2
4119,3280,60$00,0.2
4129,3280,56 00,0.2
4139,3280,63900,2095.9
4149,3280,56!00,0.2
4159,3280,68800,2256.6
4169,3280,56'00,0.2
4179,3280,71"00,0.2
4189,3280,57&00,0.2
4199,3280,56"00,0.2
4209,3284,61800,2029.5
4219,3280,56!00,0.2
4229,3280,65&00,0.2
4239,3280,56 00,0.2
4249,3284,68900,2262.7
4259,3280,56'00,0.2
4269,3280,72"00,0.2
4279,3284,59#00,0.2
4289,3276,56 00,0.2
4299,3284,62%00,0.2
4309,3280,56 00,0.2
4319,3280,67$00,0.2
4329,3280,56#00,0.2
4339,3280,69#00,0.2
4349,3280,56&00,0.2
4359,3280,71$00,0.2
4369,3280,60#00,0.2
4379,3280,56100,1840.1
4389,3284,63'00,0.2
4399,3280,56 00,0.2
4409,3280,68900,2259.9
4419,3280,56&00,0.2
4429,3280,70900,2325.5
4439,3280,57$00,0.2
4449,3276,56!00,0.2
4459,3284,61%00,0.2
4469,3280,56!00,0.2
4479,3280,65#00,0.2
4489,3280,56!00,0.2
4499,3280,68800,2256.6
4509,3280,56'00,0.2
4519,3280,72"00,0.2
4529,3280,58900,1931.9
4539,3280,56!00,0.2
4549,3280,62#00,0.2
4559,3280,56!00,0.2
4569,3280,67!00,0.2
4579,3280,56"00,0.2
4589,3280,69!00,0.2
4599,3280,56'00,0.2
4609,3280,71&00,0.2
4619,3284,60"00,0.2
4629,3280,56 00,0.2
4639,3280,63%00,0.2
4649,3280,56!00,0.2
4659,3284,68'00,0.2
4669,3280,56&00,0.2
4679,3280,70'00,0.2
4689,3280,57"00,0.2
4699,3280,56"00,0.2
4709,3284,61$00,0.2
4719,3280,56!00,0.2
4729,3284,65 00,0.2
4739,3280,56 00,0.2
4749,3280,68800,2256.6
4759,3280,56'00,0.2
4769,3280,72!00,0.2
4779,3280,58'00,0.2
4789,3280,56!00,0.2
4799,3280,62"00,0.2
4809,3280,56!00,0.2
4819,3280,66800,2191.0
4829,3280,56!00,0.2
4839,3280,69 00,0.2
4849,3280,56'00,0.2
4859,3280,71800,2355.0
4869,3280,60!00,0.2
4879,3280,56!00,0.2
4889,3280,63$00,0.2
4899,3280,56!00,0.2
4909,3284,68&00,0.2
4919,3280,56&00,0.2
4929,3280,70$00,0.2
4939,3280,57 00,0.2
4949,3280,56#00,0.2
4959,3280,61!00,0.2
4969,3280,56!00,0.2
4979,3280,64900,2128.7
4989,3280,56!00,0.2
4999,3284,68800,2259.4
5009,3280,56'00,0.2
5019,3280,71900,2358.3
5029,3280,58%00,0.2
5039,3280,56!00,0.2
5049,3284,62"00,0.2
5059,3280,56 00,0.2
5069,3284,66&00,0.2
5079,3280,56 00,0.2
5089,3280,68900,2259.9
5099,3280,56'00,0.2
5109,3280,71900,2358.3
5119,3280,60 00,0.2
5129,3280,56!00,0.2
5139,3284,63!00,0.2
5149,3280,56!00,0.2
5159,3284,68#00,0.2
5169,3280,56%00,0.2
5179,3280,70!00,0.2
5189,3280,56900,1866.3
5199,3280,56#00,0.2
5209,3280,60900,1997.5
5219,3280,56!00,0.2
5229,3280,64%00,0.2
5239,3280,56!00,0.2
5249,3280,68900,2259.9
5259,3280,56'00,0.2
5269,3280,71800,2355.0
5279,3280,58"00,0.2
5289,3280,56"00,0.2
5299,3280,62"00,0.2
5309,3280,56!00,0.2
5319,3280,66#00,0.2
5329,3280,56!00,0.2
5339,3280,68900,2259.9
5349,3280,56'00,0.2
5359,3280,72 00,0.2
5369,3280,59800,1961.4
5379,3280,84%00,0.3
5389,3280,63"00,0.2
5399,3280,56!00,0.2
5409,3284,68#00,0.2
5419,3280,56%00,0.2
5429,3280,70!00,0.2
5439,3280,56800,1863.0
5449,3280,56$00,0.2
5459,3284,60900,2000.0
5469,3280,56!00,0.2
5479,3284,64%00,0.2
5489,3220,14"600,0.0
5499,3284,69 00,0.2
5509,3280,56'00,0.2
5519,3280,71900,2358.3
5529,3280,60 00,0.2
5539,3280,56!00,0.2
5549,3284,63!00,0.2
5559,3280,56!00,0.2
5569,3284,68$00,0.2
5579,3280,56%00,0.2
5589,3284,70 00,0.2
5599,3280,56800,1863.0
5609,3280,56$00,0.2
5619,3284,60900,2000.0
5629,3280,56100,1840.1
5639,3280,64%00,0.2
5649,3280,56!00,0.2
5659,3280,68800,2256.6
5669,3284,56'00,0.2
5679,3280,71800,2355.0
5689,3280,58!00,0.2
5699,3280,56!00,0.2
5709,3280,62"00,0.2
5719,3280,56!00,0.2
5729,3280,66"00,0.2
5739,3280,56!00,0.2
5749,3280,68900,2259.9
