prog_id,ms,mV,uA,p_mW
# meta, firmware=TXSD_DeltaE_V3_OFF, program_id=TXSD_DELTAE_V3_OFF_20260114, trial_index=auto, adv_interval_ms=0
TXSD_DELTAE_V3_OFF_20260114,12,3160,51400,162.4
TXSD_DELTAE_V3_OFF_20260114,21,3160,51800,163.7
TXSD_DELTAE_V3_OFF_20260114,31,3156,51200,161.6
TXSD_DELTAE_V3_OFF_20260114,41,3160,52000,164.3
TXSD_DELTAE_V3_OFF_20260114,51,3156,51100,161.3
TXSD_DELTAE_V3_OFF_20260114,61,3160,52100,164.6
TXSD_DELTAE_V3_OFF_20260114,71,3156,51000,161.0
TXSD_DELTAE_V3_OFF_20260114,81,3160,52200,165.0
TXSD_DELTAE_V3_OFF_20260114,91,3156,51000,161.0
TXSD_DELTAE_V3_OFF_20260114,101,3160,52100,164.6
TXSD_DELTAE_V3_OFF_20260114,111,3156,51200,161.6
TXSD_DELTAE_V3_OFF_20260114,121,3160,51900,164.0
TXSD_DELTAE_V3_OFF_20260114,131,3156,51300,161.9
TXSD_DELTAE_V3_OFF_20260114,141,3160,51700,163.4
TXSD_DELTAE_V3_OFF_20260114,151,3160,51600,163.1
TXSD_DELTAE_V3_OFF_20260114,161,3156,51300,161.9
TXSD_DELTAE_V3_OFF_20260114,171,3160,51900,164.0
TXSD_DELTAE_V3_OFF_20260114,181,3156,51200,161.6
TXSD_DELTAE_V3_OFF_20260114,191,3160,52000,164.3
TXSD_DELTAE_V3_OFF_20260114,201,3156,51100,161.3
TXSD_DELTAE_V3_OFF_20260114,211,3160,52100,164.6
TXSD_DELTAE_V3_OFF_20260114,221,3156,51000,161.0
TXSD_DELTAE_V3_OFF_20260114,231,3160,52200,165.0
TXSD_DELTAE_V3_OFF_20260114,241,3156,51000,161.0
TXSD_DELTAE_V3_OFF_20260114,251,3160,52000,164.3
TXSD_DELTAE_V3_OFF_20260114,261,3156,51200,161.6
TXSD_DELTAE_V3_OFF_20260114,271,3160,52000,164.3
TXSD_DELTAE_V3_OFF_20260114,281,3156,51300,161.9
TXSD_DELTAE_V3_OFF_20260114,291,3160,51600,163.1
TXSD_DELTAE_V3_OFF_20260114,301,3156,51700,163.2
TXSD_DELTAE_V3_OFF_20260114,311,3156,51300,161.9
TXSD_DELTAE_V3_OFF_20260114,321,3160,51900,164.0
TXSD_DELTAE_V3_OFF_20260114,331,3156,51100,161.3
TXSD_DELTAE_V3_OFF_20260114,341,3160,52100,164.6
TXSD_DELTAE_V3_OFF_20260114,351,3156,51000,161.0
TXSD_DELTAE_V3_OFF_20260114,361,3160,52200,165.0
TXSD_DELTAE_V3_OFF_20260114,371,3156,51000,161.0
TXSD_DELTAE_V3_OFF_20260114,381,3160,52200,165.0
TXSD_DELTAE_V3_OFF_20260114,391,3156,51100,161.3
TXSD_DELTAE_V3_OFF_20260114,401,3160,52000,164.3
TXSD_DELTAE_V3_OFF_20260114,411,3156,51300,161.9
TXSD_DELTAE_V3_OFF_20260114,421,3160,51800,163.7
TXSD_DELTAE_V3_OFF_20260114,431,3156,51500,162.5
TXSD_DELTAE_V3_OFF_20260114,441,3156,51500,162.5
TXSD_DELTAE_V3_OFF_20260114,451,3160,51800,163.7
TXSD_DELTAE_V3_OFF_20260114,461,3160,51200,161.8
TXSD_DELTAE_V3_OFF_20260114,471,3160,51900,164.0
TXSD_DELTAE_V3_OFF_20260114,481,3156,51100,161.3
TXSD_DELTAE_V3_OFF_20260114,491,3160,52100,164.6
TXSD_DELTAE_V3_OFF_20260114,501,3156,51000,161.0
TXSD_DELTAE_V3_OFF_20260114,511,3160,52100,164.6
TXSD_DELTAE_V3_OFF_20260114,521,3156,51000,161.0
TXSD_DELTAE_V3_OFF_20260114,531,3160,52100,164.6
TXSD_DELTAE_V3_OFF_20260114,541,3156,51100,161.3
TXSD_DELTAE_V3_OFF_20260114,551,3160,51900,164.0
TXSD_DELTAE_V3_OFF_20260114,561,3156,51300,161.9
TXSD_DELTAE_V3_OFF_20260114,571,3160,51700,163.4
TXSD_DELTAE_V3_OFF_20260114,581,3156,51600,162.8
TXSD_DELTAE_V3_OFF_20260114,591,3156,51400,162.2
TXSD_DELTAE_V3_OFF_20260114,601,3160,51900,164.0
TXSD_DELTAE_V3_OFF_20260114,611,3156,51200,161.6
TXSD_DELTAE_V3_OFF_20260114,621,3160,52000,164.3
TXSD_DELTAE_V3_OFF_20260114,631,3156,51000,161.0
TXSD_DELTAE_V3_OFF_20260114,641,3160,52200,165.0
TXSD_DELTAE_V3_OFF_20260114,651,3156,51000,161.0
TXSD_DELTAE_V3_OFF_20260114,661,3160,52200,165.0
TXSD_DELTAE_V3_OFF_20260114,671,3156,51000,161.0
TXSD_DELTAE_V3_OFF_20260114,681,3160,52000,164.3
TXSD_DELTAE_V3_OFF_20260114,691,3156,51200,161.6
TXSD_DELTAE_V3_OFF_20260114,701,3160,51900,164.0
TXSD_DELTAE_V3_OFF_20260114,711,3156,51300,161.9
TXSD_DELTAE_V3_OFF_20260114,721,3160,51600,163.1
TXSD_DELTAE_V3_OFF_20260114,731,3156,51700,163.2
TXSD_DELTAE_V3_OFF_20260114,741,3156,51200,161.6
TXSD_DELTAE_V3_OFF_20260114,751,3160,52000,164.3
TXSD_DELTAE_V3_OFF_20260114,761,3160,51100,161.5
TXSD_DELTAE_V3_OFF_20260114,771,3160,52100,164.6
TXSD_DELTAE_V3_OFF_20260114,781,3156,50900,160.6
TXSD_DELTAE_V3_OFF_20260114,791,3160,52200,165.0
TXSD_DELTAE_V3_OFF_20260114,801,3156,51000,161.0
TXSD_DELTAE_V3_OFF_20260114,813,3160,52100,164.6
TXSD_DELTAE_V3_OFF_20260114,821,3156,51000,161.0
TXSD_DELTAE_V3_OFF_20260114,831,3160,52000,164.3
TXSD_DELTAE_V3_OFF_20260114,841,3156,51200,161.6
TXSD_DELTAE_V3_OFF_20260114,851,3160,51800,163.7
TXSD_DELTAE_V3_OFF_20260114,861,3156,51500,162.5
TXSD_DELTAE_V3_OFF_20260114,871,3156,51500,162.5
TXSD_DELTAE_V3_OFF_20260114,881,3156,51800,163.5
TXSD_DELTAE_V3_OFF_20260114,891,3156,51300,161.9
TXSD_DELTAE_V3_OFF_20260114,901,3160,52000,164.3
TXSD_DELTAE_V3_OFF_20260114,911,3156,51100,161.3
TXSD_DELTAE_V3_OFF_20260114,921,3160,52100,164.6
TXSD_DELTAE_V3_OFF_20260114,931,3156,51000,161.0
TXSD_DELTAE_V3_OFF_20260114,941,3160,52200,165.0
TXSD_DELTAE_V3_OFF_20260114,951,3156,51000,161.0
TXSD_DELTAE_V3_OFF_20260114,961,3160,52100,164.6
TXSD_DELTAE_V3_OFF_20260114,971,3156,51100,161.3
TXSD_DELTAE_V3_OFF_20260114,981,3160,51900,164.0
TXSD_DELTAE_V3_OFF_20260114,991,3156,51300,161.9
TXSD_DELTAE_V3_OFF_20260114,1001,3160,51700,163.4
TXSD_DELTAE_V3_OFF_20260114,1011,3156,51600,162.8
TXSD_DELTAE_V3_OFF_20260114,1021,3160,51400,162.4
TXSD_DELTAE_V3_OFF_20260114,1031,3160,52000,164.3
TXSD_DELTAE_V3_OFF_20260114,1041,3156,51200,161.6
TXSD_DELTAE_V3_OFF_20260114,1051,3160,52100,164.6
TXSD_DELTAE_V3_OFF_20260114,1061,3156,51000,161.0
TXSD_DELTAE_V3_OFF_20260114,1071,3160,52200,165.0
TXSD_DELTAE_V3_OFF_20260114,1081,3156,51000,161.0
TXSD_DELTAE_V3_OFF_20260114,1091,3160,52200,165.0
TXSD_DELTAE_V3_OFF_20260114,1101,3156,51100,161.3
TXSD_DELTAE_V3_OFF_20260114,1111,3160,52000,164.3
TXSD_DELTAE_V3_OFF_20260114,1121,3156,51200,161.6
TXSD_DELTAE_V3_OFF_20260114,1131,3160,51900,164.0
TXSD_DELTAE_V3_OFF_20260114,1141,3156,51400,162.2
TXSD_DELTAE_V3_OFF_20260114,1151,3160,51500,162.7
TXSD_DELTAE_V3_OFF_20260114,1161,3160,51800,163.7
TXSD_DELTAE_V3_OFF_20260114,1171,3156,51300,161.9
TXSD_DELTAE_V3_OFF_20260114,1181,3160,52000,164.3
TXSD_DELTAE_V3_OFF_20260114,1191,3156,51100,161.3
TXSD_DELTAE_V3_OFF_20260114,1201,3160,52100,164.6
TXSD_DELTAE_V3_OFF_20260114,1211,3156,51000,161.0
TXSD_DELTAE_V3_OFF_20260114,1221,3160,52200,165.0
TXSD_DELTAE_V3_OFF_20260114,1231,3156,51100,161.3
TXSD_DELTAE_V3_OFF_20260114,1241,3160,52200,165.0
TXSD_DELTAE_V3_OFF_20260114,1251,3156,51100,161.3
TXSD_DELTAE_V3_OFF_20260114,1261,3160,52000,164.3
TXSD_DELTAE_V3_OFF_20260114,1271,3156,51300,161.9
TXSD_DELTAE_V3_OFF_20260114,1281,3160,51900,164.0
TXSD_DELTAE_V3_OFF_20260114,1291,3156,51500,162.5
TXSD_DELTAE_V3_OFF_20260114,1301,3160,51500,162.7
TXSD_DELTAE_V3_OFF_20260114,1311,3160,51800,163.7
TXSD_DELTAE_V3_OFF_20260114,1321,3156,51200,161.6
TXSD_DELTAE_V3_OFF_20260114,1331,3160,52100,164.6
TXSD_DELTAE_V3_OFF_20260114,1341,3156,51100,161.3
TXSD_DELTAE_V3_OFF_20260114,1351,3160,52100,164.6
TXSD_DELTAE_V3_OFF_20260114,1361,3156,51000,161.0
TXSD_DELTAE_V3_OFF_20260114,1371,3160,52200,165.0
TXSD_DELTAE_V3_OFF_20260114,1381,3156,51000,161.0
TXSD_DELTAE_V3_OFF_20260114,1391,3160,52100,164.6
TXSD_DELTAE_V3_OFF_20260114,1401,3156,51100,161.3
TXSD_DELTAE_V3_OFF_20260114,1411,3160,52000,164.3
TXSD_DELTAE_V3_OFF_20260114,1421,3156,51200,161.6
TXSD_DELTAE_V3_OFF_20260114,1431,3160,51700,163.4
TXSD_DELTAE_V3_OFF_20260114,1441,3160,51600,163.1
TXSD_DELTAE_V3_OFF_20260114,1451,3156,51400,162.2
TXSD_DELTAE_V3_OFF_20260114,1461,3160,51800,163.7
TXSD_DELTAE_V3_OFF_20260114,1471,3156,51200,161.6
TXSD_DELTAE_V3_OFF_20260114,1481,3160,52000,164.3
TXSD_DELTAE_V3_OFF_20260114,1491,3156,51000,161.0
TXSD_DELTAE_V3_OFF_20260114,1501,3160,52100,164.6
TXSD_DELTAE_V3_OFF_20260114,1511,3160,51000,161.2
TXSD_DELTAE_V3_OFF_20260114,1521,3160,52200,165.0
TXSD_DELTAE_V3_OFF_20260114,1531,3156,51000,161.0
TXSD_DELTAE_V3_OFF_20260114,1541,3160,52100,164.6
TXSD_DELTAE_V3_OFF_20260114,1551,3156,51200,161.6
TXSD_DELTAE_V3_OFF_20260114,1561,3160,52000,164.3
TXSD_DELTAE_V3_OFF_20260114,1571,3156,51300,161.9
TXSD_DELTAE_V3_OFF_20260114,1581,3160,51600,163.1
TXSD_DELTAE_V3_OFF_20260114,1591,3160,51700,163.4
TXSD_DELTAE_V3_OFF_20260114,1601,3156,51300,161.9
TXSD_DELTAE_V3_OFF_20260114,1611,3160,52000,164.3
TXSD_DELTAE_V3_OFF_20260114,1621,3156,51300,161.9
TXSD_DELTAE_V3_OFF_20260114,1631,3160,52100,164.6
TXSD_DELTAE_V3_OFF_20260114,1641,3156,51000,161.0
TXSD_DELTAE_V3_OFF_20260114,1651,3160,52200,165.0
TXSD_DELTAE_V3_OFF_20260114,1661,3160,51000,161.2
TXSD_DELTAE_V3_OFF_20260114,1671,3160,52100,164.6
TXSD_DELTAE_V3_OFF_20260114,1681,3156,51100,161.3
TXSD_DELTAE_V3_OFF_20260114,1691,3160,52000,164.3
TXSD_DELTAE_V3_OFF_20260114,1701,3156,51200,161.6
TXSD_DELTAE_V3_OFF_20260114,1711,3160,51800,163.7
TXSD_DELTAE_V3_OFF_20260114,1721,3156,51500,162.5
TXSD_DELTAE_V3_OFF_20260114,1731,3156,51500,162.5
TXSD_DELTAE_V3_OFF_20260114,1741,3160,51800,163.7
TXSD_DELTAE_V3_OFF_20260114,1751,3156,51200,161.6
TXSD_DELTAE_V3_OFF_20260114,1761,3160,52000,164.3
TXSD_DELTAE_V3_OFF_20260114,1771,3156,51100,161.3
TXSD_DELTAE_V3_OFF_20260114,1781,3160,52100,164.6
TXSD_DELTAE_V3_OFF_20260114,1791,3156,51000,161.0
TXSD_DELTAE_V3_OFF_20260114,1801,3160,52200,165.0
TXSD_DELTAE_V3_OFF_20260114,1811,3156,51000,161.0
TXSD_DELTAE_V3_OFF_20260114,1821,3160,52100,164.6
TXSD_DELTAE_V3_OFF_20260114,1831,3156,51200,161.6
TXSD_DELTAE_V3_OFF_20260114,1841,3160,52000,164.3
TXSD_DELTAE_V3_OFF_20260114,1851,3156,51300,161.9
TXSD_DELTAE_V3_OFF_20260114,1861,3160,51700,163.4
TXSD_DELTAE_V3_OFF_20260114,1871,3160,51600,163.1
TXSD_DELTAE_V3_OFF_20260114,1881,3160,51400,162.4
TXSD_DELTAE_V3_OFF_20260114,1891,3160,51900,164.0
TXSD_DELTAE_V3_OFF_20260114,1901,3156,51100,161.3
TXSD_DELTAE_V3_OFF_20260114,1911,3160,52100,164.6
TXSD_DELTAE_V3_OFF_20260114,1921,3156,51100,161.3
TXSD_DELTAE_V3_OFF_20260114,1931,3160,52100,164.6
TXSD_DELTAE_V3_OFF_20260114,1941,3156,51000,161.0
TXSD_DELTAE_V3_OFF_20260114,1951,3160,52200,165.0
TXSD_DELTAE_V3_OFF_20260114,1961,3156,51000,161.0
TXSD_DELTAE_V3_OFF_20260114,1971,3160,52000,164.3
TXSD_DELTAE_V3_OFF_20260114,1981,3156,51200,161.6
TXSD_DELTAE_V3_OFF_20260114,1991,3160,51900,164.0
TXSD_DELTAE_V3_OFF_20260114,2001,3156,51300,161.9
TXSD_DELTAE_V3_OFF_20260114,2011,3160,51600,163.1
TXSD_DELTAE_V3_OFF_20260114,2021,3156,51700,163.2
TXSD_DELTAE_V3_OFF_20260114,2031,3156,51300,161.9
TXSD_DELTAE_V3_OFF_20260114,2041,3160,51900,164.0
TXSD_DELTAE_V3_OFF_20260114,2051,3156,51100,161.3
TXSD_DELTAE_V3_OFF_20260114,2061,3164,52100,164.8
TXSD_DELTAE_V3_OFF_20260114,2071,3156,51000,161.0
TXSD_DELTAE_V3_OFF_20260114,2081,3160,52100,164.6
TXSD_DELTAE_V3_OFF_20260114,2091,3156,51000,161.0
TXSD_DELTAE_V3_OFF_20260114,2101,3160,52100,164.6
TXSD_DELTAE_V3_OFF_20260114,2111,3156,51100,161.3
TXSD_DELTAE_V3_OFF_20260114,2121,3160,52000,164.3
TXSD_DELTAE_V3_OFF_20260114,2131,3156,51300,161.9
TXSD_DELTAE_V3_OFF_20260114,2141,3160,51800,163.7
TXSD_DELTAE_V3_OFF_20260114,2151,3160,51400,162.4
TXSD_DELTAE_V3_OFF_20260114,2161,3160,51400,162.4
TXSD_DELTAE_V3_OFF_20260114,2171,3160,51800,163.7
TXSD_DELTAE_V3_OFF_20260114,2181,3156,51200,161.6
TXSD_DELTAE_V3_OFF_20260114,2191,3160,52000,164.3
TXSD_DELTAE_V3_OFF_20260114,2201,3156,51100,161.3
TXSD_DELTAE_V3_OFF_20260114,2211,3160,52100,164.6
TXSD_DELTAE_V3_OFF_20260114,2221,3156,51000,161.0
TXSD_DELTAE_V3_OFF_20260114,2231,3160,52200,165.0
TXSD_DELTAE_V3_OFF_20260114,2241,3156,50900,160.6
TXSD_DELTAE_V3_OFF_20260114,2251,3160,52100,164.6
TXSD_DELTAE_V3_OFF_20260114,2261,3156,51100,161.3
TXSD_DELTAE_V3_OFF_20260114,2271,3160,52000,164.3
TXSD_DELTAE_V3_OFF_20260114,2281,3156,51200,161.6
TXSD_DELTAE_V3_OFF_20260114,2291,3160,51700,163.4
TXSD_DELTAE_V3_OFF_20260114,2301,3156,51600,162.8
TXSD_DELTAE_V3_OFF_20260114,2311,3156,51400,162.2
TXSD_DELTAE_V3_OFF_20260114,2321,3160,51900,164.0
TXSD_DELTAE_V3_OFF_20260114,2331,3156,51200,161.6
TXSD_DELTAE_V3_OFF_20260114,2341,3160,52100,164.6
TXSD_DELTAE_V3_OFF_20260114,2351,3156,51100,161.3
TXSD_DELTAE_V3_OFF_20260114,2361,3160,52200,165.0
TXSD_DELTAE_V3_OFF_20260114,2371,3156,50900,160.6
TXSD_DELTAE_V3_OFF_20260114,2381,3160,52200,165.0
TXSD_DELTAE_V3_OFF_20260114,2391,3156,51000,161.0
TXSD_DELTAE_V3_OFF_20260114,2401,3160,52000,164.3
TXSD_DELTAE_V3_OFF_20260114,2411,3156,51200,161.6
TXSD_DELTAE_V3_OFF_20260114,2421,3160,51900,164.0
TXSD_DELTAE_V3_OFF_20260114,2431,3156,51300,161.9
TXSD_DELTAE_V3_OFF_20260114,2441,3160,51600,163.1
TXSD_DELTAE_V3_OFF_20260114,2451,3160,51800,163.7
