prog_id,ms,mV,uA,p_mW,tick_raw
# meta, firmware=TXSD_DeltaE_Sweep, program_id=TXSD_DELTAE_SWEEP_20260115, build=Jan 16 2026 11:40:40
TXSD_DELTAE_SWEEP_20260115,12,3256,53800,175.2,0
TXSD_DELTAE_SWEEP_20260115,21,3252,52300,170.1,0
TXSD_DELTAE_SWEEP_20260115,31,3256,53800,175.2,0
TXSD_DELTAE_SWEEP_20260115,41,3252,52500,170.7,0
TXSD_DELTAE_SWEEP_20260115,51,3252,53700,174.6,0
TXSD_DELTAE_SWEEP_20260115,61,3252,52600,171.1,0
TXSD_DELTAE_SWEEP_20260115,71,3252,53300,173.3,0
TXSD_DELTAE_SWEEP_20260115,81,3252,52900,172.0,0
TXSD_DELTAE_SWEEP_20260115,91,3252,53200,173.0,0
TXSD_DELTAE_SWEEP_20260115,101,3252,53200,173.0,0
TXSD_DELTAE_SWEEP_20260115,111,3252,52500,170.7,0
TXSD_DELTAE_SWEEP_20260115,121,3256,53700,174.8,0
TXSD_DELTAE_SWEEP_20260115,131,3252,52300,170.1,0
TXSD_DELTAE_SWEEP_20260115,141,3256,53800,175.2,0
TXSD_DELTAE_SWEEP_20260115,151,3248,52300,169.9,0
TXSD_DELTAE_SWEEP_20260115,161,3256,53900,175.5,0
TXSD_DELTAE_SWEEP_20260115,171,3252,52300,170.1,0
TXSD_DELTAE_SWEEP_20260115,181,3252,53800,175.0,0
TXSD_DELTAE_SWEEP_20260115,191,3252,52700,171.4,0
TXSD_DELTAE_SWEEP_20260115,201,3252,53500,174.0,0
TXSD_DELTAE_SWEEP_20260115,211,3252,52800,171.7,0
TXSD_DELTAE_SWEEP_20260115,221,3252,53300,173.3,0
TXSD_DELTAE_SWEEP_20260115,231,3252,52800,171.7,0
TXSD_DELTAE_SWEEP_20260115,241,3252,52700,171.4,0
TXSD_DELTAE_SWEEP_20260115,251,3252,53500,174.0,0
TXSD_DELTAE_SWEEP_20260115,261,3252,52400,170.4,0
TXSD_DELTAE_SWEEP_20260115,271,3252,53700,174.6,0
TXSD_DELTAE_SWEEP_20260115,281,3252,52300,170.1,0
TXSD_DELTAE_SWEEP_20260115,291,3252,53800,175.0,0
TXSD_DELTAE_SWEEP_20260115,301,3252,52300,170.1,0
TXSD_DELTAE_SWEEP_20260115,311,3256,53800,175.2,0
TXSD_DELTAE_SWEEP_20260115,321,3252,52300,170.1,0
TXSD_DELTAE_SWEEP_20260115,331,3252,53800,175.0,0
TXSD_DELTAE_SWEEP_20260115,341,3252,52500,170.7,0
TXSD_DELTAE_SWEEP_20260115,351,3256,53400,173.9,0
TXSD_DELTAE_SWEEP_20260115,361,3252,52900,172.0,0
TXSD_DELTAE_SWEEP_20260115,371,3252,53200,173.0,0
TXSD_DELTAE_SWEEP_20260115,381,3252,53100,172.7,0
TXSD_DELTAE_SWEEP_20260115,391,3252,52500,170.7,0
TXSD_DELTAE_SWEEP_20260115,401,3252,53700,174.6,0
TXSD_DELTAE_SWEEP_20260115,411,3252,52300,170.1,0
TXSD_DELTAE_SWEEP_20260115,421,3252,53800,175.0,0
TXSD_DELTAE_SWEEP_20260115,431,3252,52300,170.1,0
TXSD_DELTAE_SWEEP_20260115,441,3252,53900,175.3,0
TXSD_DELTAE_SWEEP_20260115,451,3252,52200,169.8,0
TXSD_DELTAE_SWEEP_20260115,461,3256,53800,175.2,0
TXSD_DELTAE_SWEEP_20260115,471,3252,52600,171.1,0
TXSD_DELTAE_SWEEP_20260115,481,3252,53500,174.0,0
TXSD_DELTAE_SWEEP_20260115,491,3252,52700,171.4,0
TXSD_DELTAE_SWEEP_20260115,501,3252,53300,173.3,0
TXSD_DELTAE_SWEEP_20260115,511,3252,52900,172.0,0
TXSD_DELTAE_SWEEP_20260115,521,3252,52800,171.7,0
TXSD_DELTAE_SWEEP_20260115,531,3252,53400,173.7,0
TXSD_DELTAE_SWEEP_20260115,541,3252,52400,170.4,0
TXSD_DELTAE_SWEEP_20260115,551,3252,53700,174.6,0
TXSD_DELTAE_SWEEP_20260115,561,3252,52300,170.1,0
TXSD_DELTAE_SWEEP_20260115,571,3252,53800,175.0,0
TXSD_DELTAE_SWEEP_20260115,581,3252,52300,170.1,0
TXSD_DELTAE_SWEEP_20260115,591,3256,53800,175.2,0
TXSD_DELTAE_SWEEP_20260115,601,3252,52400,170.4,0
TXSD_DELTAE_SWEEP_20260115,611,3256,53800,175.2,0
TXSD_DELTAE_SWEEP_20260115,621,3252,52400,170.4,0
TXSD_DELTAE_SWEEP_20260115,631,3252,53400,173.7,0
TXSD_DELTAE_SWEEP_20260115,641,3252,52800,171.7,0
TXSD_DELTAE_SWEEP_20260115,651,3252,53200,173.0,0
TXSD_DELTAE_SWEEP_20260115,661,3252,53000,172.4,0
TXSD_DELTAE_SWEEP_20260115,671,3252,52600,171.1,0
TXSD_DELTAE_SWEEP_20260115,681,3252,53700,174.6,0
TXSD_DELTAE_SWEEP_20260115,691,3252,52300,170.1,0
TXSD_DELTAE_SWEEP_20260115,701,3252,53800,175.0,0
TXSD_DELTAE_SWEEP_20260115,711,3252,52300,170.1,0
TXSD_DELTAE_SWEEP_20260115,721,3252,53800,175.0,0
TXSD_DELTAE_SWEEP_20260115,731,3252,52300,170.1,0
TXSD_DELTAE_SWEEP_20260115,741,3256,53800,175.2,0
TXSD_DELTAE_SWEEP_20260115,751,3252,52600,171.1,0
TXSD_DELTAE_SWEEP_20260115,761,3256,53600,174.5,0
TXSD_DELTAE_SWEEP_20260115,771,3252,52600,171.1,0
TXSD_DELTAE_SWEEP_20260115,781,3252,53300,173.3,0
TXSD_DELTAE_SWEEP_20260115,793,3252,53600,174.3,0
TXSD_DELTAE_SWEEP_20260115,801,3252,52900,172.0,0
TXSD_DELTAE_SWEEP_20260115,811,3252,53400,173.7,0
TXSD_DELTAE_SWEEP_20260115,821,3252,52500,170.7,0
TXSD_DELTAE_SWEEP_20260115,831,3252,53700,174.6,0
TXSD_DELTAE_SWEEP_20260115,841,3252,52300,170.1,0
TXSD_DELTAE_SWEEP_20260115,851,3256,53800,175.2,0
TXSD_DELTAE_SWEEP_20260115,861,3252,52300,170.1,0
TXSD_DELTAE_SWEEP_20260115,871,3256,53900,175.5,0
TXSD_DELTAE_SWEEP_20260115,881,3252,52300,170.1,0
TXSD_DELTAE_SWEEP_20260115,891,3256,53900,175.5,0
TXSD_DELTAE_SWEEP_20260115,901,3252,52700,171.4,0
TXSD_DELTAE_SWEEP_20260115,911,3252,53400,173.7,0
TXSD_DELTAE_SWEEP_20260115,921,3252,52800,171.7,0
TXSD_DELTAE_SWEEP_20260115,931,3252,53200,173.0,0
TXSD_DELTAE_SWEEP_20260115,941,3252,52900,172.0,0
TXSD_DELTAE_SWEEP_20260115,951,3252,52600,171.1,0
TXSD_DELTAE_SWEEP_20260115,961,3252,53600,174.3,0
TXSD_DELTAE_SWEEP_20260115,971,3252,52400,170.4,0
TXSD_DELTAE_SWEEP_20260115,981,3256,53800,175.2,0
TXSD_DELTAE_SWEEP_20260115,991,3252,52300,170.1,0
TXSD_DELTAE_SWEEP_20260115,1001,3256,53800,175.2,0
TXSD_DELTAE_SWEEP_20260115,1011,3252,52300,170.1,0
TXSD_DELTAE_SWEEP_20260115,1021,3252,53900,175.3,0
TXSD_DELTAE_SWEEP_20260115,1031,3252,52500,170.7,0
TXSD_DELTAE_SWEEP_20260115,1041,3252,53700,174.6,0
TXSD_DELTAE_SWEEP_20260115,1051,3252,52600,171.1,0
TXSD_DELTAE_SWEEP_20260115,1061,3252,53300,173.3,0
TXSD_DELTAE_SWEEP_20260115,1071,3252,52800,171.7,0
TXSD_DELTAE_SWEEP_20260115,1081,3252,53100,172.7,0
TXSD_DELTAE_SWEEP_20260115,1091,3252,53300,173.3,0
TXSD_DELTAE_SWEEP_20260115,1101,3252,52500,170.7,0
TXSD_DELTAE_SWEEP_20260115,1111,3252,53700,174.6,0
TXSD_DELTAE_SWEEP_20260115,1121,3252,52400,170.4,0
TXSD_DELTAE_SWEEP_20260115,1131,3252,53900,175.3,0
TXSD_DELTAE_SWEEP_20260115,1141,3252,52400,170.4,0
TXSD_DELTAE_SWEEP_20260115,1151,3252,53900,175.3,0
TXSD_DELTAE_SWEEP_20260115,1161,3252,52300,170.1,0
TXSD_DELTAE_SWEEP_20260115,1171,3252,53800,175.0,0
TXSD_DELTAE_SWEEP_20260115,1181,3252,52700,171.4,0
TXSD_DELTAE_SWEEP_20260115,1191,3256,53400,173.9,0
TXSD_DELTAE_SWEEP_20260115,1201,3252,52800,171.7,0
TXSD_DELTAE_SWEEP_20260115,1211,3252,53300,173.3,0
TXSD_DELTAE_SWEEP_20260115,1221,3252,52900,172.0,0
TXSD_DELTAE_SWEEP_20260115,1231,3252,52700,171.4,0
TXSD_DELTAE_SWEEP_20260115,1241,3252,53600,174.3,0
TXSD_DELTAE_SWEEP_20260115,1251,3252,52400,170.4,0
TXSD_DELTAE_SWEEP_20260115,1261,3252,53800,175.0,0
TXSD_DELTAE_SWEEP_20260115,1271,3252,52300,170.1,0
TXSD_DELTAE_SWEEP_20260115,1281,3252,53800,175.0,0
TXSD_DELTAE_SWEEP_20260115,1291,3252,52300,170.1,0
TXSD_DELTAE_SWEEP_20260115,1301,3252,53800,175.0,0
TXSD_DELTAE_SWEEP_20260115,1311,3252,52400,170.4,0
TXSD_DELTAE_SWEEP_20260115,1321,3252,53700,174.6,0
TXSD_DELTAE_SWEEP_20260115,1331,3252,52500,170.7,0
TXSD_DELTAE_SWEEP_20260115,1341,3256,53300,173.5,0
TXSD_DELTAE_SWEEP_20260115,1351,3252,52900,172.0,0
TXSD_DELTAE_SWEEP_20260115,1361,3252,53200,173.0,0
TXSD_DELTAE_SWEEP_20260115,1371,3252,53200,173.0,0
TXSD_DELTAE_SWEEP_20260115,1381,3252,52400,170.4,0
TXSD_DELTAE_SWEEP_20260115,1391,3252,53700,174.6,0
TXSD_DELTAE_SWEEP_20260115,1401,3252,52300,170.1,0
TXSD_DELTAE_SWEEP_20260115,1411,3252,53800,175.0,0
TXSD_DELTAE_SWEEP_20260115,1421,3252,52300,170.1,0
TXSD_DELTAE_SWEEP_20260115,1431,3256,53800,175.2,0
TXSD_DELTAE_SWEEP_20260115,1441,3252,52300,170.1,0
TXSD_DELTAE_SWEEP_20260115,1451,3252,53900,175.3,0
TXSD_DELTAE_SWEEP_20260115,1461,3252,52600,171.1,0
TXSD_DELTAE_SWEEP_20260115,1471,3256,53400,173.9,0
TXSD_DELTAE_SWEEP_20260115,1481,3252,52800,171.7,0
TXSD_DELTAE_SWEEP_20260115,1491,3252,53200,173.0,0
TXSD_DELTAE_SWEEP_20260115,1501,3252,52900,172.0,0
TXSD_DELTAE_SWEEP_20260115,1511,3252,52700,171.4,0
TXSD_DELTAE_SWEEP_20260115,1521,3252,53500,174.0,0
TXSD_DELTAE_SWEEP_20260115,1531,3252,52400,170.4,0
TXSD_DELTAE_SWEEP_20260115,1541,3256,53700,174.8,0
TXSD_DELTAE_SWEEP_20260115,1551,3252,52400,170.4,0
TXSD_DELTAE_SWEEP_20260115,1561,3252,53800,175.0,0
TXSD_DELTAE_SWEEP_20260115,1571,3252,52300,170.1,0
TXSD_DELTAE_SWEEP_20260115,1581,3252,53800,175.0,0
TXSD_DELTAE_SWEEP_20260115,1591,3252,52400,170.4,0
TXSD_DELTAE_SWEEP_20260115,1601,3252,53800,175.0,0
TXSD_DELTAE_SWEEP_20260115,1611,3252,52500,170.7,0
TXSD_DELTAE_SWEEP_20260115,1621,3252,53400,173.7,0
TXSD_DELTAE_SWEEP_20260115,1631,3252,52900,172.0,0
TXSD_DELTAE_SWEEP_20260115,1641,3252,53200,173.0,0
TXSD_DELTAE_SWEEP_20260115,1651,3252,53100,172.7,0
TXSD_DELTAE_SWEEP_20260115,1661,3252,52500,170.7,0
TXSD_DELTAE_SWEEP_20260115,1671,3252,53700,174.6,0
TXSD_DELTAE_SWEEP_20260115,1681,3252,52300,170.1,0
TXSD_DELTAE_SWEEP_20260115,1691,3256,53800,175.2,0
TXSD_DELTAE_SWEEP_20260115,1701,3252,52300,170.1,0
TXSD_DELTAE_SWEEP_20260115,1711,3256,53800,175.2,0
TXSD_DELTAE_SWEEP_20260115,1721,3252,52300,170.1,0
TXSD_DELTAE_SWEEP_20260115,1731,3252,53800,175.0,0
TXSD_DELTAE_SWEEP_20260115,1741,3252,52600,171.1,0
TXSD_DELTAE_SWEEP_20260115,1751,3252,53600,174.3,0
TXSD_DELTAE_SWEEP_20260115,1761,3252,52700,171.4,0
TXSD_DELTAE_SWEEP_20260115,1771,3252,53300,173.3,0
TXSD_DELTAE_SWEEP_20260115,1781,3252,52900,172.0,0
TXSD_DELTAE_SWEEP_20260115,1791,3252,52900,172.0,0
TXSD_DELTAE_SWEEP_20260115,1801,3256,53500,174.2,0
TXSD_DELTAE_SWEEP_20260115,1811,3252,52400,170.4,0
