prog_id,ms,mV,uA,p_mW,tick_raw
# meta, firmware=TXSD_DeltaE_Sweep, program_id=TXSD_DELTAE_SWEEP_20260115, build=Jan 16 2026 11:40:40
TXSD_DELTAE_SWEEP_20260115,11,3316,14600,48.4,8070
TXSD_DELTAE_SWEEP_20260115,20,3316,14600,48.4,8070
TXSD_DELTAE_SWEEP_20260115,30,3316,14600,48.4,8070
TXSD_DELTAE_SWEEP_20260115,40,3316,14500,48.1,8070
TXSD_DELTAE_SWEEP_20260115,50,3316,14600,48.4,8070
TXSD_DELTAE_SWEEP_20260115,60,3316,14600,48.4,8070
TXSD_DELTAE_SWEEP_20260115,70,3316,14600,48.4,8070
TXSD_DELTAE_SWEEP_20260115,80,3316,14600,48.4,8070
TXSD_DELTAE_SWEEP_20260115,90,3316,14600,48.4,8070
TXSD_DELTAE_SWEEP_20260115,100,3316,14600,48.4,8070
TXSD_DELTAE_SWEEP_20260115,110,3316,14600,48.4,8070
TXSD_DELTAE_SWEEP_20260115,120,3316,14500,48.1,8070
TXSD_DELTAE_SWEEP_20260115,130,3312,14600,48.4,8070
TXSD_DELTAE_SWEEP_20260115,140,3316,14500,48.1,8070
TXSD_DELTAE_SWEEP_20260115,150,3316,14600,48.4,8070
TXSD_DELTAE_SWEEP_20260115,160,3316,14600,48.4,8070
TXSD_DELTAE_SWEEP_20260115,170,3316,14600,48.4,8070
TXSD_DELTAE_SWEEP_20260115,180,3312,14600,48.4,8070
TXSD_DELTAE_SWEEP_20260115,190,3316,14500,48.1,8070
TXSD_DELTAE_SWEEP_20260115,200,3316,14500,48.1,8070
TXSD_DELTAE_SWEEP_20260115,210,3316,14600,48.4,8070
TXSD_DELTAE_SWEEP_20260115,220,3316,14600,48.4,8070
TXSD_DELTAE_SWEEP_20260115,230,3316,14500,48.1,8070
TXSD_DELTAE_SWEEP_20260115,240,3316,14600,48.4,8070
TXSD_DELTAE_SWEEP_20260115,250,3316,14600,48.4,8070
TXSD_DELTAE_SWEEP_20260115,260,3316,14600,48.4,8070
TXSD_DELTAE_SWEEP_20260115,270,3316,14500,48.1,8070
TXSD_DELTAE_SWEEP_20260115,280,3316,14600,48.4,8070
TXSD_DELTAE_SWEEP_20260115,290,3316,14500,48.1,8070
TXSD_DELTAE_SWEEP_20260115,300,3316,14600,48.4,8070
TXSD_DELTAE_SWEEP_20260115,310,3316,14500,48.1,8070
TXSD_DELTAE_SWEEP_20260115,320,3316,14500,48.1,8070
TXSD_DELTAE_SWEEP_20260115,330,3316,14600,48.4,8070
TXSD_DELTAE_SWEEP_20260115,340,3316,14600,48.4,8070
TXSD_DELTAE_SWEEP_20260115,350,3316,14500,48.1,8070
TXSD_DELTAE_SWEEP_20260115,360,3316,14600,48.4,8070
TXSD_DELTAE_SWEEP_20260115,370,3316,14600,48.4,8070
TXSD_DELTAE_SWEEP_20260115,380,3316,14600,48.4,8070
TXSD_DELTAE_SWEEP_20260115,390,3316,14600,48.4,8070
TXSD_DELTAE_SWEEP_20260115,400,3316,14500,48.1,8070
TXSD_DELTAE_SWEEP_20260115,410,3316,14600,48.4,8070
TXSD_DELTAE_SWEEP_20260115,420,3316,14500,48.1,8070
TXSD_DELTAE_SWEEP_20260115,430,3316,14600,48.4,8070
TXSD_DELTAE_SWEEP_20260115,440,3316,14500,48.1,8070
TXSD_DELTAE_SWEEP_20260115,450,3316,14500,48.1,8070
TXSD_DELTAE_SWEEP_20260115,460,3316,14500,48.1,8070
TXSD_DELTAE_SWEEP_20260115,470,3316,14500,48.1,8070
TXSD_DELTAE_SWEEP_20260115,480,3316,14500,48.1,8070
TXSD_DELTAE_SWEEP_20260115,490,3316,14500,48.1,8070
TXSD_DELTAE_SWEEP_20260115,500,3316,14600,48.4,8070
TXSD_DELTAE_SWEEP_20260115,510,3316,14600,48.4,8070
TXSD_DELTAE_SWEEP_20260115,520,3316,14600,48.4,8070
TXSD_DELTAE_SWEEP_20260115,530,3316,14600,48.4,8070
TXSD_DELTAE_SWEEP_20260115,540,3316,14600,48.4,8070
TXSD_DELTAE_SWEEP_20260115,550,3316,14500,48.1,8070
TXSD_DELTAE_SWEEP_20260115,560,3316,14600,48.4,8070
TXSD_DELTAE_SWEEP_20260115,570,3316,14600,48.4,8070
TXSD_DELTAE_SWEEP_20260115,580,3312,14600,48.4,8070
TXSD_DELTAE_SWEEP_20260115,590,3316,14600,48.4,8070
TXSD_DELTAE_SWEEP_20260115,600,3316,14500,48.1,8070
TXSD_DELTAE_SWEEP_20260115,610,3316,14900,49.4,8070
TXSD_DELTAE_SWEEP_20260115,620,3316,14500,48.1,8070
TXSD_DELTAE_SWEEP_20260115,630,3316,14600,48.4,8070
TXSD_DELTAE_SWEEP_20260115,640,3316,14600,48.4,8070
TXSD_DELTAE_SWEEP_20260115,650,3316,14600,48.4,8070
TXSD_DELTAE_SWEEP_20260115,660,3316,14600,48.4,8070
TXSD_DELTAE_SWEEP_20260115,670,3316,14600,48.4,8070
TXSD_DELTAE_SWEEP_20260115,680,3320,14500,48.1,8070
TXSD_DELTAE_SWEEP_20260115,690,3316,14600,48.4,8070
TXSD_DELTAE_SWEEP_20260115,700,3316,14500,48.1,8070
TXSD_DELTAE_SWEEP_20260115,710,3316,14600,48.4,8070
TXSD_DELTAE_SWEEP_20260115,720,3316,14500,48.1,8070
TXSD_DELTAE_SWEEP_20260115,730,3316,14600,48.4,8070
TXSD_DELTAE_SWEEP_20260115,740,3316,14600,48.4,8070
TXSD_DELTAE_SWEEP_20260115,750,3316,14500,48.1,8070
TXSD_DELTAE_SWEEP_20260115,762,3316,14600,48.4,8070
TXSD_DELTAE_SWEEP_20260115,770,3316,14600,48.4,8070
TXSD_DELTAE_SWEEP_20260115,780,3316,14600,48.4,8071
TXSD_DELTAE_SWEEP_20260115,790,3316,14500,48.1,8071
TXSD_DELTAE_SWEEP_20260115,800,3316,14500,48.1,8071
TXSD_DELTAE_SWEEP_20260115,810,3316,14600,48.4,8071
TXSD_DELTAE_SWEEP_20260115,820,3316,14600,48.4,8071
TXSD_DELTAE_SWEEP_20260115,830,3316,14500,48.1,8071
TXSD_DELTAE_SWEEP_20260115,840,3316,14600,48.4,8071
TXSD_DELTAE_SWEEP_20260115,850,3316,14500,48.1,8071
TXSD_DELTAE_SWEEP_20260115,860,3316,14600,48.4,8071
TXSD_DELTAE_SWEEP_20260115,870,3316,14500,48.1,8071
TXSD_DELTAE_SWEEP_20260115,880,3316,14500,48.1,8071
TXSD_DELTAE_SWEEP_20260115,890,3316,14500,48.1,8071
TXSD_DELTAE_SWEEP_20260115,900,3316,14500,48.1,8071
TXSD_DELTAE_SWEEP_20260115,910,3316,14600,48.4,8071
TXSD_DELTAE_SWEEP_20260115,920,3316,14600,48.4,8071
TXSD_DELTAE_SWEEP_20260115,930,3316,14500,48.1,8071
TXSD_DELTAE_SWEEP_20260115,940,3316,14600,48.4,8071
TXSD_DELTAE_SWEEP_20260115,950,3316,14500,48.1,8071
TXSD_DELTAE_SWEEP_20260115,960,3316,14600,48.4,8071
TXSD_DELTAE_SWEEP_20260115,970,3316,14600,48.4,8071
TXSD_DELTAE_SWEEP_20260115,980,3316,14600,48.4,8071
TXSD_DELTAE_SWEEP_20260115,990,3316,14600,48.4,8071
TXSD_DELTAE_SWEEP_20260115,1000,3316,14500,48.1,8071
TXSD_DELTAE_SWEEP_20260115,1010,3316,14600,48.4,8071
TXSD_DELTAE_SWEEP_20260115,1020,3316,14600,48.4,8071
TXSD_DELTAE_SWEEP_20260115,1030,3316,14600,48.4,8071
TXSD_DELTAE_SWEEP_20260115,1040,3316,14600,48.4,8071
TXSD_DELTAE_SWEEP_20260115,1050,3316,14500,48.1,8071
TXSD_DELTAE_SWEEP_20260115,1060,3316,14500,48.1,8071
TXSD_DELTAE_SWEEP_20260115,1070,3316,14500,48.1,8071
TXSD_DELTAE_SWEEP_20260115,1080,3316,14600,48.4,8071
TXSD_DELTAE_SWEEP_20260115,1090,3316,14500,48.1,8071
TXSD_DELTAE_SWEEP_20260115,1100,3316,14600,48.4,8071
TXSD_DELTAE_SWEEP_20260115,1110,3316,14600,48.4,8071
TXSD_DELTAE_SWEEP_20260115,1120,3312,14600,48.4,8071
TXSD_DELTAE_SWEEP_20260115,1130,3316,14600,48.4,8071
TXSD_DELTAE_SWEEP_20260115,1140,3316,14600,48.4,8071
TXSD_DELTAE_SWEEP_20260115,1150,3316,14600,48.4,8071
TXSD_DELTAE_SWEEP_20260115,1160,3316,14600,48.4,8071
TXSD_DELTAE_SWEEP_20260115,1170,3316,14600,48.4,8071
