prog_id,ms,mV,uA,p_mW,tick_raw
# meta, firmware=TXSD_DeltaE_Sweep, program_id=TXSD_DELTAE_SWEEP_20260115, build=Jan 16 2026 04:21:45
TXSD_DELTAE_SWEEP_20260115,11,3244,53500,173.6,0
TXSD_DELTAE_SWEEP_20260115,21,3244,52000,168.7,0
TXSD_DELTAE_SWEEP_20260115,31,3244,53600,173.9,0
TXSD_DELTAE_SWEEP_20260115,41,3244,52100,169.0,0
TXSD_DELTAE_SWEEP_20260115,51,3248,53600,174.1,0
TXSD_DELTAE_SWEEP_20260115,61,3244,52100,169.0,0
TXSD_DELTAE_SWEEP_20260115,71,3244,53100,172.3,0
TXSD_DELTAE_SWEEP_20260115,81,3244,52500,170.3,0
TXSD_DELTAE_SWEEP_20260115,91,3244,53000,171.9,0
TXSD_DELTAE_SWEEP_20260115,101,3244,52600,170.6,0
TXSD_DELTAE_SWEEP_20260115,111,3244,52300,169.7,0
TXSD_DELTAE_SWEEP_20260115,121,3244,53300,172.9,0
TXSD_DELTAE_SWEEP_20260115,131,3244,52100,169.0,0
TXSD_DELTAE_SWEEP_20260115,141,3244,53500,173.6,0
TXSD_DELTAE_SWEEP_20260115,151,3244,52100,169.0,0
TXSD_DELTAE_SWEEP_20260115,161,3244,53500,173.6,0
TXSD_DELTAE_SWEEP_20260115,171,3244,52000,168.7,0
TXSD_DELTAE_SWEEP_20260115,181,3244,53600,173.9,0
TXSD_DELTAE_SWEEP_20260115,191,3240,52000,168.5,0
TXSD_DELTAE_SWEEP_20260115,201,3244,53600,173.9,0
TXSD_DELTAE_SWEEP_20260115,211,3240,52100,168.8,0
TXSD_DELTAE_SWEEP_20260115,221,3244,53000,171.9,0
TXSD_DELTAE_SWEEP_20260115,231,3244,52500,170.3,0
TXSD_DELTAE_SWEEP_20260115,241,3244,53000,171.9,0
TXSD_DELTAE_SWEEP_20260115,251,3244,52600,170.6,0
TXSD_DELTAE_SWEEP_20260115,261,3244,52400,170.0,0
TXSD_DELTAE_SWEEP_20260115,271,3244,53300,172.9,0
TXSD_DELTAE_SWEEP_20260115,281,3240,52100,168.8,0
TXSD_DELTAE_SWEEP_20260115,291,3244,53500,173.6,0
TXSD_DELTAE_SWEEP_20260115,301,3244,52100,169.0,0
