prog_id,ms,mV,uA,p_mW,tick_raw
# meta, firmware=TXSD_DeltaE_Sweep, program_id=TXSD_DELTAE_SWEEP_20260115, build=Jan 16 2026 04:21:45
TXSD_DELTAE_SWEEP_20260115,10,3240,52100,168.8,0
TXSD_DELTAE_SWEEP_20260115,20,3244,53600,173.9,0
TXSD_DELTAE_SWEEP_20260115,30,3240,52100,168.8,0
TXSD_DELTAE_SWEEP_20260115,40,3244,53500,173.6,0
TXSD_DELTAE_SWEEP_20260115,50,3240,52100,168.8,0
TXSD_DELTAE_SWEEP_20260115,60,3244,53600,173.9,0
TXSD_DELTAE_SWEEP_20260115,70,3244,52000,168.7,0
TXSD_DELTAE_SWEEP_20260115,80,3244,53400,173.2,0
TXSD_DELTAE_SWEEP_20260115,90,3244,52300,169.7,0
TXSD_DELTAE_SWEEP_20260115,100,3244,53000,171.9,0
TXSD_DELTAE_SWEEP_20260115,110,3244,52600,170.6,0
TXSD_DELTAE_SWEEP_20260115,120,3244,52800,171.3,0
TXSD_DELTAE_SWEEP_20260115,130,3240,53000,171.7,0
TXSD_DELTAE_SWEEP_20260115,140,3240,52200,169.1,0
TXSD_DELTAE_SWEEP_20260115,150,3244,53400,173.2,0
TXSD_DELTAE_SWEEP_20260115,160,3240,52100,168.8,0
TXSD_DELTAE_SWEEP_20260115,170,3244,53500,173.6,0
TXSD_DELTAE_SWEEP_20260115,180,3244,52100,169.0,0
TXSD_DELTAE_SWEEP_20260115,190,3244,53600,173.9,0
TXSD_DELTAE_SWEEP_20260115,200,3240,52100,168.8,0
TXSD_DELTAE_SWEEP_20260115,210,3244,53600,173.9,0
TXSD_DELTAE_SWEEP_20260115,220,3240,52000,168.5,0
TXSD_DELTAE_SWEEP_20260115,230,3244,53300,172.9,0
TXSD_DELTAE_SWEEP_20260115,240,3240,52400,169.8,0
TXSD_DELTAE_SWEEP_20260115,250,3244,53100,172.3,0
TXSD_DELTAE_SWEEP_20260115,260,3244,52600,170.6,0
TXSD_DELTAE_SWEEP_20260115,270,3244,52600,170.6,0
TXSD_DELTAE_SWEEP_20260115,280,3244,53100,172.3,0
TXSD_DELTAE_SWEEP_20260115,290,3240,52200,169.1,0
TXSD_DELTAE_SWEEP_20260115,300,3244,53400,173.2,0
TXSD_DELTAE_SWEEP_20260115,310,3240,52100,168.8,0
TXSD_DELTAE_SWEEP_20260115,320,3244,53600,173.9,0
TXSD_DELTAE_SWEEP_20260115,330,3240,52100,168.8,0
TXSD_DELTAE_SWEEP_20260115,340,3244,53600,173.9,0
TXSD_DELTAE_SWEEP_20260115,350,3240,52100,168.8,0
TXSD_DELTAE_SWEEP_20260115,360,3244,53700,174.2,0
TXSD_DELTAE_SWEEP_20260115,370,3240,52100,168.8,0
TXSD_DELTAE_SWEEP_20260115,380,3244,53300,172.9,0
TXSD_DELTAE_SWEEP_20260115,390,3240,52500,170.1,0
TXSD_DELTAE_SWEEP_20260115,400,3244,53000,171.9,0
TXSD_DELTAE_SWEEP_20260115,410,3240,52600,170.4,0
TXSD_DELTAE_SWEEP_20260115,420,3244,52700,171.0,0
TXSD_DELTAE_SWEEP_20260115,430,3244,53100,172.3,0
TXSD_DELTAE_SWEEP_20260115,440,3240,52200,169.1,0
TXSD_DELTAE_SWEEP_20260115,450,3244,53500,173.6,0
TXSD_DELTAE_SWEEP_20260115,460,3240,52100,168.8,0
TXSD_DELTAE_SWEEP_20260115,470,3244,53600,173.9,0
TXSD_DELTAE_SWEEP_20260115,480,3240,52100,168.8,0
TXSD_DELTAE_SWEEP_20260115,490,3244,53500,173.6,0
TXSD_DELTAE_SWEEP_20260115,500,3240,52000,168.5,0
TXSD_DELTAE_SWEEP_20260115,510,3244,53500,173.6,0
TXSD_DELTAE_SWEEP_20260115,520,3240,52000,168.5,0
TXSD_DELTAE_SWEEP_20260115,530,3244,53200,172.6,0
TXSD_DELTAE_SWEEP_20260115,540,3240,52400,169.8,0
TXSD_DELTAE_SWEEP_20260115,550,3244,53000,171.9,0
TXSD_DELTAE_SWEEP_20260115,560,3240,52600,170.4,0
TXSD_DELTAE_SWEEP_20260115,570,3244,52600,170.6,0
TXSD_DELTAE_SWEEP_20260115,580,3244,53200,172.6,0
TXSD_DELTAE_SWEEP_20260115,590,3240,52200,169.1,0
TXSD_DELTAE_SWEEP_20260115,600,3244,53500,173.6,0
TXSD_DELTAE_SWEEP_20260115,610,3240,52100,168.8,0
TXSD_DELTAE_SWEEP_20260115,620,3244,53500,173.6,0
