prog_id,ms,mV,uA,p_mW,tick_raw
# meta, firmware=TXSD_DeltaE_Sweep, program_id=TXSD_DELTAE_SWEEP_20260115, build=Jan 16 2026 16:10:18
TXSD_DELTAE_SWEEP_20260115,11,3320,13900,46.1,1805
TXSD_DELTAE_SWEEP_20260115,21,3320,14000,46.5,1805
TXSD_DELTAE_SWEEP_20260115,31,3320,13900,46.1,1805
TXSD_DELTAE_SWEEP_20260115,41,3320,14000,46.5,1805
TXSD_DELTAE_SWEEP_20260115,51,3320,13900,46.1,1806
TXSD_DELTAE_SWEEP_20260115,61,3320,13900,46.1,1806
TXSD_DELTAE_SWEEP_20260115,71,3320,14000,46.5,1806
TXSD_DELTAE_SWEEP_20260115,81,3320,13900,46.1,1806
TXSD_DELTAE_SWEEP_20260115,91,3320,13900,46.1,1806
TXSD_DELTAE_SWEEP_20260115,101,3320,13800,45.8,1806
TXSD_DELTAE_SWEEP_20260115,111,3320,13900,46.1,1806
TXSD_DELTAE_SWEEP_20260115,121,3316,13800,45.8,1806
TXSD_DELTAE_SWEEP_20260115,131,3320,13900,46.1,1806
TXSD_DELTAE_SWEEP_20260115,141,3320,13900,46.1,1806
TXSD_DELTAE_SWEEP_20260115,151,3320,14000,46.5,1807
TXSD_DELTAE_SWEEP_20260115,161,3320,13900,46.1,1807
TXSD_DELTAE_SWEEP_20260115,171,3320,13900,46.1,1807
TXSD_DELTAE_SWEEP_20260115,181,3320,13900,46.1,1807
TXSD_DELTAE_SWEEP_20260115,191,3320,13900,46.1,1807
TXSD_DELTAE_SWEEP_20260115,201,3320,13900,46.1,1807
TXSD_DELTAE_SWEEP_20260115,211,3320,13900,46.1,1807
TXSD_DELTAE_SWEEP_20260115,221,3320,13900,46.1,1807
TXSD_DELTAE_SWEEP_20260115,231,3320,14000,46.5,1807
TXSD_DELTAE_SWEEP_20260115,241,3320,13900,46.1,1807
TXSD_DELTAE_SWEEP_20260115,251,3320,13900,46.1,1808
TXSD_DELTAE_SWEEP_20260115,261,3320,13900,46.1,1808
TXSD_DELTAE_SWEEP_20260115,271,3320,13900,46.1,1808
TXSD_DELTAE_SWEEP_20260115,281,3320,13900,46.1,1808
TXSD_DELTAE_SWEEP_20260115,291,3320,13900,46.1,1808
TXSD_DELTAE_SWEEP_20260115,301,3320,13900,46.1,1808
TXSD_DELTAE_SWEEP_20260115,311,3320,13900,46.1,1808
TXSD_DELTAE_SWEEP_20260115,321,3320,13900,46.1,1808
TXSD_DELTAE_SWEEP_20260115,331,3320,14000,46.5,1808
TXSD_DELTAE_SWEEP_20260115,341,3316,13900,46.1,1808
TXSD_DELTAE_SWEEP_20260115,351,3320,13900,46.1,1809
TXSD_DELTAE_SWEEP_20260115,361,3320,13900,46.1,1809
TXSD_DELTAE_SWEEP_20260115,371,3320,13900,46.1,1809
TXSD_DELTAE_SWEEP_20260115,381,3316,13900,46.1,1809
TXSD_DELTAE_SWEEP_20260115,391,3320,13900,46.1,1809
TXSD_DELTAE_SWEEP_20260115,401,3320,13900,46.1,1809
TXSD_DELTAE_SWEEP_20260115,411,3320,13900,46.1,1809
TXSD_DELTAE_SWEEP_20260115,421,3320,13900,46.1,1809
TXSD_DELTAE_SWEEP_20260115,431,3316,13900,46.1,1809
TXSD_DELTAE_SWEEP_20260115,441,3320,13900,46.1,1809
TXSD_DELTAE_SWEEP_20260115,451,3320,13900,46.1,1810
TXSD_DELTAE_SWEEP_20260115,461,3320,13900,46.1,1810
TXSD_DELTAE_SWEEP_20260115,471,3320,13900,46.1,1810
TXSD_DELTAE_SWEEP_20260115,481,3320,13900,46.1,1810
TXSD_DELTAE_SWEEP_20260115,491,3320,13900,46.1,1810
TXSD_DELTAE_SWEEP_20260115,501,3320,14000,46.5,1810
TXSD_DELTAE_SWEEP_20260115,511,3320,13900,46.1,1810
TXSD_DELTAE_SWEEP_20260115,521,3320,13900,46.1,1810
TXSD_DELTAE_SWEEP_20260115,531,3320,13900,46.1,1810
TXSD_DELTAE_SWEEP_20260115,541,3320,14100,46.8,1810
TXSD_DELTAE_SWEEP_20260115,551,3320,13900,46.1,1811
TXSD_DELTAE_SWEEP_20260115,561,3320,13900,46.1,1811
TXSD_DELTAE_SWEEP_20260115,571,3320,14000,46.5,1811
TXSD_DELTAE_SWEEP_20260115,581,3320,13900,46.1,1811
TXSD_DELTAE_SWEEP_20260115,591,3320,13900,46.1,1811
TXSD_DELTAE_SWEEP_20260115,601,3320,13900,46.1,1811
TXSD_DELTAE_SWEEP_20260115,611,3320,13900,46.1,1811
TXSD_DELTAE_SWEEP_20260115,621,3320,13900,46.1,1811
TXSD_DELTAE_SWEEP_20260115,631,3320,13800,45.8,1811
TXSD_DELTAE_SWEEP_20260115,641,3320,14000,46.5,1811
TXSD_DELTAE_SWEEP_20260115,651,3320,14000,46.5,1812
TXSD_DELTAE_SWEEP_20260115,661,3320,13900,46.1,1812
TXSD_DELTAE_SWEEP_20260115,671,3320,13900,46.1,1812
TXSD_DELTAE_SWEEP_20260115,681,3320,13900,46.1,1812
TXSD_DELTAE_SWEEP_20260115,691,3320,13900,46.1,1812
TXSD_DELTAE_SWEEP_20260115,701,3320,13900,46.1,1812
TXSD_DELTAE_SWEEP_20260115,711,3320,13900,46.1,1812
TXSD_DELTAE_SWEEP_20260115,721,3320,13900,46.1,1812
TXSD_DELTAE_SWEEP_20260115,731,3320,13900,46.1,1812
TXSD_DELTAE_SWEEP_20260115,741,3320,13800,45.8,1812
TXSD_DELTAE_SWEEP_20260115,751,3320,14000,46.5,1813
TXSD_DELTAE_SWEEP_20260115,763,3320,14000,46.5,1813
TXSD_DELTAE_SWEEP_20260115,771,3320,13800,45.8,1813
TXSD_DELTAE_SWEEP_20260115,781,3320,13900,46.1,1813
TXSD_DELTAE_SWEEP_20260115,791,3320,13800,45.8,1813
TXSD_DELTAE_SWEEP_20260115,801,3320,13900,46.1,1813
TXSD_DELTAE_SWEEP_20260115,811,3320,13900,46.1,1813
TXSD_DELTAE_SWEEP_20260115,821,3320,13900,46.1,1813
TXSD_DELTAE_SWEEP_20260115,831,3320,13900,46.1,1813
TXSD_DELTAE_SWEEP_20260115,841,3320,13900,46.1,1813
TXSD_DELTAE_SWEEP_20260115,851,3320,13900,46.1,1814
TXSD_DELTAE_SWEEP_20260115,861,3320,14000,46.5,1814
TXSD_DELTAE_SWEEP_20260115,871,3320,13900,46.1,1814
TXSD_DELTAE_SWEEP_20260115,881,3320,13900,46.1,1814
TXSD_DELTAE_SWEEP_20260115,891,3320,13900,46.1,1814
TXSD_DELTAE_SWEEP_20260115,901,3320,14000,46.5,1814
TXSD_DELTAE_SWEEP_20260115,911,3320,13800,45.8,1814
TXSD_DELTAE_SWEEP_20260115,921,3320,13900,46.1,1814
TXSD_DELTAE_SWEEP_20260115,931,3320,13900,46.1,1814
TXSD_DELTAE_SWEEP_20260115,941,3320,13800,45.8,1814
TXSD_DELTAE_SWEEP_20260115,951,3320,13900,46.1,1815
TXSD_DELTAE_SWEEP_20260115,961,3320,13900,46.1,1815
TXSD_DELTAE_SWEEP_20260115,971,3320,13900,46.1,1815
TXSD_DELTAE_SWEEP_20260115,981,3320,13900,46.1,1815
TXSD_DELTAE_SWEEP_20260115,991,3320,13900,46.1,1815
TXSD_DELTAE_SWEEP_20260115,1001,3320,13900,46.1,1815
TXSD_DELTAE_SWEEP_20260115,1011,3320,13900,46.1,1815
TXSD_DELTAE_SWEEP_20260115,1021,3320,13900,46.1,1815
TXSD_DELTAE_SWEEP_20260115,1031,3320,14000,46.5,1815
TXSD_DELTAE_SWEEP_20260115,1041,3320,13900,46.1,1815
TXSD_DELTAE_SWEEP_20260115,1051,3320,13900,46.1,1816
TXSD_DELTAE_SWEEP_20260115,1061,3320,13900,46.1,1816
TXSD_DELTAE_SWEEP_20260115,1071,3320,13900,46.1,1816
TXSD_DELTAE_SWEEP_20260115,1081,3320,14000,46.5,1816
TXSD_DELTAE_SWEEP_20260115,1091,3320,13900,46.1,1816
TXSD_DELTAE_SWEEP_20260115,1101,3320,13900,46.1,1816
TXSD_DELTAE_SWEEP_20260115,1111,3320,13900,46.1,1816
TXSD_DELTAE_SWEEP_20260115,1121,3320,14000,46.5,1816
TXSD_DELTAE_SWEEP_20260115,1131,3320,13900,46.1,1816
TXSD_DELTAE_SWEEP_20260115,1141,3320,13900,46.1,1816
TXSD_DELTAE_SWEEP_20260115,1151,3320,13900,46.1,1817
TXSD_DELTAE_SWEEP_20260115,1161,3320,13900,46.1,1817
TXSD_DELTAE_SWEEP_20260115,1171,3320,13900,46.1,1817
TXSD_DELTAE_SWEEP_20260115,1181,3320,14100,46.8,1817
TXSD_DELTAE_SWEEP_20260115,1191,3320,13900,46.1,1817
TXSD_DELTAE_SWEEP_20260115,1201,3320,13800,45.8,1817
TXSD_DELTAE_SWEEP_20260115,1211,3320,13900,46.1,1817
TXSD_DELTAE_SWEEP_20260115,1221,3320,13900,46.1,1817
TXSD_DELTAE_SWEEP_20260115,1231,3320,13900,46.1,1817
TXSD_DELTAE_SWEEP_20260115,1241,3320,13900,46.1,1817
TXSD_DELTAE_SWEEP_20260115,1251,3320,13900,46.1,1818
TXSD_DELTAE_SWEEP_20260115,1261,3320,13900,46.1,1818
TXSD_DELTAE_SWEEP_20260115,1271,3320,13900,46.1,1818
TXSD_DELTAE_SWEEP_20260115,1281,3320,14000,46.5,1818
TXSD_DELTAE_SWEEP_20260115,1291,3320,13800,45.8,1818
TXSD_DELTAE_SWEEP_20260115,1301,3320,13900,46.1,1818
TXSD_DELTAE_SWEEP_20260115,1311,3320,13900,46.1,1818
TXSD_DELTAE_SWEEP_20260115,1321,3320,14000,46.5,1818
TXSD_DELTAE_SWEEP_20260115,1331,3320,14000,46.5,1818
TXSD_DELTAE_SWEEP_20260115,1341,3320,13800,45.8,1818
TXSD_DELTAE_SWEEP_20260115,1351,3320,13900,46.1,1819
TXSD_DELTAE_SWEEP_20260115,1361,3320,13900,46.1,1819
TXSD_DELTAE_SWEEP_20260115,1371,3320,13900,46.1,1819
TXSD_DELTAE_SWEEP_20260115,1381,3320,14000,46.5,1819
TXSD_DELTAE_SWEEP_20260115,1391,3320,13900,46.1,1819
TXSD_DELTAE_SWEEP_20260115,1401,3320,13900,46.1,1819
TXSD_DELTAE_SWEEP_20260115,1411,3316,13900,46.1,1819
TXSD_DELTAE_SWEEP_20260115,1421,3320,13900,46.1,1819
TXSD_DELTAE_SWEEP_20260115,1431,3320,13900,46.1,1819
TXSD_DELTAE_SWEEP_20260115,1441,3320,13900,46.1,1819
TXSD_DELTAE_SWEEP_20260115,1451,3320,13900,46.1,1820
TXSD_DELTAE_SWEEP_20260115,1461,3320,13900,46.1,1820
TXSD_DELTAE_SWEEP_20260115,1471,3320,13900,46.1,1820
TXSD_DELTAE_SWEEP_20260115,1481,3320,13800,45.8,1820
TXSD_DELTAE_SWEEP_20260115,1491,3320,13900,46.1,1820
TXSD_DELTAE_SWEEP_20260115,1501,3320,13900,46.1,1820
TXSD_DELTAE_SWEEP_20260115,1511,3320,13900,46.1,1820
TXSD_DELTAE_SWEEP_20260115,1521,3320,13900,46.1,1820
TXSD_DELTAE_SWEEP_20260115,1531,3320,14000,46.5,1820
TXSD_DELTAE_SWEEP_20260115,1541,3320,13900,46.1,1820
TXSD_DELTAE_SWEEP_20260115,1551,3320,13900,46.1,1821
TXSD_DELTAE_SWEEP_20260115,1561,3320,13800,45.8,1821
TXSD_DELTAE_SWEEP_20260115,1571,3320,13900,46.1,1821
TXSD_DELTAE_SWEEP_20260115,1581,3320,13800,45.8,1821
TXSD_DELTAE_SWEEP_20260115,1591,3320,13900,46.1,1821
TXSD_DELTAE_SWEEP_20260115,1601,3320,13800,45.8,1821
TXSD_DELTAE_SWEEP_20260115,1611,3320,13900,46.1,1821
TXSD_DELTAE_SWEEP_20260115,1621,3320,13800,45.8,1821
TXSD_DELTAE_SWEEP_20260115,1631,3320,13900,46.1,1821
TXSD_DELTAE_SWEEP_20260115,1641,3320,13900,46.1,1821
TXSD_DELTAE_SWEEP_20260115,1651,3320,13900,46.1,1822
TXSD_DELTAE_SWEEP_20260115,1661,3320,14000,46.5,1822
TXSD_DELTAE_SWEEP_20260115,1671,3320,13900,46.1,1822
TXSD_DELTAE_SWEEP_20260115,1681,3320,13900,46.1,1822
TXSD_DELTAE_SWEEP_20260115,1691,3320,13900,46.1,1822
TXSD_DELTAE_SWEEP_20260115,1701,3320,14000,46.5,1822
TXSD_DELTAE_SWEEP_20260115,1711,3320,13900,46.1,1822
TXSD_DELTAE_SWEEP_20260115,1721,3320,13900,46.1,1822
TXSD_DELTAE_SWEEP_20260115,1731,3320,13900,46.1,1822
TXSD_DELTAE_SWEEP_20260115,1741,3320,14000,46.5,1822
TXSD_DELTAE_SWEEP_20260115,1751,3320,13900,46.1,1823
TXSD_DELTAE_SWEEP_20260115,1761,3320,13900,46.1,1823
TXSD_DELTAE_SWEEP_20260115,1771,3320,14000,46.5,1823
TXSD_DELTAE_SWEEP_20260115,1781,3320,13800,45.8,1823
TXSD_DELTAE_SWEEP_20260115,1791,3320,13900,46.1,1823
TXSD_DELTAE_SWEEP_20260115,1801,3320,14000,46.5,1823
TXSD_DELTAE_SWEEP_20260115,1811,3320,13900,46.1,1823
TXSD_DELTAE_SWEEP_20260115,1821,3320,13900,46.1,1823
TXSD_DELTAE_SWEEP_20260115,1831,3320,13900,46.1,1823
TXSD_DELTAE_SWEEP_20260115,1841,3320,13900,46.1,1823
TXSD_DELTAE_SWEEP_20260115,1851,3320,13900,46.1,1824
TXSD_DELTAE_SWEEP_20260115,1861,3320,13900,46.1,1824
TXSD_DELTAE_SWEEP_20260115,1871,3320,13900,46.1,1824
TXSD_DELTAE_SWEEP_20260115,1881,3316,13900,46.1,1824
TXSD_DELTAE_SWEEP_20260115,1891,3320,13900,46.1,1824
TXSD_DELTAE_SWEEP_20260115,1901,3320,13900,46.1,1824
TXSD_DELTAE_SWEEP_20260115,1911,3320,13800,45.8,1824
TXSD_DELTAE_SWEEP_20260115,1921,3320,13900,46.1,1824
TXSD_DELTAE_SWEEP_20260115,1931,3320,13900,46.1,1824
TXSD_DELTAE_SWEEP_20260115,1941,3320,13900,46.1,1824
TXSD_DELTAE_SWEEP_20260115,1951,3320,13900,46.1,1825
TXSD_DELTAE_SWEEP_20260115,1961,3320,13900,46.1,1825
TXSD_DELTAE_SWEEP_20260115,1971,3320,13900,46.1,1825
TXSD_DELTAE_SWEEP_20260115,1981,3320,13800,45.8,1825
TXSD_DELTAE_SWEEP_20260115,1991,3320,13800,45.8,1825
TXSD_DELTAE_SWEEP_20260115,2001,3320,14000,46.5,1825
TXSD_DELTAE_SWEEP_20260115,2011,3320,14200,47.1,1825
TXSD_DELTAE_SWEEP_20260115,2021,3320,14000,46.5,1825
TXSD_DELTAE_SWEEP_20260115,2031,3320,13900,46.1,1825
TXSD_DELTAE_SWEEP_20260115,2041,3320,13900,46.1,1825
TXSD_DELTAE_SWEEP_20260115,2051,3320,13900,46.1,1826
TXSD_DELTAE_SWEEP_20260115,2061,3320,13900,46.1,1826
TXSD_DELTAE_SWEEP_20260115,2071,3320,13900,46.1,1826
TXSD_DELTAE_SWEEP_20260115,2081,3320,13900,46.1,1826
TXSD_DELTAE_SWEEP_20260115,2091,3320,13900,46.1,1826
TXSD_DELTAE_SWEEP_20260115,2101,3320,13900,46.1,1826
TXSD_DELTAE_SWEEP_20260115,2111,3320,14000,46.5,1826
TXSD_DELTAE_SWEEP_20260115,2121,3320,13900,46.1,1826
TXSD_DELTAE_SWEEP_20260115,2131,3320,13900,46.1,1826
TXSD_DELTAE_SWEEP_20260115,2141,3320,13900,46.1,1826
TXSD_DELTAE_SWEEP_20260115,2151,3320,14000,46.5,1827
TXSD_DELTAE_SWEEP_20260115,2161,3320,13800,45.8,1827
TXSD_DELTAE_SWEEP_20260115,2171,3320,14000,46.5,1827
TXSD_DELTAE_SWEEP_20260115,2181,3320,13800,45.8,1827
TXSD_DELTAE_SWEEP_20260115,2191,3320,13900,46.1,1827
TXSD_DELTAE_SWEEP_20260115,2201,3320,13900,46.1,1827
TXSD_DELTAE_SWEEP_20260115,2211,3320,14000,46.5,1827
TXSD_DELTAE_SWEEP_20260115,2221,3320,13900,46.1,1827
TXSD_DELTAE_SWEEP_20260115,2231,3320,13900,46.1,1827
TXSD_DELTAE_SWEEP_20260115,2241,3320,13800,45.8,1827
TXSD_DELTAE_SWEEP_20260115,2251,3320,13900,46.1,1828
TXSD_DELTAE_SWEEP_20260115,2261,3320,13900,46.1,1828
TXSD_DELTAE_SWEEP_20260115,2271,3320,13900,46.1,1828
TXSD_DELTAE_SWEEP_20260115,2281,3320,13900,46.1,1828
TXSD_DELTAE_SWEEP_20260115,2291,3320,13900,46.1,1828
TXSD_DELTAE_SWEEP_20260115,2301,3320,14000,46.5,1828
TXSD_DELTAE_SWEEP_20260115,2311,3320,13900,46.1,1828
TXSD_DELTAE_SWEEP_20260115,2321,3320,14000,46.5,1828
TXSD_DELTAE_SWEEP_20260115,2331,3320,13800,45.8,1828
TXSD_DELTAE_SWEEP_20260115,2341,3320,13900,46.1,1828
TXSD_DELTAE_SWEEP_20260115,2351,3320,13900,46.1,1829
TXSD_DELTAE_SWEEP_20260115,2361,3320,13900,46.1,1829
TXSD_DELTAE_SWEEP_20260115,2371,3320,14000,46.5,1829
TXSD_DELTAE_SWEEP_20260115,2381,3320,13900,46.1,1829
TXSD_DELTAE_SWEEP_20260115,2391,3320,13900,46.1,1829
TXSD_DELTAE_SWEEP_20260115,2401,3320,13900,46.1,1829
TXSD_DELTAE_SWEEP_20260115,2411,3320,13900,46.1,1829
TXSD_DELTAE_SWEEP_20260115,2421,3320,13900,46.1,1829
TXSD_DELTAE_SWEEP_20260115,2431,3320,13900,46.1,1829
TXSD_DELTAE_SWEEP_20260115,2441,3320,13900,46.1,1829
TXSD_DELTAE_SWEEP_20260115,2451,3320,14000,46.5,1830
TXSD_DELTAE_SWEEP_20260115,2461,3320,13900,46.1,1830
TXSD_DELTAE_SWEEP_20260115,2471,3320,14000,46.5,1830
TXSD_DELTAE_SWEEP_20260115,2481,3320,13900,46.1,1830
TXSD_DELTAE_SWEEP_20260115,2491,3320,13900,46.1,1830
TXSD_DELTAE_SWEEP_20260115,2501,3320,13900,46.1,1830
TXSD_DELTAE_SWEEP_20260115,2511,3320,13900,46.1,1830
