prog_id,ms,event,rssi,addr,mfd
# meta, firmware=RX_DeltaE_Sweep, program_id=RX_DELTAE_SWEEP_20260115, trial_index=1, scan_interval_ms=100, scan_window_ms=90, active_scan=0, dup_filter=0, buf_size=512, build=Jan 19 2026 16:22:49
RX_DELTAE_SWEEP_20260115,3,ADV,-49,e0:5a:1b:15:b2:ee,MF0000
RX_DELTAE_SWEEP_20260115,87,ADV,-43,e0:5a:1b:15:b2:ee,MF0000
RX_DELTAE_SWEEP_20260115,193,ADV,-43,e0:5a:1b:15:b2:ee,MF0000
RX_DELTAE_SWEEP_20260115,290,ADV,-50,e0:5a:1b:15:b2:ee,MF0000
RX_DELTAE_SWEEP_20260115,490,ADV,-44,e0:5a:1b:15:b2:ee,MF0002
RX_DELTAE_SWEEP_20260115,687,ADV,-44,e0:5a:1b:15:b2:ee,MF0004
RX_DELTAE_SWEEP_20260115,789,ADV,-44,e0:5a:1b:15:b2:ee,MF0005
RX_DELTAE_SWEEP_20260115,890,ADV,-50,e0:5a:1b:15:b2:ee,MF0006
RX_DELTAE_SWEEP_20260115,988,ADV,-43,e0:5a:1b:15:b2:ee,MF0007
RX_DELTAE_SWEEP_20260115,1100,ADV,-44,e0:5a:1b:15:b2:ee,MF0008
RX_DELTAE_SWEEP_20260115,1194,ADV,-50,e0:5a:1b:15:b2:ee,MF0009
RX_DELTAE_SWEEP_20260115,1291,ADV,-44,e0:5a:1b:15:b2:ee,MF000A
RX_DELTAE_SWEEP_20260115,1389,ADV,-45,e0:5a:1b:15:b2:ee,MF000B
RX_DELTAE_SWEEP_20260115,1490,ADV,-50,e0:5a:1b:15:b2:ee,MF000C
RX_DELTAE_SWEEP_20260115,1592,ADV,-43,e0:5a:1b:15:b2:ee,MF000D
RX_DELTAE_SWEEP_20260115,1689,ADV,-44,e0:5a:1b:15:b2:ee,MF000E
RX_DELTAE_SWEEP_20260115,1790,ADV,-49,e0:5a:1b:15:b2:ee,MF000F
RX_DELTAE_SWEEP_20260115,1887,ADV,-44,e0:5a:1b:15:b2:ee,MF0010
RX_DELTAE_SWEEP_20260115,2090,ADV,-49,e0:5a:1b:15:b2:ee,MF0012
RX_DELTAE_SWEEP_20260115,2191,ADV,-44,e0:5a:1b:15:b2:ee,MF0013
RX_DELTAE_SWEEP_20260115,2301,ADV,-45,e0:5a:1b:15:b2:ee,MF0014
RX_DELTAE_SWEEP_20260115,2390,ADV,-50,e0:5a:1b:15:b2:ee,MF0015
RX_DELTAE_SWEEP_20260115,2491,ADV,-45,e0:5a:1b:15:b2:ee,MF0016
