prog_id,ms,event,rssi,addr,mfd
# meta, firmware=RX_DeltaE_Sweep, program_id=RX_DELTAE_SWEEP_20260115, trial_index=2, scan_interval_ms=100, scan_window_ms=90, active_scan=0, dup_filter=0, buf_size=512, build=Jan 19 2026 16:22:49
RX_DELTAE_SWEEP_20260115,90,ADV,-50,e0:5a:1b:15:b2:ee,MF0000
RX_DELTAE_SWEEP_20260115,187,ADV,-43,e0:5a:1b:15:b2:ee,MF0000
RX_DELTAE_SWEEP_20260115,288,ADV,-43,e0:5a:1b:15:b2:ee,MF0000
RX_DELTAE_SWEEP_20260115,390,ADV,-50,e0:5a:1b:15:b2:ee,MF0001
RX_DELTAE_SWEEP_20260115,487,ADV,-43,e0:5a:1b:15:b2:ee,MF0002
RX_DELTAE_SWEEP_20260115,590,ADV,-43,e0:5a:1b:15:b2:ee,MF0003
RX_DELTAE_SWEEP_20260115,690,ADV,-50,e0:5a:1b:15:b2:ee,MF0004
RX_DELTAE_SWEEP_20260115,789,ADV,-42,e0:5a:1b:15:b2:ee,MF0005
RX_DELTAE_SWEEP_20260115,888,ADV,-43,e0:5a:1b:15:b2:ee,MF0006
RX_DELTAE_SWEEP_20260115,990,ADV,-50,e0:5a:1b:15:b2:ee,MF0007
RX_DELTAE_SWEEP_20260115,1103,ADV,-42,e0:5a:1b:15:b2:ee,MF0008
RX_DELTAE_SWEEP_20260115,1188,ADV,-42,e0:5a:1b:15:b2:ee,MF0009
RX_DELTAE_SWEEP_20260115,1290,ADV,-50,e0:5a:1b:15:b2:ee,MF000A
RX_DELTAE_SWEEP_20260115,1387,ADV,-43,e0:5a:1b:15:b2:ee,MF000B
RX_DELTAE_SWEEP_20260115,1488,ADV,-42,e0:5a:1b:15:b2:ee,MF000C
RX_DELTAE_SWEEP_20260115,1590,ADV,-50,e0:5a:1b:15:b2:ee,MF000D
RX_DELTAE_SWEEP_20260115,1689,ADV,-43,e0:5a:1b:15:b2:ee,MF000E
RX_DELTAE_SWEEP_20260115,1788,ADV,-42,e0:5a:1b:15:b2:ee,MF000F
RX_DELTAE_SWEEP_20260115,1896,ADV,-50,e0:5a:1b:15:b2:ee,MF0010
RX_DELTAE_SWEEP_20260115,1994,ADV,-43,e0:5a:1b:15:b2:ee,MF0011
RX_DELTAE_SWEEP_20260115,2089,ADV,-42,e0:5a:1b:15:b2:ee,MF0012
RX_DELTAE_SWEEP_20260115,2194,ADV,-51,e0:5a:1b:15:b2:ee,MF0013
RX_DELTAE_SWEEP_20260115,2299,ADV,-42,e0:5a:1b:15:b2:ee,MF0014
RX_DELTAE_SWEEP_20260115,2490,ADV,-51,e0:5a:1b:15:b2:ee,MF0016
RX_DELTAE_SWEEP_20260115,2695,ADV,-42,e0:5a:1b:15:b2:ee,MF0018
RX_DELTAE_SWEEP_20260115,2790,ADV,-50,e0:5a:1b:15:b2:ee,MF0019
RX_DELTAE_SWEEP_20260115,2890,ADV,-43,e0:5a:1b:15:b2:ee,MF001A
RX_DELTAE_SWEEP_20260115,2989,ADV,-43,e0:5a:1b:15:b2:ee,MF001B
RX_DELTAE_SWEEP_20260115,3090,ADV,-50,e0:5a:1b:15:b2:ee,MF001C
RX_DELTAE_SWEEP_20260115,3187,ADV,-43,e0:5a:1b:15:b2:ee,MF001D
RX_DELTAE_SWEEP_20260115,3289,ADV,-43,e0:5a:1b:15:b2:ee,MF001E
RX_DELTAE_SWEEP_20260115,3391,ADV,-51,e0:5a:1b:15:b2:ee,MF001F
RX_DELTAE_SWEEP_20260115,3487,ADV,-42,e0:5a:1b:15:b2:ee,MF0020
RX_DELTAE_SWEEP_20260115,3598,ADV,-43,e0:5a:1b:15:b2:ee,MF0021
RX_DELTAE_SWEEP_20260115,3692,ADV,-50,e0:5a:1b:15:b2:ee,MF0022
RX_DELTAE_SWEEP_20260115,3787,ADV,-43,e0:5a:1b:15:b2:ee,MF0023
RX_DELTAE_SWEEP_20260115,3889,ADV,-42,e0:5a:1b:15:b2:ee,MF0024
RX_DELTAE_SWEEP_20260115,3991,ADV,-51,e0:5a:1b:15:b2:ee,MF0025
RX_DELTAE_SWEEP_20260115,4190,ADV,-44,e0:5a:1b:15:b2:ee,MF0027
RX_DELTAE_SWEEP_20260115,4291,ADV,-50,e0:5a:1b:15:b2:ee,MF0028
RX_DELTAE_SWEEP_20260115,4396,ADV,-45,e0:5a:1b:15:b2:ee,MF0029
RX_DELTAE_SWEEP_20260115,4489,ADV,-44,e0:5a:1b:15:b2:ee,MF002A
RX_DELTAE_SWEEP_20260115,4592,ADV,-49,e0:5a:1b:15:b2:ee,MF002B
RX_DELTAE_SWEEP_20260115,4687,ADV,-45,e0:5a:1b:15:b2:ee,MF002C
RX_DELTAE_SWEEP_20260115,4788,ADV,-45,e0:5a:1b:15:b2:ee,MF002D
RX_DELTAE_SWEEP_20260115,4898,ADV,-49,e0:5a:1b:15:b2:ee,MF002E
RX_DELTAE_SWEEP_20260115,4988,ADV,-44,e0:5a:1b:15:b2:ee,MF002F
RX_DELTAE_SWEEP_20260115,5090,ADV,-44,e0:5a:1b:15:b2:ee,MF0030
RX_DELTAE_SWEEP_20260115,5203,ADV,-50,e0:5a:1b:15:b2:ee,MF0031
RX_DELTAE_SWEEP_20260115,5293,ADV,-43,e0:5a:1b:15:b2:ee,MF0032
RX_DELTAE_SWEEP_20260115,5388,ADV,-44,e0:5a:1b:15:b2:ee,MF0033
RX_DELTAE_SWEEP_20260115,5496,ADV,-50,e0:5a:1b:15:b2:ee,MF0034
RX_DELTAE_SWEEP_20260115,5587,ADV,-44,e0:5a:1b:15:b2:ee,MF0035
RX_DELTAE_SWEEP_20260115,5691,ADV,-45,e0:5a:1b:15:b2:ee,MF0036
RX_DELTAE_SWEEP_20260115,5800,ADV,-50,e0:5a:1b:15:b2:ee,MF0037
RX_DELTAE_SWEEP_20260115,5890,ADV,-44,e0:5a:1b:15:b2:ee,MF0038
RX_DELTAE_SWEEP_20260115,5993,ADV,-45,e0:5a:1b:15:b2:ee,MF0039
RX_DELTAE_SWEEP_20260115,6101,ADV,-51,e0:5a:1b:15:b2:ee,MF003A
RX_DELTAE_SWEEP_20260115,6187,ADV,-45,e0:5a:1b:15:b2:ee,MF003B
RX_DELTAE_SWEEP_20260115,6288,ADV,-43,e0:5a:1b:15:b2:ee,MF003C
RX_DELTAE_SWEEP_20260115,6490,ADV,-44,e0:5a:1b:15:b2:ee,MF003E
RX_DELTAE_SWEEP_20260115,6596,ADV,-80,e0:5a:1b:15:b2:ee,MF003F
RX_DELTAE_SWEEP_20260115,6787,ADV,-43,e0:5a:1b:15:b2:ee,MF0041
RX_DELTAE_SWEEP_20260115,6891,ADV,-44,e0:5a:1b:15:b2:ee,MF0042
RX_DELTAE_SWEEP_20260115,7004,ADV,-48,e0:5a:1b:15:b2:ee,MF0043
RX_DELTAE_SWEEP_20260115,7087,ADV,-44,e0:5a:1b:15:b2:ee,MF0044
RX_DELTAE_SWEEP_20260115,7198,ADV,-44,e0:5a:1b:15:b2:ee,MF0045
RX_DELTAE_SWEEP_20260115,7392,ADV,-44,e0:5a:1b:15:b2:ee,MF0047
RX_DELTAE_SWEEP_20260115,7488,ADV,-44,e0:5a:1b:15:b2:ee,MF0048
RX_DELTAE_SWEEP_20260115,7590,ADV,-50,e0:5a:1b:15:b2:ee,MF0049
RX_DELTAE_SWEEP_20260115,7687,ADV,-43,e0:5a:1b:15:b2:ee,MF004A
RX_DELTAE_SWEEP_20260115,7790,ADV,-42,e0:5a:1b:15:b2:ee,MF004B
RX_DELTAE_SWEEP_20260115,7890,ADV,-49,e0:5a:1b:15:b2:ee,MF004C
RX_DELTAE_SWEEP_20260115,8088,ADV,-45,e0:5a:1b:15:b2:ee,MF004E
RX_DELTAE_SWEEP_20260115,8190,ADV,-49,e0:5a:1b:15:b2:ee,MF004F
RX_DELTAE_SWEEP_20260115,8307,ADV,-45,e0:5a:1b:15:b2:ee,MF0050
RX_DELTAE_SWEEP_20260115,8390,ADV,-45,e0:5a:1b:15:b2:ee,MF0051
RX_DELTAE_SWEEP_20260115,8490,ADV,-49,e0:5a:1b:15:b2:ee,MF0052
RX_DELTAE_SWEEP_20260115,8587,ADV,-43,e0:5a:1b:15:b2:ee,MF0053
RX_DELTAE_SWEEP_20260115,8794,ADV,-48,e0:5a:1b:15:b2:ee,MF0055
RX_DELTAE_SWEEP_20260115,8887,ADV,-44,e0:5a:1b:15:b2:ee,MF0056
RX_DELTAE_SWEEP_20260115,9090,ADV,-50,e0:5a:1b:15:b2:ee,MF0058
RX_DELTAE_SWEEP_20260115,9189,ADV,-43,e0:5a:1b:15:b2:ee,MF0059
RX_DELTAE_SWEEP_20260115,9289,ADV,-44,e0:5a:1b:15:b2:ee,MF005A
RX_DELTAE_SWEEP_20260115,9391,ADV,-48,e0:5a:1b:15:b2:ee,MF005B
RX_DELTAE_SWEEP_20260115,9501,ADV,-43,e0:5a:1b:15:b2:ee,MF005C
RX_DELTAE_SWEEP_20260115,9588,ADV,-45,e0:5a:1b:15:b2:ee,MF005D
RX_DELTAE_SWEEP_20260115,9690,ADV,-50,e0:5a:1b:15:b2:ee,MF005E
RX_DELTAE_SWEEP_20260115,9791,ADV,-43,e0:5a:1b:15:b2:ee,MF005F
RX_DELTAE_SWEEP_20260115,9888,ADV,-44,e0:5a:1b:15:b2:ee,MF0060
RX_DELTAE_SWEEP_20260115,9992,ADV,-49,e0:5a:1b:15:b2:ee,MF0061
RX_DELTAE_SWEEP_20260115,10087,ADV,-45,e0:5a:1b:15:b2:ee,MF0062
RX_DELTAE_SWEEP_20260115,10188,ADV,-45,e0:5a:1b:15:b2:ee,MF0063
RX_DELTAE_SWEEP_20260115,10290,ADV,-49,e0:5a:1b:15:b2:ee,MF0064
RX_DELTAE_SWEEP_20260115,10393,ADV,-43,e0:5a:1b:15:b2:ee,MF0065
RX_DELTAE_SWEEP_20260115,10502,ADV,-45,e0:5a:1b:15:b2:ee,MF0066
RX_DELTAE_SWEEP_20260115,10590,ADV,-49,e0:5a:1b:15:b2:ee,MF0067
RX_DELTAE_SWEEP_20260115,10694,ADV,-43,e0:5a:1b:15:b2:ee,MF0068
RX_DELTAE_SWEEP_20260115,10802,ADV,-46,e0:5a:1b:15:b2:ee,MF0069
RX_DELTAE_SWEEP_20260115,10899,ADV,-48,e0:5a:1b:15:b2:ee,MF006A
RX_DELTAE_SWEEP_20260115,10995,ADV,-45,e0:5a:1b:15:b2:ee,MF006B
RX_DELTAE_SWEEP_20260115,11088,ADV,-45,e0:5a:1b:15:b2:ee,MF006C
RX_DELTAE_SWEEP_20260115,11190,ADV,-50,e0:5a:1b:15:b2:ee,MF006D
RX_DELTAE_SWEEP_20260115,11287,ADV,-43,e0:5a:1b:15:b2:ee,MF006E
RX_DELTAE_SWEEP_20260115,11388,ADV,-45,e0:5a:1b:15:b2:ee,MF006F
RX_DELTAE_SWEEP_20260115,11490,ADV,-49,e0:5a:1b:15:b2:ee,MF0070
RX_DELTAE_SWEEP_20260115,11588,ADV,-43,e0:5a:1b:15:b2:ee,MF0071
RX_DELTAE_SWEEP_20260115,11697,ADV,-45,e0:5a:1b:15:b2:ee,MF0072
RX_DELTAE_SWEEP_20260115,11800,ADV,-50,e0:5a:1b:15:b2:ee,MF0073
RX_DELTAE_SWEEP_20260115,11891,ADV,-43,e0:5a:1b:15:b2:ee,MF0074
RX_DELTAE_SWEEP_20260115,12010,ADV,-45,e0:5a:1b:15:b2:ee,MF0075
RX_DELTAE_SWEEP_20260115,12095,ADV,-50,e0:5a:1b:15:b2:ee,MF0076
RX_DELTAE_SWEEP_20260115,12199,ADV,-43,e0:5a:1b:15:b2:ee,MF0077
RX_DELTAE_SWEEP_20260115,12390,ADV,-50,e0:5a:1b:15:b2:ee,MF0079
RX_DELTAE_SWEEP_20260115,12487,ADV,-44,e0:5a:1b:15:b2:ee,MF007A
RX_DELTAE_SWEEP_20260115,12700,ADV,-50,e0:5a:1b:15:b2:ee,MF007C
